 	a66	a87	a23	a50	a62	a61	a75	a56	a24	a43	a0	a31	a0	a31	a88	a31	a21	a75	a96	a31	a0	a11	a70	a93	a44	a13	a4	a93	a90	a69	a58	a93	a70	a62	a88	a24	a88	a0	a24	a83	a54	a36	a27	a83	a71	a9	a87	a23	a87	</S>
la	0.054567	0.0533443	0.040346	0.0241791	0.0286935	0.0207248	0.021082	0.00975781	0.00485296	0.00658804	0.00495141	0.0061221	0.0102708	0.0127834	0.0132444	0.0104864	0.00975456	0.0150777	0.0114093	0.0133238	0.0450479	0.0272002	0.0183997	0.00900208	0.0206521	0.00811249	0.0149757	0.00922527	0.0051489	0.0168246	0.0197927	0.0103315	0.0262286	0.00950478	0.0121987	0.0276907	0.0126173	0.01466	0.0219082	0.0262397	0.0500223	0.0349256	0.0200675	0.0175826	0.0229028	0.0222145	0.0205972	0.0241568	0.0303917	0.0298183
manière	0.00212073	0.00438984	0.00428623	0.00269182	0.00530829	0.00438031	0.00432182	0.0070862	0.00981311	0.0158241	0.0121312	0.0205098	0.011389	0.0229527	0.0387483	0.0304742	0.0435288	0.0139159	0.0213293	0.0548897	0.0158981	0.019335	0.0379592	0.0853681	0.0552843	0.0876378	0.0663542	0.0488362	0.040683	0.0459053	0.0271221	0.018904	0.0149309	0.0135196	0.0104193	0.0176668	0.0145132	0.0155324	0.00994814	0.00463262	0.00276416	0.00251442	0.000648891	0.00133269	0.00129766	0.00159453	0.00177483	0.00201225	0.00452421	0.000994822
dont	0.07608	0.0474272	0.0423599	0.0313011	0.0375733	0.0379528	0.0165059	0.0183412	0.0087224	0.0145737	0.0109957	0.0126034	0.0116181	0.0291166	0.0491943	0.0479212	0.042796	0.055272	0.0443585	0.0722535	0.021164	0.0257334	0.00944714	0.0227117	0.0148309	0.010028	0.0129093	0.00714624	0.00976766	0.0092005	0.00901486	0.00549345	0.00719087	0.00763901	0.00576072	0.00941889	0.00894475	0.0104067	0.00985895	0.00746356	0.00851629	0.00726918	0.00363918	0.0052017	0.00699759	0.00541002	0.0119913	0.00441017	0.0114381	0.00402878
il	0.0171629	0.0111894	0.00544333	0.00656906	0.0157222	0.0132606	0.0085215	0.0114816	0.0109126	0.00975316	0.00712358	0.0166319	0.020351	0.0548576	0.034029	0.0241815	0.0253464	0.0159087	0.0219748	0.0617274	0.0550908	0.0276328	0.0198926	0.0501519	0.0379069	0.030477	0.0565823	0.0381806	0.0392804	0.0412924	0.0254872	0.0208138	0.0126085	0.0160303	0.00975722	0.0070644	0.0100057	0.00710863	0.00386113	0.00234254	0.00450087	0.00565079	0.00494891	0.00937539	0.0137684	0.0113545	0.018399	0.00795854	0.0176128	0.00271544
a	0.0184124	0.0102586	0.00487263	0.00868511	0.0194697	0.0112837	0.0100067	0.0205358	0.0134784	0.0169515	0.0178439	0.01626	0.0210839	0.0300816	0.0506145	0.015825	0.0380814	0.0430841	0.0399891	0.0530143	0.061497	0.0876331	0.0230283	0.0388982	0.031427	0.0334285	0.0383977	0.0234051	0.0265017	0.0242652	0.0188313	0.0118899	0.00872656	0.0057193	0.0035286	0.00713286	0.0024759	0.00335785	0.00166543	0.00084461	0.00253127	0.0041355	0.00425405	0.00571801	0.0120406	0.0128661	0.0123091	0.00378991	0.0250767	0.00479238
explosé	0.0231044	0.0115407	0.0132122	0.00841545	0.0073908	0.00544142	0.00602675	0.0105211	0.00930831	0.0114911	0.0153385	0.0123787	0.0201051	0.0187094	0.0269364	0.0276306	0.0576793	0.0669306	0.0412624	0.047849	0.0455229	0.0593542	0.0351711	0.0408969	0.0369352	0.0376056	0.0381174	0.0199791	0.0175082	0.0163482	0.0132496	0.00869817	0.00748293	0.00446698	0.00362388	0.00625001	0.00201895	0.00260921	0.00212421	0.00431347	0.00599709	0.00782426	0.00496544	0.00991666	0.0215618	0.0219117	0.016749	0.0144029	0.0276012	0.0255212
le	0.0260749	0.0151865	0.0109319	0.0123043	0.00931803	0.00929585	0.00714053	0.0123822	0.00704338	0.00808286	0.00804773	0.0071336	0.0168289	0.0237717	0.0208248	0.0192418	0.0403799	0.0320954	0.0223986	0.0350869	0.0332644	0.0270575	0.0232274	0.0262672	0.0351494	0.0263833	0.0343673	0.0191955	0.018989	0.0293723	0.0252506	0.0179557	0.0212472	0.0138324	0.0157678	0.0199148	0.0108033	0.0177179	0.00828958	0.0118603	0.0123092	0.017389	0.00654625	0.0143801	0.0239562	0.0330314	0.0400401	0.0241537	0.0292488	0.0194627
pneu	0.0338644	0.0213299	0.0189899	0.0116393	0.0118454	0.0119368	0.0119457	0.00870266	0.00607394	0.0103162	0.00654754	0.00736955	0.00989497	0.0104277	0.0113725	0.0349327	0.0494258	0.0236214	0.0177948	0.0210867	0.0351202	0.0290054	0.0238248	0.0176343	0.0296972	0.0181624	0.0135531	0.00698028	0.0059174	0.00488058	0.00647125	0.00524997	0.0057111	0.00528927	0.00572075	0.00810358	0.00792992	0.0132316	0.0092028	0.00611988	0.0129618	0.0161306	0.011983	0.0267302	0.0583812	0.0579357	0.0635267	0.0363891	0.076815	0.042223
m'	0.0239384	0.0144706	0.0143362	0.00821946	0.0146517	0.0219624	0.0204133	0.0133754	0.00836425	0.0123155	0.00563256	0.00664382	0.00733537	0.0081461	0.0167976	0.0555835	0.0499188	0.0617112	0.0477331	0.0336554	0.0399567	0.048565	0.0113176	0.0146726	0.0157545	0.0078773	0.00845349	0.00481071	0.00437925	0.00306929	0.00294092	0.00251378	0.00203142	0.00306195	0.00237426	0.0035832	0.00206919	0.0033338	0.00507519	0.00578646	0.0111953	0.0119417	0.0139022	0.021185	0.0539899	0.042403	0.0625941	0.0497541	0.0617881	0.0344153
a	0.0130779	0.010572	0.00873886	0.00643828	0.0101099	0.0129599	0.0100998	0.0185432	0.0114302	0.0120287	0.0097383	0.00913315	0.0111155	0.0144032	0.0328384	0.0348281	0.052437	0.0721247	0.0473946	0.0454289	0.0520165	0.0639093	0.0177049	0.0346367	0.0303561	0.0236215	0.025744	0.0178516	0.0152725	0.0110214	0.00873072	0.00522658	0.00550064	0.00352732	0.00214676	0.00726004	0.00274319	0.00360704	0.00507541	0.00717104	0.0115259	0.00980704	0.0121883	0.0191435	0.0294897	0.0260546	0.0290186	0.0157797	0.0391976	0.0212312
