 	a85	a87	a23	a87	a99	a97	a87	a97	a87	a10	a40	a26	a57	a66	a11	a66	a44	a75	a61	a96	a24	a75	a25	a44	a26	a75	a41	a43	a11	a0	a88	a71	a38	a93	a4	a13	a99	a97	a87	a23	a87	a97	</S>
on	0.0442154	0.0346494	0.0391846	0.0327224	0.0595578	0.0347242	0.0700369	0.0759896	0.0848261	0.082311	0.0495573	0.0231927	0.0108976	0.0156347	0.0142456	0.0131553	0.0216918	0.0191747	0.0154675	0.0230913	0.0170688	0.0118492	0.0128472	0.0139232	0.0108566	0.00890081	0.0059761	0.00519507	0.00529791	0.00285236	0.00321957	0.00226997	0.00597007	0.00824206	0.0101271	0.0132251	0.01189	0.0106948	0.0102617	0.00946517	0.0171775	0.0177245	0.0206391
lui	0.0155858	0.00835276	0.0109687	0.00959406	0.0181693	0.010012	0.0138241	0.0129676	0.0177569	0.0124798	0.0717222	0.0735808	0.0438272	0.0301432	0.0121749	0.00813219	0.0190175	0.013824	0.0158886	0.0239169	0.0164431	0.0126591	0.0111668	0.0130839	0.0172896	0.0220204	0.01355	0.0260978	0.0218515	0.0603078	0.048738	0.0562245	0.0272222	0.0127929	0.0155018	0.0143855	0.0153027	0.0196992	0.0248852	0.0253295	0.0182088	0.0248553	0.0404456
a	0.0572689	0.0220652	0.0228702	0.0212107	0.0248944	0.0197003	0.0172943	0.0203165	0.0310018	0.0318343	0.0467722	0.0712379	0.0496852	0.0328522	0.0161504	0.012648	0.0161643	0.0157981	0.0158043	0.0133402	0.0114306	0.0141239	0.00792088	0.0069111	0.00865082	0.00945514	0.00619411	0.00710209	0.00828386	0.0165316	0.0317485	0.0254654	0.0152495	0.00960959	0.012884	0.0183805	0.0232963	0.0260614	0.027193	0.0349637	0.024653	0.0364949	0.0584867
donné	0.0172973	0.0175077	0.0106261	0.0108626	0.00687563	0.0106611	0.00866432	0.0043522	0.00564632	0.00687181	0.00485127	0.00781815	0.0179299	0.0141118	0.0220406	0.0245542	0.0209129	0.0178698	0.0165792	0.0142849	0.0128412	0.0295308	0.047521	0.0382972	0.105818	0.10888	0.11184	0.0781056	0.0261287	0.0199132	0.0141287	0.0149687	0.0100405	0.0138335	0.0131425	0.0123938	0.011174	0.0103953	0.00895184	0.0108593	0.00861737	0.00868479	0.0236168
un	0.0832467	0.0794378	0.0389412	0.0327565	0.0222418	0.0275803	0.018969	0.00813049	0.00844146	0.00856696	0.0058983	0.00308797	0.00356519	0.00630388	0.00750057	0.0081348	0.0125051	0.0112034	0.0123067	0.0187451	0.0126954	0.0262777	0.0287097	0.0268899	0.0458894	0.0378327	0.0328381	0.0235809	0.013868	0.0132948	0.0132162	0.011355	0.0125991	0.0173031	0.0101206	0.00985342	0.016017	0.0335601	0.0308963	0.0426264	0.0432469	0.0418077	0.0379585
coup	0.0518035	0.0304794	0.0213468	0.0181069	0.0143929	0.0255295	0.0224843	0.0191248	0.0212797	0.0238873	0.0234333	0.0179118	0.0149058	0.023379	0.0282202	0.0426589	0.0197403	0.0585559	0.0330465	0.062735	0.073504	0.0590715	0.0306215	0.050041	0.0132537	0.0129583	0.0059449	0.00672377	0.00675286	0.0050815	0.00535302	0.00514902	0.00722019	0.0116128	0.0108046	0.0138076	0.0125708	0.0153696	0.0200715	0.0167942	0.0220942	0.012123	0.0100544
de	0.172111	0.0467965	0.0327333	0.0158461	0.0227283	0.0177769	0.0192333	0.0172436	0.0169004	0.0138752	0.0143138	0.00690319	0.00395877	0.00544268	0.00807514	0.00989146	0.0110786	0.0145257	0.00772262	0.0232712	0.0208286	0.0216084	0.0328116	0.0254192	0.0194074	0.0161862	0.00745659	0.0140272	0.0171852	0.0109656	0.0173165	0.0107779	0.0151628	0.0250452	0.0135237	0.0143768	0.0230568	0.0348163	0.0450489	0.0447163	0.0412823	0.03607	0.0124833
crosse	0.0621397	0.0208844	0.00889223	0.0036063	0.00320662	0.00298758	0.0022977	0.00133992	0.00134163	0.00121026	0.00163691	0.00138137	0.00115191	0.00173012	0.00299266	0.00394673	0.0102687	0.0137872	0.010228	0.0242168	0.0172192	0.0470983	0.060965	0.0581961	0.0643965	0.0601649	0.0297737	0.0356189	0.0553729	0.0294318	0.026144	0.020729	0.0182526	0.0205589	0.0188156	0.0224449	0.0387208	0.0429697	0.0441847	0.0404252	0.0377111	0.0262882	0.00527127
à	0.0684292	0.0550624	0.0386696	0.0427657	0.0343513	0.0363457	0.0240883	0.0131089	0.0164517	0.00912709	0.00246877	0.00115324	0.00103241	0.0013686	0.00233416	0.00261902	0.00605465	0.00337186	0.00506946	0.0102685	0.00756261	0.00984201	0.0106534	0.00821204	0.00642451	0.0123058	0.00492537	0.00897298	0.0116404	0.00580499	0.0179999	0.0119733	0.0396216	0.0314428	0.0255563	0.0329036	0.0625995	0.0521778	0.0493655	0.0577118	0.0620869	0.0555617	0.0405145
la	0.0415005	0.018934	0.0139145	0.0099311	0.00888362	0.00459296	0.00438802	0.00223229	0.00191397	0.000957106	0.000457366	0.000394506	0.000397806	0.000762287	0.00100292	0.00140577	0.0017644	0.00164064	0.00189112	0.00291672	0.00313257	0.00563935	0.00743074	0.00509744	0.00752085	0.0119724	0.00774079	0.00865877	0.0111854	0.00899469	0.0293972	0.0225561	0.0649226	0.0601513	0.048882	0.0548996	0.066734	0.0856602	0.0825469	0.0791609	0.0665263	0.0680317	0.0732766
