 	a66	a87	a23	a50	a88	a50	a62	a47	a62	a47	a21	a12	a62	a47	a88	a61	a75	a98	a15	a98	a47	a36	a61	a21	a12	a88	a71	a25	a87	a40	a6	a37	a96	a83	a61	a75	a92	a61	a75	a6	a36	a2	a57	a87	a23	a87	</S>
la	0.0711544	0.0545208	0.0196792	0.0250319	0.0248352	0.0306383	0.0440659	0.0575868	0.0463462	0.022701	0.0248005	0.0190644	0.0138737	0.0195071	0.0200588	0.0208954	0.0382839	0.0218537	0.0229348	0.0258017	0.0194174	0.0144153	0.0124224	0.0181204	0.011927	0.0165887	0.0195505	0.0103465	0.0165709	0.00743803	0.0114811	0.0110241	0.00954236	0.00765934	0.0083918	0.0137905	0.0115635	0.0106132	0.0106943	0.0131555	0.0141103	0.00875526	0.0121177	0.0137275	0.016337	0.0192676	0.0373379
manière	0.00528024	0.0087917	0.0105162	0.0113229	0.0114282	0.0163876	0.0173755	0.0519402	0.0773065	0.0673594	0.058293	0.0919145	0.0616243	0.0769847	0.101513	0.0145796	0.0589875	0.0188061	0.0167091	0.0268402	0.0116208	0.0197722	0.019531	0.0169839	0.0107552	0.0123776	0.0218346	0.0048077	0.0191179	0.018935	0.00542399	0.00439032	0.00467049	0.00389758	0.00374587	0.00109822	0.00195949	0.00092968	0.00152448	0.00245129	0.00155116	0.00185272	0.0014948	0.000986639	0.000943835	0.00151763	0.00186522
dont	0.0612316	0.0576868	0.0325363	0.0302958	0.0217185	0.015886	0.010081	0.0157436	0.0130404	0.0304051	0.0275325	0.0437848	0.0477054	0.0628655	0.0488391	0.0474768	0.0690415	0.0400194	0.0557777	0.0606087	0.0329507	0.0131628	0.0121791	0.00841226	0.00672315	0.00563245	0.00728397	0.00443073	0.00462065	0.00318592	0.00316767	0.00772462	0.00327451	0.00684464	0.00126077	0.00350301	0.0020863	0.00280016	0.00165016	0.00331389	0.00227957	0.00797745	0.00629364	0.00882861	0.00878238	0.017919	0.0214354
il	0.0174945	0.0142979	0.0117974	0.0068897	0.00625206	0.00509626	0.00474597	0.006204	0.00562326	0.0111404	0.00554503	0.0162317	0.0259776	0.0234385	0.0102554	0.019422	0.0250718	0.0146162	0.0270296	0.0318257	0.0536023	0.0309428	0.0138687	0.036708	0.017951	0.027064	0.00541563	0.00470256	0.0105895	0.0222049	0.0196305	0.0845907	0.0414513	0.0574843	0.0278489	0.0387992	0.0284022	0.0282615	0.0226636	0.0247113	0.0174305	0.0199672	0.0162117	0.0149215	0.0164982	0.0186997	0.0104232
se	0.0148222	0.00531055	0.00253079	0.0038031	0.0028759	0.00306269	0.00267782	0.00293565	0.00373106	0.00422882	0.00333648	0.00502205	0.00976452	0.00981754	0.00555819	0.00556205	0.025266	0.0104005	0.0340373	0.0406101	0.0753349	0.0767381	0.0464974	0.0778823	0.0421014	0.0672544	0.0545975	0.0236436	0.0371379	0.0305748	0.03206	0.0438272	0.0182789	0.0320077	0.0158112	0.0120652	0.00807776	0.00597047	0.00714108	0.0109374	0.00724173	0.0103724	0.0082351	0.0162137	0.0122405	0.0181803	0.0142239
gave	0.0319131	0.0219807	0.00992124	0.0186956	0.00742107	0.00674662	0.00566725	0.0061838	0.00627369	0.00716549	0.0113831	0.00884966	0.00988658	0.0132402	0.0136719	0.0135962	0.0190579	0.0135808	0.025577	0.0268199	0.0340066	0.0484243	0.0306662	0.0359844	0.0310692	0.0462002	0.0407218	0.0336074	0.0267703	0.016554	0.0172107	0.022159	0.0232645	0.029278	0.0164219	0.0101743	0.00905842	0.00764107	0.0102525	0.0178553	0.0110822	0.0191496	0.0171333	0.0301924	0.03728	0.0430181	0.0571923
d'	0.031089	0.0279355	0.0123789	0.0344083	0.0151958	0.0172852	0.0143607	0.0138697	0.0148637	0.0273566	0.0341948	0.0375455	0.0456439	0.0445157	0.0514644	0.0343486	0.0523635	0.0291479	0.0439497	0.051238	0.0348024	0.0364443	0.0166648	0.0281049	0.0253312	0.0209864	0.0281072	0.0138352	0.0108804	0.00810398	0.0113814	0.00923209	0.00817499	0.0125768	0.00677232	0.00634311	0.00313501	0.0041243	0.00331102	0.00524481	0.0042487	0.00521824	0.00573793	0.010189	0.0113511	0.0167723	0.0197706
oseille	0.0161766	0.0188866	0.0109015	0.0192717	0.0100128	0.00818751	0.00794569	0.00589839	0.00467267	0.0161663	0.0143193	0.014433	0.0209501	0.015188	0.0169228	0.0190905	0.0131249	0.0147122	0.0178905	0.0200049	0.0278063	0.0160291	0.00759768	0.010391	0.00744338	0.00676864	0.00649771	0.0102452	0.00550274	0.0076984	0.0175234	0.0239716	0.0205523	0.0403467	0.0272549	0.0314657	0.0301563	0.0287003	0.0401833	0.0423418	0.0462448	0.0378257	0.04503	0.0430004	0.0458455	0.0622752	0.0265459
montre	0.0130924	0.00938347	0.00470891	0.0119591	0.00809879	0.00766683	0.00802375	0.00726356	0.005556	0.0192756	0.0173215	0.0197526	0.0325917	0.0197237	0.0204992	0.0317537	0.0232087	0.0381389	0.0485888	0.0306995	0.0352406	0.0164214	0.00779309	0.0107105	0.00658337	0.00689303	0.00553585	0.00955556	0.00537385	0.00545175	0.012347	0.0145754	0.0141227	0.0195299	0.0151828	0.0139469	0.0123265	0.0104931	0.012279	0.0185596	0.0205483	0.0174578	0.0275034	0.0673377	0.0696859	0.121594	0.045644
qu'	0.048104	0.0390281	0.0197758	0.0198536	0.0140765	0.0103597	0.00950551	0.00822124	0.00740537	0.0138499	0.0162027	0.0217195	0.0268149	0.0266053	0.0235006	0.0240743	0.0325257	0.0300766	0.0465885	0.035469	0.0468843	0.0306682	0.0140169	0.0291333	0.0107817	0.0115957	0.0127047	0.015072	0.00977058	0.00686716	0.0113668	0.0174216	0.0125271	0.0171259	0.0121359	0.0225818	0.023673	0.0182227	0.0145091	0.0281634	0.0151759	0.010559	0.0198264	0.0262953	0.0317136	0.0439044	0.0135467
il	0.0253459	0.018589	0.00961548	0.0198053	0.0142936	0.0119956	0.0128801	0.0127927	0.0121043	0.0291471	0.0185413	0.0250859	0.0337629	0.0202703	0.0220365	0.017679	0.0318066	0.027968	0.0503628	0.0443914	0.0622127	0.0514216	0.0232839	0.0452398	0.0244475	0.0214317	0.0259856	0.0238442	0.0132433	0.00821297	0.0175248	0.0172489	0.0125739	0.0165149	0.016186	0.0156205	0.0125887	0.0114266	0.0105366	0.0145566	0.00835461	0.00640438	0.00870852	0.0127869	0.0170637	0.0256831	0.0184243
meurt	0.039323	0.028716	0.0208295	0.0167187	0.00985062	0.00833677	0.00719437	0.0051	0.00507452	0.00726427	0.00531984	0.00556381	0.00894138	0.00782485	0.00510146	0.00614241	0.00983286	0.0109161	0.0222255	0.0205316	0.0327362	0.0356854	0.0209228	0.0301368	0.0252663	0.0229517	0.0263373	0.0351329	0.0219182	0.0151956	0.0250734	0.0274635	0.0303786	0.0255764	0.0237421	0.0261973	0.0257522	0.026442	0.0415102	0.0372479	0.0202268	0.0259892	0.0194813	0.0329791	0.0260196	0.0380304	0.0307991
de	0.0784972	0.0594409	0.0324161	0.0278984	0.0155629	0.0156092	0.0106752	0.00927719	0.00746999	0.00962042	0.00682751	0.0073292	0.00852575	0.00830008	0.00677575	0.00681934	0.0137616	0.0104532	0.0195414	0.0239354	0.0367132	0.0353551	0.0292772	0.0282447	0.0238283	0.0208987	0.0237116	0.0265709	0.0217248	0.0126129	0.0163668	0.0218646	0.0268437	0.0199761	0.0199576	0.0192465	0.0181615	0.0152099	0.0171978	0.0228272	0.0122632	0.0185743	0.0157239	0.0327265	0.0212989	0.0337348	0.0303528
faim	0.0401999	0.0282639	0.0210162	0.0136595	0.00932027	0.0111098	0.0128021	0.0111204	0.0100402	0.0129279	0.0103015	0.0107696	0.0121027	0.0124615	0.0108513	0.0116201	0.0154109	0.0160964	0.0232579	0.0222355	0.0286975	0.0297803	0.0192512	0.0310575	0.017745	0.0213387	0.0183993	0.0192557	0.0146382	0.00859515	0.0114115	0.0152254	0.00999693	0.00996101	0.0136595	0.021255	0.0263595	0.0225648	0.0392427	0.0368816	0.0285729	0.036716	0.0357415	0.041573	0.0342296	0.0343672	0.0579158
</S>	0.0293583	0.0194571	0.0140342	0.0114873	0.0110852	0.0122418	0.0160555	0.013605	0.0134501	0.0138811	0.0208964	0.015961	0.0189775	0.0203104	0.0118686	0.0178335	0.0147037	0.0183893	0.0205807	0.0186914	0.0213865	0.0235555	0.00974716	0.0216155	0.0140966	0.0128015	0.0154346	0.0161761	0.0100237	0.00498558	0.00930134	0.0104002	0.00910727	0.009993	0.0115665	0.0256961	0.0214093	0.0200173	0.031223	0.0304372	0.0320004	0.0354392	0.0442102	0.0484681	0.0536145	0.0476912	0.076734
