 	a23	a66	a25	a53	a54	a35	a43	a38	a14	a41	a26	a35	a25	a94	a58	a40	a41	a26	a35	a2	a75	a41	a94	a75	a14	a41	a76	a94	a84	a38	a47	a62	a83	a9	a87	a23	a13	a20	a73	a2	a38	a40	a30	a14	a30	a14	a2	a38	a54	a14	a30	a2	a57	a87	</S>
où	0.025599	0.0224201	0.0192048	0.0211026	0.0488753	0.0405785	0.022577	0.0135454	0.0163056	0.0118275	0.00842167	0.00811093	0.00584309	0.00541768	0.00709992	0.00649452	0.0131245	0.00674429	0.00919476	0.0101981	0.00634492	0.00577115	0.00665561	0.00276554	0.00743725	0.00540947	0.0082435	0.00597231	0.00642972	0.00620726	0.00746672	0.0128386	0.0132715	0.0101884	0.0125257	0.0116497	0.012279	0.0114288	0.0358932	0.0434506	0.0183156	0.00502875	0.00471748	0.00580428	0.0088778	0.0106612	0.016422	0.0158499	0.022844	0.0448478	0.0308486	0.0558819	0.0637897	0.0765987	0.064598
la	0.00262866	0.00254353	0.00166474	0.00116564	0.0017537	0.000977655	0.00143999	0.0028471	0.00339682	0.00523455	0.0040951	0.00776003	0.00696914	0.0201778	0.0179301	0.0275403	0.0800601	0.0270249	0.121601	0.112594	0.0511644	0.0607915	0.0429306	0.0245536	0.0107114	0.0187104	0.0153153	0.00542063	0.00896653	0.0108341	0.0122798	0.0096867	0.00724274	0.00699588	0.0170958	0.0136567	0.00937604	0.0061737	0.0013756	0.00269951	0.00230234	0.003636	0.00233867	0.00376949	0.00804875	0.0145989	0.0197928	0.0111008	0.0123671	0.0119041	0.0273102	0.038953	0.0209984	0.0256177	0.0118767
chèvre	0.00228158	0.00210445	0.00260836	0.00467412	0.00526457	0.00678249	0.010291	0.0148314	0.0138579	0.0159118	0.0163155	0.0182981	0.0126643	0.0171858	0.0326125	0.0112381	0.0761935	0.0311913	0.0610705	0.0780328	0.0827444	0.0330925	0.0535657	0.0471311	0.0219648	0.025211	0.0220998	0.0138574	0.0213426	0.0257388	0.0272791	0.0192634	0.0120079	0.0204567	0.0169775	0.0118707	0.010386	0.00639966	0.00427218	0.00681246	0.0026754	0.00239994	0.00176815	0.00149413	0.00243956	0.00445901	0.00395596	0.00333003	0.00722489	0.00830081	0.0117288	0.00844708	0.0102811	0.00820915	0.00740226
est	0.0179991	0.0123577	0.0124847	0.0113375	0.00868592	0.0184486	0.0252115	0.0329901	0.0212804	0.02398	0.0205164	0.0257384	0.0337663	0.0466154	0.0487519	0.00979568	0.0371782	0.0128691	0.0272774	0.0176568	0.0125942	0.00686284	0.00818808	0.00827679	0.00643377	0.00727227	0.00541604	0.00726087	0.0144873	0.00812876	0.00658943	0.0071717	0.01044	0.00764696	0.0095787	0.0093597	0.00989504	0.0108426	0.0157125	0.0269966	0.018377	0.00852866	0.0122226	0.0143083	0.0101561	0.0216454	0.0559373	0.0821206	0.0142271	0.0135614	0.0197654	0.0170755	0.015195	0.0146113	0.0181731
attachée	0.0173587	0.0090911	0.00692359	0.00702983	0.00966097	0.0157334	0.0239541	0.0188746	0.0127216	0.0115467	0.00364009	0.00663022	0.00498112	0.00723047	0.008813	0.00554558	0.00859505	0.0146318	0.0130743	0.00951386	0.0117621	0.0109017	0.0138789	0.0267901	0.0174834	0.0143215	0.0237719	0.0226002	0.0345731	0.0269715	0.0279402	0.0141149	0.0186182	0.011477	0.0216878	0.0362	0.0240157	0.0260801	0.0383648	0.0503473	0.0400547	0.0227426	0.024852	0.017458	0.0150413	0.0120818	0.0211289	0.0104193	0.0109386	0.0142931	0.0257065	0.0427554	0.022944	0.0204565	0.0116769
il	0.0244609	0.0142788	0.00980177	0.0127495	0.0112641	0.0176783	0.0245685	0.0200746	0.0184174	0.0148695	0.00665793	0.0100975	0.00468462	0.00919017	0.0106848	0.00521851	0.0254205	0.0101725	0.0184279	0.0112117	0.0166321	0.008187	0.0110891	0.0136486	0.0115309	0.00982436	0.0202858	0.0110285	0.0205416	0.0139197	0.0290465	0.0158975	0.0129407	0.0111176	0.0150918	0.0219319	0.0146643	0.0115395	0.0122762	0.0156171	0.0169237	0.0203695	0.0174119	0.0167644	0.0222883	0.0180334	0.0980225	0.0477778	0.0260904	0.0291195	0.0284064	0.0225898	0.0210134	0.0203166	0.018132
faut	0.0449868	0.0480774	0.0402437	0.0282098	0.0208977	0.0219807	0.0201818	0.0177668	0.0158622	0.0124106	0.00671087	0.00678151	0.00316304	0.007084	0.00798804	0.00537632	0.0190249	0.00981766	0.0202679	0.021397	0.0201692	0.0128638	0.0145598	0.0203488	0.0114414	0.0111833	0.0186248	0.0119947	0.0166252	0.0135127	0.0256223	0.0209936	0.0179717	0.0264999	0.0127464	0.01469	0.0154904	0.0111838	0.00907566	0.00555899	0.00776431	0.0147472	0.0136382	0.0146583	0.019635	0.0082666	0.031712	0.0323388	0.017602	0.0233363	0.026934	0.019006	0.0238498	0.0209132	0.0362131
qu'	0.0574337	0.0541213	0.0481129	0.0287884	0.0247001	0.0209279	0.016089	0.0132482	0.0124968	0.0102592	0.00487451	0.0047869	0.0020897	0.00371323	0.00390331	0.00267812	0.00784873	0.00405547	0.00910375	0.0119534	0.0111027	0.00553497	0.00852299	0.0130328	0.00870043	0.00740978	0.00967498	0.0110532	0.0133457	0.0124925	0.0194919	0.0145012	0.0135349	0.0239724	0.0125546	0.0178359	0.029314	0.017491	0.0189746	0.0132457	0.0163454	0.0166654	0.0219391	0.0199941	0.0248146	0.0198418	0.0355764	0.0293198	0.0254665	0.0257501	0.0281461	0.0193939	0.0250762	0.0258002	0.0428995
elle	0.0425666	0.0411637	0.0378057	0.0244456	0.0224313	0.0203743	0.0159636	0.0159301	0.0162498	0.0112013	0.00683547	0.00635879	0.0035241	0.00481859	0.00468053	0.00388072	0.00596492	0.00474205	0.00697461	0.00828375	0.00884201	0.00586616	0.0117944	0.0150225	0.0109309	0.00913913	0.0129151	0.0157662	0.0189855	0.0190164	0.0244287	0.0216602	0.015662	0.0184087	0.0141902	0.0194626	0.0202469	0.0127943	0.0228061	0.0201473	0.016198	0.0103236	0.0147647	0.0152282	0.0191019	0.0172222	0.0303695	0.0273137	0.0271743	0.0301452	0.0207736	0.02181	0.0358225	0.0335817	0.0578899
broute	0.0213052	0.0178174	0.0151139	0.0139713	0.0120272	0.0159377	0.0177097	0.0184424	0.0138523	0.0132694	0.00683515	0.00609794	0.0032087	0.00435098	0.00433081	0.00297538	0.00630809	0.00497674	0.0082739	0.00813686	0.0107335	0.00748514	0.0122695	0.0194813	0.0116428	0.0116432	0.0124151	0.0160176	0.0214745	0.020013	0.0279961	0.0187915	0.0188813	0.0225011	0.0227587	0.0222288	0.0230865	0.0141684	0.0117901	0.0159062	0.0166743	0.012183	0.0217938	0.0326249	0.0360893	0.0414934	0.0437234	0.0285909	0.0303428	0.0259856	0.0240536	0.0162175	0.0288056	0.0197059	0.0654906
