 	a66	a87	a97	a99	a97	a83	a62	a70	a66	a70	a34	a61	a62	a0	a93	a70	a93	a96	a12	a47	a62	a88	a62	a21	a12	a18	a88	a9	a99	a97	a3	a97	a57	</S>
la	0.0999959	0.0629964	0.0631219	0.0518284	0.0331017	0.0401342	0.0378838	0.04312	0.0293974	0.0208402	0.0184883	0.0166758	0.0192405	0.0114414	0.00917299	0.00799527	0.00700947	0.00500234	0.00673647	0.026943	0.0137428	0.0300008	0.0322585	0.0298087	0.0305177	0.0299556	0.0328307	0.0395172	0.0345378	0.0200131	0.0175256	0.0214435	0.0165396	0.0401828
plante	0.00505816	0.0120827	0.0272572	0.0255841	0.0174147	0.0662738	0.0653628	0.177077	0.0530536	0.0675211	0.0537868	0.0574849	0.0327855	0.0474531	0.0389831	0.0202919	0.0185018	0.021055	0.00764841	0.0115418	0.0189919	0.01733	0.0118012	0.00328924	0.0116175	0.015619	0.00921084	0.0227472	0.00942217	0.0119849	0.0129045	0.0106856	0.0152302	0.00294846
parasite	0.0590699	0.0502276	0.0595851	0.0520554	0.0440039	0.0375515	0.035	0.0604822	0.0491894	0.0481272	0.0427761	0.0266373	0.018415	0.0242052	0.0277324	0.0217584	0.0228403	0.0197191	0.0132766	0.027607	0.0129045	0.0138063	0.0119276	0.0080068	0.0090101	0.0137104	0.021816	0.0433015	0.032512	0.0249006	0.0170927	0.0246777	0.0183611	0.00771305
lekumu	0.131877	0.0319078	0.0284455	0.018846	0.0289317	0.0147829	0.0179398	0.0156933	0.0104705	0.015474	0.0276191	0.0131856	0.0115283	0.0162731	0.010389	0.0146796	0.00531566	0.0110746	0.0287626	0.0276945	0.0190392	0.029127	0.03112	0.0315371	0.0279087	0.0729641	0.0606733	0.0505934	0.0346009	0.0234353	0.0233704	0.0352377	0.0402744	0.039228
a	0.10006	0.0448097	0.0295782	0.0252886	0.0364484	0.0287143	0.0211326	0.0249225	0.026717	0.0366774	0.0714804	0.0774911	0.075237	0.0682005	0.0272668	0.019292	0.0133429	0.0170214	0.0188222	0.0224903	0.0226681	0.0278102	0.0239416	0.0297999	0.0148791	0.0176949	0.0159769	0.0126826	0.0105859	0.00298628	0.00704638	0.00715785	0.00842091	0.0133557
déjà	0.0318744	0.0178085	0.00947241	0.00952197	0.00959409	0.0118333	0.0109713	0.0132304	0.0357528	0.0308645	0.0562414	0.0898294	0.0884012	0.0556484	0.0289236	0.0232208	0.0219036	0.0232952	0.0201776	0.0274181	0.0333721	0.0224569	0.0180333	0.0273141	0.0240825	0.0217211	0.0262343	0.0255195	0.0354588	0.0218477	0.039682	0.0286881	0.0289985	0.0306082
détruit	0.0201157	0.00986811	0.00637218	0.00761566	0.00969026	0.0107438	0.0194257	0.0198673	0.0249232	0.0420333	0.0430936	0.0594156	0.0619255	0.0353308	0.0214361	0.0222547	0.0188854	0.0215576	0.0175041	0.0230427	0.0155236	0.0281565	0.0173264	0.0236888	0.0164569	0.0255073	0.0275739	0.0404362	0.0580997	0.028534	0.0479296	0.0600699	0.0444742	0.0711217
ce	0.0567533	0.034145	0.0194297	0.0125379	0.00928259	0.0044046	0.0036343	0.0053228	0.00753333	0.00797947	0.00615065	0.00495707	0.00798057	0.00541605	0.00339171	0.00701849	0.00339723	0.00355687	0.00869353	0.0127033	0.010267	0.0177883	0.0229725	0.0283925	0.0295007	0.0492897	0.0788451	0.0881697	0.102854	0.0756195	0.0624446	0.0700625	0.0382473	0.101258
palmier	0.0255699	0.0155604	0.013856	0.0099347	0.0125114	0.004915	0.00625491	0.00740218	0.0069833	0.0122169	0.0116288	0.0074418	0.0075109	0.00837423	0.00486395	0.0141694	0.011671	0.0121499	0.0147221	0.0207121	0.0141897	0.0158763	0.015286	0.0159716	0.0175027	0.0486551	0.0560085	0.0950471	0.118728	0.0622173	0.0985582	0.0655324	0.0743678	0.0736101
à	0.0480485	0.0322185	0.01653	0.0112156	0.011094	0.0105537	0.00986848	0.0122196	0.0259154	0.029333	0.0340842	0.0409707	0.0414832	0.0239349	0.0137752	0.0141767	0.0130881	0.00801701	0.00894846	0.00767901	0.0243733	0.00999531	0.0154511	0.0256675	0.0259167	0.0332719	0.0527185	0.0670099	0.068542	0.0345892	0.0708445	0.042403	0.0545564	0.0615063
huile	0.0393723	0.0208148	0.0149562	0.0116063	0.00693183	0.0046593	0.00489209	0.00539033	0.00909151	0.0082688	0.00549791	0.00590811	0.00552989	0.00601262	0.00385889	0.00836746	0.00721278	0.00816219	0.00993518	0.0205085	0.0154172	0.0149108	0.0165851	0.0189616	0.0192171	0.0599384	0.0483056	0.0918177	0.0966709	0.0413676	0.0750584	0.0471435	0.0709064	0.176723
</S>	0.0874645	0.0370032	0.0330017	0.024622	0.0127449	0.00819486	0.00914432	0.0135302	0.0151757	0.0152133	0.00919093	0.00843329	0.00785111	0.010828	0.00549117	0.00941038	0.00592912	0.00468893	0.00580894	0.0110465	0.00768449	0.0124939	0.0186681	0.02098	0.020722	0.0442474	0.0340474	0.0725489	0.0697242	0.0287893	0.0657723	0.04101	0.0727414	0.155798
