 	a23	a87	a23	a87	a23	a30	a53	a20	a73	a94	a90	a57	a82	a53	a93	a98	a13	a62	a56	a13	a38	a0	a47	a43	a0	a62	a24	a62	a83	a9	a53	a90	a98	a41	a56	a98	a41	a21	a47	a62	a41	a30	a26	a57	a87	a23	a79	a20	a73	a94	a90	a82	a38	a21	a61	a96	a90	a38	a21	a41	a96	a54	a41	a73	a57	a87	a23	a87	a23	a30	a53	a15	a73	a56	a98	a41	a21	a62	a12	a41	</S>
si	0.0123403	0.0125207	0.0135042	0.0095426	0.0104853	0.0117771	0.0142019	0.0118877	0.0242896	0.040015	0.043765	0.044521	0.0600804	0.0438026	0.0503289	0.0225572	0.0296957	0.0295358	0.0751493	0.0310663	0.019157	0.0246407	0.0141833	0.0118177	0.0199468	0.0100887	0.0083912	0.00324752	0.00393168	0.00373054	0.00395433	0.0139208	0.00293161	0.00222025	0.00366405	0.00327659	0.00459727	0.00610722	0.00329308	0.00273471	0.00400159	0.00321405	0.00249724	0.00223923	0.0022428	0.00246532	0.00318105	0.00408999	0.00582555	0.0169631	0.0217854	0.020879	0.0125564	0.0113667	0.00687766	0.00799506	0.00629038	0.00793376	0.0058146	0.00360183	0.00475403	0.00403644	0.00735047	0.00797904	0.00332393	0.00378044	0.00419565	0.00314086	0.00267686	0.00633411	0.00425877	0.00583823	0.00726704	0.00339194	0.00334817	0.00282373	0.00349661	0.00271263	0.00237865	0.00290308	0.00528673
tu	0.00222029	0.0026721	0.00266927	0.00195067	0.00199792	0.00133165	0.00271937	0.00157815	0.00369573	0.00484739	0.00786657	0.0147798	0.0162115	0.0145516	0.0103903	0.00677133	0.0184347	0.034527	0.0199091	0.0209578	0.00754437	0.0126439	0.0112554	0.0157922	0.00948324	0.00708111	0.00621851	0.00561259	0.00816506	0.0100933	0.0142037	0.0139327	0.0121585	0.0174432	0.0178522	0.0140454	0.0150176	0.015572	0.0112994	0.0154226	0.0135362	0.0452717	0.023131	0.0475489	0.0507231	0.0386259	0.040145	0.0199758	0.0158545	0.0109628	0.00791114	0.0125456	0.00733563	0.00629178	0.00917395	0.00617939	0.00826752	0.0160764	0.0103035	0.0143681	0.0093084	0.00887081	0.00747907	0.00579454	0.00433108	0.00756875	0.0057609	0.00512415	0.00646901	0.00484807	0.0075266	0.0109612	0.00887505	0.00742587	0.00770635	0.00860596	0.00797872	0.00834372	0.00821458	0.0141904	0.00946981
attends	0.00525108	0.00261807	0.00301337	0.00253983	0.00229691	0.00185781	0.00168752	0.000936442	0.0027172	0.00383932	0.0093391	0.0196957	0.0186911	0.0149468	0.00892248	0.0038294	0.00819275	0.0179871	0.025215	0.0443759	0.0268919	0.0300788	0.0150245	0.0112161	0.00429149	0.00223117	0.0025538	0.00339133	0.00794714	0.0149351	0.00540059	0.0153058	0.00508826	0.00732875	0.0378961	0.0225923	0.0178123	0.0154816	0.0495966	0.0431284	0.0307613	0.0623225	0.0297916	0.0198283	0.0269276	0.0462408	0.0446005	0.0289675	0.00775732	0.00605293	0.00602974	0.00336691	0.00498878	0.00902582	0.00754191	0.00915424	0.0124375	0.00399407	0.00433196	0.00386229	0.00181551	0.00158832	0.00124306	0.00183633	0.00112015	0.00090954	0.000762004	0.000992343	0.000694372	0.000744837	0.00061143	0.000862907	0.00356663	0.0031421	0.00538632	0.00559848	0.00654193	0.00871575	0.00744081	0.0215668	0.0207317
encore	0.00733107	0.00328182	0.00318796	0.00284158	0.00445748	0.00524772	0.00540485	0.00658755	0.00794074	0.010186	0.0112955	0.0129689	0.0135945	0.00846941	0.0114242	0.0141296	0.0130962	0.0120595	0.0247642	0.0538463	0.0259832	0.0283498	0.0201424	0.0159175	0.00859561	0.00476497	0.0089598	0.0078317	0.0114129	0.00976768	0.0101494	0.00686024	0.0085778	0.00646492	0.00475299	0.00338528	0.00585104	0.022178	0.00892634	0.0156054	0.0250622	0.0170643	0.0195543	0.0196595	0.00813683	0.0129194	0.0112224	0.0108239	0.00979906	0.00888396	0.00859297	0.0117577	0.0219732	0.0260249	0.0140436	0.0135993	0.0154141	0.0125968	0.0223345	0.0257477	0.0173451	0.0106293	0.00985342	0.00692048	0.0114735	0.00785507	0.00847502	0.00703521	0.0101911	0.00714575	0.00764249	0.0079868	0.0107911	0.0119374	0.010582	0.0240909	0.00840792	0.00605383	0.00589115	0.00651083	0.0213793
un	0.0138377	0.0083178	0.00368993	0.00430451	0.00636232	0.00579408	0.00532347	0.00766544	0.00564437	0.00637775	0.00746038	0.00527563	0.00413527	0.0026739	0.00359129	0.0032447	0.00196455	0.00195928	0.00772589	0.00866619	0.00213285	0.00461752	0.00346749	0.00317657	0.00341507	0.00662715	0.00985918	0.00648297	0.00589011	0.00676753	0.0119925	0.00922692	0.0113727	0.0188933	0.0159726	0.0105658	0.0177082	0.022286	0.0146697	0.0154399	0.017054	0.0108579	0.0112291	0.0124967	0.0108115	0.0112952	0.013071	0.0163175	0.0160634	0.0167982	0.0115977	0.00808492	0.0111238	0.0107317	0.00978084	0.0111959	0.00889725	0.00912221	0.00719666	0.0110252	0.0115166	0.0138628	0.013965	0.0111452	0.016268	0.0136179	0.0171893	0.0141112	0.0230393	0.0232272	0.0166472	0.0160889	0.0192386	0.0378166	0.0337399	0.0269146	0.0221173	0.0236919	0.0276445	0.0269411	0.0418878
peu	0.0171712	0.00901463	0.011261	0.0120947	0.00692185	0.013942	0.0244004	0.0226804	0.0191488	0.0130276	0.0213007	0.0127747	0.0132289	0.010361	0.0149382	0.0113077	0.00453192	0.00379193	0.0125612	0.0125748	0.00623197	0.00604857	0.00611642	0.00611111	0.00710059	0.00749095	0.0101177	0.00835376	0.00812988	0.00721373	0.00800239	0.00753637	0.00861285	0.00965713	0.00907076	0.00953363	0.00941165	0.0100633	0.00758706	0.0104886	0.00802466	0.00660166	0.0121754	0.015075	0.0289856	0.0209552	0.0180894	0.0166668	0.0171176	0.0133296	0.0190504	0.0173354	0.0122463	0.0163705	0.0178602	0.0167628	0.012021	0.0128056	0.0175575	0.0107558	0.0131508	0.0159601	0.0161057	0.0145652	0.0178991	0.0134113	0.0106159	0.0201413	0.0187322	0.0200921	0.0213597	0.0111512	0.00720687	0.0063596	0.00659117	0.00587492	0.00683294	0.00745763	0.00772393	0.00656972	0.0125003
il	0.0362748	0.0226746	0.0164047	0.0123123	0.00797373	0.00422581	0.00298	0.00325595	0.00509492	0.00234924	0.0120067	0.0154671	0.00582299	0.00683991	0.00495881	0.00138026	0.00239325	0.00377851	0.00380346	0.00270037	0.00655591	0.00443114	0.00796011	0.00677264	0.00727558	0.00558056	0.00602166	0.00905757	0.00966478	0.0124404	0.0124297	0.0177298	0.0167088	0.0418438	0.0310126	0.0496114	0.0242134	0.0316951	0.0236492	0.043556	0.0215217	0.0162269	0.0122582	0.0150292	0.0244313	0.00977285	0.0206973	0.0145514	0.0115933	0.0125633	0.00934739	0.00724518	0.009034	0.0114384	0.0135259	0.0135237	0.0167824	0.0142455	0.0160504	0.00977727	0.00828158	0.00374706	0.00487248	0.00535982	0.00200354	0.00505817	0.00296932	0.00378034	0.00471405	0.00276939	0.0021103	0.00203382	0.00688884	0.0109681	0.0140149	0.00937998	0.0139215	0.0152172	0.0143787	0.0183333	0.0286743
va	0.0189945	0.018149	0.010874	0.0106739	0.00981245	0.00499816	0.00453649	0.00375126	0.00353839	0.00271928	0.0068288	0.00639556	0.0043711	0.00352821	0.00278259	0.000376961	0.000629726	0.00121403	0.00217448	0.00132538	0.00124952	0.0016502	0.00349099	0.0035928	0.00480486	0.00538102	0.008343	0.00714218	0.00620018	0.00964613	0.0105879	0.0148628	0.0171981	0.0216985	0.0162331	0.0261667	0.0218061	0.0194511	0.0117155	0.0125248	0.0242133	0.014199	0.0201017	0.0195524	0.0268093	0.0193904	0.0223756	0.020091	0.0246162	0.0184804	0.0142341	0.0142381	0.011	0.0146047	0.0129915	0.0110616	0.00928448	0.00801604	0.0135961	0.00728412	0.013148	0.00699844	0.011316	0.013931	0.00862728	0.0120368	0.00958124	0.018307	0.018532	0.0146318	0.0152021	0.0137002	0.0136122	0.0231537	0.0251187	0.0143126	0.0174654	0.0194578	0.017789	0.0175402	0.0279787
venir	0.0166432	0.0307165	0.0232371	0.0200102	0.0238851	0.00957478	0.00551359	0.00425936	0.00431877	0.00363069	0.00619976	0.0043488	0.00439069	0.00387594	0.00468215	0.00141875	0.001766	0.00229419	0.00358722	0.00184194	0.00256569	0.002535	0.00426299	0.00264865	0.00390927	0.00382401	0.00622418	0.0049039	0.00321198	0.00577454	0.00576485	0.0119448	0.0134254	0.011493	0.00921474	0.0108423	0.00882065	0.00779311	0.00908693	0.0103735	0.0115627	0.00867846	0.0118547	0.0120365	0.0164966	0.0144195	0.0146156	0.0160501	0.0229506	0.0146974	0.0142372	0.0129382	0.00762499	0.0079132	0.00766607	0.00696042	0.00688766	0.00634557	0.00790873	0.00618505	0.00785627	0.00520013	0.0090843	0.0191301	0.0111688	0.010699	0.0135725	0.0245866	0.0189294	0.0281293	0.0225572	0.0166974	0.0241538	0.0373573	0.04289	0.0149882	0.0205675	0.0204346	0.0267819	0.0269466	0.0554258
</S>	0.00926602	0.0112071	0.00731338	0.00609922	0.00889859	0.00531721	0.00358149	0.00202647	0.00296593	0.0032596	0.00399686	0.00299986	0.00400641	0.00232363	0.00371378	0.00202155	0.00172117	0.00189699	0.00510074	0.0049657	0.00463596	0.00647794	0.0110239	0.00875284	0.00735665	0.00957136	0.0113482	0.00918774	0.00907954	0.0156599	0.00941783	0.0119282	0.0130602	0.0179267	0.021506	0.0155604	0.0125774	0.0119348	0.0160717	0.0150902	0.010638	0.00868325	0.00797296	0.00949794	0.0150444	0.0124577	0.0189538	0.0254026	0.0304549	0.0190945	0.0177994	0.0130233	0.0126343	0.012171	0.0168815	0.0140014	0.0152484	0.0125932	0.0171216	0.0138725	0.0117432	0.00765669	0.0102496	0.0204902	0.0103726	0.00943821	0.0124554	0.016509	0.0132039	0.0191969	0.0161591	0.0146499	0.0271659	0.0190762	0.018714	0.0148769	0.017978	0.0193242	0.0206444	0.0216298	0.0440701
