 	a57	a10	a87	a23	a53	a4	a93	a56	a75	a56	a12	a47	a96	a88	a43	a90	a98	a15	a7	a2	a57	a30	a87	a30	a93	a70	a61	a93	a90	a98	a92	a12	a21	a85	a36	a21	a5	a23	a75	a85	a6	a36	a2	a57	a10	a99	a87	</S>
avant	0.0115947	0.0146857	0.0132776	0.0158978	0.01714	0.0350974	0.0258847	0.0950718	0.0767969	0.0686468	0.0779496	0.0605944	0.0474029	0.0324981	0.0420835	0.038323	0.0449967	0.0320402	0.0256766	0.0121845	0.0154077	0.00414209	0.0034388	0.00402504	0.00413956	0.00381648	0.00387843	0.00476333	0.00420856	0.00388574	0.00347194	0.00614225	0.0111945	0.012542	0.00889924	0.00496613	0.00815388	0.00543897	0.00835318	0.00708887	0.0110457	0.00399235	0.00683673	0.00806941	0.00621481	0.0146455	0.0110884	0.0223074
de	0.0138714	0.0106398	0.00557757	0.00879737	0.00576928	0.0134752	0.0175295	0.0208811	0.0331603	0.020315	0.0136398	0.0428493	0.0312237	0.0239305	0.0230071	0.0190591	0.0171216	0.016695	0.0181097	0.0165188	0.0315629	0.0374705	0.0303184	0.0273246	0.0244636	0.0384808	0.0215557	0.0142799	0.0103166	0.0162996	0.0090007	0.00775048	0.00648374	0.00832253	0.0120866	0.0195233	0.0204751	0.017395	0.0218922	0.0227012	0.0244221	0.0281694	0.0237076	0.0414604	0.037964	0.0215521	0.0299374	0.0229121
sortir	0.0244206	0.0162606	0.0157508	0.015113	0.0169987	0.0209144	0.0147688	0.0452539	0.024499	0.0170923	0.0369156	0.0609093	0.0215772	0.0328952	0.043385	0.0339835	0.0359474	0.0292754	0.024765	0.0285945	0.0196635	0.0357342	0.0309152	0.0199601	0.0215421	0.0257168	0.0240271	0.011771	0.0126299	0.00670691	0.00922145	0.00647121	0.00599064	0.00481721	0.00438524	0.0049292	0.00995211	0.0046363	0.00703916	0.0101886	0.00990706	0.0135816	0.0108517	0.0304266	0.0232546	0.021808	0.0368857	0.0176665
cette	0.0618724	0.0580496	0.0349375	0.0241237	0.0141263	0.00760417	0.00665154	0.00373106	0.00569738	0.0129232	0.00936539	0.0151181	0.0163225	0.016845	0.0150547	0.0152186	0.0162032	0.019222	0.0198335	0.0328332	0.0305822	0.0289779	0.0503966	0.0195714	0.0417165	0.0266513	0.0376429	0.0261065	0.0252266	0.0231294	0.0279084	0.0190272	0.0110121	0.011268	0.00841297	0.0153889	0.0112943	0.00593814	0.0128264	0.00956875	0.00886186	0.013288	0.0144732	0.0176432	0.0170809	0.0142962	0.0227805	0.0431969
femme	0.015834	0.00923599	0.00992531	0.00586728	0.0050583	0.00526915	0.00531445	0.00564675	0.00446907	0.0105542	0.0174859	0.0144414	0.0213085	0.0183133	0.0210293	0.0260867	0.0472411	0.0731027	0.0486142	0.0518028	0.0897383	0.0532137	0.0698756	0.0630482	0.0809787	0.0183975	0.0277907	0.0198826	0.0192231	0.0125754	0.0079958	0.00694289	0.00822857	0.00768582	0.00921854	0.0096093	0.0102833	0.00734688	0.00801125	0.00510567	0.00513785	0.00465678	0.00578025	0.0057686	0.0061736	0.00458167	0.010264	0.00588497
a	0.0454809	0.0237411	0.0188237	0.0119487	0.0102306	0.0114124	0.00879207	0.010172	0.0121628	0.021417	0.0309153	0.0239013	0.0236812	0.0182615	0.0281075	0.0199156	0.0336811	0.0379973	0.0393416	0.0588037	0.0689029	0.0485252	0.0374053	0.0402912	0.0529691	0.0197095	0.0277334	0.0116924	0.0115568	0.00731696	0.00399756	0.00381391	0.00627362	0.00863648	0.0103898	0.0135503	0.0148578	0.0105339	0.00974416	0.00868446	0.0102035	0.0109113	0.0100809	0.0113282	0.01499	0.0121512	0.0088631	0.0161
l'	0.0289048	0.0211477	0.0163502	0.0128275	0.0109404	0.0103467	0.0117871	0.0144865	0.013329	0.015611	0.0114847	0.0186188	0.0141833	0.0147058	0.0182505	0.0138384	0.0243616	0.0276093	0.030751	0.0504354	0.0598946	0.0568428	0.0489422	0.0446354	0.0403271	0.02799	0.0317433	0.0142783	0.0221129	0.0134255	0.0114096	0.0112055	0.00815689	0.00924572	0.0134398	0.0146839	0.0163475	0.0143814	0.0140678	0.00950308	0.0134801	0.0160706	0.0148706	0.0163475	0.0186553	0.0154169	0.0149461	0.0276096
habitude	0.0330211	0.0240145	0.0182552	0.0144555	0.0128981	0.00931466	0.0112939	0.0125045	0.0118578	0.0181297	0.0161901	0.0184612	0.0177683	0.0207865	0.0284803	0.0248638	0.0325119	0.0357824	0.0381489	0.0462591	0.0585859	0.0450348	0.0286726	0.036189	0.0224017	0.0204966	0.0181267	0.0117545	0.0185665	0.0131922	0.0145313	0.0137887	0.00980944	0.00815259	0.0118565	0.0099738	0.0140732	0.0146488	0.0131266	0.013045	0.0180565	0.0225439	0.0268955	0.0205099	0.0250305	0.0176719	0.0152835	0.0129842
de	0.0489733	0.0270756	0.0139258	0.0153457	0.00854511	0.0114633	0.0165561	0.0234952	0.0291134	0.0301606	0.0241436	0.0506362	0.0433308	0.0419776	0.0338768	0.0342648	0.0217903	0.0240527	0.0393906	0.0281084	0.0366109	0.01909	0.0134936	0.0161884	0.0109138	0.018286	0.0128607	0.0100202	0.00711916	0.00755403	0.00785703	0.0173354	0.0183081	0.0196559	0.0177985	0.0220592	0.0287905	0.0107321	0.0109101	0.0154106	0.0181208	0.0141815	0.0135872	0.0120338	0.016038	0.0102372	0.0198883	0.00869283
se	0.0391721	0.036125	0.0245718	0.025058	0.0161354	0.0120316	0.0174758	0.0183394	0.0213971	0.020606	0.0123651	0.0178824	0.0174513	0.0181809	0.0240024	0.0238104	0.0188898	0.0213839	0.0325969	0.0416628	0.0406569	0.0354795	0.0209562	0.0260467	0.0132324	0.0262356	0.0178918	0.0270125	0.0238951	0.0172145	0.0296472	0.0491706	0.0303835	0.0180135	0.0123038	0.00940533	0.011773	0.0108047	0.00776053	0.00717143	0.0114734	0.00952016	0.0119688	0.0136157	0.0146282	0.0105458	0.02541	0.00864522
regarder	0.0305229	0.0320012	0.0266922	0.0142571	0.0113333	0.00819494	0.00752555	0.0095408	0.00744031	0.0143445	0.00660485	0.0100618	0.0130591	0.0168815	0.0130828	0.0131121	0.0118314	0.0204427	0.0222752	0.033519	0.0351544	0.0379647	0.0422012	0.0313935	0.0234322	0.0325579	0.0251164	0.0323315	0.0250422	0.0184426	0.0247548	0.0360512	0.026807	0.0217214	0.0136263	0.0118195	0.0158215	0.0123048	0.00834788	0.0113573	0.0175623	0.0250494	0.0306386	0.0210732	0.0309255	0.0231279	0.0215166	0.0211347
dans	0.0386555	0.0235108	0.0242326	0.0190004	0.0169521	0.0241066	0.0260106	0.0369242	0.034744	0.0322423	0.02083	0.0192317	0.021919	0.0276593	0.0258021	0.0169589	0.0179171	0.0182197	0.0178553	0.0140668	0.0221993	0.0142478	0.0138666	0.0145566	0.0164887	0.0126002	0.0185302	0.0145065	0.0195048	0.0214223	0.0194765	0.0211671	0.0157309	0.013914	0.0140337	0.0154794	0.0171467	0.0145054	0.0180013	0.0145523	0.01932	0.0177515	0.0245969	0.0371384	0.0285481	0.0220464	0.0174412	0.0243886
le	0.0388472	0.0269669	0.0191523	0.021225	0.0200735	0.0169384	0.0303051	0.0217007	0.0322712	0.0360737	0.0329433	0.0235287	0.0294522	0.0315599	0.0261162	0.0227921	0.0160312	0.0146703	0.0133095	0.00625847	0.012565	0.00644345	0.00627837	0.00616438	0.00800401	0.00553521	0.0100661	0.00794213	0.00971912	0.0112486	0.0100511	0.0134865	0.0140042	0.0136537	0.0151037	0.019944	0.0238116	0.015688	0.0203322	0.025832	0.0298391	0.026706	0.0316378	0.0452713	0.039683	0.031077	0.0287089	0.0309877
