 	a23	a87	a23	a99	a62	a41	a5	a18	a66	a62	a83	a62	a31	a88	a75	a25	a44	a90	a98	a47	a56	a34	a75	a85	a37	a6	a36	a27	a30	a87	a97	a99	a62	a31	a83	a50	a31	a88	a75	a25	a93	a4	a90	a15	a98	a47	a2	a47	a62	a83	a9	a10	a87	a23	a87	</S>
cette	0.04564	0.0385753	0.0227446	0.0198697	0.024481	0.0131336	0.0107667	0.0119215	0.0110086	0.0217556	0.0214112	0.0351253	0.0283586	0.0187185	0.00773469	0.0156709	0.0124393	0.0192843	0.0211198	0.0179909	0.0173368	0.0190786	0.0204347	0.0149442	0.0207045	0.0221847	0.0254995	0.0297092	0.0258605	0.0345184	0.0342	0.0303904	0.0117505	0.0271391	0.0204403	0.0219449	0.0141487	0.00752402	0.0061394	0.0092707	0.0184071	0.00918094	0.00735609	0.00728826	0.00654376	0.00844767	0.00978754	0.0117555	0.0100603	0.0099136	0.00996507	0.0097859	0.011238	0.0130916	0.0119484	0.0142614
nourriture-ci	0.00080849	0.00106687	0.00213141	0.00110392	0.00186848	0.00384932	0.00602279	0.00556139	0.00277192	0.00808752	0.00921099	0.0245008	0.0145978	0.0202199	0.0226593	0.0188294	0.0358441	0.108846	0.0619127	0.0816903	0.125903	0.169788	0.0955322	0.0480761	0.0329531	0.0130744	0.00880898	0.00544568	0.00556553	0.00531289	0.00450215	0.00334609	0.00553665	0.00295667	0.00168414	0.0030845	0.00174212	0.00165034	0.00141453	0.00186519	0.00450313	0.00305281	0.00142988	0.000974705	0.00168545	0.00223314	0.0012995	0.00103546	0.00112851	0.00106313	0.0011096	0.000848679	0.00111202	0.00187113	0.0024543	0.00437185
ira	0.0124136	0.00495942	0.00431981	0.00394672	0.00641011	0.00606741	0.0077809	0.00639754	0.00605374	0.0057327	0.00984842	0.00723466	0.0074706	0.00846603	0.00686245	0.0150534	0.0212479	0.0224579	0.0365115	0.0325247	0.0348899	0.040909	0.0436379	0.0438494	0.0632904	0.0764054	0.0701294	0.075363	0.0545801	0.0650125	0.0384836	0.0281819	0.0212678	0.0143239	0.00775996	0.00867531	0.00842542	0.00409911	0.00439797	0.00348485	0.00259985	0.00163355	0.00241958	0.00281306	0.00191668	0.00205078	0.00192803	0.00183625	0.00311888	0.00297295	0.00219893	0.005454	0.00619717	0.00719169	0.00751565	0.00922671
chez	0.0394315	0.0262506	0.0184495	0.0228472	0.0335808	0.0342001	0.0340805	0.0134249	0.0123231	0.0122246	0.0105263	0.00722652	0.00564028	0.00643108	0.00877174	0.0162217	0.0146346	0.0145172	0.0329374	0.0135343	0.0205822	0.0233959	0.0161448	0.0297874	0.0371283	0.0480572	0.0457106	0.0479452	0.0470544	0.0356147	0.0298293	0.0301777	0.0225509	0.0291249	0.0245296	0.0117907	0.0088366	0.00482464	0.00563568	0.00407542	0.00825466	0.00499297	0.00585617	0.00751812	0.00991833	0.0055396	0.00488844	0.00518976	0.00875528	0.00653209	0.00686446	0.00717933	0.0070051	0.00598083	0.00286888	0.00260593
ngala	0.0480722	0.019802	0.0207199	0.0131867	0.0129372	0.00885506	0.0121512	0.00953614	0.0140071	0.0165419	0.0103055	0.00898618	0.0123065	0.0130996	0.0246943	0.0315914	0.0217959	0.0179589	0.039222	0.0363456	0.0356367	0.0441924	0.0409703	0.0518581	0.0419872	0.0503721	0.0370196	0.0395494	0.0326149	0.0380442	0.0295391	0.0334006	0.0175035	0.015778	0.0150451	0.00739562	0.0045371	0.00312649	0.00316525	0.00156998	0.0038597	0.00229485	0.00291769	0.00368731	0.0035278	0.00291751	0.00339463	0.0043897	0.00439159	0.00507077	0.00403302	0.00685352	0.00364091	0.00535916	0.00277056	0.00547031
celle-là	0.0197759	0.0134106	0.0145953	0.0149479	0.019806	0.0206159	0.0195049	0.0194079	0.0180283	0.0313626	0.014964	0.00861271	0.0101712	0.0143054	0.0148868	0.0227829	0.015992	0.0163689	0.0253688	0.0242923	0.0268755	0.0364283	0.0279053	0.0312329	0.0294589	0.0352041	0.0384055	0.0363691	0.0350821	0.0499364	0.0461563	0.0581284	0.0382444	0.0346704	0.0320958	0.0164015	0.0145881	0.00676805	0.00620236	0.00397655	0.00515842	0.00183778	0.00189274	0.00227028	0.0021051	0.00189648	0.000884814	0.00195421	0.00149059	0.00185852	0.00188339	0.00244394	0.00302161	0.00330364	0.00172193	0.0029463
ira	0.0206863	0.016748	0.0145257	0.00922601	0.00606408	0.00591515	0.00835046	0.00956929	0.0100056	0.0109326	0.00679507	0.00749876	0.00930741	0.0116709	0.0213168	0.0284065	0.0251027	0.0351013	0.0440595	0.0506537	0.060071	0.0521961	0.0436058	0.0531546	0.0385363	0.0442015	0.0338866	0.0275299	0.0221571	0.0275061	0.0305729	0.0259361	0.0206205	0.0241809	0.0216317	0.0145344	0.01232	0.00992074	0.015705	0.00999706	0.00720073	0.00416063	0.00335441	0.00259775	0.00168526	0.00162399	0.00167449	0.00269386	0.00425433	0.00288939	0.00221597	0.00452789	0.00483081	0.00540949	0.00301721	0.00766372
chez	0.0167253	0.0111473	0.0103881	0.00714553	0.00876637	0.00818291	0.0107014	0.0100268	0.0103546	0.0109217	0.00731608	0.00803616	0.0063493	0.00731985	0.0126545	0.0154803	0.0134742	0.023344	0.0298769	0.0282117	0.0297588	0.0285613	0.0239011	0.0253736	0.0199565	0.0264096	0.0255757	0.0235814	0.0248364	0.0455494	0.0431504	0.0560766	0.0373046	0.0320783	0.0320113	0.0110796	0.0165552	0.0106353	0.0209511	0.0158889	0.014414	0.0167251	0.0103301	0.00893843	0.00639419	0.0068046	0.00529208	0.00995332	0.00962639	0.0122073	0.00847796	0.0117615	0.0229184	0.0242398	0.0105703	0.0156884
apéndi	0.0309877	0.0162996	0.0106751	0.00945313	0.00624483	0.00416717	0.00544386	0.00659916	0.00904394	0.00770054	0.005508	0.00640977	0.00646842	0.0090045	0.0150126	0.0254272	0.0244136	0.0370442	0.0486834	0.0423017	0.0404095	0.0395503	0.0357928	0.0347035	0.0311974	0.0299416	0.0233711	0.0215461	0.0167637	0.0173209	0.0135874	0.0117739	0.00638638	0.00926124	0.0101957	0.00845786	0.00740483	0.0064449	0.00745655	0.00888138	0.00493907	0.00700842	0.00790398	0.00655424	0.00515489	0.00487833	0.0101946	0.0196262	0.0215051	0.0232727	0.015406	0.0347043	0.0272271	0.037843	0.0231175	0.0433291
</S>	0.0271645	0.0135822	0.0089865	0.00894573	0.00632005	0.00400576	0.00570282	0.00602275	0.00879563	0.00744771	0.0052599	0.00424253	0.0058272	0.00828756	0.0157431	0.02415	0.023004	0.027517	0.0399953	0.0303307	0.0309294	0.032729	0.0288636	0.0313799	0.030348	0.035541	0.0281446	0.0248457	0.0198176	0.0217096	0.0181513	0.0202691	0.0140516	0.0170959	0.0191769	0.0151396	0.0183872	0.0130294	0.0119668	0.0112573	0.00839696	0.00622391	0.00608973	0.00639748	0.00493684	0.00565194	0.0106935	0.0139991	0.0196513	0.017571	0.016269	0.0242369	0.0235633	0.0359883	0.0181042	0.0580622
