 	a87	a23	a99	a38	a56	a93	a13	a75	a21	a61	a12	a96	a75	a85	a37	a75	a92	a37	a76	a25	a92	a34	a21	a12	a96	a61	a21	a12	a25	a87	a23	a87	</S>
le	0.131094	0.130819	0.0748374	0.0818763	0.0705508	0.0288535	0.0177181	0.0106922	0.00983639	0.0125399	0.0117119	0.00666212	0.0155961	0.0131531	0.0101788	0.00962028	0.00909315	0.0120968	0.00943207	0.0106653	0.0143515	0.0143202	0.019089	0.0195375	0.0212678	0.0202084	0.0190292	0.0217067	0.0326997	0.0368547	0.0253493	0.0299923	0.0485664
beau-frère	0.00844679	0.0144848	0.0317147	0.020007	0.0266912	0.0166525	0.0423175	0.0583439	0.0690028	0.0708162	0.0704381	0.0724492	0.0634197	0.0489049	0.0744194	0.0915187	0.055144	0.0706443	0.0280952	0.0221202	0.00688295	0.00411565	0.00395626	0.00241779	0.00166321	0.000725117	0.00225185	0.00160136	0.00161679	0.00587075	0.0019905	0.00867947	0.00259726
m'	0.0225097	0.0186543	0.0410629	0.0339666	0.0409201	0.0210322	0.0503601	0.0449712	0.0502295	0.0830253	0.0724101	0.0827761	0.036283	0.0324171	0.0640889	0.0409611	0.0716517	0.0654324	0.0496336	0.020085	0.00564006	0.00477242	0.00280065	0.00241501	0.00200656	0.00121548	0.0026159	0.0036007	0.00436968	0.0100623	0.00476891	0.0106896	0.00257166
a	0.050096	0.0289734	0.0234993	0.0240669	0.0270664	0.0247424	0.0285309	0.031474	0.0519314	0.0600723	0.0386128	0.0603254	0.0312619	0.046337	0.0611724	0.0793817	0.0932726	0.076576	0.0522734	0.0348218	0.0126628	0.00829711	0.00608167	0.00435003	0.00405671	0.0025591	0.00339401	0.00286517	0.00599962	0.00800677	0.00456431	0.00492357	0.00775119
apporté	0.0313625	0.028296	0.0149198	0.0120333	0.0179654	0.0308661	0.00948032	0.00855464	0.00815835	0.00531872	0.0078259	0.0142305	0.0439083	0.0382056	0.0439273	0.0544686	0.105263	0.114672	0.104134	0.0718058	0.0327474	0.0271596	0.0200963	0.0271138	0.0253368	0.0205376	0.0151274	0.0125718	0.0159393	0.0111957	0.0109052	0.00847723	0.00739557
du	0.0549232	0.056987	0.0589519	0.0436965	0.0517675	0.052372	0.0364804	0.0370383	0.0259874	0.013078	0.0258857	0.0108335	0.0136389	0.0089052	0.00721493	0.00770819	0.00601274	0.00871412	0.00661047	0.00693054	0.0100978	0.0154947	0.0177021	0.0269868	0.0334024	0.05219	0.0454032	0.0633012	0.0478535	0.038152	0.0359789	0.0260353	0.0536657
vin	0.044129	0.0263582	0.0258122	0.0242775	0.0272191	0.0328266	0.0256117	0.0224784	0.0281075	0.027726	0.0357412	0.0327557	0.0233076	0.0175411	0.0165602	0.0291452	0.0289222	0.0256204	0.0322927	0.0592492	0.0353443	0.042736	0.0257748	0.0345009	0.0262341	0.0280619	0.0312139	0.0262024	0.0449417	0.0337351	0.0429445	0.0242774	0.0183512
de	0.156586	0.110735	0.088338	0.0509965	0.0845413	0.0475926	0.0332597	0.016656	0.00762619	0.00904138	0.00974655	0.00710379	0.00858858	0.00317747	0.00288383	0.00275739	0.00357499	0.00516893	0.0043876	0.00468865	0.00619955	0.0139973	0.0149956	0.0191572	0.0229716	0.0259839	0.0282188	0.0279923	0.0304896	0.0259639	0.035798	0.0358006	0.0549814
palme	0.0252615	0.0223465	0.0138748	0.00879627	0.0111573	0.0135149	0.0128138	0.00994984	0.0091507	0.0105117	0.0142404	0.0154018	0.0124525	0.00605458	0.00595779	0.0056999	0.00636493	0.00668502	0.0105329	0.0192146	0.0330968	0.0565941	0.0604195	0.0682346	0.0745995	0.0932859	0.0886905	0.0438612	0.0729074	0.0346658	0.0577457	0.0437608	0.0321566
</S>	0.026747	0.0228479	0.0185833	0.0158628	0.0172579	0.0207227	0.0132075	0.0124884	0.0133148	0.0108688	0.022412	0.0177651	0.0226901	0.00927688	0.00833653	0.0121653	0.0134926	0.0127949	0.0120729	0.0216239	0.0255931	0.0553245	0.0440862	0.0473241	0.0474054	0.0609076	0.0601714	0.0328475	0.0503817	0.0554632	0.0671262	0.0572538	0.0715839
