 	a66	a87	a97	a10	a97	a3	a9	a97	a62	a47	a31	a24	a62	a47	a62	a47	a0	a88	a66	a98	a47	a36	a2	a57	a3	a40	a6	a0	a11	a75	a85	a5	a75	a96	a83	a90	a93	a70	a93	a69	a58	a57	a3	a99	a62	a88	a71	a62	a83	a9	a30	a93	a56	a37	a11	a62	a96	a0	a88	a71	a9	a3	a97	a99	a87	</S>
la	0.0225826	0.0195994	0.0183316	0.0170709	0.0138629	0.0104632	0.00719445	0.00824705	0.0148782	0.00822927	0.0129183	0.0209868	0.0234565	0.0127122	0.0150254	0.0119758	0.00959852	0.0131031	0.0293684	0.0302147	0.0405437	0.0340196	0.0419053	0.0339805	0.0337092	0.0179512	0.0121414	0.0137635	0.00367068	0.00416698	0.00653949	0.0124058	0.00892062	0.0143456	0.00882881	0.0082018	0.0104975	0.0141895	0.01134	0.00917978	0.00609011	0.00702164	0.0110628	0.0163794	0.00911733	0.012638	0.0140878	0.011466	0.0171554	0.020808	0.015408	0.0274333	0.0214902	0.024452	0.0159281	0.00942568	0.00790296	0.00598747	0.00587176	0.00528114	0.00785255	0.0104827	0.0107431	0.011722	0.00956701	0.0245055
manière	0.00395776	0.005352	0.00638741	0.00731823	0.00423765	0.00962605	0.00546711	0.00640925	0.016216	0.0168306	0.0123041	0.024627	0.0376478	0.0349075	0.0334846	0.0127417	0.0122497	0.0323942	0.0166844	0.0537385	0.0443294	0.0691222	0.0611861	0.0680583	0.0364253	0.0121356	0.0341308	0.0341741	0.0224347	0.00447028	0.003007	0.00313723	0.0030099	0.00379105	0.0158502	0.0110571	0.0174188	0.0216301	0.0169496	0.0163628	0.0140446	0.0110343	0.0101688	0.0155391	0.00713977	0.0155654	0.00848015	0.00666623	0.00592067	0.00520792	0.00368173	0.0040835	0.00633302	0.00777381	0.00297532	0.00133306	0.00163142	0.00204563	0.00209468	0.00156201	0.00194952	0.00288493	0.00343482	0.00279502	0.0026401	0.00175229
dont	0.0264516	0.0223975	0.0173527	0.0170184	0.00732733	0.0119951	0.00821198	0.0108826	0.0103189	0.0153631	0.0139331	0.00887308	0.016135	0.010929	0.0116449	0.00746286	0.0118399	0.020176	0.0259088	0.0209295	0.048588	0.0183719	0.0196117	0.0186046	0.0222578	0.0232647	0.0310591	0.0145489	0.016168	0.017694	0.0580073	0.0357356	0.0387792	0.0381977	0.0430428	0.0389389	0.0248229	0.0207674	0.0134405	0.0135257	0.00968825	0.0106089	0.0105114	0.00543371	0.00866568	0.00418781	0.00478301	0.00737529	0.00927068	0.00522664	0.011083	0.00671806	0.00482403	0.00657357	0.00379555	0.00255624	0.00466159	0.00302447	0.00374091	0.00305585	0.00325225	0.00371025	0.00326821	0.00392434	0.00416311	0.00531879
ils	0.0174229	0.0100693	0.00789849	0.00783406	0.00460343	0.00638383	0.00591101	0.00334548	0.0031834	0.00255616	0.00161318	0.00231215	0.00263777	0.00205939	0.00190721	0.00139418	0.00203076	0.00232131	0.00387533	0.00485832	0.00558701	0.00269925	0.00293833	0.00321026	0.00362908	0.00641366	0.0053839	0.00307403	0.00445284	0.0237526	0.0300395	0.0345866	0.0231892	0.0543985	0.0349384	0.050289	0.053042	0.0414739	0.0562759	0.0304585	0.0202514	0.0383874	0.0531549	0.055083	0.0939284	0.0228776	0.016583	0.0207298	0.0105835	0.00445348	0.00757114	0.0110024	0.00702495	0.00408285	0.00460435	0.00326092	0.00420394	0.00490707	0.00417943	0.00478624	0.0065583	0.00790585	0.0065565	0.0117548	0.00719095	0.00432776
ont	0.0347288	0.0230374	0.0143652	0.0124538	0.00997978	0.00719083	0.0165626	0.00773346	0.00659745	0.0045479	0.00496646	0.00253578	0.00236308	0.00475151	0.0020771	0.00378856	0.00152879	0.00431542	0.00520765	0.00925369	0.00960803	0.00644083	0.0065706	0.0125656	0.0161765	0.0176557	0.014944	0.0102378	0.0073963	0.0151801	0.00955021	0.00969818	0.0119468	0.0223251	0.0210459	0.024324	0.028555	0.0302538	0.0418215	0.0328037	0.032008	0.0328957	0.0443207	0.0439767	0.0672128	0.0421018	0.0375649	0.0331956	0.0149329	0.0115461	0.00776679	0.0116727	0.0070044	0.00333437	0.00238468	0.00182519	0.00227607	0.00218938	0.0023211	0.0040834	0.00879901	0.00728917	0.00758714	0.0131574	0.0210669	0.0104024
augmenté	0.0137293	0.00560208	0.00565836	0.00310274	0.00490463	0.00623165	0.00670759	0.00583802	0.0111859	0.00694018	0.0092521	0.00680807	0.00250967	0.00536605	0.00300464	0.00408185	0.00369974	0.0030181	0.00506357	0.00988238	0.00982703	0.0179549	0.0119157	0.0226828	0.0268894	0.0325246	0.0231992	0.0160598	0.0187386	0.0273366	0.0472128	0.028625	0.0375107	0.0310185	0.0217328	0.026097	0.0189141	0.0182792	0.0230122	0.0191248	0.0181975	0.0236703	0.0260895	0.0284452	0.0275392	0.0183561	0.0106139	0.00792987	0.0113987	0.0130338	0.0121526	0.0131584	0.00661772	0.00895005	0.0101461	0.00420532	0.0128629	0.0120542	0.00768309	0.0127507	0.0185703	0.0134686	0.019721	0.018625	0.0193628	0.023155
les	0.0198914	0.0132558	0.0115935	0.00568425	0.00843752	0.00812445	0.00804061	0.0075882	0.00922727	0.00806212	0.00749753	0.00612667	0.00369983	0.00389957	0.00365318	0.00284578	0.0035191	0.00400357	0.00393504	0.00462166	0.00477488	0.00746916	0.00786544	0.0118521	0.0154756	0.0189731	0.0202749	0.0201762	0.0127708	0.015213	0.0182911	0.0179797	0.0163823	0.0148507	0.0119925	0.0144431	0.0177353	0.0139977	0.0185483	0.0214142	0.0191413	0.0209484	0.019471	0.0159482	0.0180687	0.013918	0.0152978	0.0159023	0.0219441	0.0207176	0.0171192	0.0168046	0.0123535	0.0201283	0.0271141	0.0152602	0.0202396	0.0236841	0.0219054	0.0187863	0.0372701	0.0229853	0.0271302	0.0269531	0.0339413	0.0327804
salaires	0.0185948	0.0198974	0.0193614	0.0121757	0.0134766	0.0101668	0.00851695	0.0113529	0.010558	0.0125349	0.00884975	0.0143293	0.00993403	0.00722863	0.0107677	0.00356262	0.0130208	0.00802982	0.0127798	0.00800884	0.0106821	0.0149083	0.0166166	0.0140328	0.0120712	0.00938069	0.00819895	0.0102254	0.00771451	0.00845663	0.013231	0.0116056	0.0103964	0.00837919	0.00573382	0.0070471	0.00618059	0.00498697	0.0047021	0.00593291	0.00452442	0.0053516	0.00479236	0.00416546	0.00716873	0.00875619	0.0121817	0.0172856	0.0168406	0.0311075	0.0188554	0.0219942	0.0219534	0.0179011	0.0211321	0.0227559	0.0230498	0.0314238	0.0431839	0.0337094	0.0395313	0.0318378	0.0295773	0.0256599	0.0272442	0.0543865
des	0.0114819	0.00786571	0.00581524	0.00325803	0.00354174	0.00250805	0.00193773	0.00171116	0.00220306	0.0026389	0.0012039	0.00292345	0.00310767	0.00263063	0.00385429	0.00318079	0.00574708	0.00545738	0.00981588	0.00515771	0.00802706	0.0061678	0.0058941	0.00609939	0.00535677	0.00599882	0.00693736	0.00289119	0.00356499	0.00975845	0.0177661	0.0125793	0.0133537	0.0119916	0.00766104	0.0106551	0.00852901	0.00884983	0.00724182	0.00783608	0.00528336	0.00601736	0.00566539	0.00564503	0.0122067	0.0103357	0.0192873	0.0247342	0.0308629	0.0533757	0.0287175	0.0221468	0.0229781	0.0268466	0.0280165	0.0401957	0.0447051	0.0404105	0.0382829	0.0380331	0.0447528	0.0431883	0.0420878	0.0530166	0.0331385	0.0268696
fonctionnaires	0.0118741	0.00807485	0.00541761	0.00645206	0.00531532	0.00780367	0.00740717	0.00922012	0.0139508	0.0132841	0.0157744	0.0105305	0.0110142	0.0130585	0.00792388	0.015109	0.00902934	0.00764857	0.0138759	0.00708202	0.0106575	0.0182745	0.0127712	0.021842	0.0167056	0.0144547	0.0293492	0.0239862	0.0200752	0.0231535	0.0532971	0.0364137	0.0274316	0.0209297	0.0299663	0.0307436	0.0315626	0.0261341	0.0286681	0.0256286	0.0209484	0.015801	0.0169157	0.0207162	0.0300683	0.0134883	0.0082506	0.00910205	0.011079	0.0112445	0.00809929	0.0072983	0.00565193	0.00410431	0.00939182	0.00474718	0.00597835	0.00640863	0.00378051	0.00736918	0.00801863	0.0114666	0.0115383	0.0159631	0.0113275	0.0193513
