 	a10	a11	a10	a87	a23	a10	a11	a32	a0	a43	a75	a0	a94	a76	a41	a32	a25	a40	a76	a73	a35	a24	a62	a88	a25	a87	a10	a87	a79	a20	a30	a84	a40	a30	a14	a2	a57	a38	a14	a73	a35	a73	a84	a53	a90	a56	a24	a41	a24	a75	a25	a94	a58	a57	a38	a11	a21	a41	a27	a25	a10	a87	</S>
a	0.0350409	0.040098	0.0282991	0.0444304	0.00838054	0.0145866	0.00462739	0.0116226	0.003053	0.00488823	0.0041746	0.0052054	0.00501626	0.00963135	0.0160619	0.00673711	0.00484823	0.00525276	0.00307879	0.00716259	0.00337977	0.0015144	0.0024845	0.00121149	0.00212127	0.00256028	0.00119615	0.00280766	0.0047297	0.00727862	0.00813698	0.00734353	0.00465503	0.00311358	0.00174302	0.00597827	0.00682217	0.00944136	0.0135753	0.00738679	0.0037431	0.0130068	0.012478	0.0147905	0.0131084	0.0418898	0.0460675	0.0195305	0.0465117	0.0342827	0.0488637	0.151139	0.0463216	0.0249046	0.0235696	0.0130723	0.0104225	0.010768	0.0115082	0.0114714	0.0139043	0.0118849	0.0170852
l'	0.00247956	0.00395238	0.0086006	0.00856117	0.0092033	0.0115188	0.0168639	0.0126866	0.0118939	0.0169768	0.0140597	0.0145757	0.0112119	0.0060912	0.00691593	0.00639544	0.00899888	0.00429285	0.00735896	0.00789448	0.0065811	0.0105772	0.0132571	0.00688056	0.011993	0.0184803	0.022502	0.0166675	0.0202318	0.0389494	0.03151	0.0331121	0.0452162	0.0322249	0.0174197	0.018534	0.0416005	0.0338654	0.0597373	0.0268369	0.0380509	0.0400713	0.0661792	0.0430114	0.0387456	0.0235718	0.0076444	0.00581375	0.00546042	0.00285256	0.00187213	0.00187329	0.00170568	0.0022828	0.00219101	0.00191008	0.00171621	0.00229167	0.00232221	0.00273984	0.00293561	0.00359724	0.00445203
école	0.016426	0.0125816	0.015137	0.0105172	0.0181681	0.0193625	0.0171938	0.0120485	0.0158708	0.0148956	0.0280074	0.0391978	0.0193708	0.0139661	0.00603028	0.0103352	0.0101687	0.0105808	0.0072996	0.010076	0.00607138	0.0115242	0.0085583	0.0250524	0.0260371	0.0677914	0.0173838	0.0199804	0.0242722	0.0553291	0.0494314	0.0367562	0.0402477	0.0297596	0.0301363	0.0138322	0.0237795	0.0157678	0.0132643	0.0136142	0.0143021	0.00840794	0.0176799	0.00763283	0.00880159	0.00813303	0.00742119	0.00443606	0.003484	0.00209033	0.000755813	0.00107915	0.00141825	0.00210055	0.00360988	0.00801326	0.00669693	0.00604781	0.00772616	0.0106203	0.00978874	0.0150895	0.00884124
il	0.0152887	0.0104958	0.00644177	0.00276476	0.00283475	0.00198082	0.00273591	0.00547558	0.00259057	0.00396324	0.00413525	0.00321861	0.00636492	0.0149951	0.0146822	0.0106501	0.0080866	0.0280925	0.030378	0.0208047	0.0273592	0.0172024	0.0230847	0.0485517	0.0558282	0.0414653	0.0324108	0.081008	0.060278	0.0286755	0.0310977	0.028575	0.0218623	0.0155202	0.0229313	0.0448808	0.0195011	0.0177975	0.0190287	0.0220082	0.0146954	0.00864122	0.0104151	0.00719431	0.00695729	0.0061671	0.00492383	0.00627481	0.00416568	0.00456433	0.00524667	0.00313455	0.00249182	0.00216132	0.00685832	0.00463289	0.00501887	0.00671636	0.00656429	0.00572764	0.00886129	0.00960327	0.00393713
s'	0.0214194	0.0161757	0.0172893	0.00980876	0.00990342	0.01128	0.0204919	0.0180819	0.0139762	0.0210693	0.0274125	0.0174347	0.0188228	0.0216461	0.0146606	0.0108246	0.0150011	0.0126147	0.0219995	0.0169064	0.0183214	0.0278455	0.0218575	0.0404219	0.0267628	0.0157053	0.0223777	0.0418761	0.0307933	0.0126263	0.0156032	0.0292987	0.0188612	0.0202542	0.0204842	0.0346063	0.0188625	0.0144334	0.0144595	0.0135168	0.0178239	0.0116039	0.0117387	0.00929501	0.0101231	0.00846257	0.0102728	0.0122883	0.0107721	0.0126114	0.0118314	0.0107329	0.00782968	0.00522579	0.0049907	0.0030025	0.00413647	0.00630078	0.00660736	0.00597356	0.0070238	0.0101373	0.00542884
est	0.0259468	0.0168888	0.0155915	0.0113639	0.0182434	0.0155194	0.0127203	0.00978898	0.00947618	0.00612617	0.0085877	0.0154124	0.0110308	0.0106561	0.00701891	0.00489822	0.00886263	0.00637209	0.0104673	0.00953047	0.0110446	0.0111428	0.0257704	0.025779	0.0437594	0.0263075	0.0126823	0.0297483	0.0417275	0.0197993	0.0228016	0.022286	0.025354	0.0121316	0.0284748	0.030464	0.0262635	0.0212223	0.0188589	0.0225392	0.0258123	0.017094	0.0179789	0.0194769	0.0184313	0.0151764	0.0153505	0.019173	0.0163498	0.0109869	0.00984615	0.00616817	0.00401108	0.00433975	0.00548892	0.00493484	0.00626807	0.00857249	0.0110051	0.0139556	0.0128594	0.0124796	0.0115821
avéré	0.0183859	0.0203535	0.0223101	0.0206605	0.0235402	0.0215211	0.0158849	0.0179646	0.00701223	0.0108881	0.0143524	0.0122869	0.0100913	0.0141708	0.0126056	0.00964992	0.010332	0.0118397	0.0213468	0.022484	0.0105481	0.00935772	0.0343756	0.0200773	0.056716	0.0408214	0.0153647	0.0378555	0.0592119	0.0303494	0.0287351	0.0140729	0.0160836	0.0101066	0.00861906	0.0183177	0.0180467	0.0103906	0.0107258	0.012623	0.00853677	0.00971687	0.010015	0.0078679	0.00813831	0.0117072	0.0148603	0.0134599	0.013482	0.0156933	0.010598	0.00611275	0.00533224	0.00407094	0.00359286	0.00468935	0.00441949	0.00725249	0.00826282	0.00737988	0.0126139	0.0127079	0.0194104
un	0.0406405	0.0187239	0.0203749	0.0198165	0.014755	0.0124195	0.00450702	0.0103167	0.000979931	0.00157851	0.00183845	0.00315769	0.00379588	0.00666419	0.00663517	0.00543204	0.00579882	0.00566411	0.00813574	0.0120037	0.00675008	0.0102211	0.0542277	0.0244156	0.0257289	0.0198609	0.0202169	0.0447717	0.0723733	0.0316536	0.034346	0.0277659	0.0243508	0.0101259	0.0186384	0.0174408	0.0182613	0.0124122	0.0130604	0.0154142	0.00869449	0.0128058	0.0101772	0.00642254	0.00899968	0.011766	0.00951776	0.00851656	0.0131864	0.00751305	0.00493004	0.00574786	0.00645967	0.00738527	0.00741924	0.00916369	0.00907836	0.016938	0.0235929	0.0159937	0.0237624	0.0226832	0.0439724
bon	0.0290312	0.0168972	0.032045	0.0168817	0.0148208	0.0103148	0.00768064	0.00913681	0.00467325	0.00485032	0.00650061	0.0105081	0.0109156	0.0145133	0.00954764	0.00814074	0.0104153	0.00806774	0.00737976	0.0131725	0.00588938	0.00880178	0.0113464	0.0135419	0.0104379	0.00953767	0.00877116	0.0328603	0.0315288	0.0162075	0.0386598	0.032074	0.0335931	0.0196021	0.0301132	0.023766	0.023902	0.0217245	0.0215083	0.0199417	0.0213344	0.0124049	0.01784	0.0104168	0.0120964	0.0155482	0.0193568	0.0162941	0.0312449	0.0265977	0.0140245	0.0108652	0.00685874	0.00600743	0.00861426	0.0141362	0.0106887	0.0189959	0.0156902	0.0189981	0.0112419	0.0108029	0.0106415
élève	0.0394209	0.0280855	0.0171556	0.0164559	0.00809235	0.00961075	0.00652676	0.00818236	0.00374771	0.0042726	0.00604703	0.00612727	0.00634933	0.00746897	0.00991901	0.00478345	0.0056152	0.00498939	0.0096421	0.00716515	0.00563305	0.00986714	0.019761	0.0167939	0.0152226	0.0126333	0.00916344	0.0153169	0.0245314	0.022422	0.0309979	0.0231028	0.0224568	0.0132661	0.019429	0.0127195	0.0258414	0.0293129	0.0277379	0.0334489	0.0172762	0.01698	0.0196135	0.0148258	0.0170227	0.0150783	0.00861451	0.00569426	0.00798553	0.00611326	0.0052087	0.0131221	0.0153584	0.0296876	0.0228376	0.0141551	0.0163234	0.0207785	0.0261217	0.0245861	0.0249336	0.0231338	0.0352343
