 	a66	a87	a97	a53	a93	a34	a47	a31	a62	a96	a11	a56	a47	a75	a98	a92	a37	a34	a21	a85	a6	a36	a47	a85	a6	a21	a12	a98	a47	a36	a26	a57	a87	a23	a87	</S>
l'	0.0284278	0.0496482	0.0599852	0.0502306	0.0483487	0.0335304	0.0306395	0.046917	0.039805	0.0334446	0.0269179	0.0265913	0.0232632	0.0199966	0.0152504	0.0159346	0.0183866	0.0160204	0.0176142	0.0263076	0.0470707	0.0340188	0.0226609	0.0409498	0.0549138	0.0352809	0.0270717	0.0149041	0.00849472	0.00718866	0.00773257	0.0104198	0.00899581	0.0139829	0.0107359	0.0283191
inventeur	0.0152986	0.0196195	0.013912	0.0193819	0.0170366	0.0129283	0.0351665	0.0285371	0.0281888	0.0896563	0.0585936	0.0829504	0.0796147	0.0568718	0.0704905	0.0288167	0.0289173	0.0626836	0.0435286	0.060005	0.0198094	0.0269801	0.00699102	0.00563589	0.00167463	0.00699258	0.00935903	0.00748541	0.00547199	0.00544455	0.00820093	0.010949	0.00975346	0.0111359	0.00716489	0.00475352
des	0.0247149	0.043199	0.0375241	0.0182412	0.0227211	0.0184298	0.0254164	0.0131919	0.00914753	0.0408181	0.0702384	0.113657	0.173915	0.0789018	0.0856581	0.049373	0.0507055	0.0354774	0.031916	0.0245842	0.00802432	0.00610292	0.00223915	0.00186051	0.00120593	0.0010688	0.000880905	0.00134734	0.000967909	0.000485693	0.00117226	0.00146351	0.000683798	0.00149697	0.00205674	0.00111282
armes	0.0173947	0.0175985	0.0206949	0.0168486	0.0125862	0.00662524	0.007243	0.00900573	0.00873922	0.0264971	0.0456756	0.0456745	0.0449833	0.0697862	0.083075	0.0536895	0.0852175	0.0540775	0.0512733	0.0302663	0.0218355	0.0190607	0.0166013	0.0108289	0.00864646	0.0107174	0.0111459	0.00974837	0.0175779	0.0353069	0.0308418	0.0213201	0.0270783	0.0182568	0.0224476	0.0116343
de	0.028843	0.0238864	0.0356392	0.0213036	0.0620722	0.0300763	0.0130695	0.0164866	0.0181495	0.012291	0.0152991	0.0129375	0.0178437	0.0263268	0.0152383	0.0192137	0.0251933	0.02023	0.0180286	0.0166454	0.0180209	0.013054	0.0198431	0.0211554	0.0325391	0.0342501	0.0560293	0.0472242	0.0363538	0.0682075	0.047992	0.0278478	0.035531	0.0231679	0.0293316	0.0406787
guerre	0.0176759	0.0134469	0.010352	0.00730727	0.0297458	0.0225505	0.0261733	0.0374336	0.0350714	0.0448619	0.0509055	0.0527292	0.0476824	0.0690555	0.0472969	0.0362466	0.0299626	0.0195464	0.0165172	0.019427	0.0197485	0.00986443	0.00900896	0.0140251	0.0107997	0.0248074	0.0232581	0.0451983	0.0299645	0.0457166	0.0259228	0.024181	0.041256	0.015543	0.015178	0.0115399
était	0.0228773	0.0219634	0.0191763	0.0312257	0.0348891	0.0298611	0.0173812	0.0204021	0.0136271	0.0106889	0.0106793	0.0095362	0.0114041	0.0128329	0.00964323	0.0134625	0.0115748	0.0118088	0.0106346	0.012425	0.0181878	0.016052	0.0278313	0.0282795	0.0395512	0.0354658	0.0575418	0.046782	0.0647095	0.0613746	0.0523232	0.0469279	0.0587234	0.0391667	0.0308833	0.0401063
un	0.0131449	0.00974087	0.0115707	0.0110569	0.00877567	0.00767131	0.00494127	0.00756778	0.00657751	0.00942197	0.0152834	0.0197024	0.0146632	0.0404666	0.037078	0.0461702	0.0391665	0.031017	0.0293348	0.0261431	0.0263363	0.0231022	0.0279532	0.0410371	0.0262239	0.0724032	0.0338897	0.0744551	0.0299238	0.0629048	0.0317273	0.0349002	0.0312046	0.0307042	0.0319827	0.0317576
blanc	0.0328517	0.0430778	0.045443	0.0498838	0.0182957	0.0103018	0.00624248	0.0061057	0.00722688	0.0051232	0.00746109	0.00872064	0.0113351	0.0198042	0.0143872	0.0244975	0.0262528	0.0290382	0.0241046	0.0202215	0.0229942	0.0167759	0.0136221	0.0223293	0.0192214	0.0529062	0.0286677	0.0846839	0.0317989	0.0785234	0.0466275	0.052012	0.0322248	0.0266006	0.0340939	0.0265435
</S>	0.0243806	0.0186734	0.0259713	0.0342704	0.0350644	0.0123309	0.0106289	0.00933222	0.00776722	0.00605038	0.00587966	0.00556843	0.00544462	0.00684963	0.00393537	0.00604082	0.00825652	0.00866565	0.00720758	0.0115166	0.0137087	0.0113719	0.0190158	0.031961	0.0520333	0.0806539	0.0957283	0.0691783	0.0470068	0.0473233	0.0541562	0.0451231	0.0247238	0.0322963	0.05888	0.0630049
