 	a66	a87	a23	a79	a15	a92	a5	a85	a6	a0	a75	a92	a37	a61	a47	a21	a61	a96	a90	a15	a98	a15	a7	a84	a57	a87	a23	a99	a62	a12	a18	a21	a5	a43	a75	a92	a75	a25	a79	a93	a4	a57	a11	a56	a62	a31	a88	a71	a66	a13	a9	a10	a87	a23	a87	</S>
le	0.0240942	0.0289442	0.0243799	0.0371755	0.0315419	0.0291601	0.0334189	0.0190095	0.0113624	0.0292614	0.0194085	0.0350793	0.0383242	0.0392233	0.0104996	0.0143548	0.007327	0.00605407	0.00808064	0.00822855	0.0137386	0.0187035	0.0101747	0.0145947	0.0192024	0.0254159	0.0127091	0.0141322	0.0119981	0.00945297	0.00897994	0.00879593	0.0111881	0.0141708	0.0132561	0.0184833	0.0233468	0.0162646	0.0215768	0.0215688	0.0135777	0.0146482	0.0191169	0.0202065	0.007539	0.00985544	0.0141343	0.0115836	0.0134291	0.01442	0.0165813	0.0170369	0.0160292	0.0174016	0.0133528	0.0184062
sorcier	0.00742734	0.0231283	0.0207746	0.0418121	0.0817501	0.076592	0.033829	0.0482404	0.0562278	0.0281397	0.0185455	0.00754603	0.011492	0.0164298	0.0376685	0.0216731	0.0323056	0.0351881	0.0212224	0.0372602	0.00895571	0.00621195	0.00849217	0.00685286	0.00372999	0.00371644	0.0049497	0.00838086	0.013576	0.024859	0.00594663	0.00496774	0.00814274	0.0246787	0.0154273	0.0181866	0.015907	0.03694	0.0321634	0.0140157	0.0171177	0.00948811	0.007312	0.00799257	0.00640109	0.00351714	0.00144956	0.00349219	0.00283319	0.00323361	0.00170716	0.00209389	0.0021359	0.00257589	0.00321606	0.00208093
connait	0.0217025	0.0280014	0.0306647	0.0385131	0.0125908	0.0176538	0.041283	0.0357422	0.0320882	0.0196111	0.011984	0.0442302	0.0243327	0.0399252	0.0281325	0.0376111	0.0159529	0.0398509	0.0216709	0.0277188	0.0240499	0.0250661	0.0235958	0.0244352	0.0239436	0.0154125	0.0174253	0.0246283	0.0210001	0.0233948	0.0197254	0.02115	0.0204697	0.0283369	0.0190712	0.0149233	0.0127809	0.00832553	0.00477406	0.00555048	0.00320719	0.00432389	0.00284181	0.00217426	0.00124773	0.00106505	0.000557829	0.00112738	0.00165349	0.00277093	0.00283455	0.003497	0.00395905	0.00748175	0.00734157	0.00659759
la	0.0262645	0.0184055	0.0153991	0.0152341	0.00431309	0.00237691	0.00916401	0.017006	0.00652667	0.0119204	0.00852555	0.0073018	0.0112656	0.0103554	0.0133649	0.0197567	0.0126501	0.0254508	0.0362079	0.0265075	0.0230333	0.0268145	0.0295331	0.0173287	0.0174981	0.012701	0.0158385	0.0168242	0.0196147	0.0218249	0.0177888	0.0218812	0.0218336	0.0211046	0.0265719	0.0350725	0.0394728	0.0475125	0.0333375	0.0294312	0.0338424	0.0290527	0.0259402	0.0112511	0.00964499	0.00434792	0.00427486	0.00606201	0.00477062	0.00787547	0.00974435	0.00883088	0.0128618	0.0109989	0.0152455	0.0122422
maison	0.00665457	0.00768208	0.00883944	0.0101935	0.0044172	0.0054019	0.00665124	0.00992448	0.0068731	0.0184796	0.0116312	0.00790197	0.00874881	0.00900765	0.0183733	0.0123292	0.0155221	0.0133907	0.036813	0.0300255	0.0314515	0.0352555	0.0409383	0.0280362	0.0185227	0.0170855	0.0225676	0.0129065	0.0235309	0.0302305	0.0137824	0.0131345	0.0132584	0.0156539	0.0125489	0.00833176	0.00796255	0.0128682	0.0121309	0.011463	0.0103986	0.0136305	0.0173312	0.00785393	0.015743	0.0073785	0.00613212	0.0086356	0.0165062	0.0272607	0.0339977	0.0390869	0.0344098	0.0425244	0.0506194	0.0379714
du	0.00365089	0.00227971	0.00173424	0.00258048	0.00255167	0.00256382	0.00394007	0.00719398	0.00843764	0.0124558	0.0124234	0.0139602	0.0131487	0.0165133	0.0523317	0.0440108	0.0394934	0.031971	0.0244198	0.0650785	0.0682745	0.0618538	0.0715778	0.051392	0.0341105	0.0396649	0.0364808	0.0235505	0.0339597	0.0252663	0.0207197	0.0141734	0.0139323	0.0102829	0.011351	0.0100336	0.0094858	0.00693061	0.00506226	0.00683348	0.00583796	0.00608199	0.00576016	0.004009	0.0049214	0.00187679	0.00142877	0.0017999	0.00271808	0.0032516	0.00391633	0.00570179	0.00460207	0.00751347	0.00639598	0.01851
fou	0.00296332	0.00213734	0.00242272	0.00284635	0.00184396	0.00353475	0.00622957	0.00552517	0.0088828	0.00770813	0.00602635	0.0161572	0.00854682	0.0205708	0.0426219	0.0406922	0.0300995	0.0331918	0.0175963	0.0234668	0.0549156	0.0534673	0.0593061	0.0426574	0.0397615	0.0535063	0.0561669	0.0458824	0.0624492	0.0495151	0.0401294	0.017015	0.0130468	0.0133666	0.00735629	0.00816166	0.0126829	0.00955164	0.00699426	0.0085396	0.00538533	0.00571261	0.00467218	0.00232082	0.00166061	0.00130736	0.00121285	0.000922634	0.00276687	0.00231442	0.00341717	0.00525649	0.00590277	0.00665511	0.00736897	0.00558816
de	0.00664964	0.00203033	0.00269138	0.00242869	0.00299519	0.00135315	0.00285729	0.00348798	0.00331222	0.00404576	0.00395953	0.0124976	0.0054697	0.0122229	0.0146129	0.0103477	0.0100503	0.00697764	0.00722997	0.00998464	0.0325277	0.0361782	0.0467542	0.0535039	0.0512526	0.0424707	0.0433001	0.0433694	0.0534093	0.0381337	0.0336321	0.0145639	0.00862146	0.010469	0.00877789	0.00803944	0.0122091	0.00888027	0.00987987	0.014566	0.0102851	0.0232502	0.0199287	0.0174715	0.0131326	0.00482422	0.00319376	0.00376883	0.0200502	0.0141962	0.0161102	0.023295	0.0250172	0.0435001	0.0333947	0.0328382
la	0.00393653	0.00375373	0.00342245	0.00423778	0.0024149	0.0013447	0.00299603	0.00349605	0.00287722	0.00890388	0.00649974	0.00669954	0.0067472	0.00787291	0.0101467	0.0109959	0.0107994	0.00889046	0.0128978	0.00868172	0.0196299	0.0200917	0.0202209	0.0150055	0.0114654	0.0163452	0.0209127	0.0153022	0.0146167	0.0115597	0.0143272	0.0121852	0.013703	0.0091452	0.0104067	0.00847445	0.00631612	0.00465559	0.00580882	0.0065218	0.0052267	0.00651589	0.00907108	0.0138639	0.0185219	0.0104645	0.0127084	0.0142036	0.0415156	0.0528808	0.0844538	0.0839814	0.0815126	0.0574551	0.061782	0.0615339
même	0.00578718	0.00579757	0.00659175	0.00906913	0.00744584	0.00987647	0.0152633	0.0171367	0.0165758	0.0233969	0.0219599	0.0210182	0.0231442	0.0207855	0.0251723	0.0230209	0.0225296	0.01534	0.0203104	0.0175628	0.0298567	0.0308957	0.0339646	0.0270863	0.0207437	0.0294212	0.0286784	0.0217295	0.0242134	0.0204815	0.0186237	0.0142574	0.0173722	0.0135046	0.0137789	0.0125802	0.0124825	0.0102795	0.00945351	0.0108261	0.0150771	0.0133079	0.0103169	0.0087155	0.0120916	0.00656524	0.00646868	0.00587953	0.0189783	0.0141212	0.0187968	0.0223893	0.0306203	0.0260498	0.0307462	0.0318617
