 	a23	a87	a62	a12	a83	a9	a53	a93	a90	a25	a7	a38	a25	a94	a11	a31	a83	a9	a30	a93	a75	a18	a75	a96	a90	a57	a53	a93	a43	a11	a4	a11	a31	a21	a66	a90	a70	a44	a57	a9	a87	a23	a87	</S>
si	0.0842355	0.0542771	0.0501163	0.0592396	0.0702931	0.0673127	0.0872334	0.0758481	0.057485	0.0356239	0.0190176	0.0209336	0.0131786	0.0101399	0.00894065	0.00763396	0.00641084	0.00851794	0.00701769	0.0077725	0.00761254	0.0134667	0.0112879	0.012298	0.0173374	0.0144601	0.0188602	0.0145471	0.00729017	0.00446248	0.0035113	0.00230972	0.00204406	0.00262199	0.00245354	0.00786577	0.0117557	0.0127247	0.00945735	0.0115228	0.0112798	0.0142061	0.0116455	0.0237514
un	0.010891	0.00854393	0.0180982	0.0149763	0.0149823	0.0265414	0.0187971	0.0215403	0.0575139	0.0686045	0.075815	0.0579583	0.0386949	0.0958911	0.0426996	0.0235955	0.011943	0.0122596	0.0113187	0.0165074	0.0130839	0.0112889	0.0146817	0.0124117	0.0137676	0.0157309	0.00930381	0.0082696	0.00703926	0.0051474	0.00935448	0.00949458	0.00930339	0.0183842	0.0248797	0.0226786	0.025149	0.0215281	0.0171068	0.0138311	0.0147488	0.0148045	0.0194951	0.0213448
pneu	0.0404422	0.0145072	0.0194566	0.0176091	0.0107133	0.0151349	0.0159302	0.0162476	0.0302087	0.0399232	0.0318688	0.0271399	0.0510148	0.0537491	0.050252	0.0550834	0.0281672	0.0450973	0.0406137	0.0459483	0.0796339	0.028081	0.0575142	0.0246244	0.0164191	0.01356	0.00563672	0.00418028	0.00228767	0.0018451	0.00251369	0.00218578	0.00264064	0.00268245	0.00281658	0.0103545	0.0165526	0.0134069	0.0113576	0.0092001	0.00749278	0.00682706	0.00740762	0.0216718
reçoit	0.0157332	0.00787485	0.00298981	0.00381602	0.00734139	0.00758927	0.00935655	0.005588	0.00693992	0.0116007	0.0307451	0.0114137	0.0215905	0.0284774	0.0228796	0.0212827	0.0280081	0.0362942	0.0318399	0.0220898	0.0481187	0.025777	0.072885	0.0514095	0.0476354	0.0563374	0.0367183	0.0256349	0.0334002	0.0538173	0.0221379	0.0144096	0.019643	0.0218553	0.014274	0.0183937	0.0190186	0.0158789	0.00966291	0.00912314	0.0101863	0.0103952	0.0138623	0.0159747
trop	0.027058	0.0121041	0.00394789	0.00615415	0.00742984	0.00655916	0.0108057	0.00537675	0.00771538	0.00940827	0.0154663	0.0207815	0.0291702	0.0234899	0.0292446	0.0265103	0.0339554	0.0381012	0.0389892	0.0240605	0.0305462	0.0293422	0.0610258	0.0665223	0.0844998	0.0623831	0.0657038	0.0443387	0.0318267	0.0263491	0.0148159	0.0123094	0.0131556	0.0109614	0.0136513	0.00769285	0.00484287	0.00671812	0.00277499	0.00258624	0.00355477	0.00429848	0.0104069	0.0133653
d'	0.0518156	0.020196	0.0106687	0.00964075	0.0082026	0.00861241	0.00904379	0.00527787	0.00744019	0.0042355	0.00851632	0.013743	0.0110782	0.0149569	0.0166276	0.0164832	0.0275324	0.0362877	0.0434913	0.0239048	0.0367059	0.0201037	0.0426004	0.033204	0.0348436	0.0336633	0.0228038	0.0215357	0.019061	0.0184688	0.0226695	0.0267124	0.0255833	0.0267806	0.0282395	0.036567	0.0254444	0.0438256	0.0165125	0.0224314	0.0215491	0.0183367	0.0160773	0.0385256
air	0.0448005	0.0166499	0.00784169	0.00781543	0.00901012	0.0090253	0.0100111	0.00580126	0.00914457	0.0087089	0.0130989	0.0140668	0.0178406	0.0187905	0.026916	0.02363	0.0363642	0.0460059	0.0488562	0.038765	0.0434409	0.0433017	0.0598677	0.0426545	0.0310028	0.0285206	0.0174956	0.0151279	0.010144	0.0116658	0.0084848	0.00815069	0.00992156	0.0136616	0.012423	0.0266208	0.0261513	0.0355558	0.0165575	0.020897	0.018306	0.0223819	0.0215049	0.043019
il	0.0641917	0.0199084	0.0122324	0.010561	0.0110559	0.0118248	0.012777	0.00730169	0.0138982	0.014335	0.0200119	0.0263753	0.0228459	0.0237256	0.0196335	0.0169825	0.0248672	0.028635	0.0353494	0.0280972	0.0215163	0.0442515	0.034987	0.0296911	0.0250586	0.0292132	0.0174015	0.0241306	0.0232211	0.0323756	0.0127526	0.0117883	0.0105197	0.0129291	0.0139795	0.0229207	0.0245852	0.0281133	0.0176372	0.0203003	0.0198977	0.0217586	0.0241331	0.0522283
explose	0.0667523	0.0223745	0.0138335	0.012273	0.0131284	0.0133549	0.0127742	0.00670217	0.0140569	0.0130518	0.0193994	0.0221006	0.0206618	0.0147417	0.0140298	0.0121907	0.0198745	0.0239955	0.0337679	0.0234479	0.0174324	0.0414151	0.0308078	0.0264726	0.0227459	0.0258914	0.018497	0.0273071	0.0258839	0.0349403	0.0157518	0.0167151	0.0142757	0.0139314	0.01522	0.0207654	0.0226611	0.0316266	0.0185853	0.024091	0.0226832	0.025459	0.0270116	0.0673179
</S>	0.0931837	0.0326087	0.0166535	0.0176664	0.0194891	0.0188683	0.0160162	0.00856872	0.0159738	0.0142856	0.0196487	0.021183	0.0152882	0.00958519	0.00819156	0.00755285	0.0105657	0.0118854	0.0180954	0.0126663	0.0100469	0.0240003	0.01921	0.0228573	0.0233695	0.0238706	0.0151718	0.0161878	0.017184	0.0178357	0.0114636	0.0132265	0.0130949	0.0130157	0.0135415	0.0166771	0.0152287	0.0305894	0.0161035	0.0297983	0.0337114	0.0467012	0.0447425	0.124396
