 	a15	a66	a87	a40	a36	a7	a75	a5	a98	a47	a36	a2	a26	a38	a62	a31	a62	a96	a66	a54	a36	a2	a57	a87	a23	a83	a71	a50	a62	a47	a88	a0	a50	a62	a56	a93	a90	a98	a47	a36	a2	a26	a70	a93	a96	a62	a88	a71	a9	a87	a23	a99	a97	</S>
on	0.0370722	0.0393936	0.0399345	0.0369342	0.0309484	0.0396356	0.031629	0.0311598	0.0461611	0.0289121	0.0202402	0.0116805	0.0127811	0.020639	0.0292846	0.0298068	0.0318974	0.0424036	0.0401209	0.0365867	0.0333873	0.0210348	0.0205273	0.0103049	0.00656719	0.011211	0.0099381	0.013578	0.0163798	0.0120332	0.0137086	0.0094536	0.0133674	0.0150125	0.00782617	0.0124636	0.015225	0.0103695	0.0125353	0.012493	0.0211688	0.0160653	0.011241	0.00632712	0.00372924	0.00209152	0.00234363	0.0018374	0.00176119	0.00210195	0.00265345	0.00264548	0.00338665	0.00800957
leur	0.0238446	0.0113987	0.0202624	0.0164772	0.0237161	0.0379328	0.0899457	0.0768863	0.0625084	0.0455756	0.0295655	0.0164955	0.0132086	0.022265	0.0124521	0.00925646	0.00776779	0.00840037	0.00758367	0.00827987	0.0123762	0.00877399	0.0137911	0.0112859	0.0145699	0.0153905	0.0137679	0.0147795	0.0182948	0.0129104	0.0171025	0.0165082	0.0184297	0.00983638	0.0130579	0.0058577	0.00502185	0.00542529	0.00492262	0.00666302	0.0049279	0.00990186	0.0109158	0.00903361	0.00935133	0.0100085	0.0135964	0.0135829	0.0162808	0.0202585	0.0178726	0.0212586	0.0232796	0.0371432
a	0.0739794	0.0270694	0.0384899	0.0407892	0.0375057	0.0309274	0.0374173	0.0304443	0.0231644	0.0303013	0.040336	0.0453772	0.0179078	0.0290477	0.0319731	0.0229578	0.0175591	0.0155854	0.0171966	0.0153073	0.0208851	0.0225427	0.0183353	0.0209661	0.0173566	0.00898643	0.00898543	0.00649491	0.00767928	0.00860604	0.00606101	0.00777157	0.00606634	0.0102273	0.0158217	0.00354193	0.00287541	0.00330321	0.00551502	0.0076882	0.00500352	0.0109992	0.00807572	0.00452062	0.00507599	0.00659284	0.00933495	0.00964176	0.0156819	0.0151211	0.0163835	0.0138903	0.0189625	0.0276702
donné	0.0354242	0.0211207	0.0152487	0.0168555	0.0203541	0.0169705	0.0153377	0.0108869	0.00993537	0.0244498	0.0423207	0.0313103	0.0255364	0.0270345	0.0178517	0.0175156	0.0117827	0.0138015	0.0198859	0.0201366	0.0210545	0.0156996	0.018221	0.0140939	0.0151242	0.0148455	0.0171986	0.0166019	0.0159044	0.0262772	0.0172713	0.0202076	0.0155474	0.0207964	0.0239732	0.020689	0.0254434	0.0366251	0.0131882	0.0195752	0.0176236	0.0158727	0.0136356	0.0209174	0.0162365	0.0111847	0.00819427	0.0106586	0.0144214	0.0109681	0.0160427	0.0130833	0.0105009	0.0185636
des	0.0258554	0.0101308	0.0063548	0.00564332	0.00484779	0.00475027	0.00443023	0.00319123	0.00576763	0.0102793	0.0216102	0.0178381	0.022276	0.0219884	0.0174465	0.0221381	0.020844	0.0218508	0.0234858	0.0341097	0.0248068	0.0215323	0.0246654	0.0203541	0.0220324	0.0175636	0.0187744	0.0165952	0.0176284	0.0219463	0.0136899	0.026061	0.0356028	0.0359511	0.0262091	0.0437628	0.0400082	0.0203877	0.0198189	0.0248882	0.0155406	0.0159856	0.0145494	0.0089073	0.0115611	0.012149	0.0119513	0.0137546	0.00844841	0.0145325	0.0188216	0.0148502	0.0215125	0.0203188
parts	0.0252939	0.0169495	0.0105884	0.01313	0.0125046	0.00873139	0.00552582	0.00481942	0.0102518	0.0138716	0.0283465	0.0240212	0.0406741	0.0794148	0.0515169	0.0280318	0.0351303	0.0434533	0.0505012	0.0589693	0.0425826	0.0322684	0.0298669	0.0210304	0.0273751	0.0178669	0.0156588	0.0256305	0.0244848	0.0248139	0.0163804	0.026914	0.0157027	0.0237659	0.0110993	0.00992115	0.00694982	0.00327758	0.00300981	0.00391503	0.00467907	0.00417643	0.00356241	0.00402558	0.00290704	0.00184913	0.00319323	0.00295862	0.00239025	0.00399659	0.00637583	0.00446276	0.0050426	0.00614047
égales	0.0575762	0.0404338	0.0194025	0.0116501	0.00705479	0.00486583	0.00331614	0.00213001	0.00387727	0.00495689	0.00614379	0.00557051	0.00732519	0.0116369	0.0165621	0.0188134	0.0190589	0.022295	0.0238459	0.0283172	0.0257822	0.018306	0.0261134	0.0266509	0.0352138	0.0308294	0.0297078	0.0381967	0.0374782	0.0484789	0.0334617	0.0433592	0.0229888	0.0282096	0.0190349	0.0190298	0.0181054	0.0117331	0.0110569	0.0133295	0.0203064	0.0125694	0.010291	0.00768615	0.00743865	0.00891153	0.0077872	0.0104628	0.00870767	0.0121782	0.0143187	0.0125738	0.00872302	0.00614713
la	0.0552328	0.0281386	0.0264625	0.0213456	0.0137124	0.00862495	0.00439524	0.00975223	0.0138702	0.0115736	0.0102082	0.00882491	0.00935216	0.0125307	0.0100164	0.0173547	0.0194553	0.0215825	0.0196263	0.0237626	0.0226661	0.0243484	0.0327142	0.0382178	0.0352079	0.0205515	0.0225955	0.0313219	0.0362973	0.0319759	0.0254298	0.0189356	0.0097726	0.0195668	0.0189865	0.0107612	0.0111509	0.0112132	0.0122646	0.0129875	0.0143767	0.0165447	0.0165648	0.0105907	0.0149472	0.0156605	0.0152736	0.017033	0.0114226	0.0171574	0.0136852	0.014082	0.017997	0.0118776
manière	0.0293675	0.0110929	0.00774624	0.00324044	0.00282771	0.0017055	0.0015662	0.00155578	0.00236303	0.00500726	0.00639838	0.00591669	0.0107308	0.0121174	0.0118448	0.0163876	0.0155279	0.0201257	0.0178001	0.0182331	0.0198795	0.00817568	0.0149176	0.012975	0.0147668	0.00873549	0.00882635	0.0149195	0.0138723	0.0131071	0.0118438	0.01577	0.0182702	0.0117965	0.0197707	0.0140356	0.00993505	0.0200501	0.0231058	0.0209088	0.0301193	0.0541344	0.0568464	0.0457423	0.036083	0.0318076	0.0375566	0.0326651	0.0328761	0.0380682	0.0297354	0.0294113	0.0244439	0.0232935
dont	0.0742797	0.0219174	0.00970716	0.0119104	0.00857837	0.00415736	0.00284643	0.00440262	0.00312445	0.00230017	0.00198046	0.00152109	0.00108893	0.00267361	0.00557496	0.0144563	0.0223429	0.0386434	0.0296211	0.0713496	0.0301728	0.043708	0.041021	0.0452337	0.0234336	0.022492	0.025294	0.0195093	0.0239024	0.0254553	0.0117957	0.0102869	0.00715022	0.0263807	0.0164673	0.0177158	0.0213977	0.0119185	0.0227926	0.018688	0.0259153	0.0197506	0.0122188	0.0150761	0.0138317	0.0115572	0.0136414	0.0168161	0.00736131	0.0179788	0.0116395	0.0104787	0.0196299	0.0068132
