 	a66	a87	a23	a83	a54	a47	a37	a47	a37	a47	a37	a75	a92	a44	a34	a47	a88	a90	a92	a25	a69	a53	a54	a7	a84	a57	a87	a23	a87	</S>
maman	0.016127	0.0176861	0.015494	0.0209639	0.0564559	0.207645	0.108645	0.0677331	0.0360585	0.0252453	0.034032	0.0286455	0.022004	0.0150961	0.0367733	0.0154064	0.0292373	0.0300542	0.0215195	0.0114375	0.00937735	0.00442418	0.0180076	0.0278646	0.0414091	0.018547	0.0132349	0.015926	0.0113139	0.0236354
goûte	0.0142594	0.00839341	0.00780171	0.00699236	0.0074394	0.0086918	0.00733933	0.00802847	0.00961996	0.00854934	0.0116572	0.00729568	0.00679795	0.00946495	0.0110413	0.0225354	0.0152698	0.0123741	0.0207808	0.0735787	0.0589872	0.0765527	0.0829624	0.0641387	0.0474957	0.0788233	0.111464	0.0685893	0.067969	0.0651062
la	0.0299014	0.0160347	0.00861983	0.0139765	0.0129965	0.0149074	0.0127674	0.0138507	0.0100117	0.00669309	0.0126679	0.00791862	0.00998385	0.0189844	0.0090046	0.0215226	0.0158782	0.0217034	0.0192226	0.0287996	0.0204413	0.020812	0.0289239	0.0383203	0.0523842	0.0739218	0.0979897	0.0915384	0.113629	0.156595
nourriture	0.069508	0.0933644	0.096749	0.093709	0.0468859	0.0204486	0.0398634	0.0301932	0.0608566	0.0545185	0.0517755	0.0493615	0.0378659	0.0394656	0.0360079	0.0417136	0.0229729	0.0120818	0.00860288	0.00498217	0.00568847	0.0112299	0.0101108	0.00861843	0.0209419	0.0112513	0.00539741	0.00484344	0.00639617	0.00459583
pour	0.0883756	0.0720281	0.0639973	0.0564704	0.0682408	0.0392159	0.0411453	0.037197	0.0466706	0.0138216	0.0182754	0.0137878	0.0148436	0.0126228	0.00979719	0.0116843	0.0147116	0.0179019	0.00849948	0.0260943	0.011747	0.00885588	0.0224537	0.0300284	0.027463	0.0383609	0.0386121	0.0416716	0.0491572	0.0562693
voir	0.0473061	0.0310163	0.0345963	0.0403732	0.0279628	0.0173859	0.018419	0.0286027	0.0309677	0.0250017	0.0262351	0.0114967	0.0140752	0.0197195	0.0209796	0.0419951	0.035989	0.0621072	0.0611809	0.0480269	0.0464275	0.0263753	0.0387098	0.0274804	0.0439139	0.0279574	0.0369346	0.0294698	0.0390791	0.0402153
si	0.0478012	0.0278933	0.0173425	0.0172373	0.0159345	0.00927051	0.00829061	0.0136826	0.00876812	0.00361795	0.0149104	0.0122301	0.016982	0.0214503	0.0318987	0.0368652	0.0433626	0.0658464	0.0572913	0.0785067	0.0628692	0.0463647	0.0715071	0.0415261	0.0606239	0.0337043	0.0344963	0.0273366	0.0354302	0.0369595
elle	0.0223004	0.0116581	0.00730286	0.00640037	0.00658965	0.0056016	0.00390885	0.00709835	0.00533262	0.00380125	0.0156094	0.00974402	0.0119456	0.0127158	0.0159706	0.0161715	0.0247815	0.050711	0.0311051	0.0658157	0.0508887	0.0398906	0.087821	0.0718449	0.0891554	0.0650503	0.0649336	0.0511757	0.0525013	0.0921744
est	0.0226021	0.0151088	0.0160051	0.0120025	0.012467	0.00949849	0.0037021	0.00702571	0.00379655	0.00557388	0.00823334	0.00842714	0.0124982	0.0107742	0.0152354	0.0079527	0.016737	0.0309324	0.0237099	0.0629809	0.0542503	0.049752	0.0883173	0.0947091	0.079986	0.0669782	0.0575774	0.0502522	0.0556837	0.0972301
suffisamment	0.043646	0.0276577	0.0199198	0.0191926	0.013584	0.0101751	0.0075301	0.0114877	0.00616332	0.00500989	0.00792067	0.00872708	0.0126591	0.0121274	0.0141686	0.0108143	0.0192281	0.0321039	0.0301843	0.0592945	0.0447471	0.048652	0.0649356	0.0716325	0.0564904	0.0670967	0.0569246	0.0626214	0.0742589	0.0810466
salée	0.0501048	0.0229892	0.0148319	0.0112953	0.00800593	0.00625138	0.0042913	0.00533788	0.00356171	0.00312514	0.00637194	0.00547191	0.011543	0.0146708	0.0126916	0.0202179	0.0258113	0.0514523	0.0317219	0.0695529	0.0483874	0.041289	0.075349	0.0745139	0.0772945	0.0545719	0.056471	0.0497686	0.0645522	0.0785026
</S>	0.0428335	0.0222146	0.020569	0.0169441	0.0162659	0.0148346	0.0103189	0.0145863	0.00788267	0.00459106	0.00930022	0.00759897	0.0121989	0.00964637	0.00854156	0.00831809	0.0141217	0.0214372	0.0137483	0.0518397	0.0402919	0.0356691	0.0969812	0.101878	0.0816294	0.0629551	0.0548984	0.0563762	0.0554591	0.0860698
