 	a66	a87	a79	a40	a5	a98	a47	a0	a21	a5	a43	a21	a47	a90	a93	a96	a62	a88	a70	a90	a92	a6	a37	a0	a24	a9	a87	a23	a27	</S>
les	0.0462834	0.0926715	0.0734547	0.056847	0.0456808	0.0685859	0.0343895	0.0192396	0.0133521	0.0120903	0.0144023	0.0144851	0.0191386	0.0229187	0.0242888	0.0273662	0.0184606	0.0173147	0.0215269	0.0190207	0.0306769	0.037776	0.0371256	0.0386076	0.0472947	0.0285232	0.021872	0.0283647	0.0308592	0.0373826
gens	0.00830139	0.0237337	0.0427138	0.0474022	0.0361993	0.0575589	0.143662	0.159345	0.0415179	0.123673	0.0755677	0.078598	0.0421696	0.0108879	0.012297	0.00557485	0.0044173	0.00623171	0.0068136	0.0126046	0.00623547	0.00674145	0.00939584	0.00741952	0.00526062	0.00464849	0.0044657	0.00511704	0.0072785	0.00416808
vont	0.060128	0.13378	0.0600291	0.021533	0.0288858	0.0320122	0.0475503	0.0504606	0.0202619	0.0283229	0.0337395	0.0422532	0.0278935	0.0108787	0.0243193	0.0196986	0.016166	0.0232475	0.032919	0.0319514	0.0199332	0.0227845	0.035371	0.0380828	0.0203378	0.0252656	0.0201573	0.0227062	0.0393078	0.0100229
sous	0.0278148	0.0185796	0.0107069	0.0237825	0.0339027	0.0595581	0.0489123	0.0562151	0.0683497	0.0561731	0.0925767	0.0964423	0.0666404	0.0433038	0.0284015	0.0445974	0.0302504	0.0246365	0.0144438	0.0124741	0.00772945	0.011146	0.0197307	0.0162402	0.0161021	0.0146651	0.017895	0.0123574	0.0106167	0.0157556
l'	0.0861021	0.0496252	0.0230786	0.0313675	0.0257492	0.0414192	0.0564109	0.0703063	0.0741195	0.0445439	0.0487479	0.0461289	0.0382425	0.0413428	0.0393709	0.053945	0.0380061	0.0214354	0.0111376	0.00705866	0.00421113	0.00853194	0.0096802	0.0113733	0.00921466	0.0136251	0.0170183	0.0184465	0.0200369	0.0397238
ombre	0.0292734	0.0218958	0.0198348	0.018223	0.0192393	0.018152	0.0194529	0.0277386	0.0309844	0.055129	0.0498329	0.0938468	0.0601137	0.0396353	0.067397	0.0487653	0.0425108	0.0657729	0.0657317	0.0592096	0.0317087	0.0257141	0.0260782	0.0174687	0.00542756	0.0132231	0.00606928	0.00538602	0.00635921	0.0098258
pour	0.131165	0.128888	0.0741175	0.0476293	0.0424247	0.0503613	0.0384757	0.0226294	0.0180697	0.025819	0.0205486	0.0157717	0.0078064	0.00827296	0.0183531	0.0313827	0.0189232	0.0152651	0.0161797	0.0110916	0.00779103	0.00840465	0.0095141	0.0152817	0.0166705	0.0213478	0.0370373	0.0415551	0.047851	0.0513724
se	0.115489	0.0795102	0.0294244	0.02543	0.0243756	0.020506	0.0177925	0.0179687	0.0193767	0.0147415	0.0179539	0.00663249	0.00920079	0.0131462	0.02863	0.0451228	0.0252398	0.0230325	0.0390797	0.0208942	0.0151465	0.0342105	0.0272084	0.031908	0.0356842	0.0317933	0.0564576	0.0543274	0.0662695	0.0534477
mettre	0.0764172	0.0536726	0.0307003	0.0161811	0.0112031	0.00856962	0.00569023	0.00386911	0.00494938	0.00906544	0.00895922	0.00719355	0.00906883	0.0163847	0.0239293	0.024427	0.0178526	0.0153389	0.0184159	0.0147415	0.00923065	0.0238719	0.0354701	0.0450317	0.0413319	0.057847	0.0897836	0.0933805	0.103919	0.123504
à	0.0500011	0.0383994	0.0178941	0.0116566	0.00532986	0.004011	0.00292121	0.00269109	0.00363114	0.00463786	0.00434582	0.00387845	0.00356035	0.00682624	0.0143564	0.0171159	0.0164119	0.0127284	0.0176602	0.0186269	0.01343	0.0281206	0.0409322	0.0432509	0.0620956	0.0609613	0.113905	0.10898	0.0992145	0.172427
l'	0.0387911	0.0221871	0.0161956	0.00759948	0.00344507	0.00331476	0.00279294	0.00191545	0.00165304	0.00390125	0.00409218	0.0044421	0.00467335	0.00627979	0.0134217	0.0169228	0.0219877	0.0171858	0.0237517	0.0232871	0.0264911	0.0507953	0.0669925	0.0562382	0.0988515	0.0692442	0.112346	0.089681	0.0777874	0.113733
abri	0.0527235	0.0397769	0.0328386	0.0243522	0.0171866	0.0174925	0.0124052	0.00636263	0.00642381	0.0113382	0.00983843	0.00834581	0.00727587	0.011518	0.0211885	0.0384171	0.0251292	0.0232841	0.0273448	0.0278174	0.0269111	0.0361507	0.0432108	0.0327318	0.0585163	0.0499821	0.0857805	0.0653907	0.0609241	0.119342
du	0.0514418	0.044581	0.0148062	0.0108872	0.00859073	0.00990499	0.00711067	0.0094859	0.00932339	0.00895075	0.01002	0.00848195	0.00865236	0.0142681	0.0170178	0.0248977	0.0224789	0.0221174	0.0316715	0.0358003	0.0384381	0.0491856	0.050095	0.0355959	0.0574131	0.0500223	0.0676533	0.0604332	0.0682841	0.152391
soleil	0.0531289	0.0458577	0.0307598	0.0366137	0.0285371	0.0388445	0.026741	0.0160817	0.0180368	0.0318061	0.0240469	0.0312019	0.0249983	0.0196961	0.0215382	0.0229091	0.0202018	0.0238262	0.0316959	0.0333581	0.0240734	0.0344691	0.0396313	0.0296689	0.0427327	0.044943	0.0528063	0.0468305	0.0445764	0.0603886
</S>	0.0546303	0.0735733	0.036799	0.0394831	0.0274791	0.0369108	0.0230742	0.0208434	0.0216632	0.0290261	0.0232528	0.0279211	0.021625	0.0189973	0.0196304	0.0209816	0.0193092	0.0205705	0.0270673	0.0286417	0.0279469	0.030049	0.033194	0.0278365	0.0409752	0.0412189	0.0418501	0.0459441	0.0424959	0.0770101
