 	a15	a66	a87	a23	a13	a9	a57	a4	a13	a70	a54	a41	a37	a96	a94	a54	a37	a26	a7	a44	a66	a13	a66	a9	a97	a87	a23	a87	</S>
le	0.0300386	0.0338885	0.0267872	0.0254897	0.0351795	0.0305986	0.0206799	0.021888	0.0330175	0.0262675	0.0304173	0.0268618	0.0474481	0.0158083	0.0242615	0.0122985	0.0144495	0.0198841	0.041174	0.0750043	0.0651663	0.0460621	0.0494755	0.0451691	0.0417918	0.0231602	0.0332704	0.0339033	0.0705587
chef	0.0018504	0.00893262	0.0130911	0.0205774	0.0409333	0.0670509	0.0979178	0.095775	0.11909	0.105597	0.0950258	0.0572123	0.0714684	0.0264827	0.0232183	0.0220917	0.0393287	0.0323254	0.013002	0.0097094	0.0075961	0.00302491	0.00646078	0.00351257	0.00435353	0.00287062	0.00282086	0.00637302	0.00230757
ne	0.0165287	0.0370849	0.0749326	0.0555063	0.051428	0.0690408	0.0539712	0.0441919	0.0408002	0.0565812	0.0458545	0.0670366	0.0614079	0.067334	0.0863279	0.0328029	0.0292191	0.0121976	0.0168907	0.0165381	0.00932089	0.00225424	0.0104692	0.00590626	0.00645197	0.00662988	0.00333572	0.0179119	0.00204479
tient	0.0726545	0.0553528	0.0454399	0.0246629	0.0327341	0.0511037	0.0285204	0.0252075	0.0165594	0.0380681	0.0287112	0.039383	0.0530445	0.052736	0.0488044	0.0704864	0.058476	0.0298228	0.0366144	0.0329058	0.0188965	0.0144093	0.0161938	0.0123878	0.0162259	0.0151962	0.016498	0.0206355	0.0282694
pas	0.0319229	0.0374413	0.0406127	0.0370886	0.0358569	0.0347427	0.0395516	0.0899377	0.0449332	0.0688163	0.104864	0.0878343	0.0828595	0.0478375	0.0573182	0.0273576	0.0266652	0.0139777	0.00751642	0.00640564	0.00942901	0.00459914	0.00545922	0.00529548	0.00765879	0.00570769	0.00878944	0.01142	0.0181016
compte	0.0425324	0.0254221	0.0337095	0.024916	0.0333675	0.0244876	0.0256966	0.0243201	0.0356643	0.0300948	0.0199713	0.020681	0.0208062	0.0258237	0.041213	0.0346004	0.0336601	0.0310181	0.0264691	0.0318009	0.0509245	0.0424814	0.0466371	0.0293106	0.0463311	0.0410054	0.0375729	0.0325063	0.0869761
de	0.0274761	0.0197479	0.0218946	0.0131384	0.0198232	0.0242801	0.0199695	0.012462	0.0110513	0.0101229	0.00783266	0.00468924	0.00334308	0.00446073	0.0037457	0.00670897	0.010208	0.0171332	0.0390915	0.0553763	0.0586958	0.0592331	0.0442201	0.0796436	0.0762941	0.104696	0.0664851	0.0568788	0.121298
certaines	0.0511689	0.0349576	0.0314169	0.0264611	0.029999	0.0473297	0.0425779	0.0295717	0.0164616	0.0186285	0.020564	0.0176464	0.0128823	0.0177093	0.0119338	0.0167007	0.0153301	0.0221815	0.0298573	0.0358563	0.0384338	0.0310294	0.0360882	0.0404151	0.0589582	0.0784498	0.0582005	0.0509684	0.0782222
lois	0.0778747	0.0525223	0.0361751	0.023659	0.0111725	0.0194043	0.0113739	0.00868798	0.00867969	0.0156393	0.0183729	0.0145743	0.0223198	0.0131685	0.0134425	0.0136141	0.0168068	0.0269471	0.0637515	0.0773497	0.0525527	0.0586401	0.0464323	0.0430278	0.0492879	0.0480911	0.0466725	0.0353072	0.0744523
</S>	0.0212211	0.0224855	0.0184844	0.0129602	0.014245	0.0188596	0.0102089	0.00652913	0.00591598	0.00556686	0.00547325	0.00414468	0.00662232	0.00553131	0.00584556	0.00459356	0.00533241	0.00960518	0.0282353	0.0491479	0.0572716	0.0553014	0.0701225	0.0766911	0.0962478	0.0963851	0.0769738	0.0500251	0.159973
