 	a15	a66	a87	a97	a87	a23	a83	a70	a93	a90	a98	a92	a43	a11	a24	a83	a62	a83	a13	a62	a0	a75	a70	a11	a75	a85	a37	a70	a98	a85	a61	a21	a70	a98	a47	a44	a57	a30	a70	a0	a9	a10	a87	a23	a99	a97	a87	</S>
la	0.0210872	0.0211842	0.0213766	0.0307875	0.0246886	0.0210779	0.0194361	0.034901	0.0212623	0.0432136	0.045015	0.0424288	0.0599057	0.0483078	0.0252257	0.02586	0.0458057	0.0753201	0.026696	0.0187802	0.0162035	0.0262479	0.0107935	0.0112878	0.00772887	0.0100272	0.0106876	0.0122845	0.0104342	0.0112441	0.0193024	0.0123121	0.0119239	0.00997613	0.00769051	0.00927273	0.0118406	0.00672934	0.00902327	0.00842828	0.00861632	0.0092911	0.00821267	0.0111132	0.0100499	0.0112801	0.00844707	0.0271913
maman	0.00203208	0.00578671	0.010707	0.0313244	0.0205694	0.0237821	0.0641355	0.0697354	0.0918366	0.0970392	0.0731459	0.0330321	0.0493139	0.0361862	0.023739	0.031911	0.0233912	0.0302259	0.0149446	0.0207456	0.0263122	0.0367356	0.030479	0.0243987	0.014149	0.0106558	0.0129514	0.0103027	0.0137807	0.011162	0.00884252	0.00867437	0.00595103	0.00233007	0.00329424	0.00598519	0.00276719	0.00228331	0.0020884	0.00122398	0.00120516	0.000975086	0.00129038	0.00149574	0.00151839	0.00151653	0.0027525	0.00129481
nous	0.021767	0.0143245	0.022326	0.0273697	0.0143457	0.0184284	0.0349762	0.0159369	0.0449406	0.0214947	0.0344917	0.0243511	0.030515	0.0343163	0.0366633	0.0997795	0.0916956	0.0452176	0.0387934	0.0514923	0.076281	0.0489397	0.0425199	0.0226602	0.00723328	0.0070962	0.00827087	0.00969111	0.0102469	0.00399837	0.00383589	0.00308138	0.00297019	0.00225539	0.00230015	0.00339284	0.00327974	0.00428808	0.000970913	0.000751844	0.00186848	0.000386175	0.000757176	0.000811476	0.0013324	0.0027612	0.00388898	0.000904737
a	0.0104908	0.00837134	0.0061123	0.00536949	0.00530825	0.00493907	0.0110165	0.00783416	0.00791791	0.00603348	0.0115262	0.0139325	0.0265612	0.0273813	0.0321986	0.0357753	0.043491	0.0315952	0.0698471	0.0497071	0.148279	0.0909727	0.126521	0.0375464	0.0235034	0.019197	0.00920835	0.0116176	0.0108173	0.00466989	0.00729147	0.00460151	0.00442373	0.00514312	0.00527078	0.00503235	0.0042364	0.00805813	0.00293475	0.00568047	0.00799501	0.00322667	0.00719684	0.00579005	0.00838354	0.00477092	0.00453636	0.00768656
défendu	0.0234656	0.0221134	0.014346	0.0139681	0.0214825	0.0246704	0.0272446	0.0368663	0.021479	0.0266573	0.0310934	0.0265747	0.0157275	0.0293248	0.0197425	0.0145432	0.0209048	0.0283547	0.0678901	0.0194624	0.0324882	0.0463202	0.0548954	0.0476694	0.0353363	0.0393576	0.0268111	0.0208631	0.032944	0.0273638	0.021819	0.0172471	0.0100534	0.0121484	0.00710238	0.00361305	0.00590705	0.0068923	0.00342081	0.00495546	0.00357119	0.00340288	0.00482988	0.00325392	0.00460505	0.00625408	0.00477851	0.00618503
de	0.0247043	0.00877387	0.00782929	0.00505341	0.00359224	0.00390406	0.00560015	0.00577755	0.00458953	0.00903169	0.0169959	0.0262358	0.032471	0.0270387	0.0503997	0.0466801	0.0620218	0.0447111	0.0719563	0.0629181	0.0578883	0.0569587	0.0324822	0.0266738	0.0075602	0.00895238	0.00925511	0.0094296	0.013469	0.00628057	0.00659717	0.00718021	0.00526862	0.0127609	0.0173127	0.0137305	0.0128027	0.0136048	0.00933355	0.0173225	0.024779	0.0106251	0.0215094	0.0116827	0.020491	0.0101079	0.0115052	0.0241516
manger	0.0253049	0.0136072	0.0120506	0.00695031	0.00503467	0.00504766	0.00590482	0.00610402	0.00441281	0.00831728	0.0109973	0.0161088	0.023318	0.0265232	0.0293266	0.0277994	0.0349362	0.0321049	0.045991	0.0398234	0.0342724	0.0301326	0.0316062	0.0196184	0.0137209	0.0153644	0.0197296	0.0180171	0.0277742	0.0119886	0.0120148	0.0177409	0.0122962	0.0215887	0.0371727	0.020625	0.0243953	0.0221989	0.0175699	0.0269023	0.0353239	0.0163305	0.0315925	0.0162994	0.0248863	0.0127264	0.022539	0.02591
des	0.031917	0.0173313	0.0122112	0.00775287	0.0067435	0.00499712	0.00782422	0.00831918	0.00657496	0.00916999	0.0111064	0.0135272	0.0186067	0.0222107	0.02593	0.0258155	0.0273123	0.0275791	0.0395204	0.0312045	0.0242891	0.0228843	0.0234853	0.0139445	0.00822849	0.00790398	0.0108421	0.0101438	0.0116527	0.00667325	0.00800191	0.0129485	0.00988509	0.0226237	0.0498861	0.0279669	0.0323421	0.0324569	0.0256272	0.0414418	0.0478611	0.0188515	0.040743	0.0211794	0.0353829	0.0155776	0.0301204	0.0314021
mangues	0.0271166	0.018032	0.00982355	0.0059368	0.00472693	0.00402266	0.00543545	0.00547833	0.00475978	0.00518838	0.00589423	0.00708116	0.0110638	0.0238669	0.012249	0.0158588	0.0276118	0.0287255	0.0346485	0.0239439	0.0158544	0.0143337	0.0185926	0.0129096	0.0147932	0.01271	0.0142709	0.0118265	0.0209732	0.0160595	0.0142407	0.0255067	0.0210704	0.0273454	0.0506927	0.0382443	0.0488327	0.03583	0.032804	0.0369945	0.0339381	0.0267487	0.0437899	0.0288545	0.0382172	0.0192458	0.031045	0.0128118
vertes	0.0202833	0.017238	0.0103845	0.00766489	0.00889923	0.00822162	0.00621605	0.00770321	0.00403883	0.00773132	0.00857856	0.0118802	0.0137812	0.0195024	0.011768	0.0112756	0.020998	0.0250247	0.0263186	0.0103676	0.00642926	0.00934214	0.00660008	0.00497489	0.00395349	0.00589016	0.00583985	0.00443236	0.00581105	0.00739231	0.00634201	0.0092406	0.0106556	0.0160272	0.0302054	0.0393113	0.0390334	0.0358009	0.0353248	0.0437697	0.038953	0.0437863	0.0539764	0.0472013	0.075388	0.0373139	0.0635219	0.055607
