 	a66	a87	a23	a5	a23	a96	a88	a21	a85	a6	a36	a37	a96	a18	a75	a92	a37	a98	a15	a79	a5	a18	a88	a9	a24	a0	a10	a9	a10	a87	a23	a87	</S>
le	0.0652255	0.0502173	0.0342031	0.0494167	0.0224011	0.0249396	0.0276527	0.0110699	0.00655602	0.0145436	0.0169357	0.0204959	0.0279643	0.0238691	0.0319959	0.0358378	0.0314365	0.0509283	0.0389315	0.0395478	0.0250123	0.0379083	0.0237289	0.0229768	0.030572	0.0232381	0.0282041	0.0234371	0.0218416	0.0304877	0.0301742	0.0297201	0.0485301
repas	0.00489154	0.00894859	0.0108074	0.0209484	0.0308735	0.0436736	0.0663924	0.124287	0.11166	0.165937	0.135667	0.0849803	0.050586	0.0292288	0.0236818	0.0126318	0.00732975	0.00463444	0.00722787	0.00661169	0.0152891	0.00661371	0.00461597	0.00323043	0.00177302	0.00162422	0.00150027	0.00172065	0.00105579	0.00190004	0.00229393	0.0045703	0.00281219
qu'	0.0786514	0.100498	0.101079	0.0929213	0.0764953	0.0704136	0.0531243	0.0340967	0.04291	0.0997938	0.0875827	0.064732	0.0139006	0.00971413	0.00626083	0.0104329	0.0110083	0.00262133	0.00746372	0.00229551	0.00215548	0.00324632	0.00216109	0.00429496	0.0022095	0.00189358	0.00177712	0.00386128	0.00150635	0.00151945	0.00208709	0.00540257	0.0018894
on	0.0980953	0.0766419	0.0518911	0.0334207	0.0289503	0.0238648	0.0101811	0.0168026	0.0357829	0.0360507	0.0439915	0.0392159	0.0189514	0.0124099	0.0119407	0.0172088	0.0285669	0.0342093	0.0337383	0.0186709	0.0129697	0.0117079	0.00881167	0.0164429	0.0162547	0.0198759	0.0292234	0.0343117	0.0364143	0.0320736	0.0269307	0.0415673	0.0428311
lui	0.0782203	0.0440207	0.0232785	0.0195602	0.0209044	0.0206949	0.0267375	0.0134182	0.0224595	0.0521194	0.0399384	0.0449828	0.0489307	0.0451575	0.0359355	0.0445971	0.0503311	0.0402993	0.0259003	0.0183168	0.0192633	0.0111673	0.00984008	0.0168221	0.0102558	0.0128986	0.0193138	0.0193012	0.0198348	0.0220205	0.0268675	0.0731974	0.0234143
a	0.0547247	0.0370669	0.0363698	0.0221044	0.0202099	0.0168315	0.0160319	0.0145901	0.0161333	0.0281631	0.0309682	0.0552077	0.0700104	0.0490086	0.0501418	0.0502966	0.071946	0.0381493	0.0577219	0.0245346	0.0188059	0.022409	0.0183352	0.0184232	0.0284133	0.0225665	0.0148725	0.0183304	0.0106071	0.0112075	0.0117167	0.0211939	0.022908
donné	0.0429325	0.0326939	0.0290521	0.0156305	0.0150455	0.00965104	0.00886947	0.0115945	0.0152108	0.0155371	0.0205728	0.0326237	0.0443213	0.040302	0.0356373	0.0269039	0.0395524	0.0187852	0.0275702	0.0223781	0.030522	0.0507317	0.0381567	0.037208	0.0411107	0.0399226	0.0527217	0.0483937	0.0408943	0.0254729	0.0216795	0.0344894	0.0338323
n'	0.027081	0.0227266	0.0190958	0.0112126	0.0130907	0.00961621	0.00569698	0.0105604	0.012007	0.0175766	0.0238735	0.0308084	0.0331145	0.0278254	0.0236068	0.0220563	0.02082	0.0186116	0.0181982	0.0169617	0.0202815	0.0314389	0.0352986	0.0333671	0.0447392	0.0483747	0.0580575	0.045694	0.0660297	0.054781	0.0369446	0.0639906	0.0764622
était	0.041343	0.0319948	0.0217523	0.0138937	0.0163597	0.0156059	0.0083989	0.0103275	0.00866346	0.0167998	0.0236827	0.0318296	0.0323795	0.0372592	0.0394874	0.0405844	0.0339592	0.0300445	0.0279075	0.00993729	0.0190018	0.0414741	0.0349786	0.0213329	0.038737	0.0425417	0.0471248	0.0398314	0.0425652	0.0413117	0.0406004	0.0633942	0.0348959
insuffisant	0.0212725	0.0170015	0.0105	0.00789316	0.0119873	0.0115452	0.00966677	0.0103586	0.00789275	0.0114738	0.0136162	0.0162675	0.0196974	0.0210171	0.0207013	0.0245596	0.0219778	0.022913	0.0184203	0.0112094	0.0177193	0.0350393	0.0480041	0.0197928	0.0418529	0.0500977	0.0817711	0.0434357	0.0555229	0.0804503	0.0539288	0.069336	0.0930777
</S>	0.0294839	0.0187333	0.0111096	0.00826835	0.00759239	0.00777433	0.00640051	0.00475674	0.00307409	0.00455425	0.00362097	0.00510504	0.00556658	0.0091607	0.00929256	0.0114135	0.00944164	0.0119154	0.00944337	0.00622542	0.00889046	0.040971	0.047721	0.0312176	0.0675437	0.065123	0.083395	0.0653353	0.0672677	0.0917217	0.0655368	0.0598175	0.122527
