 	a66	a87	a23	a87	a23	a99	a38	a12	a24	a21	a12	a62	a88	a0	a75	a85	a0	a90	a15	a7	a84	a87	a23	a87	</S>
les	0.106186	0.0949959	0.0681409	0.0490024	0.0446271	0.0250008	0.0163011	0.0136425	0.00947146	0.00529823	0.00444411	0.00803603	0.0126788	0.0110497	0.013766	0.0238432	0.0301793	0.0613033	0.0254741	0.0471354	0.0502171	0.0692971	0.0653776	0.0617714	0.0827602
vagues	0.0083289	0.0100754	0.00853443	0.00956838	0.0163576	0.0106061	0.0190216	0.0249111	0.0453353	0.0523732	0.120027	0.0944356	0.172681	0.0809504	0.0637988	0.0554892	0.0876271	0.0655983	0.0132467	0.00586725	0.0047403	0.00622405	0.00419422	0.0133826	0.00662535
ont	0.0407458	0.0338448	0.0251443	0.0281387	0.0388498	0.0505838	0.041137	0.0274627	0.0232108	0.014138	0.0200216	0.020946	0.0468404	0.0217041	0.0359331	0.0184474	0.0243601	0.0501197	0.0518934	0.0421348	0.0639056	0.0789286	0.0831538	0.057185	0.0611708
fait	0.0273551	0.028405	0.0251631	0.0322521	0.0423887	0.0359109	0.0613818	0.051171	0.0647967	0.0853761	0.0836961	0.0950075	0.0621719	0.10012	0.0566821	0.0301152	0.0335989	0.023121	0.0116604	0.00855925	0.0130405	0.0071461	0.00855444	0.00487951	0.00744616
couler	0.0709666	0.0534045	0.0333148	0.025402	0.0289113	0.0223945	0.0294496	0.0326376	0.0337688	0.0456306	0.0408704	0.0416039	0.0448207	0.0592277	0.069483	0.0836468	0.0383448	0.0516857	0.051879	0.0239478	0.0219706	0.0274973	0.0201171	0.0208407	0.0281842
le	0.0591962	0.0641834	0.0570887	0.0478001	0.0547514	0.04772	0.046141	0.0332273	0.0248072	0.0257905	0.021126	0.0201808	0.0263991	0.0187704	0.0297472	0.0234594	0.0261883	0.0368347	0.0378584	0.0553305	0.0648557	0.0547053	0.0487453	0.0320694	0.0430236
bateau	0.0578777	0.0516674	0.0405314	0.0322441	0.0501027	0.0480845	0.0654921	0.0636327	0.0447792	0.034472	0.0287624	0.0340792	0.0231943	0.0235115	0.0242959	0.0217954	0.0341837	0.030828	0.0406791	0.0372934	0.0439671	0.0458719	0.0381646	0.0443529	0.0401366
à	0.140626	0.100996	0.100037	0.0660812	0.0647509	0.0481297	0.0346578	0.0401581	0.0180369	0.00891338	0.00836232	0.00852276	0.0115046	0.00594563	0.0136707	0.0207146	0.0280963	0.0286216	0.0268801	0.0248685	0.022216	0.0303227	0.0437492	0.0429563	0.061182
pic	0.117896	0.0764152	0.0443379	0.0279856	0.0332243	0.0269163	0.0263933	0.0294082	0.0174791	0.0105033	0.0100694	0.0113483	0.0204506	0.0100025	0.0233807	0.0282149	0.0256732	0.0559714	0.0371655	0.0531212	0.0539088	0.0318634	0.0551181	0.074919	0.0982337
</S>	0.0607595	0.052999	0.046823	0.0346055	0.0369503	0.0205125	0.0106681	0.0127543	0.00463955	0.00461504	0.00355896	0.00601616	0.00907954	0.00570092	0.0230099	0.0367595	0.0532491	0.0737663	0.0667424	0.065137	0.0470741	0.0323026	0.0956349	0.0904474	0.106194
