 	a66	a87	a97	a3	a30	a93	a13	a11	a47	a12	a47	a62	a0	a93	a90	a56	a75	a92	a37	a92	a37	a56	a93	a4	a54	a85	a92	a37	a75	a5	a36	a75	a47	a36	a2	a57	a97	a3	a97	</S>
c'	0.0237045	0.0603835	0.0695352	0.0559658	0.0461062	0.0430133	0.0601666	0.0704159	0.0576357	0.0413581	0.0377024	0.0219026	0.0185526	0.0195679	0.0181712	0.0198626	0.0186547	0.0118001	0.0117863	0.00938005	0.0108777	0.00912229	0.0201694	0.0138979	0.00736833	0.00722094	0.00847997	0.015075	0.0143088	0.0168464	0.0131489	0.00933859	0.0124465	0.0130699	0.00843076	0.0137979	0.0195578	0.0171363	0.0180597	0.0359819
est	0.0326606	0.0223937	0.0228966	0.0185428	0.0295327	0.0461547	0.0544309	0.0414674	0.0487387	0.0327447	0.0259408	0.0230433	0.0199255	0.0264482	0.0204817	0.0170992	0.0221186	0.0118808	0.0133958	0.0112523	0.0107489	0.0129843	0.00891399	0.0132039	0.0108122	0.0172779	0.0196556	0.0179922	0.0159611	0.0145729	0.0208634	0.0271409	0.0277626	0.0357993	0.041354	0.031797	0.0331905	0.0421458	0.0314274	0.0252469
son	0.0656013	0.0537724	0.0373001	0.022198	0.0172182	0.0256665	0.048343	0.0321001	0.0526749	0.0277678	0.0198299	0.0299595	0.0212859	0.0299768	0.0197059	0.0254222	0.032841	0.0224269	0.030035	0.0312874	0.0274663	0.0304035	0.0150351	0.0114849	0.0107139	0.00617098	0.00625769	0.00799942	0.0095751	0.00749236	0.0107192	0.0116124	0.0156772	0.0115401	0.0156215	0.0257069	0.0182682	0.0301354	0.0364537	0.0462533
père	0.0122266	0.00714058	0.00787833	0.0101872	0.00538093	0.00328828	0.00160576	0.00298465	0.00251545	0.00331717	0.00524292	0.00620288	0.00825466	0.0191605	0.0393794	0.0438856	0.035243	0.0493645	0.0404213	0.0679353	0.0580834	0.0663728	0.0806231	0.0790418	0.0899255	0.0710961	0.0316102	0.0119833	0.00999856	0.00938197	0.0119095	0.00839388	0.0260232	0.0103227	0.00753501	0.0110305	0.0122505	0.0124561	0.0142387	0.00610812
qui	0.0363755	0.0276862	0.0212657	0.0201746	0.00784887	0.00613677	0.00644947	0.00845824	0.00866693	0.011573	0.0125868	0.0187422	0.0148163	0.0270613	0.0455894	0.0518759	0.0457873	0.0452631	0.0400757	0.0651808	0.0533159	0.061431	0.0319237	0.0238014	0.0224106	0.0225801	0.0225562	0.0195403	0.0204865	0.0145547	0.0212529	0.0134363	0.0275864	0.0143656	0.0126061	0.0188181	0.019026	0.0195554	0.0243679	0.0147708
l'	0.0587442	0.0304648	0.0280838	0.0172015	0.0107174	0.0205915	0.0389542	0.0215877	0.0330512	0.0254046	0.0196894	0.0357795	0.0229292	0.0307419	0.0402052	0.0276352	0.0267714	0.0218783	0.0424837	0.0379182	0.0294582	0.02454	0.0164645	0.0161886	0.0211034	0.0214932	0.0261745	0.0274311	0.0243663	0.0220717	0.0151324	0.0199165	0.0151118	0.0192105	0.0136176	0.0322473	0.01473	0.0222105	0.0170599	0.0106394
avait	0.0137896	0.00897329	0.010134	0.00966698	0.00629325	0.00490417	0.0118054	0.00802469	0.0122246	0.010669	0.00919242	0.0240077	0.0148171	0.0421136	0.0646187	0.0750757	0.0612649	0.0533294	0.037436	0.0571743	0.0386551	0.0366946	0.0381433	0.0382829	0.0418174	0.048805	0.0469603	0.022332	0.0149429	0.014114	0.0186134	0.00990166	0.0193338	0.0155977	0.00959737	0.0178929	0.00824791	0.0111286	0.00630178	0.00712267
initié	0.0213052	0.0171969	0.0176146	0.0218735	0.0180338	0.0148334	0.0159357	0.0141259	0.0187236	0.0131748	0.0108877	0.0221888	0.0181726	0.0336704	0.0165781	0.0248291	0.0252828	0.0272078	0.0136073	0.0196809	0.0171419	0.0143158	0.0144044	0.0136049	0.0100439	0.0141371	0.0167814	0.0204648	0.0330647	0.0233542	0.03068	0.024124	0.0404312	0.048013	0.0446469	0.0626913	0.0441259	0.0540773	0.0516655	0.0373091
à	0.0316522	0.0283006	0.0310073	0.0296286	0.0310777	0.0330823	0.0341803	0.0203999	0.0304901	0.0103852	0.00746842	0.0102531	0.00852382	0.00968105	0.00676433	0.00923026	0.00967223	0.00875618	0.008848	0.0138634	0.0136052	0.0124678	0.0141806	0.0180467	0.0146092	0.0110417	0.011306	0.0170386	0.0317997	0.0336004	0.0345201	0.0324714	0.0474905	0.035141	0.0316668	0.0712002	0.0523557	0.0531037	0.0506743	0.0404153
ce	0.0365886	0.031318	0.0302077	0.0243852	0.0262448	0.0381887	0.0453276	0.0275013	0.0447629	0.0142179	0.00963297	0.0112958	0.00993061	0.0129808	0.0117619	0.0180253	0.0173163	0.0169453	0.0147352	0.0158117	0.0124784	0.00944283	0.0106679	0.0133978	0.0144697	0.00874817	0.00994501	0.0173801	0.0333522	0.0354173	0.0363602	0.0305695	0.0428735	0.0333562	0.0297457	0.0445101	0.0434863	0.0399525	0.0403928	0.0362752
culte	0.0316241	0.0193256	0.0163627	0.0128614	0.0107822	0.00800392	0.0110261	0.00877986	0.0146654	0.0212104	0.0150996	0.0243969	0.0221758	0.0246567	0.0179161	0.0158572	0.0163819	0.0171769	0.0168339	0.0197075	0.0168379	0.0127759	0.0130883	0.0123827	0.0100834	0.0133261	0.0185113	0.0260499	0.0380682	0.0324351	0.0332655	0.0272925	0.0342449	0.0397199	0.0393505	0.0471337	0.0461017	0.0485919	0.0517226	0.0941738
mystique	0.0543737	0.0324984	0.0250488	0.0208621	0.0120573	0.0191871	0.0284221	0.0200504	0.0163113	0.0192697	0.012546	0.0189714	0.0162588	0.0155781	0.00746456	0.00501148	0.0099267	0.00932925	0.0127686	0.0160997	0.0150432	0.0160914	0.00877812	0.00984686	0.00786219	0.00939571	0.0153069	0.0174708	0.0184114	0.0263098	0.0268448	0.0349832	0.0332799	0.0339116	0.0451859	0.0628198	0.0461023	0.0645462	0.0538943	0.0818801
</S>	0.0222742	0.0254037	0.0264431	0.0229364	0.016198	0.0145558	0.0154914	0.014489	0.0129115	0.0149076	0.0108286	0.0137701	0.0112851	0.00903472	0.00627128	0.00736492	0.00704189	0.00596631	0.00825365	0.0118615	0.00761093	0.0076813	0.0105508	0.0102809	0.00785557	0.0080512	0.0154863	0.0173961	0.0165544	0.0302569	0.0305922	0.0493967	0.0349893	0.0401937	0.0448533	0.0681481	0.0644974	0.0702378	0.0684296	0.119649
