 	a87	a23	a87	a23	a79	a20	a36	a37	a56	a34	a56	a13	a9	a38	a75	a34	a92	a66	a38	a75	a85	a37	a44	a98	a92	a21	a88	a71	a9	a53	a90	a92	a21	a85	a37	a21	a47	a96	a47	a88	a71	a9	a97	a87	a23	a83	a34	a92	a37	a75	a37	a75	a85	a5	a66	a11	a56	a98	a6	a26	a40	a36	a2	a57	a87	a23	a87	</S>
si	0.01088	0.0108419	0.00641186	0.0146505	0.008415	0.0128429	0.0139861	0.0300919	0.0404665	0.0390714	0.0305326	0.0277686	0.0290057	0.0265595	0.0251211	0.0238448	0.0233438	0.028545	0.0291591	0.01327	0.0167428	0.0160733	0.0194212	0.0190554	0.0139841	0.0217308	0.0260783	0.0185706	0.0220253	0.0192495	0.0180823	0.0183829	0.0278897	0.0277549	0.0110227	0.0158563	0.00814254	0.0129322	0.0123854	0.0130718	0.0103342	0.00646445	0.00803128	0.00813804	0.0058579	0.00641764	0.00434991	0.0046055	0.00576822	0.00666477	0.00576231	0.0103758	0.00590651	0.0112975	0.00981907	0.00310195	0.00287567	0.00364706	0.00647307	0.00520823	0.00702582	0.00973854	0.00545727	0.00818271	0.00700923	0.00813024	0.00893477	0.0111616
tu	0.00288899	0.00314022	0.00484272	0.00260768	0.00205746	0.00287923	0.0103982	0.0106113	0.0130583	0.0278257	0.0395912	0.0468301	0.0318791	0.0577123	0.0710018	0.023844	0.0203597	0.0243435	0.0299576	0.0318931	0.024924	0.0183913	0.0163779	0.00808691	0.0101701	0.0216051	0.00845115	0.0124617	0.0134385	0.00756805	0.00906829	0.00910033	0.00618173	0.00895508	0.00755054	0.00676844	0.0087655	0.0077969	0.00769351	0.0128761	0.0102925	0.0121338	0.0134592	0.0165795	0.0179674	0.0136019	0.0114144	0.00647022	0.0082003	0.00342354	0.00294699	0.0111661	0.00821849	0.00609476	0.00568962	0.00695067	0.00970965	0.0118098	0.0138819	0.0197634	0.0201238	0.0166494	0.0130542	0.0113561	0.0135006	0.0134653	0.0115147	0.00660822
fais	0.00857879	0.00844436	0.00886506	0.00497253	0.0017793	0.00223383	0.00383979	0.00531259	0.0087632	0.0187824	0.0172851	0.0313461	0.0196632	0.0317255	0.037868	0.0109682	0.00761713	0.0106688	0.0224593	0.0127285	0.0257719	0.0211586	0.0249003	0.0177263	0.026706	0.0180898	0.0212592	0.0294398	0.0370004	0.0216086	0.0283235	0.0332759	0.0168094	0.0213817	0.0270352	0.0148988	0.0277417	0.023425	0.0210869	0.0107623	0.015133	0.0134327	0.0195333	0.0191247	0.0156101	0.0129969	0.0153302	0.00902448	0.00472693	0.0033463	0.00185303	0.00536064	0.00235953	0.00200193	0.00453185	0.00112487	0.0011086	0.000679346	0.00251126	0.00357029	0.0047028	0.00840654	0.00622379	0.0105536	0.0153937	0.0186903	0.0160767	0.0242896
du	0.0228285	0.0098234	0.0106433	0.00802374	0.00703606	0.00588477	0.00749695	0.0108421	0.0101424	0.0224472	0.028319	0.0315621	0.061482	0.0589145	0.0526955	0.0283474	0.0288972	0.0232556	0.0375257	0.0258024	0.0139417	0.0179515	0.0113357	0.00984563	0.00592807	0.00776826	0.00719127	0.00496958	0.00587842	0.00459339	0.00843269	0.00618466	0.00497287	0.00768293	0.0100687	0.00878917	0.0117787	0.0100064	0.00743085	0.00630091	0.00874807	0.00825265	0.0120602	0.0109063	0.0165109	0.0129745	0.0131014	0.0060827	0.00353049	0.00478143	0.00669212	0.010012	0.00855938	0.0111353	0.0114244	0.00971614	0.00768763	0.0111429	0.00879889	0.00949176	0.00837865	0.0131057	0.0132633	0.0209987	0.0226948	0.0198115	0.0215777	0.0255397
mal	0.00678911	0.00281153	0.00664509	0.00654914	0.00940954	0.00591701	0.00560279	0.0039252	0.00387595	0.0041516	0.00290086	0.00181686	0.00292989	0.0031167	0.00420074	0.00487087	0.00496493	0.00633874	0.00827637	0.00855537	0.00746799	0.00722093	0.0158028	0.0149728	0.012878	0.0192538	0.0180477	0.0184011	0.0149056	0.0176873	0.0411208	0.0235361	0.0136355	0.0184207	0.0356861	0.0289936	0.0551417	0.0459454	0.0269386	0.0325438	0.0355147	0.0317985	0.0289143	0.0232237	0.0249929	0.011961	0.0124198	0.0177363	0.0175438	0.0159039	0.00982728	0.0119738	0.00837617	0.00707346	0.00734015	0.00441334	0.00623906	0.00233971	0.00408207	0.00667802	0.00664381	0.0160511	0.00978827	0.0209246	0.0225116	0.0197239	0.0200383	0.0237176
aux	0.00972392	0.004824	0.0042804	0.00355794	0.00745781	0.0046766	0.00444372	0.00285285	0.0031537	0.00343428	0.00160911	0.00135461	0.00240654	0.00241845	0.00265301	0.00404366	0.00314332	0.00410291	0.00542253	0.00893108	0.00900434	0.00901354	0.0197276	0.0222619	0.0245644	0.0242933	0.0350276	0.0333746	0.0328631	0.0491818	0.051788	0.0329365	0.0331548	0.0354968	0.0398098	0.0276264	0.0475033	0.0304478	0.0319816	0.0348281	0.055991	0.0392904	0.0209979	0.0181271	0.0185994	0.00837581	0.00461064	0.00627271	0.00706265	0.00502883	0.0025254	0.0031233	0.00388963	0.00334804	0.00354918	0.00179986	0.00303592	0.00256645	0.00461178	0.00526607	0.00695857	0.00922029	0.00943187	0.0121742	0.0108334	0.00870705	0.00782937	0.00739759
autres	0.00946463	0.00595057	0.00456039	0.00380677	0.00461913	0.00343411	0.00322059	0.00249019	0.00221536	0.002138	0.000924212	0.00121839	0.00160036	0.00132629	0.00223667	0.00339511	0.00216974	0.00370571	0.00575788	0.00517216	0.0073301	0.00940717	0.0170848	0.0174455	0.0162019	0.0207736	0.0191125	0.0167451	0.0242688	0.023169	0.0476286	0.0712742	0.0320568	0.0572651	0.0331149	0.0341159	0.040529	0.0489888	0.0277933	0.0191147	0.039962	0.0226859	0.0278083	0.0257535	0.019983	0.00860523	0.00481641	0.00630291	0.00646824	0.00557771	0.00381526	0.00840284	0.00702459	0.00483408	0.0115416	0.00319462	0.00497704	0.00379745	0.00482424	0.00552307	0.00885832	0.0135651	0.00994938	0.0171955	0.0164639	0.0185259	0.0174623	0.0192556
tu	0.0112509	0.008139	0.00323649	0.00286946	0.00155538	0.00110953	0.000532401	0.000630236	0.000441404	0.000419738	0.000228612	0.000592053	0.000560004	0.00127742	0.00211894	0.00219183	0.0015418	0.00320765	0.00606787	0.0049935	0.011994	0.00971105	0.0239448	0.0184171	0.0220643	0.0414373	0.0275989	0.0262953	0.0293542	0.022807	0.0305129	0.0375437	0.0261073	0.0286045	0.0348261	0.0337016	0.0425665	0.0477908	0.0535578	0.0377857	0.0329035	0.0290937	0.0152656	0.0110961	0.00711493	0.00605811	0.00631548	0.00464391	0.00459649	0.00345217	0.00191927	0.0100101	0.0072299	0.0095057	0.0156309	0.00372216	0.00389555	0.00498326	0.0108718	0.00842715	0.0106486	0.0182388	0.0104113	0.0139466	0.0150144	0.0235892	0.0302188	0.0216112
n'	0.0104999	0.00806706	0.00861204	0.0066044	0.00227399	0.00137317	0.000672641	0.000408378	0.000357189	0.000394691	0.000206522	0.000602112	0.000506015	0.0010609	0.00142471	0.00172796	0.00170216	0.00343783	0.00488546	0.00449429	0.00656669	0.00623834	0.014103	0.0128603	0.0159045	0.0244781	0.0137762	0.0168746	0.0139375	0.0145588	0.0205954	0.0177789	0.0159927	0.0178735	0.0162939	0.0343176	0.0277534	0.044731	0.0428952	0.031344	0.0298618	0.0271246	0.0116273	0.0106191	0.00857451	0.00908442	0.0100502	0.00688806	0.00509254	0.00382118	0.00235312	0.0113625	0.00780863	0.013402	0.0141529	0.01458	0.00950671	0.0127546	0.0212496	0.0235253	0.0209582	0.0338232	0.020302	0.0352225	0.0317252	0.0420417	0.0572541	0.0370489
auras	0.0138587	0.0116601	0.0124205	0.00940409	0.00644891	0.00482379	0.00343403	0.00161314	0.00126741	0.0022574	0.00190295	0.00293691	0.00342429	0.00372867	0.00705886	0.00661705	0.00546649	0.00645428	0.00604866	0.00953688	0.0115251	0.0136985	0.0170375	0.0158611	0.016381	0.0203896	0.0146872	0.0148332	0.0137296	0.0152421	0.0177765	0.0161729	0.0192823	0.0194414	0.0113055	0.0276398	0.0146995	0.0281758	0.0244336	0.0217813	0.0211748	0.0193661	0.0115127	0.0122006	0.0125014	0.0119205	0.0154152	0.0167734	0.0170228	0.015528	0.0105407	0.0225535	0.0209406	0.0180413	0.0294706	0.0322767	0.0358391	0.0221801	0.0173343	0.0155927	0.0104426	0.0137407	0.00890419	0.0150111	0.0107398	0.0216915	0.0320799	0.0347487
