 	a85	a87	a23	a87	a10	a87	a57	a10	a11	a90	a56	a96	a90	a75	a56	a75	a44	a98	a85	a37	a56	a4	a44	a90	a57	a9	a53	a4	a90	a98	a73	a56	a44	a75	a47	a36	a2	a57	a87	a23	a83	a13	a54	a47	a5	a21	a92	a37	a96	a83	a75	a61	a70	a0	a21	a18	a71	a40	a75	a47	a36	a2	a57	a87	a23	a87	a23	a87	a23	a24	a61	a5	a37	a96	a75	a6	a85	a37	a26	a38	</S>
a	0.0187639	0.0168392	0.00965711	0.00517668	0.0032857	0.00375502	0.0131455	0.0081852	0.0112173	0.020855	0.0143909	0.0241142	0.0302417	0.0256253	0.0172032	0.0278474	0.0402289	0.0289942	0.0270427	0.0160984	0.0121051	0.00925114	0.0068952	0.00903953	0.00502245	0.0111429	0.00922793	0.00692128	0.00786927	0.00924388	0.0086851	0.00450711	0.00598939	0.00344632	0.00362782	0.00248053	0.00242072	0.00255173	0.0031254	0.00420921	0.00380334	0.00525932	0.00443436	0.00777307	0.00820675	0.00458677	0.00460722	0.00626019	0.0110549	0.00881831	0.0116717	0.015424	0.0153198	0.0106911	0.0146389	0.0162978	0.0279042	0.018624	0.0253518	0.0202612	0.0149478	0.01595	0.0183442	0.0204903	0.0130679	0.0145642	0.0156742	0.0164963	0.0210496	0.0228255	0.0127921	0.0115243	0.00796267	0.00748929	0.0082997	0.00435068	0.00696352	0.00422138	0.00673391	0.0101314	0.014703
ongondza	0.0108993	0.00638332	0.0057724	0.0050724	0.00184749	0.00211645	0.00257973	0.00199537	0.00237468	0.00674102	0.00736712	0.00773181	0.0128425	0.0192871	0.0143898	0.0346696	0.0334242	0.0105226	0.0110588	0.00874057	0.0115634	0.0104263	0.0101423	0.00990733	0.0114776	0.0176092	0.0196034	0.0194249	0.0337137	0.0272934	0.0296538	0.0291784	0.0295952	0.0268375	0.025288	0.0268888	0.0208486	0.0171441	0.019108	0.0185895	0.0264996	0.01544	0.0189719	0.0161285	0.0149588	0.0144432	0.0163256	0.0159547	0.0109241	0.0155196	0.0114115	0.00770534	0.0124671	0.00699352	0.00787613	0.00599778	0.00269525	0.00623223	0.00348233	0.0111654	0.0128146	0.0105594	0.00859767	0.0108105	0.00716835	0.00687642	0.00473957	0.00305519	0.00260458	0.00170327	0.00250629	0.00296967	0.00202888	0.00315076	0.00556814	0.00802094	0.00985878	0.00981455	0.00722456	0.0108923	0.00773333
les	0.0160015	0.00882621	0.00737296	0.00630054	0.00129232	0.00200745	0.00265051	0.00194094	0.0023442	0.00514901	0.00480231	0.00683698	0.00516229	0.00714289	0.010254	0.0224975	0.0151157	0.00821117	0.0102051	0.00893494	0.00937355	0.0125574	0.0189187	0.012508	0.0167078	0.0182052	0.0251162	0.0204677	0.0444683	0.017891	0.0340737	0.0189087	0.0220714	0.0128886	0.0229354	0.0132262	0.015101	0.00836141	0.0132175	0.0133986	0.0126548	0.0151983	0.00767979	0.0140644	0.0148532	0.0109401	0.0171821	0.0219778	0.0170518	0.0229036	0.0173934	0.0125633	0.0101782	0.0139455	0.00845219	0.00852251	0.00756835	0.0117892	0.0136787	0.0230576	0.0278804	0.029808	0.0195093	0.0178888	0.00890036	0.0112655	0.00750531	0.00286791	0.00272156	0.0015657	0.00177421	0.00297087	0.00143591	0.0014583	0.00259169	0.00510272	0.008715	0.00670194	0.00654123	0.0214956	0.00620016
gens	0.0105722	0.0113008	0.00967553	0.00829657	0.00507698	0.00363402	0.00796657	0.00727253	0.00596398	0.00951633	0.00927185	0.00820599	0.00532285	0.00243131	0.00226511	0.00302484	0.00160986	0.00179682	0.00180602	0.00272384	0.00308713	0.00589182	0.00537361	0.00726489	0.00548778	0.00704741	0.00633807	0.0170678	0.00843237	0.0103292	0.00851401	0.00649996	0.00891147	0.00504991	0.0057841	0.00705161	0.00608244	0.00599957	0.00481304	0.00538532	0.00531778	0.00653406	0.00448858	0.00464838	0.00431726	0.0110908	0.00786287	0.00515129	0.00896851	0.00782287	0.0118257	0.0109211	0.00944712	0.0106775	0.0101483	0.0084018	0.00956613	0.0186971	0.020423	0.0322607	0.0253384	0.0248143	0.0158491	0.0110761	0.020891	0.0114817	0.0125001	0.0163397	0.0203258	0.0343226	0.0528257	0.0637131	0.0317963	0.0561538	0.0446716	0.0336408	0.0179081	0.019869	0.0078458	0.00668034	0.00524038
ne	0.0193318	0.0121337	0.0128714	0.00600401	0.00452923	0.00445575	0.00880636	0.00744566	0.00555238	0.00682783	0.00513554	0.00702848	0.0050255	0.00264289	0.0023866	0.00276863	0.001773	0.00183089	0.00213523	0.00455862	0.00478625	0.00582382	0.00686285	0.00944408	0.0130151	0.0131861	0.0173381	0.0410437	0.02129	0.0428589	0.0320325	0.0285438	0.018768	0.0217308	0.0131663	0.0197196	0.0102598	0.0138474	0.0141417	0.021668	0.0154584	0.02535	0.0143755	0.023042	0.019526	0.0216779	0.0195472	0.0183429	0.0238793	0.0289006	0.0214558	0.0224528	0.0226568	0.0171018	0.0174243	0.0121647	0.0169628	0.0145911	0.0133861	0.00969479	0.00900099	0.00492473	0.00595539	0.0046208	0.00489646	0.00274733	0.0024726	0.00237988	0.00275351	0.00546799	0.00580483	0.0109454	0.00733935	0.00715691	0.00610809	0.0124706	0.0121419	0.00603384	0.00553146	0.0059035	0.00458321
peuvent	0.010868	0.00510892	0.00541923	0.00526473	0.0047483	0.00448189	0.00485166	0.00705644	0.00659396	0.00478148	0.00403073	0.00499483	0.00367559	0.00144301	0.00175172	0.00089718	0.00115942	0.00240141	0.00213766	0.00439654	0.00591634	0.01057	0.0116557	0.0161929	0.0184298	0.0170017	0.0226057	0.0365312	0.0232184	0.0563764	0.0297251	0.0344842	0.0303874	0.0231921	0.0183483	0.0283015	0.0151816	0.0240599	0.026375	0.0288853	0.0287746	0.0374931	0.0232968	0.0275283	0.0232267	0.031381	0.0304962	0.0233871	0.0207879	0.0227498	0.0108927	0.00987908	0.0114909	0.00957665	0.00799492	0.00592397	0.0046157	0.00535958	0.00303184	0.00278397	0.00315356	0.00138981	0.00248987	0.00227944	0.00271917	0.00321377	0.0036558	0.00302778	0.00278747	0.00261018	0.00308149	0.00397892	0.00385095	0.003464	0.00203688	0.00644259	0.00514843	0.00555111	0.00631474	0.0112	0.0174318
pas	0.00858732	0.0050126	0.0047631	0.00356041	0.00278728	0.00251708	0.0033212	0.0039533	0.00374188	0.00390282	0.00435258	0.00479829	0.0037434	0.00179101	0.00194947	0.0019197	0.00201922	0.00238262	0.00204098	0.00228078	0.00241722	0.00380023	0.00325536	0.00640552	0.00618607	0.00600869	0.0102206	0.0216225	0.0150232	0.0535339	0.0218388	0.0405873	0.0295377	0.0307782	0.00958819	0.0284482	0.0111337	0.0352495	0.0310363	0.0342833	0.0170524	0.0523841	0.0298714	0.0323759	0.020571	0.0332916	0.0276412	0.0281457	0.0271457	0.038519	0.0109647	0.0106821	0.0312371	0.0108567	0.0156974	0.00916619	0.00986019	0.00693837	0.00628878	0.00669495	0.00509458	0.00318095	0.00483919	0.00420079	0.00413132	0.00399856	0.00459828	0.00456808	0.00358829	0.00347875	0.00293744	0.00471755	0.00536256	0.00446727	0.0035156	0.00707608	0.00651403	0.0051699	0.00467609	0.00808504	0.0100355
me	0.0141392	0.00699156	0.00587896	0.00269535	0.00111581	0.00128981	0.00210091	0.00167302	0.00182336	0.00265052	0.00181621	0.00256601	0.00398631	0.00286145	0.00284709	0.00249749	0.0030479	0.0034167	0.00162341	0.0016593	0.00176221	0.00352054	0.00285171	0.00636409	0.00748837	0.00757959	0.0113058	0.0274121	0.0170421	0.0644377	0.022809	0.0334377	0.0393679	0.0383494	0.0144597	0.0243018	0.0157673	0.0383365	0.0360619	0.0428545	0.0236052	0.0509123	0.0450018	0.0534693	0.023905	0.029429	0.0243755	0.022113	0.0240119	0.022007	0.00849866	0.00983982	0.0177406	0.00820194	0.011455	0.00849816	0.00761134	0.00653254	0.00534778	0.00532783	0.0050121	0.00348403	0.0042149	0.00377178	0.0021365	0.00246814	0.00206489	0.00208306	0.00199275	0.00167275	0.00123935	0.00137981	0.00363925	0.00398004	0.00372172	0.00514209	0.00464807	0.00279887	0.00267889	0.00372272	0.00807469
prendre	0.0132665	0.00823023	0.00900647	0.00692326	0.00332174	0.00478925	0.00576857	0.00475729	0.00515316	0.00529501	0.00341453	0.00385553	0.00473236	0.00426435	0.00467248	0.00396922	0.00380486	0.00412762	0.00305264	0.00398929	0.00488463	0.00737056	0.00608921	0.00997376	0.00984365	0.010911	0.0116042	0.022115	0.0127833	0.038827	0.0171709	0.0255019	0.0340455	0.026934	0.0204162	0.0229455	0.0241974	0.0289193	0.0279276	0.0317676	0.025867	0.0287452	0.0314896	0.0331375	0.0188656	0.0263348	0.0278639	0.0210621	0.0234697	0.0193202	0.0151923	0.0129287	0.0128752	0.012399	0.0113949	0.009735	0.0113432	0.0116899	0.0130529	0.0125711	0.0123136	0.010322	0.0101693	0.00897557	0.00615157	0.00600741	0.00514586	0.00464603	0.00470542	0.00461671	0.00236368	0.00204034	0.00311779	0.00364231	0.00423247	0.00642917	0.00684589	0.00396781	0.00427758	0.00519919	0.00487013
pour	0.0249427	0.01599	0.0130568	0.00635886	0.00140497	0.00171938	0.00331789	0.0018826	0.00188806	0.00350579	0.00223031	0.00470119	0.00404178	0.00604071	0.0047742	0.00451649	0.00510128	0.00691874	0.0051602	0.0077569	0.010936	0.013869	0.0133546	0.0166773	0.0162756	0.0156783	0.0171808	0.0213074	0.0178028	0.0255929	0.0176671	0.0205508	0.0257707	0.0206872	0.0190103	0.0191916	0.0206416	0.0219335	0.0232159	0.0242024	0.0236446	0.0253476	0.025008	0.0266021	0.0215171	0.022998	0.0238399	0.0245762	0.0228061	0.0185308	0.0125477	0.01174	0.0121073	0.0111522	0.0102212	0.00926387	0.00859203	0.00927955	0.0110347	0.00895209	0.0100807	0.0100574	0.00857621	0.0078033	0.00431697	0.00481908	0.00252591	0.00152276	0.00163911	0.00235939	0.00323909	0.0028022	0.00559897	0.00531057	0.00717722	0.0111953	0.0157158	0.00921448	0.00853295	0.0118829	0.0190139
