 	a66	a87	a23	a99	a50	a31	a88	a62	a21	a47	a96	a61	a21	a12	a21	a12	a47	a75	a25	a79	a69	a58	a82	a87	a23	a99	a38	</S>
j'	0.0433315	0.0260357	0.0229665	0.0129298	0.0122787	0.0117058	0.00940704	0.0072013	0.00348207	0.00408775	0.00601393	0.00651184	0.007299	0.00759987	0.00756052	0.00997617	0.0214207	0.0709194	0.104227	0.0817307	0.0880304	0.102664	0.100426	0.0771162	0.0456095	0.0343566	0.0221308	0.052981
ai	0.0882501	0.0514269	0.0512457	0.0501372	0.0347012	0.0308616	0.0293483	0.0296799	0.0255361	0.0320708	0.0356137	0.0387812	0.0396757	0.0362975	0.0375535	0.0425793	0.0283422	0.0234712	0.0228211	0.0244307	0.0306219	0.0332315	0.0290717	0.0258483	0.0326565	0.0345053	0.036289	0.024952
attrapé	0.0349415	0.0282458	0.0276778	0.02728	0.0255922	0.0309465	0.0313091	0.0273099	0.0358503	0.0414387	0.0432083	0.0477774	0.0378595	0.0416352	0.0321854	0.0463158	0.0281498	0.0283244	0.0252126	0.0282203	0.0452966	0.0311365	0.0277464	0.0338828	0.0336215	0.0432192	0.078413	0.0372032
une	0.0398646	0.0395528	0.0382648	0.0430846	0.0393112	0.0224825	0.043332	0.0518577	0.0558716	0.0587469	0.0343248	0.0560297	0.0426419	0.0430812	0.0417613	0.0443913	0.0343369	0.032003	0.0210666	0.0232453	0.0292146	0.0229627	0.0183943	0.036441	0.0265969	0.0249638	0.0156826	0.0204936
petite	0.0313537	0.050126	0.0362823	0.0382703	0.0296862	0.0244892	0.0435094	0.0550507	0.0749914	0.0737101	0.0627204	0.0380826	0.0461847	0.0416478	0.0309579	0.0366974	0.0353306	0.0391123	0.033177	0.0282408	0.0229824	0.0233407	0.0298188	0.0236241	0.0211202	0.0111092	0.00772642	0.0106572
perche	0.0425594	0.0430986	0.0348539	0.0322913	0.0322917	0.0290903	0.0259983	0.0275755	0.0323166	0.0190926	0.01896	0.0296631	0.0346108	0.0338472	0.0317572	0.0398545	0.0327775	0.0309806	0.0452771	0.0429025	0.0421522	0.0629631	0.0316625	0.04199	0.051435	0.0390163	0.02562	0.0453621
à	0.105764	0.0693992	0.078181	0.0585153	0.0473715	0.0393052	0.0245044	0.0226608	0.0206309	0.0145589	0.0107662	0.0174971	0.0202911	0.0198985	0.0193351	0.0225096	0.0212901	0.0211454	0.0198403	0.0241119	0.0181956	0.0323679	0.0254793	0.0329352	0.0516797	0.0510264	0.0423246	0.0684146
l'	0.119411	0.0523838	0.0611307	0.0465349	0.0293198	0.0218761	0.0195941	0.0204279	0.0168997	0.0152466	0.0132559	0.0154159	0.0166943	0.0157895	0.0150569	0.0122297	0.0191558	0.0199568	0.0173926	0.0267283	0.0202672	0.0404718	0.0334813	0.0477943	0.0520823	0.0778219	0.0733671	0.0802139
hameçon	0.0537413	0.028664	0.0465134	0.0360823	0.0255635	0.018242	0.0198251	0.0241959	0.0251909	0.0292783	0.0172646	0.0184053	0.0196364	0.0162114	0.0151303	0.0145296	0.0210127	0.0453883	0.0263586	0.02483	0.0268669	0.0406403	0.0472507	0.0629672	0.0592607	0.0971496	0.0750213	0.0647794
</S>	0.0827199	0.0214736	0.033549	0.0139802	0.00723023	0.00586774	0.00230074	0.00481865	0.00421412	0.00318414	0.00228192	0.00590604	0.00870104	0.00889499	0.00930847	0.0111867	0.0118444	0.0185412	0.0174613	0.0199476	0.0296451	0.051272	0.0355174	0.0601344	0.114821	0.133038	0.111372	0.170788
