 	a66	a87	a10	a87	a23	a83	a54	a47	a37	a6	a37	a75	a85	a37	a75	a98	a92	a25	a56	a96	a75	a61	a75	a85	a61	a62	a83	a98	a73	a37	a26	a57	a87	a23	a87	</S>
mon	0.0401399	0.0293289	0.0445041	0.0244118	0.0255603	0.0309833	0.0851919	0.0571452	0.0531281	0.0355912	0.018134	0.019513	0.015124	0.0221351	0.0176629	0.0281805	0.0276212	0.0279512	0.0354865	0.0274299	0.0335905	0.0386379	0.0448239	0.0158927	0.0112387	0.0110946	0.0144971	0.0215154	0.0176562	0.0185813	0.0178669	0.0210029	0.0177861	0.0182002	0.0120386	0.020354
enfant	0.00272007	0.00272677	0.00389932	0.00462002	0.009997	0.0200307	0.040595	0.0831998	0.0680969	0.106789	0.0698011	0.186473	0.114611	0.0884395	0.0484437	0.0462478	0.0162012	0.0138911	0.0176288	0.0106275	0.00622596	0.0104092	0.00442643	0.00451686	0.00172575	0.00153403	0.00286391	0.00123458	0.00265922	0.000795121	0.00189431	0.00182006	0.00116171	0.00112636	0.0013979	0.00116947
qui	0.0571155	0.0494201	0.032351	0.0383319	0.0403003	0.0363018	0.0262716	0.072582	0.0876725	0.0480536	0.100613	0.0375463	0.0450246	0.0484705	0.0356589	0.0177382	0.0330709	0.0171388	0.0122697	0.00562768	0.00527538	0.00341487	0.0054369	0.00801539	0.00448825	0.00878307	0.00609092	0.00412962	0.00402726	0.00461931	0.0106233	0.0139808	0.0165806	0.0173303	0.0219755	0.0236696
était	0.0990001	0.080728	0.0492245	0.0271964	0.0158039	0.0128188	0.0119693	0.0232791	0.0451964	0.0351647	0.030534	0.0185963	0.0164263	0.0100753	0.020368	0.00956268	0.0318585	0.0225772	0.0383813	0.0401499	0.038163	0.0186423	0.0378921	0.0158857	0.0092544	0.00944523	0.0105524	0.00965486	0.0103489	0.03016	0.0259086	0.0224399	0.0202565	0.0222176	0.0213854	0.0588824
très	0.0698545	0.0726593	0.0577159	0.0410303	0.0276845	0.0348788	0.0294543	0.0160002	0.0138476	0.0108288	0.0130659	0.0137603	0.0176962	0.019379	0.029057	0.0179265	0.0290446	0.0350201	0.0351397	0.0424647	0.0462567	0.0543609	0.0549171	0.0400223	0.0450197	0.0303067	0.0176753	0.0193924	0.00660153	0.00985187	0.00473375	0.00621786	0.00623001	0.0104962	0.00690373	0.0145059
faible	0.0620354	0.0682505	0.0574724	0.0625908	0.0393089	0.041891	0.0356431	0.0347876	0.0351807	0.0440331	0.0234657	0.0220594	0.0171127	0.0133046	0.0209181	0.0179018	0.0213869	0.0189641	0.0249545	0.0206762	0.0283141	0.0246542	0.0364253	0.0325375	0.0220589	0.0194026	0.00938101	0.0116916	0.0107953	0.0122308	0.0116657	0.0151061	0.0164611	0.0251511	0.0168647	0.0253226
est	0.0595508	0.0571189	0.0511161	0.041942	0.0269797	0.0313278	0.0425534	0.0300737	0.0417586	0.0219077	0.0118069	0.0151459	0.02441	0.0207059	0.0315552	0.0330452	0.0346073	0.0414726	0.0242488	0.0142882	0.0282003	0.0115276	0.0188608	0.0236345	0.00785542	0.0130601	0.0207917	0.00990831	0.0169352	0.0173476	0.0249709	0.0361426	0.0371023	0.0187259	0.0192325	0.0400896
devenu	0.0480526	0.0366047	0.0499377	0.0223946	0.0253769	0.0248745	0.0397719	0.028073	0.0363133	0.0306483	0.0176808	0.0123944	0.0160792	0.010543	0.00619862	0.00937254	0.012874	0.0193281	0.021415	0.0174189	0.0224965	0.0222781	0.0191161	0.0208223	0.0170217	0.020139	0.0335602	0.0290076	0.0215428	0.0265797	0.0341675	0.0530544	0.066276	0.0403353	0.0339838	0.0542671
fort	0.0547824	0.0392276	0.0482771	0.0282169	0.0350905	0.0357299	0.0498156	0.0410312	0.0347363	0.0226402	0.0187259	0.0131744	0.016124	0.0219008	0.0216601	0.0215461	0.0201869	0.0297267	0.0229027	0.0134335	0.0205846	0.0213136	0.0146706	0.0205589	0.018567	0.0263564	0.0266471	0.0397491	0.0255809	0.0354859	0.023697	0.0421078	0.0248851	0.0356591	0.0137235	0.0214846
</S>	0.03631	0.0245431	0.0341054	0.0184298	0.0229423	0.0250464	0.0344815	0.0238424	0.0239005	0.0125448	0.00983966	0.00532034	0.00595532	0.00891422	0.00882885	0.0118452	0.0164216	0.0218709	0.0238082	0.0182543	0.0191554	0.0247286	0.018256	0.0183369	0.0251962	0.0282552	0.0376213	0.0782318	0.0387344	0.0639638	0.0429716	0.0643647	0.0366922	0.0560328	0.0199769	0.0402774
