 	a66	a87	a23	a87	a97	a87	a97	a87	a97	a23	a53	a79	a56	a25	a90	a69	a56	a75	a5	a36	a75	a85	a5	a37	a21	a12	a18	a54	a47	a36	a26	a4	a53	a4	a75	a5	a18	a54	a36	a37	a26	a66	a71	a9	a97	a3	a97	a87	a97	a84	</S>
du	0.0135547	0.0256915	0.0127327	0.0152729	0.0176502	0.0209369	0.0174598	0.0192051	0.0196483	0.0257538	0.0424008	0.0412008	0.0434212	0.0524514	0.0474509	0.0493574	0.0383967	0.0501999	0.0279472	0.0205091	0.0142532	0.0130581	0.00783254	0.00800041	0.00648285	0.00493961	0.00644194	0.0042716	0.00644994	0.00895392	0.0120822	0.0116654	0.0164673	0.010854	0.0158074	0.012066	0.0162684	0.0134234	0.0163538	0.0206395	0.0210165	0.0321804	0.0129589	0.00967652	0.010328	0.0151713	0.00796814	0.0122406	0.00994207	0.0114014	0.0295636
marché	0.00183413	0.00201255	0.00311881	0.00317652	0.0064029	0.0127155	0.0120061	0.0096097	0.0232019	0.029078	0.0166568	0.0498889	0.0627499	0.0950464	0.0910663	0.131838	0.09175	0.0496075	0.0432616	0.0322676	0.0256879	0.0159395	0.0163873	0.02653	0.0185698	0.0151913	0.0134333	0.0149896	0.0185236	0.00761284	0.0110626	0.00781566	0.0122088	0.00751032	0.00427141	0.00113132	0.00149471	0.0020026	0.00211898	0.000935637	0.0022971	0.00131956	0.000820537	0.000360911	0.000570721	0.000559141	0.000878236	0.000633442	0.000780209	0.000531584	0.000541824
il	0.0249582	0.024959	0.0228189	0.0246934	0.0319334	0.0295079	0.0327756	0.026999	0.0253089	0.0251089	0.00990664	0.0149157	0.0322934	0.0304547	0.0268986	0.0238872	0.0227041	0.0266427	0.0191109	0.0319843	0.0259099	0.0474991	0.0322631	0.0614847	0.0420996	0.068882	0.0418619	0.0140871	0.0109428	0.00900254	0.0100062	0.00420628	0.0130224	0.00456622	0.00310898	0.00467063	0.00532683	0.00398149	0.00413575	0.0059139	0.00703701	0.00682316	0.00355326	0.00760059	0.00440556	0.00869118	0.00778177	0.00879207	0.0120228	0.0100869	0.00237285
est	0.0186024	0.0100161	0.00521101	0.00563156	0.00463394	0.00603097	0.00669894	0.00737663	0.0130149	0.0130086	0.0105389	0.0122901	0.0127795	0.0114032	0.00849018	0.00809685	0.00889395	0.0117271	0.0104942	0.0305802	0.0261727	0.0637951	0.0555667	0.0481176	0.0439833	0.032382	0.0394059	0.0160166	0.0181238	0.0351459	0.0239059	0.0275122	0.0426399	0.0305215	0.0368199	0.0224944	0.019305	0.0194637	0.0207099	0.0162818	0.018819	0.014108	0.0137974	0.0122257	0.0112238	0.0178058	0.0097655	0.0113783	0.0117892	0.00954178	0.0156625
passé	0.0107665	0.0135051	0.0132079	0.0154564	0.0147797	0.0341464	0.054753	0.0607902	0.0673319	0.0673127	0.0574883	0.0490328	0.0373951	0.0296539	0.0208214	0.0125816	0.0116201	0.0106586	0.0109772	0.0196384	0.0183612	0.0326351	0.0372272	0.0210999	0.020861	0.0209822	0.0185196	0.0160686	0.0111067	0.0107493	0.0116748	0.0102977	0.0136815	0.0270105	0.015216	0.0108792	0.011265	0.0110049	0.0121312	0.00807947	0.00759739	0.00577003	0.00831706	0.00596991	0.00515155	0.00371554	0.00230351	0.00224509	0.00332478	0.00151389	0.00332319
droit	0.0153574	0.0129707	0.0072953	0.0074521	0.00516405	0.00367267	0.00384327	0.00485324	0.0043945	0.00397723	0.00641972	0.0069494	0.0122332	0.0123609	0.0146231	0.0190764	0.0302973	0.0444945	0.0361189	0.0437238	0.0378299	0.0452315	0.0318506	0.0319476	0.0228672	0.0219155	0.013488	0.0198043	0.0156965	0.0155106	0.0137813	0.0147977	0.0140442	0.0103038	0.0147162	0.01494	0.018972	0.0187477	0.027278	0.0304973	0.0220063	0.0311574	0.0272566	0.0253511	0.0302089	0.0304909	0.0117506	0.0294918	0.026266	0.0166412	0.0198816
à	0.0134217	0.0116094	0.00807181	0.00748014	0.00613342	0.00382535	0.00272773	0.00245806	0.00158236	0.00162267	0.00364469	0.0048521	0.0156548	0.0102367	0.013302	0.0163229	0.0148839	0.0292994	0.0199058	0.0340838	0.0400759	0.0458901	0.0432787	0.0411753	0.0381225	0.0373318	0.0305935	0.0266959	0.0263079	0.0216825	0.0135491	0.0155248	0.0170598	0.0100726	0.0151989	0.022684	0.0216084	0.0193387	0.0268116	0.0288003	0.0194635	0.0261972	0.0228291	0.0211953	0.0215338	0.0222502	0.0162548	0.0212637	0.0222363	0.0142279	0.0296271
l'	0.0144108	0.00616514	0.00456722	0.00537464	0.00485903	0.00393545	0.00326098	0.00261276	0.00313103	0.0021808	0.00476928	0.00729754	0.00907321	0.00766589	0.00890677	0.00985869	0.0117689	0.0141316	0.0128186	0.0222867	0.0306771	0.0363134	0.0429239	0.0406767	0.042992	0.0365991	0.0304665	0.019854	0.0162005	0.0197424	0.0153435	0.0168816	0.02572	0.0161302	0.0242968	0.0405034	0.0262364	0.0211937	0.0263594	0.025318	0.0170964	0.0191216	0.0182498	0.0268091	0.0230605	0.0244198	0.0348285	0.0258058	0.0281892	0.029399	0.0395168
église	0.0108252	0.00944993	0.00837817	0.0106604	0.00976552	0.0106249	0.0088926	0.00851073	0.00948842	0.00964109	0.0165097	0.0192545	0.0176458	0.0182473	0.0141461	0.0176757	0.00929723	0.00930103	0.00947857	0.0136393	0.0166786	0.0316842	0.0307436	0.0212815	0.0367527	0.027834	0.0258442	0.0193573	0.018315	0.0174334	0.0125985	0.0141082	0.0304412	0.0198599	0.0309141	0.0314651	0.0312229	0.0223648	0.0328293	0.0239308	0.0336874	0.0249599	0.0465545	0.0257458	0.0213804	0.0171143	0.0232398	0.0147907	0.0222548	0.0116655	0.0215157
</S>	0.0130206	0.0203975	0.0131906	0.0182693	0.0156458	0.0169322	0.016223	0.0140064	0.0185171	0.0182015	0.0330967	0.0292099	0.0195584	0.0325085	0.0275073	0.0262844	0.0224183	0.0167637	0.0189247	0.0182824	0.0212477	0.0204963	0.0204891	0.0194463	0.0241782	0.0168596	0.0146865	0.0148923	0.0152188	0.0133181	0.00944369	0.011452	0.020019	0.012105	0.0156621	0.0171859	0.0217159	0.0134199	0.0286018	0.0256484	0.0234584	0.0342352	0.0211831	0.0119423	0.0113388	0.0137935	0.0149453	0.0175219	0.0229743	0.0156342	0.047928
