 	a66	a87	a23	a40	a7	a54	a47	a6	a5	a54	a47	a36	a2	a75	a25	a41	a90	a94	a56	a96	a62	a34	a56	a90	a94	a38	a70	a34	a47	a96	a94	a93	a90	a21	a5	a36	a27	a82	a87	a23	a87	a97	</S>
on	0.0360996	0.0523518	0.0579907	0.0603994	0.0559913	0.0668047	0.0594219	0.0777453	0.0551967	0.0365021	0.0318355	0.026743	0.0466894	0.040791	0.0285409	0.035346	0.0153606	0.0123502	0.00760896	0.00620477	0.00671546	0.00910383	0.00846588	0.00992905	0.00948557	0.00999432	0.011264	0.00978824	0.00641842	0.00558789	0.00689472	0.00611016	0.00691776	0.0078695	0.00552527	0.00841171	0.00816236	0.00491891	0.00700407	0.0072754	0.0086912	0.00621565	0.0192768
ramasse	0.0201994	0.016422	0.0183	0.0202364	0.0239402	0.0285916	0.0331743	0.0483097	0.0383745	0.0485087	0.0167509	0.0256533	0.0234618	0.025613	0.0249904	0.0245692	0.0204857	0.0240051	0.0240356	0.0180476	0.0235898	0.0188887	0.0241957	0.0226565	0.0225114	0.0172515	0.0115402	0.00772157	0.00891767	0.0112048	0.0173887	0.0207272	0.0219866	0.0224433	0.0187997	0.0310475	0.0294884	0.0285997	0.0199707	0.027974	0.0182816	0.0319953	0.0191498
les	0.0330112	0.0235049	0.0233442	0.01758	0.0206809	0.0320758	0.0369063	0.0626997	0.0481105	0.102124	0.0277178	0.0395793	0.0257371	0.0211336	0.0262016	0.0213827	0.024219	0.0220242	0.0203514	0.0144751	0.0168769	0.0184864	0.0260795	0.017918	0.0171818	0.0107901	0.0300665	0.0232695	0.0179298	0.0152114	0.0171738	0.00458364	0.00706242	0.00681365	0.00359626	0.0107401	0.00831768	0.00678463	0.0215027	0.0185641	0.0132409	0.0273073	0.0176435
fruits	0.00788502	0.00541022	0.00253638	0.00443434	0.00391972	0.00603247	0.00524262	0.00363204	0.00506188	0.0123354	0.00891753	0.0189689	0.00801469	0.0091046	0.0114486	0.00678953	0.0164676	0.0200364	0.0278987	0.0254068	0.0263608	0.0291234	0.0396642	0.0378075	0.0582265	0.0609374	0.0840783	0.0388499	0.0441531	0.0366875	0.0287501	0.0206688	0.0272259	0.0280725	0.032306	0.0148042	0.0170694	0.024315	0.0308095	0.0427502	0.0242103	0.027753	0.0158328
de	0.019134	0.0122522	0.0133374	0.0124241	0.0112183	0.0134539	0.0121912	0.0221129	0.0327073	0.061305	0.0333858	0.0611568	0.0316175	0.0472561	0.0556452	0.039225	0.0406343	0.0448127	0.0440664	0.0305493	0.0293682	0.0370689	0.0421555	0.0195896	0.0183506	0.0172061	0.0279981	0.010149	0.0120615	0.0113246	0.00886457	0.00908207	0.0112817	0.00950561	0.00802282	0.00972144	0.0100286	0.00622136	0.0120313	0.0143241	0.00994763	0.0103357	0.0168752
l'	0.0398411	0.0297525	0.0248634	0.0204331	0.0166882	0.0114723	0.00622104	0.0162204	0.0225142	0.0379754	0.0373193	0.0708196	0.0551653	0.0554392	0.0636199	0.0396453	0.0318783	0.0280828	0.0207028	0.0113055	0.0102064	0.0139104	0.0125103	0.0108107	0.00978702	0.00880243	0.0106658	0.00616775	0.0091841	0.0104649	0.00876234	0.0117349	0.0182875	0.0215478	0.0215578	0.0212506	0.0223051	0.0213636	0.0174323	0.0272892	0.0190995	0.0236352	0.0232646
arbre	0.0139194	0.0152226	0.0254356	0.0180448	0.0187097	0.0215524	0.0131951	0.0166623	0.0144098	0.0270287	0.0150046	0.0403326	0.047371	0.0495846	0.0655064	0.0436753	0.0376382	0.0627367	0.0360032	0.0206205	0.0275959	0.0304285	0.0163492	0.0171438	0.0133909	0.0115172	0.0261664	0.0176515	0.0184797	0.0153658	0.00884574	0.0046831	0.00520736	0.00629645	0.0123903	0.0191428	0.0144967	0.00884575	0.0217681	0.034621	0.0180522	0.031334	0.0175741
obaaré	0.0206553	0.02128	0.0243931	0.0136692	0.0108111	0.00959496	0.010125	0.0154159	0.0153192	0.0143984	0.0232039	0.040211	0.0370347	0.0487765	0.0487841	0.0493308	0.0364509	0.0288436	0.0211243	0.0119038	0.0127918	0.0126292	0.0153436	0.0208885	0.0212645	0.0212863	0.0455388	0.0169147	0.0209925	0.0180145	0.0158187	0.0085734	0.00864974	0.00872146	0.0179757	0.0164925	0.0164602	0.0204833	0.0218008	0.053137	0.0300669	0.0295008	0.0453294
en	0.0427716	0.0380166	0.0377801	0.0165043	0.0125397	0.00868348	0.00948231	0.0131378	0.0229489	0.0130062	0.0243175	0.033393	0.0385651	0.0337518	0.0486598	0.0400102	0.0286874	0.0144994	0.010262	0.0064992	0.00630055	0.00739526	0.00869169	0.00794973	0.00984949	0.0128763	0.0227244	0.00946427	0.0119325	0.0119789	0.00980042	0.0113039	0.0128948	0.0154541	0.0229983	0.0298819	0.0263127	0.0355062	0.0275923	0.0572142	0.0315533	0.0433324	0.0734762
début	0.0169373	0.0210286	0.0221054	0.0128527	0.0116002	0.0106972	0.0126401	0.0209597	0.0201245	0.0248986	0.0379121	0.038533	0.0446202	0.0617069	0.0689156	0.0775709	0.0652232	0.0525973	0.0412107	0.024391	0.0201344	0.0187057	0.0285246	0.0274428	0.018957	0.0197796	0.0441849	0.0207746	0.0111512	0.00871553	0.00787227	0.00493848	0.00270551	0.00320587	0.00536217	0.0073208	0.00628224	0.00489625	0.00787241	0.0106745	0.00642301	0.0162804	0.0112705
