 	a66	a87	a10	a87	a99	a62	a96	a21	a56	a90	a25	a79	a56	a90	a56	a43	a47	a61	a47	a88	a71	a9	a10	a97	a87	a10	a87	</S>
je	0.116395	0.0843777	0.0524231	0.0278792	0.0177361	0.00690882	0.00602204	0.00588177	0.00746483	0.012507	0.0180274	0.0182197	0.0135753	0.0137687	0.0117986	0.0147878	0.0390431	0.0232302	0.0328231	0.0680604	0.0515621	0.0553501	0.0530871	0.0394937	0.0379703	0.0532275	0.0351061	0.0832732
lui	0.0440401	0.0292917	0.0433916	0.0406868	0.0368227	0.0299643	0.0259776	0.0545133	0.0663274	0.0479481	0.0440775	0.0474135	0.0451821	0.0779303	0.0605119	0.0233749	0.0180456	0.0155321	0.0141933	0.017012	0.0224091	0.02105	0.0190787	0.0217326	0.0280133	0.0249945	0.0338877	0.0465975
ai	0.081912	0.0258182	0.0276023	0.0292856	0.0205489	0.011872	0.01117	0.0112292	0.0106338	0.0145024	0.0199265	0.00638097	0.0111637	0.0195249	0.0285483	0.0244362	0.0164683	0.023399	0.0320174	0.0336125	0.0373984	0.0471381	0.0472631	0.0719813	0.06493	0.0737115	0.117572	0.0799537
donné	0.0111334	0.0136583	0.0122905	0.0167889	0.0138708	0.0256509	0.0580085	0.119858	0.174517	0.0783081	0.0910976	0.0691862	0.112638	0.0818103	0.0503744	0.0157124	0.0129631	0.00745893	0.00387622	0.00364235	0.00285628	0.00256838	0.00221537	0.00221335	0.00255709	0.00506528	0.00330273	0.00637756
un	0.0867733	0.0554993	0.0531081	0.0571949	0.0664546	0.0580213	0.0425406	0.0277278	0.0212566	0.0147711	0.0233866	0.0307213	0.0556641	0.032956	0.0215069	0.0122842	0.0191835	0.0327637	0.0367032	0.0165418	0.0182036	0.0270673	0.0286276	0.0257302	0.0306855	0.0363684	0.0301338	0.0381245
coup	0.0529608	0.0703607	0.0507019	0.0427542	0.0409871	0.0422782	0.0401969	0.027549	0.017689	0.0163427	0.0195926	0.021197	0.0370197	0.0524811	0.0495526	0.0358767	0.0397935	0.0358772	0.0444504	0.0433635	0.0329751	0.0398492	0.0301199	0.0241056	0.0276157	0.0214235	0.0203442	0.0225418
de	0.18868	0.0637542	0.0531221	0.0292922	0.0250684	0.0209953	0.0122257	0.00933474	0.00714538	0.00587429	0.00785928	0.00918056	0.0161385	0.0167432	0.0202183	0.015285	0.0291616	0.0462158	0.0507255	0.0511707	0.0400689	0.0647731	0.0599341	0.0542398	0.0390415	0.0258654	0.0271254	0.0107614
poing	0.0919841	0.0625237	0.0444686	0.0301283	0.0258724	0.0212097	0.0186458	0.0176639	0.0247186	0.0197307	0.0161289	0.0178636	0.0260972	0.0275896	0.0307234	0.0300255	0.063387	0.054361	0.0664276	0.0372601	0.0266318	0.0539441	0.032726	0.0293843	0.0353834	0.038361	0.0378227	0.0189374
dans	0.169815	0.0800416	0.0600156	0.0415722	0.0426006	0.0284655	0.0138453	0.00558079	0.00579657	0.00420494	0.00898767	0.0102239	0.0295161	0.0252642	0.0128367	0.00997627	0.0163974	0.0175081	0.0155259	0.0200933	0.0176695	0.0250021	0.0284146	0.0441692	0.0491288	0.0765216	0.0900484	0.050778
la	0.071321	0.0370931	0.0237967	0.0186027	0.0235024	0.0222518	0.013679	0.0109936	0.0115907	0.00232904	0.00224854	0.00237925	0.00588886	0.0091237	0.00863506	0.0125962	0.0159158	0.0259219	0.0372246	0.0254636	0.0305766	0.0571649	0.0590078	0.0817654	0.103499	0.100829	0.108734	0.0778662
face	0.0400187	0.0142089	0.0117411	0.00869494	0.00970477	0.00897785	0.00482446	0.0025719	0.00213668	0.00151004	0.00213429	0.00514734	0.00738959	0.00990619	0.0168746	0.0298011	0.0337424	0.0428371	0.0427994	0.0349565	0.0341225	0.0602474	0.0585145	0.115331	0.111111	0.117506	0.133166	0.0400227
</S>	0.0665118	0.016504	0.0159313	0.0100533	0.00588019	0.00443917	0.00214858	0.00163683	0.00226447	0.00127679	0.00188188	0.00490779	0.00859851	0.0102597	0.00668615	0.0106197	0.0190465	0.0311623	0.0361419	0.0349869	0.0452959	0.0620494	0.0684282	0.0742058	0.108981	0.113088	0.122321	0.114693
