 	a66	a87	a10	a87	a23	a87	a23	a9	a30	a53	a90	a44	a76	a69	a58	a75	a5	a96	a75	a79	a44	a21	a12	a43	a24	a88	a83	a9	a99	a10	a24	a61	a5	a96	a18	a62	a47	a88	a61	a96	a93	a13	a62	a21	a92	a96	a62	a88	a71	a38	a90	a15	a79	a44	a54	a47	a6	a36	a54	a7	a27	a36	a2	a57	a10	a87	</S>
mon	0.0130027	0.0167077	0.0103809	0.00821944	0.0111602	0.0139812	0.0141472	0.0121258	0.0138505	0.0145128	0.0358026	0.018642	0.0211054	0.0217429	0.0116999	0.0129566	0.0209232	0.00839271	0.0142715	0.0166121	0.00997724	0.0109929	0.0168878	0.0242817	0.0185941	0.0151868	0.0287476	0.0253046	0.0325476	0.0135746	0.0195145	0.0324072	0.0321159	0.0225092	0.0307517	0.0277053	0.017765	0.0148423	0.027169	0.0357601	0.0250623	0.0322878	0.0366832	0.00668431	0.0110036	0.0125424	0.00984395	0.00750664	0.00477728	0.00226683	0.00187825	0.00225241	0.00314555	0.00292872	0.00315047	0.00340938	0.00244504	0.00490923	0.00422061	0.00375305	0.00407261	0.00835258	0.00260809	0.0074836	0.00660039	0.00970071	0.0135586
oncle	0.004696	0.00533312	0.0109247	0.00865131	0.00987842	0.0139331	0.0214939	0.0282399	0.06	0.118059	0.107662	0.0958375	0.0816485	0.055425	0.0246647	0.0519974	0.0204027	0.0193002	0.0214821	0.0112124	0.0135823	0.00726273	0.00650494	0.00453929	0.00808411	0.00280747	0.00544092	0.00481994	0.0138009	0.0073628	0.00572434	0.00519123	0.010135	0.00567323	0.00869157	0.00925995	0.00543548	0.00513617	0.00253231	0.00177701	0.00402113	0.00305364	0.00260374	0.00312673	0.00481389	0.00154628	0.00149764	0.00216332	0.00179142	0.00200823	0.00552413	0.00787049	0.00985982	0.0143048	0.00754252	0.00884036	0.0039522	0.00323554	0.00167261	0.000325577	0.000294731	0.000249858	0.000397569	0.000544689	0.000652261	0.00266043	0.000842208
m'	0.0104809	0.0142187	0.0151869	0.0106049	0.00859678	0.0112161	0.0109134	0.0179252	0.0137959	0.0194489	0.0261711	0.0427431	0.0283986	0.0421658	0.0430814	0.0291675	0.0193247	0.0115746	0.0180306	0.0160129	0.0102871	0.0113379	0.0128817	0.0202948	0.0139995	0.0212023	0.0125975	0.00741088	0.0110066	0.0234815	0.0120658	0.0147309	0.010194	0.0156104	0.0177728	0.0127053	0.0115025	0.0134091	0.0152613	0.0128225	0.017709	0.0173053	0.0119739	0.0224278	0.0202377	0.0135208	0.0112305	0.0158869	0.0219183	0.010533	0.0114798	0.0100424	0.0106777	0.00936067	0.00428441	0.0039318	0.00468441	0.0117073	0.00933936	0.00728633	0.00804128	0.00570458	0.00947248	0.0106585	0.00898123	0.0174636	0.00450859
a	0.0182045	0.00738438	0.0044235	0.00380111	0.00303666	0.00388465	0.00507811	0.00837615	0.00414299	0.00644052	0.00494705	0.00913595	0.0112015	0.00552561	0.00803778	0.0109776	0.00467644	0.00332916	0.00321154	0.00830453	0.00434319	0.00676343	0.0131989	0.0162532	0.0107325	0.0150436	0.0138555	0.0155736	0.0107237	0.0148725	0.0061698	0.011657	0.00817377	0.0146133	0.00705615	0.00770674	0.00839326	0.00754534	0.0113558	0.0263608	0.0186649	0.0196834	0.0317888	0.0195605	0.0341012	0.0646067	0.0437634	0.0291098	0.0490341	0.0305383	0.0577679	0.0162256	0.0212604	0.0205344	0.0188246	0.0184749	0.0168143	0.0185094	0.0133809	0.00978578	0.0103451	0.013916	0.00671297	0.0119941	0.0140803	0.00985802	0.0161522
reproché	0.0183041	0.0134881	0.011303	0.0134373	0.0128238	0.0126055	0.0139051	0.0160523	0.00895643	0.0115073	0.0102659	0.0122684	0.0203758	0.014691	0.0166789	0.0203241	0.0105791	0.00835189	0.0102528	0.0128311	0.00902226	0.0115949	0.0132886	0.0247129	0.0128402	0.0196728	0.0170889	0.027178	0.0167754	0.0214541	0.0180411	0.0238968	0.0137498	0.0231704	0.0179301	0.0256889	0.0217743	0.0340717	0.0212124	0.0280437	0.0277597	0.0358594	0.034821	0.0291248	0.0198651	0.0226333	0.0217238	0.0160623	0.0210956	0.00697151	0.0105317	0.0149039	0.00860232	0.00961669	0.00674087	0.00795835	0.010696	0.00325774	0.0061596	0.00235523	0.00200608	0.00191004	0.000863729	0.0013151	0.00159573	0.00173735	0.00362415
de	0.00678419	0.00544615	0.00423305	0.00340721	0.0034229	0.00316066	0.00335903	0.00338233	0.00182022	0.00122087	0.00535444	0.00631731	0.00862078	0.00658492	0.00787031	0.00666522	0.00916869	0.0126688	0.0131317	0.0169815	0.0272997	0.0220368	0.0255375	0.0216904	0.0229523	0.0235713	0.0253301	0.029465	0.0266062	0.0223508	0.0263863	0.0277452	0.0263633	0.0243708	0.0309242	0.0309215	0.026454	0.0242172	0.0237894	0.0258476	0.0245467	0.024277	0.0210724	0.019444	0.0192498	0.0228688	0.0197757	0.0201175	0.0152098	0.00727023	0.00493277	0.00389263	0.00623522	0.00474064	0.00475494	0.00640941	0.00441593	0.0150208	0.0119559	0.0100184	0.0107776	0.0151226	0.0158915	0.0112412	0.0106823	0.00961919	0.016997
ne	0.00756601	0.00605844	0.00701442	0.00627196	0.00623669	0.00554004	0.00542803	0.00494253	0.00348409	0.00319122	0.00442413	0.010258	0.00996791	0.00941824	0.00923634	0.010348	0.00765485	0.0145621	0.00781306	0.0122465	0.0101843	0.0150713	0.0168468	0.0189493	0.0151049	0.0251085	0.0228928	0.0265519	0.0299031	0.0292598	0.0240859	0.0266234	0.0310803	0.0241947	0.0341073	0.0376793	0.0345309	0.0339853	0.0240073	0.0349611	0.0275119	0.0321577	0.023233	0.0329429	0.0206548	0.02315	0.0183468	0.0201506	0.0140633	0.00897346	0.00738108	0.00404246	0.00647225	0.00382475	0.00673866	0.0065417	0.00815794	0.0109415	0.00768219	0.00648126	0.00613082	0.00693906	0.00696698	0.00625864	0.00606647	0.00563826	0.00576069
pas	0.00618769	0.00458897	0.00459138	0.00477278	0.00547839	0.00466638	0.00420266	0.00468162	0.00372633	0.00419572	0.00437952	0.00654167	0.00587439	0.00720135	0.0078955	0.00727245	0.00843434	0.0144653	0.0112057	0.0146981	0.0141931	0.0169242	0.0203275	0.022414	0.0180977	0.0265341	0.0203767	0.0192569	0.021511	0.0239583	0.0194556	0.0205393	0.0208814	0.0215037	0.0218867	0.0246619	0.023988	0.0244698	0.0205277	0.0257631	0.0236881	0.026638	0.0181916	0.0283081	0.0148701	0.0188396	0.0159373	0.0246261	0.0182725	0.0121144	0.010837	0.0086743	0.0106689	0.00832473	0.00972461	0.00917365	0.00691251	0.0255625	0.0212524	0.0152504	0.0119022	0.014331	0.0191891	0.0149544	0.0109552	0.0139768	0.0244936
l'	0.019592	0.020427	0.01546	0.0118784	0.00942759	0.0082241	0.00737593	0.00676675	0.00539504	0.00530653	0.0042596	0.0054413	0.00623725	0.00799433	0.00742799	0.00986731	0.0155263	0.0185916	0.00969973	0.0135974	0.00955306	0.0106897	0.0168471	0.0194749	0.0143494	0.01394	0.0159736	0.0154253	0.025233	0.0219372	0.0161496	0.015962	0.0239866	0.0211056	0.0216492	0.0266538	0.0170793	0.0277222	0.0188532	0.0278418	0.0203355	0.0287453	0.0182449	0.0176154	0.0118209	0.00933715	0.0069804	0.0227106	0.0103746	0.0156732	0.0117001	0.00984893	0.0093799	0.0128082	0.0143219	0.0135013	0.0125005	0.0144475	0.0163244	0.0166028	0.0156608	0.0167418	0.0097432	0.0226915	0.0147458	0.0180193	0.0202015
avoir	0.0215543	0.0190722	0.0105792	0.0084081	0.00774283	0.00542628	0.00407739	0.00301068	0.0020382	0.00191331	0.00207795	0.0032488	0.00479586	0.00480639	0.00441172	0.00984285	0.0124239	0.0163627	0.00762611	0.0126901	0.0118899	0.0129058	0.0178715	0.018581	0.0167722	0.0172201	0.0216022	0.0169819	0.0262704	0.0226527	0.018148	0.0181957	0.0242617	0.0179855	0.0265905	0.0272941	0.017393	0.0304069	0.0152306	0.0191462	0.0164416	0.0220203	0.0144106	0.0122679	0.00837689	0.0100032	0.00850765	0.0180583	0.0110733	0.0215164	0.0141112	0.0112789	0.0163502	0.0154899	0.0268806	0.014866	0.00957071	0.0141828	0.0131944	0.0113385	0.0195717	0.0264076	0.00888394	0.022428	0.0185027	0.0259444	0.0288135
