 	a66	a99	a13	a11	a62	a96	a88	a31	a62	a88	a26	a93	a98	a79	a12	a62	a34	a56	a44	a4	a58	a82	a87	a23	a87	a3	</S>
j'	0.107412	0.0785903	0.0740126	0.0508817	0.0355299	0.0155659	0.00891666	0.00596543	0.00632463	0.00447844	0.0041424	0.00291109	0.00227529	0.00203434	0.00312005	0.00291202	0.0135861	0.039388	0.0671462	0.0769367	0.0626495	0.0895823	0.0465395	0.0611464	0.0291458	0.0332606	0.0755458
ai	0.0553607	0.0402491	0.0639271	0.0453933	0.0319145	0.0326793	0.024121	0.0274606	0.0287605	0.0312305	0.0478317	0.0389995	0.0257014	0.0351818	0.0523702	0.0375333	0.0239535	0.0333858	0.0547371	0.0431492	0.0348951	0.0296264	0.0308622	0.0287572	0.0353476	0.035	0.0315713
attrapé	0.0188112	0.026193	0.0417762	0.0353015	0.0262594	0.0259844	0.0221978	0.024004	0.0221417	0.0232657	0.0534049	0.0414197	0.0313684	0.0251809	0.0525037	0.036209	0.0223261	0.0202828	0.0219108	0.0432691	0.0340452	0.0542381	0.0530815	0.0356325	0.0657066	0.0973987	0.0460869
le	0.0386922	0.0299288	0.0434566	0.0315828	0.0213658	0.0332207	0.0308904	0.0301967	0.0320473	0.029626	0.0401142	0.0348067	0.0344036	0.0896884	0.0320495	0.0266713	0.0315344	0.037987	0.0657935	0.073169	0.0570264	0.0416552	0.0337273	0.0165486	0.0254007	0.0216159	0.0168014
petit	0.122719	0.0759616	0.0622473	0.0448388	0.0431818	0.0460568	0.0352116	0.0282846	0.0137431	0.0162725	0.0124319	0.0105113	0.00908733	0.0109233	0.0130708	0.0195434	0.029567	0.0615826	0.0783	0.0479614	0.0426471	0.0514894	0.0235472	0.0328355	0.023057	0.0203094	0.0246185
poisson	0.110328	0.0779632	0.093815	0.067047	0.0752636	0.0763976	0.0655504	0.0458285	0.0321915	0.0228624	0.0149728	0.0090319	0.0100977	0.0115229	0.0112508	0.0127954	0.0166904	0.0230665	0.0302531	0.0212044	0.0219634	0.0192966	0.0227543	0.0223383	0.020945	0.0245836	0.0399857
ikula	0.0651653	0.0586467	0.0360302	0.0417384	0.0356148	0.0406201	0.0292853	0.0214728	0.0163609	0.0132286	0.0187036	0.0135027	0.0129642	0.0188729	0.0313227	0.0164414	0.022106	0.0260673	0.0246989	0.0341107	0.0538286	0.0457586	0.057306	0.0684582	0.0474256	0.0604165	0.0898532
avec	0.0977756	0.0603855	0.0313472	0.0446565	0.03613	0.0434037	0.0371777	0.0186094	0.0114405	0.00777326	0.0104457	0.00701632	0.00759748	0.0113517	0.0171338	0.0108351	0.0121475	0.00949354	0.012311	0.0176611	0.0223824	0.0518348	0.0609607	0.0517112	0.100033	0.112969	0.0954155
l'	0.0668908	0.0288399	0.0150789	0.0225827	0.0170766	0.0182714	0.0148008	0.00967058	0.00800924	0.00731815	0.00725104	0.00724521	0.00784785	0.0121276	0.0286201	0.0201838	0.0412973	0.022734	0.0300386	0.0432845	0.0383605	0.0582367	0.0650734	0.0738565	0.0861891	0.101106	0.148009
hameçon	0.0407565	0.0254127	0.015878	0.0234134	0.0155182	0.01606	0.0195214	0.0206746	0.0154732	0.0135227	0.0116968	0.0100307	0.009477	0.0209764	0.0250293	0.0237754	0.0351432	0.0239897	0.0299339	0.0346048	0.0315878	0.0598686	0.0508609	0.0797567	0.119774	0.0828564	0.144408
</S>	0.0435841	0.0209434	0.00767397	0.0121035	0.00931497	0.0120004	0.0114617	0.00722378	0.00419792	0.00316475	0.00350632	0.00198668	0.00176862	0.00516247	0.0211835	0.008959	0.0116265	0.0153537	0.035581	0.0316792	0.0445171	0.0783432	0.0696589	0.127696	0.0946405	0.168552	0.148117
