 	a84	a87	a23	a54	a79	a56	a90	a93	a56	a12	a75	a92	a56	a61	a21	a47	a61	a43	a11	a93	a44	a37	a26	a57	a97	a87	a23	a99	a97	a99	</S>
le	0.0705937	0.0937607	0.0870258	0.0556751	0.0326447	0.0131622	0.0104133	0.00920654	0.00623528	0.00606688	0.00905534	0.0104968	0.0106204	0.00753092	0.00812665	0.0055159	0.00489375	0.00506023	0.0170661	0.0326157	0.0622841	0.0529304	0.0547365	0.0599661	0.0357374	0.0422777	0.0335427	0.0433711	0.0412531	0.0323317	0.0458031
riz	0.00278744	0.00694762	0.00768512	0.0195371	0.0260063	0.0487307	0.0770558	0.108807	0.0953041	0.12216	0.093917	0.0972081	0.0558359	0.0530306	0.0485787	0.025754	0.0192708	0.0281338	0.0184465	0.0127629	0.00925526	0.0046147	0.00579486	0.00137871	0.00171872	0.00143159	0.00117898	0.0016787	0.00158911	0.00232879	0.00107085
gonfle	0.0539234	0.0753688	0.0731525	0.0694954	0.0671867	0.0636193	0.0798466	0.0696207	0.0576413	0.0381786	0.0387592	0.0167919	0.0236233	0.0187338	0.020914	0.0115508	0.0123305	0.0131807	0.0205336	0.0181179	0.0161588	0.015707	0.0125134	0.013997	0.0130028	0.0113854	0.0116908	0.0119999	0.0223293	0.0208238	0.00782291
sous	0.0784446	0.045885	0.0433337	0.0150839	0.00522364	0.00436465	0.00639186	0.00723108	0.00717478	0.00684856	0.0151384	0.0147272	0.0163061	0.0219707	0.0258901	0.0191823	0.0269347	0.0436849	0.0331456	0.0488029	0.038644	0.035817	0.0290113	0.0277681	0.0398004	0.0345937	0.0529531	0.0389458	0.0608987	0.0686214	0.0871818
l'	0.17142	0.0916161	0.0973364	0.0710036	0.0429605	0.0517121	0.0369335	0.0229345	0.017517	0.0146399	0.0119226	0.0140896	0.0157904	0.0205788	0.022237	0.02506	0.0296334	0.0258214	0.0171782	0.0116057	0.0134616	0.013671	0.00803751	0.00809733	0.0118517	0.00849322	0.0163764	0.0137283	0.0241894	0.0168049	0.0532977
effet	0.0825843	0.0535109	0.0443524	0.0256768	0.0195627	0.0174284	0.0201522	0.026576	0.0257908	0.0253402	0.0305682	0.0212955	0.0172049	0.0194869	0.0225686	0.0141743	0.0158968	0.0183285	0.0412031	0.0450554	0.0496849	0.042664	0.0281235	0.0266985	0.0314648	0.0276972	0.0324353	0.0334626	0.0400995	0.03916	0.0617529
de	0.0141641	0.00947128	0.00856087	0.00618464	0.00754812	0.00817894	0.00736836	0.00604588	0.00403727	0.00282188	0.0036142	0.00348633	0.00425276	0.00388491	0.00484043	0.0060913	0.0098803	0.00812155	0.0171953	0.0308301	0.0456647	0.0758904	0.0916492	0.117072	0.128112	0.0788846	0.0709598	0.0614645	0.0492101	0.0584059	0.0561077
le	0.0280349	0.0238934	0.0214839	0.0166167	0.0126765	0.0166707	0.0176122	0.0177789	0.0179722	0.0149699	0.0142642	0.00691783	0.00704198	0.00635788	0.00616185	0.0104276	0.0131336	0.0125121	0.0271047	0.0367959	0.0429186	0.041254	0.0484737	0.0545853	0.0749478	0.0651927	0.0720017	0.0528219	0.0613625	0.0821119	0.0759031
chaleur	0.0494046	0.0335925	0.0247338	0.0108176	0.0044963	0.00557161	0.00501383	0.00606519	0.010826	0.00902388	0.01015	0.00670976	0.00609494	0.00452715	0.0050834	0.00895182	0.0139156	0.00888089	0.0198551	0.0208821	0.0309257	0.0606893	0.0698976	0.0730477	0.0554714	0.0536752	0.0653877	0.0804385	0.069439	0.072933	0.103499
</S>	0.0730504	0.0620272	0.0706091	0.0493924	0.0185666	0.0226547	0.0221186	0.019628	0.0135314	0.0106794	0.0119943	0.00914086	0.00762707	0.00723504	0.00685715	0.0111543	0.0141839	0.0106771	0.0220175	0.0130791	0.0213401	0.0333007	0.0398024	0.0445028	0.0344162	0.0278122	0.0360061	0.0453552	0.0494953	0.0542308	0.137514
