 	a66	a87	a23	a30	a13	a30	a93	a11	a56	a44	a90	a44	a75	a56	a75	a85	a6	a92	a90	a92	a98	a79	a7	a93	a4	a57	a3	a99	a87	a23	a40	a47	a7	a54	a47	a44	a93	a90	a98	a92	a23	a75	a36	a27	a11	a75	a36	a27	a82	a97	a87	a23	a87	</S>
avant	0.0102357	0.0142358	0.0121715	0.012653	0.038327	0.104146	0.0413599	0.0943699	0.0921928	0.0826148	0.0414935	0.042249	0.0614442	0.0426584	0.0402082	0.018179	0.0100256	0.00927409	0.00869963	0.00809685	0.012625	0.00807383	0.0129778	0.012073	0.00703465	0.0079107	0.00711352	0.00945583	0.00709882	0.005587	0.00431233	0.0044992	0.00232018	0.00324535	0.00243641	0.00216259	0.00377791	0.00390729	0.0167229	0.00360012	0.00708697	0.00407643	0.00471759	0.00417188	0.00578138	0.00691954	0.00559659	0.00474814	0.00667857	0.00524729	0.0045655	0.00451703	0.00333885	0.0109848
que	0.00694823	0.00475436	0.004402	0.00638978	0.0103521	0.0155178	0.0171677	0.0212982	0.0241362	0.0222414	0.0203048	0.027204	0.0256277	0.0269186	0.0280761	0.0236984	0.0160961	0.0133409	0.0143152	0.0227907	0.0224034	0.0243473	0.0290253	0.0309949	0.0275761	0.0234204	0.0312003	0.0374429	0.0212182	0.0135117	0.00805162	0.00837879	0.00671829	0.00674264	0.00898369	0.00929134	0.0087809	0.00586971	0.00729188	0.0105026	0.013436	0.0114426	0.0130072	0.0224263	0.0161139	0.0184126	0.0341131	0.049921	0.0327576	0.0228495	0.020015	0.0194003	0.0175347	0.0152379
l'	0.0283631	0.0194148	0.0121934	0.0174637	0.0225865	0.0180956	0.0134811	0.010936	0.0177302	0.0142473	0.0149453	0.0191096	0.0318559	0.0295719	0.0507789	0.0522797	0.0418509	0.0184412	0.0222875	0.0408423	0.0253634	0.022525	0.0198258	0.0117591	0.0188068	0.00716384	0.0209803	0.0167149	0.0104251	0.010958	0.0148351	0.0110491	0.0143802	0.0150416	0.009421	0.00857107	0.00938247	0.00580849	0.00930456	0.0107966	0.0138771	0.0103027	0.00952761	0.00948968	0.00945748	0.0127067	0.0125277	0.0105978	0.0126182	0.0246541	0.0277313	0.0193757	0.0319213	0.0256255
enfant	0.0557573	0.0576922	0.0438484	0.0252955	0.00814093	0.00331288	0.00274815	0.00274002	0.00675308	0.00847111	0.0177295	0.0122202	0.00527297	0.00752399	0.00857962	0.0106472	0.0120767	0.0173867	0.0167457	0.0204547	0.0223252	0.0398373	0.0331617	0.0471471	0.0230331	0.0458343	0.0283127	0.0346308	0.0350744	0.0462834	0.0438736	0.0495052	0.0341773	0.0226512	0.0137071	0.00829113	0.0115357	0.00463184	0.00756383	0.0193559	0.0106813	0.0131141	0.00426198	0.002519	0.00389012	0.00362443	0.00342391	0.00183261	0.00326252	0.00385844	0.00673259	0.0078034	0.0123801	0.00828571
ne	0.0243499	0.0301168	0.0244693	0.0201212	0.0126571	0.00558958	0.00447842	0.0031723	0.00690673	0.00551035	0.00786232	0.0158506	0.00831459	0.0131506	0.00968148	0.0189269	0.0149418	0.0198372	0.0294433	0.0348596	0.0296882	0.0393909	0.0336351	0.0438174	0.0501339	0.0606464	0.0447151	0.0396984	0.0354889	0.0466802	0.0303041	0.0170385	0.0100369	0.0141124	0.00854964	0.00431062	0.00572907	0.0044529	0.00760586	0.0084014	0.00415725	0.00682364	0.00910517	0.00794518	0.0100867	0.00767068	0.0107305	0.00602678	0.00777667	0.00919799	0.0151369	0.0157192	0.0275847	0.0173623
voy	0.0197935	0.0151478	0.0121572	0.0100357	0.00942985	0.00609498	0.00712666	0.00693174	0.00731771	0.0104285	0.00491483	0.0117997	0.00704165	0.0115528	0.0087453	0.0143586	0.0091096	0.0190181	0.0220453	0.0380172	0.0444225	0.0614486	0.0492757	0.0812758	0.0444482	0.0693593	0.0492885	0.0372489	0.0342863	0.024503	0.0164741	0.00910477	0.00566566	0.00692866	0.00460637	0.00391969	0.00596567	0.0046766	0.00557501	0.00931471	0.00861388	0.0105275	0.0156364	0.0126534	0.0177885	0.0106228	0.0163279	0.0123731	0.0130418	0.0142131	0.0155613	0.0127035	0.0123398	0.00874247
age	0.0236993	0.0143174	0.0135645	0.0121077	0.00968242	0.00839196	0.00648521	0.00586395	0.00751037	0.003574	0.00411493	0.00688799	0.00552818	0.00601865	0.00810954	0.0185001	0.0114546	0.0205312	0.0306348	0.0571101	0.0402346	0.0616254	0.042868	0.0556637	0.0419471	0.047344	0.0497434	0.0419691	0.0364026	0.0366417	0.0242687	0.0186525	0.0117542	0.0153262	0.00710286	0.005706	0.0100975	0.00448598	0.0108414	0.0135264	0.0113468	0.00857132	0.00893426	0.00473627	0.00846762	0.00719987	0.00893086	0.00443905	0.0113451	0.00919367	0.0127824	0.0153898	0.0191803	0.0191946
son	0.0548074	0.0434971	0.0399454	0.0341007	0.0446205	0.02819	0.0263952	0.0263355	0.0244425	0.00895791	0.0125968	0.0158009	0.0174184	0.0163695	0.0186696	0.0211946	0.0207502	0.0197984	0.0262153	0.0577748	0.0477003	0.0337043	0.0484351	0.0249798	0.0105816	0.0146978	0.0114899	0.0180273	0.0175007	0.0132291	0.00767037	0.0126758	0.00653203	0.0086473	0.00663151	0.00758508	0.00691732	0.00543119	0.00692426	0.00779343	0.00475347	0.00339778	0.00191276	0.00322732	0.00465249	0.00346563	0.0081006	0.00529153	0.00946054	0.0118567	0.0176057	0.0124931	0.0195301	0.0192178
père	0.0497322	0.0395024	0.0325972	0.0286571	0.0362203	0.0260045	0.0244495	0.0151724	0.00915529	0.00358221	0.00587358	0.00898232	0.00641974	0.00820541	0.00948987	0.0115859	0.0104434	0.0113617	0.013679	0.0150042	0.0133275	0.0151965	0.0133388	0.0221336	0.0168955	0.0249949	0.0142001	0.0184889	0.025805	0.021234	0.0173242	0.0224249	0.0111473	0.0171964	0.0114327	0.0115777	0.0119857	0.0142955	0.0184022	0.014871	0.01059	0.0113841	0.00928365	0.00977514	0.0113394	0.00939597	0.011343	0.00898454	0.0212687	0.0162191	0.0284713	0.0351831	0.0530029	0.0613685
l'	0.0395917	0.0556509	0.0338943	0.0267615	0.0383803	0.0284763	0.0258077	0.0125984	0.00650832	0.00214973	0.00486319	0.00839713	0.00692804	0.00821944	0.00728159	0.0108818	0.00857892	0.00847158	0.0120643	0.0128664	0.0105629	0.00920952	0.0120707	0.0186049	0.0168729	0.0229835	0.0182973	0.0278434	0.0283477	0.0253005	0.0266174	0.0311336	0.0199498	0.0341977	0.0223521	0.0233367	0.0228154	0.0301947	0.0257613	0.0153686	0.0135119	0.0113539	0.0103514	0.00782381	0.00887468	0.00755538	0.00784932	0.00471773	0.011909	0.0105987	0.0164838	0.0211757	0.0309919	0.0366108
a	0.028094	0.0359426	0.0216684	0.0195235	0.0272371	0.0221888	0.0222742	0.014219	0.00880167	0.00561268	0.0063812	0.0171008	0.0167981	0.022812	0.0128765	0.0224574	0.0115022	0.0124708	0.0179352	0.0177764	0.0140903	0.0107057	0.0135478	0.0184718	0.0241998	0.0249905	0.0244277	0.0278125	0.0297708	0.0286646	0.0266508	0.0250491	0.022328	0.0247996	0.0245546	0.0246642	0.0183154	0.0227048	0.0168196	0.0136279	0.011353	0.00871431	0.00937174	0.00772067	0.0089463	0.00670063	0.00902643	0.00414606	0.0112377	0.0124976	0.0199351	0.0245321	0.0328447	0.0331057
béni	0.0400386	0.0539593	0.0347409	0.0315328	0.0432918	0.035957	0.0260473	0.0281229	0.0157478	0.0132177	0.00750511	0.014573	0.01941	0.0220825	0.0116468	0.0135262	0.00891801	0.0120157	0.0134898	0.0144899	0.0145869	0.0137319	0.012864	0.0157147	0.0131175	0.0132495	0.0123463	0.0125742	0.0135113	0.0123455	0.00923867	0.00978338	0.00627043	0.00993132	0.0104875	0.00953467	0.0139242	0.0139412	0.0213755	0.0220681	0.022893	0.0203312	0.018928	0.0162485	0.0191928	0.0170904	0.019375	0.0102859	0.0208925	0.016666	0.016873	0.0195714	0.016606	0.0441361
</S>	0.041564	0.0423264	0.0463385	0.0467718	0.0609738	0.0773441	0.0295128	0.0275472	0.0161185	0.0149704	0.00892247	0.0112482	0.0188869	0.0184014	0.0093189	0.011286	0.00802085	0.010072	0.00970482	0.00899798	0.0131189	0.00662444	0.00692668	0.0131831	0.00808524	0.0102	0.0101163	0.0110976	0.0111301	0.00968605	0.0081353	0.0084849	0.00528459	0.00700224	0.0045324	0.00420528	0.00538602	0.00585255	0.017228	0.00937766	0.011883	0.0160376	0.0271235	0.020942	0.0246845	0.0173464	0.0188413	0.0109773	0.0259746	0.0197691	0.0182607	0.0247629	0.0214057	0.0480071
