 	a23	a53	a4	a13	a38	a90	a92	a12	a96	a21	a85	a92	a85	a47	a73	a90	a92	a37	a12	a96	a18	a71	a9	a87	a23	a87	</S>
le	0.05314	0.080115	0.0314549	0.04121	0.0233386	0.0177836	0.0139666	0.0129621	0.0117435	0.0120017	0.0117323	0.0100999	0.00929758	0.0053955	0.00309813	0.00274521	0.00366717	0.011665	0.0307011	0.0494073	0.0565766	0.0774144	0.0923896	0.102476	0.0916578	0.0716091	0.0723516
charpentier	0.00440969	0.00827228	0.0291327	0.0531908	0.0567748	0.0577919	0.0959725	0.0501483	0.106521	0.13446	0.113738	0.0530644	0.043139	0.0568172	0.0608478	0.0319315	0.0118375	0.00557119	0.00522099	0.00259546	0.00160862	0.00196169	0.000977912	0.00171622	0.0035951	0.0060081	0.0026952
est	0.0644245	0.0859141	0.108981	0.109767	0.0551286	0.04632	0.0568955	0.0549136	0.0541829	0.0334903	0.0272332	0.0200113	0.00963134	0.00698559	0.00954342	0.0102426	0.00813926	0.0145875	0.0217826	0.0142878	0.0100909	0.0207927	0.0176391	0.0173522	0.0292402	0.0636047	0.0288181
en	0.0248165	0.00720883	0.00746231	0.00714865	0.01222	0.00830242	0.0228147	0.0170029	0.0366007	0.0321155	0.0444547	0.0349557	0.0692887	0.175464	0.128349	0.0868225	0.0261581	0.0261492	0.0178029	0.0250097	0.0371484	0.024752	0.0242979	0.0163526	0.0226174	0.0275094	0.0371756
train	0.0434214	0.0378905	0.0201811	0.00931572	0.012039	0.00597749	0.0166081	0.0126391	0.0203856	0.029501	0.0424734	0.0395478	0.0446736	0.0613141	0.0797087	0.108389	0.114335	0.0488917	0.0558225	0.0274662	0.0541437	0.0199177	0.0209842	0.0156819	0.0135595	0.0153822	0.02975
de	0.0230841	0.0209281	0.0212039	0.0118476	0.0100479	0.020466	0.0131609	0.00896426	0.0087706	0.011676	0.013087	0.0160473	0.00867645	0.00560306	0.00525202	0.00481284	0.0186018	0.015304	0.0348196	0.0260003	0.0502691	0.0785889	0.0811923	0.116333	0.102951	0.104384	0.167927
couvrir	0.0646507	0.0373102	0.0316314	0.0265271	0.0248534	0.049762	0.0431993	0.0522034	0.0540592	0.0601759	0.0608896	0.0501144	0.0258528	0.0260316	0.0301626	0.0180631	0.0231186	0.0193465	0.0424696	0.0284691	0.0250924	0.033478	0.0385508	0.030735	0.0350803	0.0288879	0.0392853
la	0.0275482	0.023061	0.0192426	0.0253496	0.0198077	0.0104284	0.0232447	0.0208498	0.0389277	0.0302789	0.0313969	0.0221672	0.0187842	0.0126719	0.0334011	0.0225168	0.0273521	0.0149163	0.0594278	0.0295334	0.0608919	0.0803163	0.0746642	0.0660952	0.0450001	0.0589534	0.103173
maison	0.0215229	0.0180376	0.00567368	0.00681748	0.0114224	0.0107497	0.0242109	0.0138396	0.0276875	0.0352212	0.0367114	0.0252716	0.0150832	0.0109237	0.0167412	0.0146634	0.0169756	0.0116163	0.0403586	0.0330966	0.0533548	0.0702971	0.0824318	0.115681	0.0739578	0.09984	0.107813
</S>	0.0380333	0.0368149	0.0126224	0.0109563	0.0206368	0.0187108	0.0309956	0.028489	0.0289069	0.0362828	0.0384553	0.030387	0.0241784	0.0161611	0.0204119	0.0194395	0.0206636	0.0182744	0.0313148	0.0301985	0.0417954	0.0500215	0.0597791	0.0756587	0.0672453	0.0906784	0.102888
