 	a66	a87	a23	a87	a23	a12	a61	a5	a6	a36	a0	a11	a24	a31	a88	a9	a99	a87	a23	a83	a62	a21	a75	a85	a0	a75	a79	a44	a96	a0	a24	a83	a9	a0	a21	a12	a34	a12	a18	a71	a62	a88	a62	a83	a71	a50	a83	a9	a87	a23	a87	</S>
sa	0.0449446	0.0384668	0.0427335	0.0414236	0.0283548	0.0213769	0.0146223	0.0152583	0.0357178	0.0268926	0.0247018	0.0127174	0.0102706	0.00833664	0.00647979	0.00540483	0.00648655	0.00807641	0.0103588	0.0123362	0.0125727	0.0157795	0.0128841	0.0106363	0.0214774	0.0223292	0.023918	0.0232162	0.0171764	0.0248723	0.031552	0.0196795	0.0263854	0.0153878	0.0250851	0.0168688	0.0110579	0.009357	0.00723302	0.00858073	0.012971	0.00864981	0.0130521	0.015427	0.0194136	0.0202359	0.0243091	0.0222443	0.0208488	0.019373	0.0225208	0.029945
manière	0.00581101	0.00797174	0.0166536	0.0126707	0.0341077	0.0283733	0.043185	0.0338041	0.0382042	0.0268108	0.0188924	0.019427	0.0135895	0.0214564	0.021362	0.0209061	0.0315655	0.0355377	0.0373247	0.0634807	0.0514111	0.0617196	0.0771321	0.0927119	0.0435381	0.0564263	0.0235394	0.00871127	0.006602	0.00507909	0.00240853	0.0047094	0.00277531	0.00233533	0.00261852	0.00151108	0.00266152	0.00139974	0.00118983	0.00176293	0.00165839	0.000786035	0.00106036	0.000828841	0.000877612	0.000410538	0.000527077	0.00155404	0.00175396	0.00266962	0.00441683	0.00207944
de	0.0360575	0.0324099	0.0158442	0.0134534	0.0106802	0.00788742	0.0104169	0.0181151	0.0167559	0.020867	0.0198584	0.020394	0.0190753	0.0373048	0.0120927	0.014166	0.0242736	0.0261685	0.0120826	0.0211363	0.0219429	0.0334967	0.031365	0.0313928	0.018223	0.0202161	0.00887976	0.0112067	0.00793111	0.00773545	0.00626537	0.00514238	0.00824726	0.00610257	0.00492551	0.0149347	0.00995226	0.0197488	0.012851	0.0298402	0.00800578	0.012765	0.0132041	0.0114544	0.036627	0.023858	0.0383388	0.025484	0.0302445	0.0346819	0.0350451	0.0308525
nous	0.0225922	0.0113887	0.00843441	0.00920308	0.0108159	0.00826495	0.00682321	0.00857028	0.0081377	0.0172676	0.00807249	0.00576355	0.0101885	0.00925859	0.00726749	0.00922533	0.0173041	0.0127141	0.00449341	0.0125356	0.0159083	0.0184661	0.0269239	0.0265937	0.0426604	0.0708586	0.0295374	0.0630141	0.027534	0.0455465	0.0377127	0.0333897	0.0376125	0.0431974	0.0416841	0.0405482	0.0155308	0.0427434	0.0195361	0.0272856	0.00942919	0.0176754	0.0123669	0.00789585	0.00545308	0.00568072	0.0071661	0.00371346	0.0037793	0.00475826	0.00492506	0.00255198
apprendre	0.0127688	0.0110776	0.0112089	0.0103524	0.00880971	0.0087899	0.00891292	0.0129487	0.0148981	0.0119704	0.0420152	0.0447091	0.0607421	0.0621265	0.0368889	0.0457899	0.0591906	0.0358115	0.0339134	0.0297377	0.0200217	0.0263439	0.0218479	0.023724	0.0326482	0.0253849	0.0272963	0.0386234	0.0247031	0.0285863	0.0208429	0.0193806	0.0202551	0.0149292	0.0251293	0.012311	0.0128125	0.0109606	0.00482779	0.00741301	0.00342127	0.00241192	0.00156195	0.00144135	0.00112909	0.000801575	0.0013917	0.000772025	0.000898833	0.00166446	0.00156551	0.00223643
à	0.0156893	0.0130408	0.0104335	0.0100177	0.00770597	0.00802623	0.00828093	0.0139537	0.0146585	0.0144845	0.0405031	0.0491623	0.0459174	0.0821601	0.0404746	0.0323438	0.0676383	0.0455881	0.0534028	0.0426103	0.0161344	0.021983	0.0209971	0.0161638	0.0192412	0.0135764	0.0115337	0.0134493	0.0122227	0.0152283	0.0105496	0.0100263	0.0107784	0.0093672	0.0147199	0.0107562	0.0117421	0.00908673	0.00625595	0.0107465	0.00475521	0.00551775	0.00538191	0.00390692	0.00646949	0.00619372	0.0094577	0.00918944	0.011426	0.0115749	0.01597	0.0295065
écrire	0.0271274	0.0212194	0.017903	0.0163055	0.00876504	0.00762659	0.00697892	0.00810246	0.00770059	0.00816	0.0105161	0.0112576	0.0125909	0.0192512	0.0124154	0.0115346	0.0165275	0.0157027	0.0206228	0.0147116	0.0134065	0.0118781	0.0130071	0.0132283	0.00913692	0.00922565	0.00702968	0.00914975	0.0101274	0.00885854	0.00759647	0.00802468	0.00980626	0.0085105	0.0139647	0.0169055	0.0207566	0.0296474	0.0390753	0.0587432	0.0246022	0.0276084	0.027475	0.0220544	0.0349212	0.0406218	0.0389248	0.0291474	0.0373172	0.0281389	0.0372988	0.0587921
est	0.0129726	0.011414	0.0106949	0.0091896	0.00547238	0.00562282	0.0047384	0.0054279	0.00653518	0.00839576	0.00831424	0.00871025	0.0129443	0.0239483	0.00980751	0.011352	0.020792	0.02403	0.0458217	0.023815	0.0397963	0.0241891	0.021443	0.0335353	0.0155233	0.0101805	0.0101058	0.0111828	0.00886059	0.00626064	0.00664843	0.0084059	0.00926479	0.00899842	0.0114429	0.00884319	0.0108554	0.012606	0.0138058	0.022205	0.0183944	0.0191498	0.0177546	0.0305562	0.0418352	0.065457	0.0511148	0.0551934	0.043364	0.0380075	0.0318876	0.0231337
mauvaise	0.00740532	0.0048757	0.00465983	0.00408635	0.00244945	0.00295137	0.00248753	0.00301907	0.00426639	0.00694259	0.00459843	0.00515847	0.0113084	0.0147301	0.00833585	0.00728615	0.00994534	0.0108401	0.024079	0.0123017	0.0208695	0.0140168	0.0121168	0.0191477	0.0156686	0.0111163	0.012986	0.020379	0.016601	0.0142909	0.0161936	0.0211341	0.0179038	0.0171201	0.0222653	0.0142972	0.0169203	0.0177489	0.0273134	0.0292795	0.0337848	0.0445504	0.03301	0.0713765	0.0532718	0.0913067	0.0519092	0.0402678	0.0219875	0.0168042	0.0199238	0.0127111
</S>	0.00853334	0.006944	0.00761741	0.00661531	0.00410398	0.00487408	0.00397869	0.00508405	0.00687244	0.0122606	0.0121374	0.0122019	0.0217361	0.0275081	0.0182953	0.0163702	0.0205833	0.0184237	0.0298814	0.0184601	0.0304417	0.0163883	0.0141035	0.0218415	0.0194065	0.0146157	0.0166249	0.0214039	0.0176307	0.0118583	0.0146796	0.0166191	0.0163818	0.0148168	0.0175971	0.0154826	0.0131775	0.0139209	0.0114209	0.0149515	0.0171431	0.0155819	0.0135904	0.0242969	0.0271814	0.0758071	0.0596864	0.0558743	0.0376855	0.0281596	0.0275896	0.0215596
