 	a66	a87	a23	a87	a23	a99	a50	a62	a96	a94	a75	a6	a5	a36	a70	a34	a96	a62	a96	a88	a75	a85	a92	a85	a92	a37	a98	a6	a0	a75	a92	a37	a75	a47	a36	a2	a30	a10	a87	a23	a87	a57	</S>
j'	0.0570685	0.0453444	0.0352378	0.0177479	0.0192898	0.0141213	0.0128042	0.0163089	0.0148463	0.0124602	0.00960972	0.0116501	0.0126734	0.00962879	0.0102982	0.00490903	0.0121724	0.00898212	0.0141416	0.0352648	0.0120533	0.0203855	0.0112142	0.0175197	0.0180417	0.0218752	0.0134352	0.0410031	0.0246754	0.0274925	0.0307068	0.0209251	0.0252455	0.0280098	0.0291366	0.0268665	0.0308636	0.0257942	0.0457136	0.030428	0.0313421	0.0463065	0.0464062
ai	0.0245914	0.0228242	0.0325111	0.0189793	0.0220237	0.0166729	0.017479	0.0106305	0.0139829	0.0146327	0.00890248	0.014603	0.0124641	0.0160132	0.0139541	0.0126777	0.0121158	0.0195675	0.0352601	0.0229554	0.0319495	0.0514672	0.0703417	0.0960232	0.0472262	0.033219	0.0389977	0.0186111	0.0186982	0.0123819	0.00711923	0.0104455	0.0159743	0.0107283	0.017682	0.0185689	0.0170451	0.0127096	0.0278901	0.0282195	0.0177067	0.015384	0.0187698
jeté	0.0257095	0.0153233	0.0204229	0.0104676	0.0131522	0.0102849	0.0119957	0.00969997	0.0102149	0.00670817	0.00387454	0.0143072	0.0151795	0.013146	0.0118119	0.0139049	0.0136008	0.0181136	0.0379318	0.0246293	0.0315154	0.101586	0.0972943	0.0358079	0.039077	0.0135124	0.0124869	0.0403952	0.0255186	0.0131025	0.0154838	0.0169607	0.0249457	0.0277582	0.0225488	0.0220981	0.0174632	0.0194119	0.0304649	0.0276908	0.0267441	0.0210206	0.0166345
mes	0.0453709	0.029436	0.0214924	0.0487029	0.0323772	0.0377646	0.0286782	0.0181463	0.018404	0.0125073	0.00873251	0.00719325	0.00792416	0.00499447	0.00710383	0.00510081	0.0105809	0.00725602	0.00649439	0.00924583	0.00618105	0.0174553	0.0146992	0.0361109	0.0253448	0.0794137	0.0869826	0.0361872	0.05563	0.0372592	0.0250399	0.0258381	0.0264364	0.0219148	0.019895	0.0266012	0.0240229	0.0147965	0.0059369	0.00836145	0.00873868	0.0102351	0.0194133
habits	0.0566796	0.0359632	0.0222953	0.0407348	0.0203716	0.0196148	0.0138921	0.0106525	0.00932484	0.00763583	0.00774755	0.00752103	0.00682993	0.0050905	0.00601953	0.00497918	0.0085523	0.00596992	0.00547046	0.00898105	0.00910425	0.0148732	0.0131126	0.0217931	0.0327227	0.0427267	0.0428998	0.0325388	0.0525123	0.0531557	0.0498508	0.0443895	0.0386924	0.033874	0.0264562	0.0222158	0.0299122	0.0341372	0.013649	0.0221911	0.0214277	0.0213277	0.0221113
usés	0.0455912	0.0365046	0.0243273	0.0406994	0.0407542	0.0359382	0.0319654	0.0174457	0.0220913	0.0126095	0.0132972	0.0113979	0.0130567	0.00947948	0.00694692	0.00631556	0.0131692	0.0073119	0.00846841	0.014059	0.0139752	0.0176193	0.0119379	0.0148004	0.0188489	0.0205746	0.0193586	0.0203516	0.0336016	0.0300582	0.0328361	0.0415215	0.0489016	0.0388035	0.0341747	0.0376012	0.0280178	0.034115	0.0201211	0.0164275	0.0215479	0.0152794	0.0180974
dans	0.0964082	0.05789	0.0500427	0.0227409	0.0203414	0.0218245	0.0160073	0.0137278	0.0140789	0.010688	0.0170239	0.0156905	0.0188326	0.0125859	0.0100106	0.00666759	0.00737296	0.00698941	0.00799935	0.00765221	0.0137041	0.0166748	0.01622	0.010139	0.0145311	0.0118198	0.0164746	0.0139992	0.0180871	0.0206426	0.0211475	0.024891	0.0202644	0.0305968	0.0224367	0.0236754	0.0347016	0.0373169	0.0356602	0.0416319	0.0364945	0.0474343	0.0368817
la	0.052472	0.0318732	0.0242282	0.0170649	0.0154906	0.016087	0.013672	0.0150942	0.010227	0.00738421	0.00850038	0.0135145	0.0153167	0.00854473	0.00791905	0.00625436	0.00693347	0.00661773	0.00613238	0.0114622	0.0107347	0.0149801	0.0136129	0.0138339	0.0201717	0.0255232	0.0264881	0.0508179	0.0402587	0.0470262	0.0410251	0.0204703	0.0142514	0.0312142	0.0162008	0.0196494	0.0380951	0.0371527	0.0298481	0.0299265	0.0637811	0.0426549	0.0574942
poubelle	0.0348624	0.0187665	0.00854303	0.00774624	0.00508229	0.00648753	0.004168	0.00436248	0.00796456	0.00723492	0.00596864	0.00483892	0.0075731	0.00576029	0.00331604	0.0041621	0.00308126	0.00487153	0.00314365	0.00314919	0.0110963	0.0175884	0.0164065	0.0119068	0.0320317	0.021619	0.0454827	0.0642007	0.0713481	0.0864791	0.0629963	0.0439862	0.0375636	0.0428013	0.0236112	0.0348387	0.0426677	0.0406809	0.0277433	0.0344012	0.033428	0.030688	0.0153515
</S>	0.04734	0.0267146	0.0164413	0.0115408	0.0078174	0.00723384	0.00429157	0.00408864	0.00315117	0.00380304	0.00388893	0.0037106	0.00439744	0.00248702	0.00160346	0.00180548	0.00148567	0.00282178	0.0025515	0.00373308	0.00860386	0.0139509	0.0154301	0.00720244	0.0180658	0.0103689	0.0241252	0.0296608	0.0385189	0.0473429	0.040854	0.029378	0.0287792	0.037024	0.0204979	0.0303805	0.0479124	0.0582808	0.057455	0.0558884	0.0885911	0.0714608	0.059321
