 	a23	a30	a20	a30	a35	a24	a66	a35	a14	a35	a43	a75	a14	a35	a76	a94	a54	a14	a73	a20	a35	a30	a14	a35	a24	a41	a14	a30	a57	a87	a23	a24	a66	a25	a38	a90	a94	a54	a14	a30	a35	a83	a53	a90	a13	a38	a7	a57	a87	a23	a87	</S>
il	0.00921293	0.0185477	0.0256763	0.0802412	0.0706222	0.0798981	0.062797	0.100417	0.0649923	0.0433694	0.0395807	0.0330352	0.0368714	0.0148639	0.01712	0.00995728	0.0051038	0.00435376	0.00829391	0.00894557	0.00866272	0.013804	0.0107321	0.00836293	0.00657976	0.0133431	0.00672345	0.00603103	0.00394971	0.00416599	0.00387916	0.00287862	0.00244339	0.00253994	0.0022124	0.00175439	0.00169137	0.00132195	0.00160312	0.00182304	0.00151762	0.00153379	0.00151582	0.00246936	0.00703338	0.00838704	0.0137709	0.0152663	0.0162014	0.031921	0.0270468	0.0349354
a	0.00133295	0.00361959	0.00524262	0.0074882	0.0103243	0.0161016	0.0443821	0.0504347	0.0582078	0.0461798	0.0560632	0.070394	0.0505405	0.019076	0.0212647	0.00947018	0.0064898	0.0125764	0.0283653	0.0092882	0.00635195	0.0204584	0.0113632	0.013387	0.0116161	0.00617936	0.0103146	0.00907979	0.0111591	0.00839459	0.00819171	0.0108177	0.0111917	0.0081253	0.00731866	0.00912835	0.0152895	0.0151549	0.0137439	0.0197443	0.0207603	0.01804	0.0255853	0.0234721	0.0221344	0.0197232	0.0261463	0.0275988	0.0252106	0.0172647	0.0119247	0.00828762
allumé	0.0122406	0.011785	0.0105404	0.0129463	0.0265164	0.0289742	0.025071	0.0256848	0.0170948	0.0143047	0.0276835	0.0393669	0.0184857	0.00963589	0.00811373	0.00420932	0.00349637	0.0051679	0.00746014	0.00505512	0.00331801	0.00368554	0.00496661	0.00438407	0.00345677	0.0045937	0.00308928	0.00674833	0.00506991	0.00337816	0.00223758	0.00363019	0.00359909	0.00226695	0.00279981	0.00512987	0.00791415	0.0194059	0.0107802	0.0146121	0.0191897	0.0319292	0.0398351	0.0560139	0.0593362	0.0603573	0.0645983	0.0502786	0.0497187	0.0460104	0.0493969	0.044437
son	0.0131318	0.00809973	0.00712425	0.00764715	0.0084986	0.0140562	0.0152676	0.0168736	0.018484	0.0228255	0.0295978	0.0318924	0.0449659	0.0373733	0.0215791	0.0352493	0.0257249	0.0259386	0.0264483	0.04758	0.0549262	0.0466157	0.0417607	0.034801	0.0327383	0.026589	0.0235195	0.0190045	0.0171605	0.0191575	0.0189733	0.0145062	0.01842	0.0200721	0.0218849	0.0216404	0.011978	0.0115342	0.018785	0.012633	0.00915129	0.00918604	0.00722517	0.0053903	0.005553	0.00384182	0.00528992	0.00296193	0.00212494	0.00139144	0.00105371	0.00177245
briquet	0.0123582	0.00937326	0.0130861	0.0121994	0.00990082	0.0181798	0.0318282	0.0291936	0.0253246	0.0408312	0.0297405	0.0413434	0.0526603	0.0420181	0.0360885	0.0241067	0.0370906	0.0209714	0.0296726	0.0354649	0.0383482	0.0475069	0.0262237	0.0244304	0.020324	0.0201074	0.0247476	0.020928	0.0146668	0.0193845	0.0220396	0.0161614	0.0149292	0.0153634	0.0140584	0.0119759	0.0117397	0.00868246	0.0102712	0.00930352	0.00881014	0.00786231	0.00733879	0.0053016	0.00380753	0.00268874	0.00448201	0.00292437	0.00352968	0.00343279	0.00294366	0.00425372
pour	0.0450425	0.0217683	0.0269183	0.0394666	0.0132762	0.0259151	0.0656343	0.0348297	0.0342254	0.0228537	0.0710346	0.092279	0.0465165	0.0532649	0.00664584	0.0054811	0.00650991	0.0170028	0.0198657	0.0032067	0.00603733	0.00448361	0.0070374	0.0137568	0.00482914	0.00884474	0.00771631	0.0188623	0.0100789	0.0128226	0.0054691	0.00423274	0.00383011	0.00308316	0.00295969	0.00209032	0.00276172	0.00411475	0.00725849	0.00517	0.00995381	0.00851618	0.0181641	0.016095	0.0127878	0.0137423	0.0179391	0.0162566	0.0147627	0.0247464	0.0218871	0.0379724
mettre	0.0426869	0.0203553	0.024658	0.0131727	0.0124768	0.0111614	0.0387042	0.0245894	0.0116563	0.0231658	0.0367699	0.028803	0.0109457	0.0121845	0.00993777	0.00673241	0.0124256	0.0179663	0.0182009	0.0091608	0.0108131	0.00799632	0.0101503	0.0138731	0.0162316	0.0178769	0.0182144	0.0191549	0.0228396	0.0250328	0.0125525	0.0256939	0.0153345	0.012853	0.0100867	0.0154606	0.0181241	0.0236539	0.025772	0.0193153	0.0334541	0.0223566	0.0179286	0.0147887	0.0144522	0.017202	0.0143163	0.0222632	0.0204107	0.0266971	0.0198947	0.0494527
feu	0.0546398	0.012539	0.00598383	0.0027505	0.00467583	0.00672457	0.0173783	0.0124547	0.0102344	0.0168	0.0287544	0.0286658	0.0160154	0.0170628	0.0088202	0.00632419	0.00844131	0.020401	0.0206225	0.00904352	0.00971909	0.00981044	0.0123686	0.0124649	0.00994146	0.010994	0.0142625	0.0133071	0.0192617	0.0201739	0.0160608	0.0204863	0.0153323	0.0118722	0.0117861	0.015988	0.0201833	0.0314064	0.0444357	0.0255211	0.0471169	0.0387089	0.0372776	0.0301907	0.0231076	0.0206072	0.0222746	0.0247533	0.0198688	0.0244105	0.0225842	0.0353919
à	0.0424274	0.0098909	0.0058794	0.00508173	0.00960443	0.01602	0.0193559	0.0122032	0.0147565	0.0160153	0.0215867	0.0224569	0.0203551	0.0203346	0.0167391	0.012327	0.0145214	0.0348931	0.0349646	0.0148931	0.0187811	0.0176797	0.0246228	0.0241303	0.0191328	0.0187146	0.0247002	0.0186084	0.0152241	0.0147981	0.0147175	0.0118356	0.00653738	0.00641842	0.00710312	0.00471228	0.00514164	0.00926153	0.0110991	0.0133018	0.0206026	0.016262	0.0175589	0.0235255	0.026672	0.0249651	0.0297195	0.0370378	0.0267441	0.0367915	0.0298011	0.0594932
la	0.0293605	0.0182877	0.0111286	0.00811595	0.0104874	0.0153864	0.017975	0.0123877	0.0132803	0.016997	0.0224378	0.0179143	0.0168529	0.0148936	0.0205658	0.0116257	0.0108036	0.0191002	0.0239121	0.0178162	0.0180818	0.0242492	0.0324286	0.0355421	0.0265857	0.0262136	0.0210029	0.0141439	0.0166409	0.0181778	0.0153945	0.016398	0.0121579	0.0068991	0.00554182	0.0035078	0.00420947	0.00782601	0.00709677	0.00650104	0.0122072	0.00834764	0.0128471	0.0127016	0.0153722	0.0135949	0.0172009	0.024172	0.0255959	0.0392479	0.0392166	0.131569
