 	a66	a87	a23	a99	a61	a5	a18	a34	a12	a18	a75	a6	a79	a44	a93	a70	a13	a38	a70	a13	a38	a70	a50	a88	a93	a4	a90	a56	a92	a44	a4	a54	a79	a44	a36	a37	a26	a18	a71	a25	a87	a23	a87	</S>
j'	0.0328937	0.0365154	0.0444365	0.0255248	0.0278167	0.0184528	0.0499913	0.0247854	0.0160146	0.00574506	0.0112746	0.0164363	0.0100974	0.00903213	0.00696807	0.00710313	0.0057271	0.00748049	0.00740585	0.0109537	0.0161359	0.0119918	0.029242	0.0354181	0.0631292	0.0503493	0.0305735	0.0156896	0.0157096	0.00923139	0.0101267	0.0138312	0.0193468	0.0187252	0.0227502	0.0222209	0.0235938	0.0307736	0.032932	0.019704	0.0352679	0.0273751	0.0324628	0.0387644
ai	0.018187	0.0192006	0.0374181	0.0317293	0.0283067	0.0383355	0.0242922	0.0460419	0.0368506	0.0320284	0.0317642	0.0280548	0.0316247	0.0178806	0.0206597	0.0176147	0.0145035	0.0206008	0.0182526	0.0133122	0.0138079	0.0100472	0.0180702	0.0146076	0.0193789	0.019826	0.0206103	0.0230012	0.0344156	0.0142739	0.0174401	0.0222879	0.0366969	0.0221616	0.016742	0.0181667	0.0167352	0.0182306	0.0136091	0.0256372	0.0156452	0.0177195	0.0239104	0.0203207
coupé	0.0273177	0.0140493	0.0203248	0.0146824	0.0109177	0.0124191	0.0107304	0.0146883	0.0107697	0.015016	0.00619401	0.0127208	0.0221226	0.0204836	0.0245838	0.0162004	0.0159506	0.0255725	0.0286637	0.0251164	0.0223085	0.0150481	0.0200669	0.0150082	0.0178061	0.00870426	0.00965324	0.0139211	0.0169351	0.0108081	0.0168162	0.0237196	0.0196245	0.031239	0.0300693	0.0340708	0.050355	0.0348655	0.0309367	0.0569551	0.0534794	0.0370632	0.0519434	0.0300786
une	0.0352539	0.0132546	0.007468	0.00451961	0.00281306	0.002814	0.00241373	0.00292187	0.00378795	0.0050852	0.00458569	0.00686567	0.00507991	0.00603342	0.00653896	0.00921144	0.00886652	0.0110569	0.00918929	0.0203088	0.0341435	0.0163917	0.0243897	0.0324823	0.0129673	0.0208505	0.0188757	0.0290477	0.0405701	0.0411237	0.065036	0.050382	0.0305666	0.0364925	0.0318529	0.0271566	0.0422992	0.0260796	0.030319	0.0352196	0.0390326	0.0378857	0.0556027	0.0531644
branche	0.0363817	0.0219696	0.0212652	0.015932	0.013715	0.0192471	0.00880814	0.0105757	0.0114393	0.0128083	0.00985725	0.0214833	0.0195258	0.0157906	0.0249742	0.0230673	0.0229797	0.0306393	0.028317	0.073293	0.0714088	0.0702558	0.0542557	0.0480421	0.0357024	0.0165807	0.0121334	0.0140866	0.0133366	0.0150395	0.0148437	0.00986911	0.00483654	0.0101844	0.0144243	0.0142316	0.0169251	0.0144708	0.0160705	0.0215041	0.0180694	0.0162562	0.0228557	0.0125473
de	0.179225	0.0729542	0.0347664	0.0184058	0.0109249	0.00882568	0.00932574	0.00789194	0.0100881	0.00970054	0.0140163	0.0160167	0.0101874	0.00723728	0.00785397	0.0205037	0.0232055	0.0421651	0.0206938	0.0340123	0.066832	0.0196545	0.0383752	0.0264193	0.0130959	0.00778904	0.00357306	0.0025813	0.00363955	0.00352643	0.00452085	0.00354514	0.00266974	0.00663834	0.0119777	0.00996959	0.0129969	0.0130846	0.0181471	0.0307373	0.0361694	0.0252462	0.0444391	0.0363714
l'	0.0813224	0.0509343	0.0181639	0.0129033	0.0105613	0.00791978	0.0063559	0.00622964	0.00618732	0.00505699	0.00835417	0.0135419	0.0138602	0.00626657	0.00999576	0.00963767	0.0127023	0.0310431	0.0353759	0.0407222	0.0746499	0.0237354	0.0294125	0.015315	0.0106664	0.00984811	0.00690209	0.00349169	0.0039751	0.004065	0.00404798	0.00380572	0.00640412	0.0187483	0.0346042	0.0243032	0.0362541	0.0396446	0.0327032	0.0453794	0.0537488	0.0418469	0.055944	0.0333698
arbre	0.037946	0.0389695	0.0204556	0.0128357	0.0140851	0.00937204	0.00785677	0.00983964	0.00722683	0.00609766	0.00877377	0.0100665	0.0112687	0.00600009	0.00999368	0.00724341	0.0126628	0.0179914	0.0167579	0.0190332	0.0293297	0.0114138	0.0202282	0.0131597	0.00848092	0.0130012	0.0119781	0.0056882	0.0085836	0.00836239	0.0089978	0.0101891	0.018354	0.0318885	0.047109	0.0416268	0.0324959	0.0489438	0.036047	0.049033	0.0581037	0.062567	0.0720659	0.0678763
otsotsolo	0.0392607	0.0354834	0.0277777	0.019915	0.0232112	0.0163604	0.00948635	0.0130481	0.0116673	0.00819139	0.0106634	0.0152105	0.0210319	0.00859682	0.0164844	0.0104757	0.013041	0.0241628	0.0267345	0.0211385	0.0274011	0.0148869	0.0247315	0.019457	0.0176737	0.0194893	0.0154109	0.0112097	0.0136954	0.0100534	0.0109614	0.0154654	0.0177308	0.0243044	0.0383346	0.0422352	0.0248536	0.0339802	0.0295976	0.0383344	0.0463763	0.0406513	0.0483564	0.0428683
pour	0.0353813	0.0123698	0.00934265	0.0086216	0.00964992	0.00862258	0.00371474	0.00593351	0.0057249	0.00253526	0.00583202	0.00838962	0.00764834	0.00502751	0.00658644	0.00385027	0.00438259	0.017173	0.0125893	0.0175232	0.0187018	0.0111213	0.0184706	0.00812919	0.00609978	0.00740626	0.006052	0.00406835	0.00704041	0.00593372	0.00953219	0.0168023	0.0199549	0.0641104	0.0519217	0.0908248	0.0616436	0.0599991	0.0548768	0.0530186	0.0578801	0.0458049	0.0579003	0.0718085
