 	a23	a87	a23	a13	a9	a54	a41	a26	a41	a2	a30	a41	a35	a12	a32	a25	a38	a24	a31	a21	a85	a30	a2	a21	a61	a21	a61	a43	a75	a41	a24	a41	a5	a18	a21	a5	a36	a27	a53	a94	a98	a9	a87	</S>
le	0.0656721	0.0785786	0.0571631	0.0352764	0.0556959	0.0304551	0.0226091	0.0369714	0.0254187	0.032086	0.0316768	0.0154938	0.0178538	0.0136832	0.0134254	0.0115395	0.0163249	0.0190866	0.0111293	0.0107487	0.0184599	0.0168815	0.0102823	0.0098767	0.00893498	0.00834776	0.0058772	0.00699503	0.00545079	0.00398632	0.00422234	0.0119222	0.01242	0.010109	0.012048	0.0151443	0.0179988	0.0252246	0.0210977	0.0245433	0.0276787	0.0335005	0.0272737	0.0608362
chien	0.00374226	0.028329	0.0240006	0.0348143	0.0876413	0.0691636	0.0402396	0.0376619	0.056141	0.102983	0.116772	0.0565114	0.047555	0.0328489	0.0154472	0.0152933	0.0125533	0.0102274	0.00834312	0.015982	0.0312196	0.0307405	0.0305552	0.016687	0.0159173	0.0109461	0.0163787	0.00880719	0.00412261	0.00469207	0.00206853	0.000743807	0.000518951	0.000661205	0.000725783	0.000539964	0.000582206	0.00039591	0.000429314	0.00050812	0.000890017	0.00113325	0.00260343	0.00188332
a	0.0360379	0.041089	0.0511121	0.0665417	0.0426064	0.0286916	0.0487478	0.0322607	0.0333017	0.0787593	0.0172511	0.0476346	0.0245819	0.0381741	0.0204491	0.0199151	0.0105841	0.00994307	0.00963838	0.00871787	0.0112785	0.0134304	0.00758738	0.00969215	0.0114522	0.0175896	0.0263807	0.0177466	0.0136433	0.0097837	0.00825549	0.0138795	0.0129449	0.0119645	0.0126506	0.0151448	0.0148475	0.013119	0.0191158	0.0104781	0.0240587	0.015964	0.0157553	0.00719955
attrapé	0.0171504	0.0189921	0.014824	0.0216806	0.0241595	0.0311588	0.0461954	0.0380735	0.0278025	0.0405486	0.0216238	0.0589081	0.0233227	0.0277802	0.0250526	0.0274544	0.0263368	0.0373204	0.028826	0.0365771	0.047442	0.0483873	0.0371601	0.0265758	0.0296407	0.0238311	0.0283609	0.0234742	0.0146603	0.0141314	0.0100044	0.00624479	0.00642587	0.00722891	0.00764849	0.00647595	0.00810487	0.00996554	0.00607427	0.00767118	0.00738404	0.00589251	0.0074886	0.0159391
l'	0.0355842	0.0263249	0.0272828	0.0244291	0.0294229	0.0279878	0.0172566	0.0178931	0.0172999	0.0127254	0.0183148	0.0122268	0.027941	0.0158922	0.0439732	0.0314622	0.0367163	0.0409662	0.0526337	0.0510113	0.0442594	0.0287917	0.0309524	0.0251213	0.0204625	0.0225863	0.0236039	0.0234711	0.0195977	0.0189151	0.0176473	0.0197923	0.0193663	0.00993454	0.0115308	0.0129064	0.0115073	0.0099684	0.00835973	0.00832212	0.00684354	0.0170771	0.00905026	0.012588
os	0.0400227	0.035586	0.0451887	0.0337672	0.0523583	0.029217	0.0348046	0.04234	0.0326201	0.0274744	0.0281696	0.0400677	0.0264062	0.035355	0.0688238	0.0309391	0.0170677	0.00944886	0.0135105	0.0079569	0.00895001	0.0162821	0.00990116	0.00793063	0.00844147	0.0128667	0.0125768	0.0198986	0.0104853	0.0112076	0.0112538	0.0195632	0.0201359	0.0145429	0.0192644	0.0237595	0.0209232	0.0155714	0.0159967	0.0125495	0.0154192	0.0188882	0.0122089	0.0102584
qu'	0.0471522	0.0547454	0.0512593	0.0340011	0.0321247	0.0152294	0.0198393	0.0277276	0.0250776	0.024455	0.0235847	0.0286519	0.0248655	0.0209893	0.0228502	0.0208874	0.0139068	0.00981645	0.0110143	0.00604085	0.0112967	0.0127464	0.00872843	0.00627747	0.00744533	0.00686303	0.00665782	0.0101436	0.00798905	0.00793361	0.00800076	0.018949	0.0224112	0.0191955	0.0236656	0.0331986	0.0320151	0.0258516	0.0277654	0.0285689	0.032586	0.0297102	0.0361484	0.0616331
a	0.0571588	0.0380583	0.0324135	0.0282876	0.0178815	0.0105185	0.00908538	0.00890955	0.00970608	0.0115105	0.0112327	0.0155507	0.0151189	0.00873627	0.0148667	0.0124844	0.0129011	0.015493	0.0196827	0.0142363	0.0197997	0.0171092	0.0136293	0.0156063	0.0121046	0.0140728	0.0121686	0.0132928	0.00906138	0.00751391	0.00810309	0.0148584	0.0187253	0.0279783	0.026774	0.0259615	0.030827	0.0275683	0.0361309	0.0363412	0.0505154	0.033394	0.0668186	0.097813
jeté	0.0433421	0.0401438	0.0342022	0.0246172	0.0216585	0.0216386	0.0162845	0.0210051	0.0160864	0.0167107	0.022513	0.0194103	0.0255581	0.017977	0.0250556	0.0215598	0.0171187	0.0221091	0.0396308	0.0293483	0.0306789	0.0284759	0.0186683	0.0173928	0.0193685	0.0269717	0.0221056	0.0303195	0.0229604	0.0117756	0.0138174	0.0219504	0.0244315	0.0231267	0.0231769	0.0233079	0.0187753	0.0156513	0.0195632	0.0159711	0.0136501	0.0183031	0.0196813	0.0239069
son	0.0417379	0.047745	0.0529135	0.0351352	0.0348029	0.0258658	0.0136301	0.0204449	0.0186441	0.0191375	0.0211034	0.0101467	0.0193806	0.015509	0.0221596	0.0193164	0.0174169	0.0231147	0.0277945	0.0262197	0.0259139	0.0226089	0.018656	0.0171375	0.0166121	0.0172447	0.0180517	0.0183244	0.0150965	0.0119072	0.0141889	0.0155648	0.01685	0.0172108	0.0181541	0.0158496	0.0165315	0.0171777	0.0175636	0.0172935	0.0184964	0.0230869	0.0341941	0.0640667
maître	0.0415064	0.0307751	0.0424104	0.0295686	0.0325671	0.0158553	0.0109216	0.0122436	0.0126379	0.016946	0.0148765	0.0159921	0.0172371	0.0233909	0.0300365	0.0246448	0.0196608	0.0235342	0.0357862	0.0289188	0.0303224	0.0240617	0.0193741	0.0169536	0.0143344	0.0161387	0.0189503	0.0214957	0.0160857	0.0176546	0.0208872	0.0240298	0.0188108	0.0201903	0.0184829	0.0257602	0.0232486	0.0204502	0.0168634	0.016108	0.0185142	0.0213881	0.0291646	0.0512205
</S>	0.0472592	0.0612699	0.0450734	0.0296255	0.0209039	0.0105515	0.00697393	0.00869706	0.00942856	0.0117388	0.0105687	0.0072579	0.00879222	0.00584331	0.00698766	0.00628171	0.00807809	0.00817982	0.0100121	0.00866359	0.0128929	0.00991847	0.00628394	0.00508232	0.0050315	0.00540645	0.00559213	0.00807377	0.00632574	0.00712668	0.0105231	0.0177358	0.0217697	0.0230306	0.0220075	0.0249261	0.0270413	0.0278718	0.0299471	0.03269	0.0421685	0.041001	0.0657383	0.209629
