 	a66	a87	a10	a87	a97	a87	a97	a79	a15	a79	a56	a75	a5	a75	a92	a37	a75	a6	a37	a75	a5	a37	a90	a56	a54	a47	a36	a79	a44	a53	a20	a7	a26	a82	a97	a87	a97	a87	a97	</S>
si	0.0191003	0.0200144	0.0370936	0.0425724	0.037777	0.0431429	0.033082	0.0568401	0.0522214	0.056273	0.0566025	0.057489	0.0289571	0.050268	0.0298812	0.040141	0.0356018	0.0181986	0.0215059	0.016105	0.0146253	0.00957895	0.0107425	0.0139109	0.00941247	0.00712089	0.0038443	0.00361849	0.00291308	0.00916471	0.012689	0.0115318	0.016803	0.0195001	0.0120359	0.0117688	0.0122603	0.0166642	0.0144806	0.0344675
tu	0.00909797	0.0100609	0.0110214	0.0132051	0.0148931	0.0162794	0.0207296	0.0162803	0.0160918	0.0226945	0.0375659	0.0285538	0.0281031	0.0377718	0.0412918	0.0253366	0.0365044	0.0154096	0.0131987	0.017813	0.0161363	0.0222718	0.0201341	0.015152	0.0210816	0.0291634	0.0329418	0.0334838	0.0420984	0.035841	0.0317282	0.0418482	0.0459443	0.0412861	0.031261	0.0316821	0.0230813	0.0167959	0.0186935	0.0174724
blagues	0.0225567	0.018532	0.017613	0.0199804	0.0160538	0.0199388	0.0224372	0.0215446	0.014698	0.0436764	0.0622653	0.0698983	0.0647874	0.054529	0.0298715	0.0283899	0.0395786	0.0207185	0.0116921	0.0197708	0.0112748	0.0148825	0.0140655	0.00489794	0.00606107	0.0149216	0.00645617	0.00856273	0.00962876	0.00527036	0.00620658	0.00362227	0.00486007	0.0138738	0.0080852	0.0269391	0.0474657	0.0483019	0.0523094	0.0737825
avec	0.0455922	0.0393047	0.0153283	0.0107797	0.0149571	0.015351	0.0217818	0.021685	0.00844787	0.0121368	0.0182583	0.0289791	0.0239291	0.0168506	0.013525	0.0177288	0.0346695	0.0207802	0.00921772	0.0106075	0.00569734	0.00830049	0.00481405	0.00548913	0.00588272	0.0101381	0.00915588	0.0100015	0.0147261	0.0186022	0.023228	0.0338607	0.0291267	0.0314614	0.0390023	0.043987	0.0604292	0.0574834	0.0820275	0.106676
moi	0.061813	0.0567592	0.0435344	0.0243182	0.0145461	0.0185148	0.0157229	0.012921	0.0122802	0.0149684	0.0131463	0.0187223	0.0181286	0.0171068	0.016232	0.0206949	0.0193747	0.0236263	0.0169567	0.0192875	0.0173992	0.0118066	0.0147125	0.0136615	0.0107997	0.017246	0.00745375	0.0107903	0.014106	0.00848867	0.0126528	0.0122314	0.0145685	0.0290369	0.0279288	0.035872	0.0592327	0.0706495	0.0802026	0.0725065
je	0.0232732	0.0265587	0.0219551	0.0172031	0.015709	0.0156047	0.0101979	0.0102542	0.00524682	0.0174514	0.0141566	0.0263029	0.0254816	0.0210348	0.0172744	0.0230938	0.0445144	0.049152	0.0334849	0.0476426	0.0120285	0.0115059	0.0145826	0.00789626	0.0116013	0.0292638	0.02365	0.0256604	0.0339324	0.0247775	0.0414743	0.0290511	0.0373031	0.0382519	0.0280539	0.0291335	0.0306044	0.0410109	0.0356174	0.0290088
vais	0.046152	0.0453046	0.0438978	0.0377436	0.0304418	0.0213801	0.0211862	0.0141243	0.00628661	0.0117193	0.0128528	0.0188796	0.0155726	0.0156507	0.0124113	0.0142727	0.0359961	0.0286055	0.0206279	0.0337799	0.0106733	0.0133287	0.0114754	0.0062403	0.00877798	0.0189482	0.0151493	0.0161928	0.0188363	0.0111545	0.0160218	0.0267734	0.0210879	0.0274944	0.048667	0.0430647	0.0508006	0.0555059	0.0519241	0.040998
te	0.074058	0.0680254	0.0540426	0.048436	0.0319778	0.0220407	0.0184184	0.0129252	0.00623486	0.00824953	0.00901849	0.0118249	0.00890482	0.0102714	0.00817269	0.00768497	0.0125092	0.00900854	0.0091433	0.012128	0.00497522	0.00614968	0.00503889	0.0028962	0.00335955	0.0126298	0.0151311	0.0151173	0.0255968	0.0212056	0.0310412	0.0390665	0.0503538	0.0354557	0.0626585	0.0425684	0.0504903	0.0544974	0.0439597	0.0347335
faire	0.0429602	0.0607682	0.0695428	0.0404663	0.0249439	0.0212279	0.0228522	0.0156417	0.00761039	0.0112673	0.0170251	0.0180295	0.0111714	0.0139335	0.0124903	0.0128809	0.0161988	0.016589	0.0145154	0.0225849	0.00944633	0.0131021	0.0132718	0.00942682	0.0131006	0.0123152	0.0111916	0.00919025	0.0154822	0.0115368	0.0225553	0.0264809	0.0247752	0.0213839	0.0393649	0.0330555	0.0418269	0.0454984	0.053327	0.100968
du	0.0341229	0.027866	0.0386928	0.0256431	0.0148314	0.0112106	0.0135605	0.00919239	0.0116964	0.0164397	0.0199248	0.021735	0.0220244	0.0243001	0.0207409	0.025732	0.0283151	0.0290856	0.0240634	0.0254731	0.0139637	0.017101	0.0175582	0.0109803	0.0115618	0.00975102	0.00978455	0.0120035	0.0166798	0.0146868	0.0186796	0.022322	0.0204082	0.0282908	0.0349503	0.0399547	0.0488499	0.0593369	0.061189	0.0872976
mal	0.023211	0.0110676	0.00867481	0.00601667	0.00332632	0.00361073	0.00449697	0.00334301	0.00728361	0.00984066	0.0196547	0.0300807	0.0298057	0.0288443	0.0284284	0.0362044	0.0386548	0.0367579	0.0355235	0.0333586	0.0200654	0.0217078	0.0285209	0.0182761	0.0224545	0.0116238	0.00814794	0.00771983	0.0111771	0.0129623	0.0166542	0.0225453	0.0162012	0.0289574	0.0331754	0.0449816	0.0575964	0.0671676	0.0739253	0.0779557
