 	a66	a15	a84	a87	a23	a30	a13	a62	a21	a92	a85	a6	a85	a92	a85	a6	a0	a75	a5	a18	a62	a88	a71	a11	a93	a70	a90	a56	a93	a70	a62	a21	a5	a36	a27	a57	a87	a23	a87	</S>
mon	0.022157	0.0306292	0.0482601	0.04707	0.0337689	0.0352734	0.0357084	0.0730776	0.0434448	0.0214223	0.0108943	0.00906291	0.00996408	0.00890469	0.00676577	0.00917126	0.00765911	0.00836448	0.0107904	0.0121397	0.0300992	0.0276937	0.0257575	0.0187557	0.0161485	0.0229159	0.0114843	0.0081265	0.0112512	0.0189627	0.0141949	0.0167964	0.02256	0.0329071	0.0390587	0.0401597	0.0389482	0.0446151	0.0334242	0.0416123
ami	0.00422757	0.00517859	0.00788768	0.0195341	0.0230804	0.04352	0.0402126	0.0512698	0.0829772	0.0855818	0.0600241	0.100253	0.0933141	0.0844244	0.0572016	0.0197162	0.0390993	0.0165187	0.0157466	0.0308592	0.0270495	0.0141637	0.0098896	0.00524644	0.0130493	0.00520153	0.00750613	0.00290373	0.001768	0.00153269	0.0015457	0.00106639	0.00264439	0.0032822	0.00213523	0.00358578	0.00379112	0.00284515	0.00593705	0.00422917
m'	0.0462504	0.0533537	0.049554	0.0326614	0.0333065	0.0424335	0.0366856	0.0714233	0.0624169	0.0635762	0.0355568	0.0268575	0.0335791	0.041821	0.0201141	0.0311224	0.0325646	0.0184001	0.0137362	0.0101521	0.0155685	0.0112156	0.00953563	0.00647744	0.00705019	0.00516957	0.00951612	0.00955364	0.00819117	0.00651384	0.00737792	0.0072074	0.00891158	0.0106224	0.0108398	0.0157927	0.0201657	0.0209217	0.0210121	0.0327915
apprend	0.0504646	0.0146385	0.0203045	0.0146735	0.0145392	0.010336	0.00899547	0.0178985	0.0116869	0.0284565	0.044838	0.0253335	0.0355999	0.0274076	0.0353439	0.0421277	0.0238029	0.0278547	0.014813	0.00968873	0.0165603	0.0123296	0.0178329	0.0132481	0.00928266	0.00847322	0.0147448	0.0156925	0.0122751	0.0108635	0.0155429	0.0168157	0.0194847	0.0230031	0.0305874	0.0365183	0.038864	0.0597387	0.0585127	0.0908262
à	0.0315555	0.0513976	0.0574564	0.0830947	0.0591903	0.0384277	0.0254246	0.0123155	0.0114808	0.0144057	0.0236031	0.0349207	0.0305515	0.031757	0.0648094	0.0531269	0.04395	0.038862	0.0409171	0.0280424	0.0268191	0.0277148	0.0258524	0.0311459	0.0357982	0.0140332	0.0168614	0.00445572	0.00340705	0.00124777	0.00302873	0.00295824	0.00318739	0.00252063	0.00345445	0.00359223	0.00415405	0.0036471	0.0042876	0.00654522
tisser	0.0332012	0.0241062	0.0292617	0.0210345	0.0123429	0.011365	0.0113099	0.0125381	0.0123672	0.0155518	0.0279455	0.0327674	0.0473039	0.0514257	0.0490703	0.0572694	0.0628094	0.0463906	0.042073	0.0224518	0.0231817	0.0194872	0.0173827	0.0134943	0.0120949	0.0104288	0.0145186	0.0159195	0.0141981	0.017218	0.0163139	0.0318462	0.0187026	0.0134141	0.0227506	0.0125242	0.0235263	0.0252575	0.0239882	0.0311671
la	0.0464863	0.0250889	0.0220848	0.0147892	0.00889978	0.00723378	0.00776053	0.0110011	0.0113723	0.0177422	0.0249655	0.0196963	0.0301963	0.0245951	0.0262872	0.0312204	0.0305108	0.0294105	0.0194341	0.0132283	0.0125079	0.0128135	0.0122275	0.00962403	0.0110238	0.0156966	0.0208301	0.0230246	0.0195527	0.0203282	0.0188979	0.0389042	0.0373266	0.0434599	0.045284	0.0303224	0.0459915	0.0635555	0.0550415	0.0415841
nasse	0.0547192	0.0290245	0.0205804	0.0165596	0.0205814	0.0190386	0.0240844	0.0332082	0.0262679	0.0280849	0.0323465	0.0437927	0.0518163	0.0475298	0.0437796	0.0374629	0.0461558	0.0421897	0.0340582	0.0215713	0.0148136	0.0136663	0.0112795	0.00724681	0.0105357	0.0108118	0.0066086	0.00703679	0.0103023	0.00665202	0.0110037	0.021635	0.0200349	0.0310327	0.0249037	0.0194758	0.0241903	0.0290727	0.0267138	0.0201319
=	0.0454892	0.0420781	0.0277541	0.0256911	0.0205425	0.0126793	0.0202023	0.0161044	0.0111861	0.0244193	0.0230868	0.015736	0.0409634	0.0331026	0.0255914	0.0166252	0.0277459	0.026113	0.0292827	0.0150287	0.0152931	0.0151348	0.016039	0.011119	0.0179561	0.0150047	0.00977579	0.00812687	0.0134456	0.0101007	0.0147492	0.040044	0.039287	0.0551936	0.0544426	0.0276374	0.0354421	0.0448266	0.037311	0.0196487
-yésaa	0.0377426	0.0555137	0.0337873	0.031809	0.0288854	0.0222448	0.0188162	0.0143361	0.00834341	0.0101816	0.0139509	0.0174231	0.021634	0.0247396	0.0218243	0.0138009	0.0169036	0.0128087	0.0150387	0.00741812	0.00808362	0.00530343	0.00481545	0.00582694	0.00466416	0.00247355	0.00521389	0.00798194	0.01062	0.0111488	0.00892628	0.0205691	0.0256994	0.0557797	0.0459922	0.049183	0.0652317	0.0764207	0.0791726	0.0796912
</S>	0.0653198	0.059521	0.043989	0.0207274	0.0155307	0.012895	0.00948565	0.00976523	0.00867964	0.0132765	0.0161233	0.0200601	0.0218674	0.0265205	0.0197841	0.01752	0.0235079	0.0174319	0.0267965	0.0144487	0.0147869	0.0107973	0.0111647	0.0127059	0.00965851	0.00577724	0.00957165	0.0100947	0.0127086	0.0177841	0.0138509	0.0256754	0.0257838	0.0410336	0.0350799	0.0392506	0.0578524	0.061793	0.0777877	0.0435929
