 	a87	a23	a10	a9	a10	a87	a10	a87	a23	a99	a11	a31	a0	a24	a21	a96	a66	a61	a31	a61	a56	a31	a24	a9	a99	a47	a88	a62	a88	a31	a0	a21	a47	a21	a12	a31	a0	a9	a10	a87	a23	a38	a2	</S>
nous	0.038399	0.0434598	0.0315198	0.0215201	0.0151638	0.0173431	0.0191263	0.0138772	0.0147999	0.0125704	0.0196765	0.0101862	0.0156944	0.013217	0.0115465	0.0208676	0.0130538	0.0305475	0.0281597	0.0256594	0.021001	0.0324177	0.0133685	0.0199051	0.012	0.0204586	0.0116228	0.010255	0.0151547	0.0164391	0.0129876	0.0301179	0.0123468	0.014355	0.01219	0.0155361	0.0168873	0.0453377	0.0586262	0.0439514	0.0332603	0.0602243	0.0207728	0.0343961
avons	0.00958028	0.00601503	0.00903962	0.0119309	0.0158541	0.0150397	0.0191199	0.0129514	0.0245883	0.0151449	0.0192255	0.0260942	0.0205943	0.0431503	0.026774	0.0252898	0.0193094	0.0164259	0.0239793	0.039728	0.0235042	0.0190906	0.0945868	0.0918985	0.0453394	0.0514018	0.0326938	0.0389506	0.0258458	0.0158122	0.0182065	0.0145599	0.0203624	0.0124418	0.0153341	0.0115641	0.00503607	0.00676342	0.0103629	0.00628786	0.00663868	0.0077153	0.0188411	0.00692721
beaucoup	0.0128567	0.00925355	0.00764778	0.0106996	0.0148189	0.0136165	0.0119252	0.0103743	0.0223188	0.019919	0.0257105	0.0441742	0.0330824	0.0649207	0.0476926	0.0399108	0.0319565	0.0354596	0.0387031	0.0341469	0.025576	0.0344205	0.0294303	0.0388257	0.0237817	0.0282442	0.0274207	0.0225808	0.0268236	0.0145955	0.0203784	0.0145694	0.0128486	0.0104214	0.00818056	0.00594098	0.00382416	0.00953025	0.0190773	0.0133865	0.0130301	0.0260328	0.0323464	0.00954652
dansé	0.0206793	0.0136585	0.0078754	0.0179517	0.014703	0.0183696	0.019544	0.0132771	0.0119355	0.0125753	0.020032	0.0217971	0.0202017	0.0237571	0.0308031	0.0193313	0.0101244	0.00464557	0.00827517	0.0157126	0.0120428	0.0121928	0.0773883	0.0727163	0.0433424	0.0672327	0.0548892	0.0968774	0.046302	0.0291761	0.0274384	0.00639127	0.030548	0.00970407	0.0107857	0.0184749	0.0217674	0.00671733	0.00674312	0.0055947	0.00596023	0.00502943	0.00464251	0.00279376
lorsque	0.0228144	0.0147579	0.0122908	0.02002	0.013569	0.01205	0.0127148	0.00644139	0.00724434	0.005888	0.00821888	0.00675557	0.00659909	0.00742702	0.00927094	0.0108755	0.0132739	0.010438	0.00736062	0.0194692	0.014126	0.0156731	0.0334149	0.0442292	0.0343886	0.0503118	0.0438856	0.0714662	0.0483229	0.0493302	0.0578511	0.0303818	0.0622532	0.0242949	0.0222676	0.0277356	0.0379419	0.0208531	0.0151773	0.0135781	0.0165085	0.0129466	0.0113301	0.0142524
nous	0.0426631	0.0404585	0.0328624	0.0366475	0.0319985	0.0276217	0.0297508	0.0279716	0.030071	0.0260838	0.0221111	0.0121469	0.0248629	0.0174549	0.0256838	0.040968	0.025398	0.0352845	0.0205751	0.0242654	0.0243409	0.0202419	0.0165926	0.020219	0.0182336	0.0179562	0.0219108	0.0140284	0.0145624	0.0162132	0.0177856	0.0195622	0.0198096	0.0201338	0.0139366	0.0152113	0.0191834	0.0181254	0.0122364	0.0135883	0.0175064	0.0141288	0.0210617	0.0185522
étions	0.027458	0.0233411	0.020538	0.0226791	0.0227656	0.0228119	0.0248132	0.021967	0.0241106	0.024187	0.0233361	0.0236823	0.023822	0.0233057	0.0248118	0.0260857	0.0249825	0.02268	0.0264296	0.0174569	0.0239754	0.0275298	0.0153959	0.0162256	0.0142506	0.0140744	0.0163699	0.0146938	0.022177	0.0205918	0.0214277	0.0245747	0.0198938	0.0278294	0.027255	0.0237928	0.0193767	0.0359637	0.0180873	0.0220342	0.02048	0.0276485	0.0257206	0.0293671
partis	0.048573	0.0291742	0.0175848	0.0153565	0.0181804	0.0175796	0.0162518	0.0137704	0.0132911	0.018731	0.0164318	0.00738829	0.0131346	0.013689	0.0160065	0.0136649	0.0147038	0.0163086	0.0231256	0.0193246	0.0186735	0.0325868	0.0116201	0.0104658	0.0113109	0.009244	0.0103375	0.00913941	0.0169308	0.0230357	0.0225254	0.0356097	0.019683	0.0352345	0.0278178	0.0271676	0.0292232	0.0594013	0.0251278	0.0359316	0.0279137	0.0442663	0.0411869	0.053296
à	0.0567157	0.0325633	0.0250858	0.0159832	0.0172657	0.0137677	0.0107859	0.00969092	0.00879596	0.0118249	0.00739029	0.00424895	0.00703492	0.0110884	0.0108332	0.00740472	0.0129305	0.0147554	0.0199857	0.0166052	0.00908249	0.0234666	0.014502	0.00955096	0.012422	0.0067116	0.00884988	0.00638146	0.0159908	0.0189462	0.0182893	0.0198342	0.0178347	0.0222892	0.0290275	0.0402099	0.0380678	0.0452827	0.0375575	0.0569449	0.0497703	0.0462638	0.0519841	0.0859838
la	0.0382543	0.0217304	0.014039	0.0111408	0.011586	0.0101346	0.00903303	0.00819593	0.00960368	0.0107214	0.0111527	0.0115693	0.0118759	0.0164079	0.0149676	0.0107029	0.020267	0.0167995	0.0200166	0.0127565	0.00996603	0.024975	0.0176892	0.0137032	0.021296	0.0116618	0.0169377	0.0130813	0.0207267	0.0234446	0.0239064	0.0190103	0.0188057	0.0232628	0.0341284	0.0363614	0.0327566	0.0480877	0.0421096	0.0670279	0.0502436	0.0485785	0.0430057	0.0482785
