 	a66	a87	a23	a62	a96	a62	a0	a75	a25	a85	a98	a47	a98	a92	a44	a56	a47	a96	a62	a88	a62	a83	a9	a99	a87	a97	a87	a23	a87	a97	</S>
j'	0.0565112	0.109934	0.0762104	0.0583985	0.0595178	0.10841	0.043938	0.0216198	0.0141461	0.0112395	0.0150262	0.0151379	0.0127766	0.0126669	0.0109186	0.0119625	0.0128128	0.0113911	0.0282328	0.0224632	0.0249068	0.0291895	0.0351576	0.022128	0.0283924	0.0186705	0.0278703	0.0191844	0.0247392	0.020114	0.0363327
en	0.0129366	0.00816127	0.00869283	0.0107128	0.0113232	0.013462	0.0213803	0.0330826	0.037695	0.0219769	0.0570021	0.064469	0.0726035	0.0630415	0.0334024	0.0282011	0.0483539	0.0297133	0.0576928	0.0181756	0.0172129	0.0232893	0.0286759	0.0310202	0.0363792	0.0453484	0.0298503	0.0312685	0.0309544	0.0338906	0.0400316
ai	0.0293002	0.0163034	0.0173079	0.0114529	0.014503	0.0139097	0.0215791	0.0468281	0.0506163	0.0165404	0.0209332	0.0138118	0.0104128	0.00585673	0.00489935	0.0126432	0.0167582	0.0220893	0.037792	0.022935	0.0264702	0.0414891	0.03575	0.0527135	0.0499754	0.0715995	0.0629056	0.0670522	0.0458082	0.0715037	0.0682599
marre	0.018677	0.019091	0.0106092	0.00856557	0.00673003	0.00494503	0.00247757	0.00508613	0.0086133	0.0440133	0.0653414	0.106312	0.142651	0.0920245	0.0995043	0.0625685	0.0688127	0.0325455	0.0501074	0.027491	0.039278	0.0152006	0.00932149	0.0069707	0.00703701	0.0077537	0.00628445	0.00731536	0.008316	0.0054165	0.0109403
du	0.0888322	0.0639755	0.0447234	0.0326785	0.0422669	0.0496416	0.0231097	0.0393175	0.0333125	0.050619	0.0491113	0.0471238	0.0468187	0.0381631	0.036307	0.0389165	0.0228134	0.0266999	0.0187581	0.0132368	0.01026	0.00898287	0.0122395	0.00751823	0.0219088	0.0100802	0.0140803	0.0183209	0.0195966	0.0204103	0.0501768
mauvais	0.0556337	0.0502848	0.0493386	0.0352916	0.0345862	0.0391244	0.0253261	0.0287984	0.0218257	0.0248551	0.027507	0.0458444	0.0457199	0.0460356	0.0448351	0.0406561	0.0347136	0.030501	0.0250927	0.0346392	0.0363852	0.0371797	0.0331161	0.0203264	0.0200188	0.014732	0.0206587	0.0217915	0.0178988	0.0170449	0.0202388
comportement	0.0363431	0.0330752	0.0319697	0.0293555	0.0264954	0.0233624	0.0169902	0.0145465	0.0137243	0.0182425	0.0246689	0.0537462	0.0561843	0.0541234	0.0448277	0.0451346	0.0586491	0.0433948	0.0675638	0.0448618	0.0531516	0.0373342	0.0272558	0.0238273	0.0170927	0.0183467	0.0180564	0.0193756	0.0167727	0.0150444	0.0164832
de	0.0611939	0.0258408	0.0225852	0.0197568	0.0211864	0.0228382	0.0234332	0.0193097	0.0129913	0.0065502	0.00833865	0.00604666	0.00666971	0.00828473	0.00554157	0.0078426	0.00798838	0.0140019	0.0150775	0.0279364	0.0423205	0.0421411	0.0437057	0.0603578	0.0654074	0.0659626	0.0551316	0.0765937	0.0610364	0.0576653	0.0862643
cet	0.0574284	0.042658	0.0435791	0.0330648	0.0326081	0.0263818	0.0269647	0.0314916	0.0297654	0.0136219	0.0140237	0.00960077	0.0107898	0.0153263	0.0145883	0.0182112	0.0191476	0.0263349	0.0136993	0.0222562	0.0338747	0.025286	0.0320529	0.0344196	0.043931	0.0437351	0.0489371	0.0532861	0.0508761	0.0595357	0.072524
enfant	0.0545063	0.0367139	0.0369655	0.0227585	0.0180228	0.0198737	0.0122017	0.0151226	0.0150981	0.0073204	0.0107925	0.00901628	0.00898126	0.0140471	0.00575339	0.0125818	0.016915	0.017186	0.0231069	0.0185081	0.0227104	0.0143777	0.0408978	0.0303499	0.0361086	0.0494952	0.0679495	0.0726121	0.071236	0.0859576	0.132834
</S>	0.0361703	0.0153138	0.0154839	0.0114429	0.00832414	0.00875728	0.0087791	0.00946724	0.00971306	0.00201129	0.00242789	0.00140997	0.00163036	0.00271751	0.00198917	0.00462004	0.00709093	0.0199475	0.01737	0.018004	0.0247864	0.0268646	0.0465944	0.0599979	0.0651492	0.0852513	0.0815977	0.0773769	0.0837228	0.0851457	0.160843
