 	a23	a40	a44	a11	a24	a9	a10	a11	a75	a41	a31	a24	a41	a11	a98	a13	a90	a62	a56	a32	a98	a56	a32	a11	a75	a56	a98	a73	a79	a44	a90	a94	a38	a10	a11	a93	a75	a98	a73	a69	a15	a44	a56	a70	a13	a75	a98	a73	a69	a84	a87	</S>
il	0.0824062	0.0464927	0.0520243	0.0559552	0.0391739	0.0280778	0.017421	0.0164445	0.0140891	0.0436989	0.0502444	0.0258848	0.036375	0.0358966	0.0295809	0.0269515	0.026333	0.0216776	0.019862	0.0135156	0.00764633	0.00984818	0.00904088	0.0128258	0.00798608	0.00548133	0.00627592	0.00601471	0.00459959	0.00367674	0.00381784	0.00362339	0.00359615	0.00406109	0.00360637	0.00775622	0.00378402	0.00729304	0.00529645	0.00401904	0.00205504	0.00536461	0.00250821	0.0075901	0.00724967	0.0109954	0.0304549	0.0163163	0.0202401	0.0297478	0.024953	0.0401706
a	0.00383771	0.00437714	0.00988258	0.0151635	0.0240972	0.0370304	0.0345593	0.0327823	0.0312589	0.0294935	0.0280974	0.0328081	0.0294464	0.0353729	0.0166097	0.0268558	0.0306515	0.0298551	0.0372522	0.0270955	0.0151455	0.0109763	0.024261	0.00980209	0.0125162	0.0141379	0.0133707	0.0173113	0.0235066	0.0179651	0.0207931	0.0124495	0.0124325	0.00941923	0.00629718	0.00970124	0.00694615	0.0136431	0.0171363	0.015433	0.0205086	0.0189398	0.0166077	0.0185919	0.0165992	0.0113952	0.014101	0.01198	0.0138194	0.0161283	0.0158989	0.0256584
trouvé	0.0236848	0.0116861	0.00843365	0.0159808	0.0168673	0.0280404	0.0242626	0.0281304	0.0244838	0.0365622	0.0334081	0.0287241	0.0588149	0.0358991	0.00722138	0.0280383	0.0154162	0.0116775	0.00898955	0.00639665	0.0075139	0.00587645	0.00626679	0.00792268	0.00798023	0.00670539	0.00760702	0.00540942	0.011348	0.00707916	0.012485	0.00870573	0.0043816	0.00358678	0.00381552	0.00427655	0.00544445	0.00450446	0.00662502	0.00795515	0.0109322	0.013586	0.0164956	0.0191243	0.0401859	0.0642577	0.0422567	0.0293552	0.0514795	0.0324787	0.0353439	0.0562973
une	0.0729675	0.0502163	0.0133949	0.0204894	0.0245883	0.026392	0.0240253	0.02068	0.0202861	0.0150034	0.0103578	0.016783	0.038561	0.0345636	0.0303039	0.0240311	0.036428	0.0288823	0.0189641	0.0188924	0.0206315	0.0158114	0.0220357	0.0231271	0.0272934	0.016754	0.00987643	0.0123539	0.0122087	0.0142002	0.0107329	0.0076085	0.00815689	0.0065099	0.00702477	0.0116929	0.0197398	0.0138554	0.00811584	0.0197402	0.0141204	0.0311849	0.0207256	0.0181258	0.00661619	0.00633213	0.00610754	0.00745889	0.00708178	0.00937144	0.00991056	0.029685
astuce	0.0135471	0.00531001	0.00467601	0.00948655	0.0136655	0.020334	0.0319885	0.0424158	0.0445201	0.030428	0.0240875	0.0552454	0.0352607	0.0327391	0.0200811	0.0252805	0.0213696	0.0192962	0.0197791	0.0223914	0.0214467	0.01841	0.0229517	0.0185199	0.0233957	0.027105	0.0219552	0.0322756	0.0313404	0.0329068	0.0211968	0.011544	0.0130175	0.00937173	0.00939774	0.00951915	0.0132219	0.012784	0.0115744	0.0212946	0.0152164	0.0220932	0.0158814	0.0195561	0.00889663	0.00482775	0.00491109	0.00472837	0.00486564	0.00582126	0.0101884	0.00788242
pour	0.0379453	0.0227555	0.0180556	0.0335514	0.0625868	0.0714469	0.0527075	0.0473595	0.0441267	0.0729634	0.0642346	0.075205	0.0487227	0.0306005	0.0231265	0.0145655	0.0245948	0.0212508	0.0152467	0.0116629	0.00766296	0.00863481	0.00902312	0.00568942	0.00309127	0.00331371	0.0018913	0.00520003	0.00346105	0.0050196	0.00449529	0.00223761	0.00304328	0.0019244	0.00146307	0.00221069	0.00243043	0.00334728	0.00233281	0.00366655	0.00346435	0.00950546	0.0045424	0.00661347	0.00388294	0.00502584	0.00749123	0.00707098	0.011279	0.0152581	0.0166214	0.0363974
faire	0.0320622	0.0186405	0.0228251	0.0334251	0.030307	0.0303481	0.024476	0.0211988	0.0217629	0.0280969	0.0180503	0.0311704	0.0469944	0.0336218	0.0413311	0.0191607	0.0298697	0.0276314	0.0212796	0.0248275	0.0172202	0.0176474	0.0173048	0.016517	0.0130752	0.00879388	0.00513997	0.0137621	0.00530099	0.00368153	0.00310801	0.00488594	0.00790401	0.00945925	0.0160381	0.0219478	0.0144051	0.024706	0.0199928	0.0305047	0.00767643	0.0283907	0.0155853	0.0162184	0.00711569	0.00809985	0.00983975	0.0073115	0.0104363	0.0159616	0.0147572	0.0301329
faire	0.026511	0.0119753	0.0114085	0.0129242	0.0136685	0.00963643	0.0086556	0.00927862	0.00877281	0.017641	0.0133145	0.0122744	0.0198592	0.0203304	0.0275512	0.0143483	0.0235054	0.0215199	0.0147715	0.0218309	0.019148	0.0187338	0.018163	0.0173889	0.0202795	0.0169144	0.0087055	0.0187432	0.0101507	0.0096822	0.00510514	0.0138545	0.0164852	0.0222927	0.0330679	0.0355966	0.0355461	0.0432504	0.0395222	0.0556682	0.0100717	0.0366131	0.0231167	0.0237035	0.011105	0.0136852	0.0193117	0.00925436	0.0158248	0.0165167	0.0184044	0.0243171
son	0.01623	0.00550055	0.00780982	0.00868403	0.00947994	0.00915735	0.00903755	0.0108602	0.00982283	0.0118709	0.0112372	0.0108553	0.0133958	0.0150709	0.0169162	0.0146114	0.0234656	0.0227699	0.0181557	0.0205537	0.0222406	0.0168639	0.0187966	0.0196834	0.0232651	0.0256787	0.0123587	0.0205106	0.018388	0.0148138	0.0118529	0.0144733	0.014789	0.0204231	0.0270809	0.0445267	0.0244805	0.031507	0.0317582	0.0286599	0.0113242	0.0255172	0.0197479	0.0278925	0.0216678	0.0275748	0.0314521	0.0183341	0.0298947	0.0202335	0.0323385	0.0263869
travail	0.0121516	0.00674995	0.0152286	0.0175654	0.0154162	0.0155159	0.00958568	0.0120222	0.00885464	0.0167655	0.0151637	0.015838	0.021439	0.0211759	0.0316048	0.0274364	0.0358803	0.028701	0.0298099	0.027136	0.0210076	0.0258492	0.0238823	0.0211972	0.0140951	0.0133898	0.0118516	0.0159615	0.0150235	0.0143323	0.0115618	0.0129375	0.0130424	0.0147763	0.018026	0.0262813	0.01868	0.0247533	0.0218561	0.0174272	0.0124812	0.030714	0.0196762	0.0262616	0.0200808	0.0159849	0.0234555	0.0139233	0.0249318	0.0194796	0.0280151	0.0250232
