 	a66	a87	a23	a87	a10	a87	a23	a99	a83	a62	a47	a61	a47	a83	a18	a53	a25	a56	a75	a44	a61	a75	a25	a69	a58	a25	a98	a92	a37	a98	a44	a58	a40	a98	a47	a26	a11	a61	a75	a37	a34	a70	a61	a34	a75	a96	a18	a61	a96	a93	a70	a99	a9	a99	a87	a23	a99	a87	a23	a38	a3	a97	</S>
je	0.025446	0.0370432	0.0329152	0.0208096	0.00838641	0.0146955	0.00939579	0.00606887	0.0210503	0.0161904	0.0258676	0.0422538	0.0336275	0.0284743	0.0202699	0.024894	0.0232026	0.0156492	0.00827086	0.0122933	0.0229236	0.0186653	0.0156199	0.0170938	0.0200238	0.0187835	0.0197103	0.0188709	0.0220699	0.0196077	0.0159428	0.0141779	0.0130657	0.0111864	0.00819058	0.00731149	0.00576622	0.0109554	0.00997432	0.0066178	0.0135549	0.0148079	0.0159326	0.0190886	0.0217869	0.00842857	0.0209445	0.0222438	0.0125705	0.00533166	0.00560245	0.00581005	0.0061504	0.00582468	0.00967575	0.00734338	0.00798032	0.00691054	0.00772018	0.0102779	0.0126445	0.0142907	0.0217173
ne	0.0139314	0.014555	0.016559	0.0159366	0.0143078	0.0177587	0.010919	0.00929728	0.0125368	0.0207108	0.020972	0.0193897	0.011489	0.0100322	0.00747156	0.012894	0.00794996	0.0171292	0.0154704	0.0123869	0.00681346	0.0150758	0.0276629	0.0183902	0.0181659	0.0284289	0.0298819	0.0287449	0.023634	0.0192916	0.023138	0.0161905	0.0146711	0.0152511	0.0141816	0.0148888	0.0225948	0.0166199	0.0117589	0.0143321	0.0174487	0.0114742	0.014921	0.0145831	0.0120976	0.00642585	0.00794512	0.00811434	0.0122118	0.00844809	0.0127028	0.0188288	0.0105386	0.0291127	0.0203172	0.0227012	0.0199173	0.0229669	0.0159667	0.014016	0.0139844	0.0110802	0.0127837
veux	0.0273722	0.00854632	0.0095883	0.00651246	0.00915306	0.00715807	0.00508264	0.0042991	0.00602338	0.00532742	0.00767328	0.00543335	0.00659516	0.00630955	0.00741454	0.00855697	0.00543311	0.00936916	0.0134383	0.018658	0.0156082	0.0390016	0.0696439	0.0451431	0.0335942	0.0319749	0.0206249	0.0228849	0.0233545	0.0165095	0.0440002	0.0402449	0.0325884	0.0293012	0.0373004	0.0553802	0.0444565	0.0537112	0.0368956	0.0272353	0.00422289	0.00510351	0.00633671	0.00191064	0.00141813	0.00266766	0.00116643	0.00158087	0.0010196	0.00242582	0.00214731	0.00310719	0.00283773	0.00348236	0.00322232	0.00424354	0.0044513	0.00570342	0.00794277	0.00955071	0.00960877	0.01093	0.00752244
pas	0.0402594	0.0243922	0.0174719	0.015017	0.00920017	0.00524562	0.00672364	0.00578199	0.00646326	0.00500271	0.00490842	0.00530621	0.00432076	0.00350447	0.00359603	0.00398864	0.00433544	0.00330378	0.00291913	0.00370695	0.00720118	0.00835718	0.00966117	0.00900229	0.00751722	0.00552537	0.00620685	0.00603864	0.007652	0.0046354	0.0119137	0.0113964	0.0089932	0.00940963	0.00797758	0.00640675	0.00703801	0.012135	0.00840191	0.00534237	0.00460235	0.00623165	0.00906254	0.00852952	0.00963509	0.0117572	0.00873666	0.0251917	0.0188365	0.0193714	0.0184794	0.0296053	0.0239608	0.0422139	0.0463337	0.0389896	0.0365282	0.0464766	0.046437	0.0592532	0.0438881	0.0797893	0.0298305
aller	0.0133401	0.00917531	0.00453435	0.00414467	0.0045913	0.00457629	0.00497049	0.00712946	0.00318818	0.00529452	0.00441345	0.00135049	0.00199532	0.00151245	0.00207223	0.0020444	0.00220055	0.0036916	0.0123903	0.011489	0.0154673	0.0215954	0.0261054	0.0236565	0.0338885	0.0274463	0.0298501	0.028072	0.03255	0.0284066	0.0493429	0.0652842	0.03881	0.0928542	0.0505549	0.0390224	0.0455701	0.0428485	0.0240292	0.0233323	0.0168727	0.0101024	0.0155302	0.0111685	0.0049033	0.00466728	0.00398608	0.0052263	0.005676	0.00491531	0.00668948	0.00682244	0.00663143	0.00626078	0.00783451	0.00399658	0.00664107	0.00552442	0.00653608	0.00337885	0.00466821	0.00564255	0.0035341
en	0.0101666	0.00670065	0.00515531	0.00384498	0.00325753	0.00245614	0.00193399	0.00270877	0.00142865	0.0023699	0.00130901	0.00104563	0.00196645	0.00134663	0.00208956	0.00290037	0.00274536	0.00364293	0.00937374	0.0104897	0.0143658	0.0228835	0.0327527	0.0351872	0.0313746	0.0358417	0.0389778	0.02421	0.0380495	0.0325196	0.0472508	0.0423978	0.0374613	0.0496375	0.0429971	0.0341909	0.0360998	0.0333246	0.0181588	0.0227307	0.0226405	0.0153137	0.0226788	0.0173842	0.0118239	0.0101524	0.00731057	0.00883645	0.0104543	0.00664808	0.0132908	0.0155448	0.0109392	0.00655837	0.0145222	0.00853359	0.011097	0.010174	0.0090262	0.00720507	0.00485178	0.00560315	0.00206722
forêt	0.0249457	0.0107397	0.0079325	0.00538328	0.00545654	0.00468645	0.00276445	0.00434933	0.0033867	0.00441862	0.00352542	0.00164602	0.00332842	0.00186247	0.00427511	0.00317785	0.00311957	0.0036948	0.00737498	0.00725345	0.0104704	0.0145886	0.0186489	0.0185745	0.0209182	0.0195724	0.018165	0.0209582	0.0195878	0.0204751	0.027729	0.0290821	0.0315148	0.0455955	0.0442165	0.0372151	0.0535997	0.048893	0.0348079	0.0393651	0.0246541	0.019514	0.022744	0.0132416	0.0126313	0.0165415	0.0142457	0.0142074	0.012202	0.00755941	0.0118296	0.0121574	0.010954	0.00561838	0.012875	0.0104892	0.0159292	0.0150835	0.0133747	0.0168928	0.00895727	0.0165207	0.00447827
avec	0.0279014	0.0204026	0.011259	0.00674476	0.0110053	0.00939846	0.00440496	0.00499172	0.00493803	0.00392848	0.00352691	0.0031383	0.00481065	0.00253151	0.00301738	0.0035484	0.00376659	0.00391231	0.0114551	0.00954989	0.0238698	0.0301257	0.0416212	0.0404908	0.059467	0.0480239	0.045214	0.0513777	0.0517205	0.0552254	0.0459334	0.0326102	0.0248498	0.0260961	0.0103945	0.0110694	0.00880227	0.00648473	0.00428147	0.00492459	0.00613553	0.00531805	0.00682285	0.00780847	0.00800592	0.00592643	0.0147084	0.0111802	0.00656597	0.00417888	0.00394713	0.00538465	0.00808127	0.00484095	0.0112158	0.00830046	0.0140034	0.0141041	0.0134368	0.0134505	0.0178927	0.0160321	0.015845
toi	0.0253797	0.0205362	0.0122241	0.00854766	0.0125652	0.0111505	0.00529463	0.00835911	0.00639828	0.00640187	0.00573917	0.0048646	0.00696864	0.00488625	0.00441437	0.00577306	0.00629039	0.00586833	0.0116163	0.0110946	0.0209463	0.0160152	0.0229869	0.0223079	0.0330329	0.0280019	0.0352686	0.0322968	0.0307182	0.0299857	0.0238067	0.0183746	0.018264	0.0204565	0.011794	0.0137673	0.0125251	0.0107609	0.00953378	0.0098798	0.0106147	0.0122795	0.0143359	0.012529	0.01659	0.0121383	0.0236784	0.0234459	0.0128658	0.00956728	0.00910833	0.0100726	0.00993298	0.00738936	0.0159607	0.012081	0.019379	0.0149706	0.0237754	0.0275655	0.0320381	0.0305481	0.0340377
parce	0.0185858	0.0148946	0.00938133	0.00694577	0.00799643	0.00713063	0.00372861	0.00425671	0.00469096	0.00299461	0.00315574	0.00277003	0.00448181	0.00418572	0.00385565	0.00509414	0.00549299	0.00823837	0.017906	0.0171715	0.022551	0.0166096	0.0209711	0.0213876	0.0290044	0.0260151	0.0358493	0.0360101	0.0274194	0.0308326	0.0219626	0.0208069	0.0218745	0.023972	0.0140735	0.0191371	0.0172464	0.0125589	0.0112521	0.0108465	0.01058	0.0100272	0.0127629	0.00871916	0.0126886	0.0119337	0.0227915	0.0259672	0.0163197	0.0109686	0.0101755	0.0112994	0.00992852	0.00703854	0.0167984	0.0131884	0.0226685	0.0184917	0.0275615	0.0272714	0.0290799	0.0320084	0.0383931
que	0.0130563	0.012454	0.00718529	0.00530656	0.00384816	0.00395748	0.00144447	0.00182029	0.00281715	0.00149092	0.00202404	0.00248032	0.00404292	0.00525847	0.00675722	0.00797035	0.00661997	0.0141553	0.0276485	0.0256765	0.0369123	0.0339146	0.0300924	0.0322651	0.0360572	0.0329233	0.0258345	0.0358523	0.0341078	0.033371	0.0311136	0.0206572	0.0194485	0.0194951	0.0131994	0.0171318	0.0120042	0.0140084	0.00880012	0.00714813	0.00942255	0.00832389	0.0120971	0.00601704	0.00930593	0.00701881	0.0134329	0.0198659	0.0154383	0.0112374	0.00979036	0.0116922	0.00885972	0.00903666	0.0146767	0.0155035	0.0226971	0.0164209	0.0280089	0.0236714	0.0234645	0.0373421	0.0163249
tu	0.0114347	0.0129839	0.0106601	0.00908547	0.00668415	0.00573438	0.0030427	0.00318872	0.00408765	0.00226372	0.00284862	0.00253473	0.00346452	0.00372388	0.00458423	0.00554238	0.00505566	0.0100945	0.0191231	0.0184071	0.022334	0.0267627	0.0256209	0.025753	0.026544	0.0240057	0.0250826	0.0263195	0.0236672	0.0209356	0.0239907	0.0162727	0.0183515	0.0154588	0.0148928	0.0143518	0.0117302	0.0175838	0.00914437	0.00743155	0.011166	0.0086706	0.0122522	0.00753842	0.014379	0.00811295	0.011972	0.0265431	0.0216175	0.0195048	0.0186316	0.0192445	0.0140649	0.0174428	0.0205807	0.0229895	0.0307436	0.0189567	0.03951	0.0283423	0.0250919	0.04724	0.0146274
es	0.0153348	0.0129859	0.00986311	0.00711775	0.00896289	0.00618038	0.00402068	0.00430644	0.0065595	0.00333324	0.00472971	0.00341853	0.0060586	0.00585041	0.00619441	0.00707861	0.00608086	0.00924612	0.0173877	0.0143541	0.0178062	0.0188619	0.0171429	0.0145173	0.0131262	0.0109958	0.011223	0.0116874	0.0147606	0.0102788	0.0149093	0.0116561	0.013533	0.0140564	0.0131507	0.0141735	0.0094825	0.0161871	0.0130259	0.0099674	0.0113191	0.0115547	0.0143761	0.0110859	0.0171748	0.00753402	0.00991531	0.0228887	0.017657	0.0261411	0.0257957	0.0323874	0.0220712	0.0252651	0.0259897	0.0271888	0.0392554	0.0256148	0.0513102	0.0308862	0.0385877	0.0495047	0.0268907
ennuyeux	0.0126436	0.00912751	0.00636138	0.0043135	0.00882282	0.00820717	0.00594194	0.0111191	0.00599462	0.00840607	0.00745404	0.00481615	0.0098403	0.010586	0.0106186	0.0134131	0.0165118	0.01668	0.0144151	0.00981722	0.0204126	0.0147796	0.0114742	0.0166616	0.0220837	0.0191293	0.029455	0.0364431	0.0339123	0.028637	0.0166705	0.0155055	0.0137602	0.0132214	0.011175	0.0116561	0.010045	0.0108139	0.00920807	0.00845929	0.0116776	0.00920273	0.0111453	0.00919226	0.0157522	0.00598261	0.012245	0.0160248	0.0187746	0.0265179	0.0180479	0.0134699	0.014972	0.0122895	0.0267353	0.0206022	0.0246811	0.0221323	0.0260695	0.0221519	0.0310958	0.0458186	0.0368259
</S>	0.0231551	0.0123576	0.00669256	0.00373769	0.00477433	0.00472248	0.00218423	0.00392836	0.0043392	0.00639467	0.00950687	0.00472654	0.0162585	0.0131591	0.0226717	0.0135666	0.0214961	0.0114249	0.0103544	0.0134119	0.0185636	0.0106043	0.00639834	0.00853198	0.0113298	0.00863139	0.00981724	0.0176608	0.0202056	0.015246	0.00987751	0.00879376	0.0096063	0.0107803	0.00734409	0.00752356	0.00678567	0.00897511	0.00892474	0.00781476	0.0102642	0.0137738	0.014301	0.00975598	0.0140023	0.00840591	0.0184667	0.024781	0.0128135	0.0223377	0.0194782	0.0272643	0.0293013	0.0236121	0.0433287	0.027784	0.0329733	0.0358528	0.0321264	0.0324698	0.030247	0.0298137	0.0645685
