 	a66	a87	a23	a83	a54	a98	a92	a12	a56	a90	a98	a79	a92	a12	a21	a61	a43	a61	a34	a75	a92	a37	a92	a79	a7	a84	a82	a11	a75	a92	a85	a6	a36	a92	a56	a25	a79	a98	a92	a85	a79	a7	a26	a57	a87	a23	a99	a87	</S>
cette	0.058827	0.079428	0.0296392	0.0533692	0.0496019	0.0451519	0.037445	0.035185	0.0264316	0.0201267	0.0235531	0.0104066	0.019562	0.0160418	0.0193597	0.0267224	0.0169144	0.0157478	0.0238042	0.021436	0.0101216	0.00784034	0.00902567	0.0114291	0.00972416	0.0166468	0.010959	0.00672293	0.00709554	0.0112156	0.0115357	0.0245168	0.0368793	0.021602	0.0194003	0.015491	0.0124532	0.007721	0.014564	0.00720091	0.00675464	0.00684924	0.00851027	0.00986642	0.00896486	0.00975306	0.0121453	0.0193912	0.0168664
jeune	0.00244521	0.00339841	0.00440124	0.00474432	0.0167713	0.0167963	0.0219286	0.0242331	0.0706407	0.115763	0.0462037	0.0699594	0.118477	0.0476416	0.0473413	0.0247491	0.0272957	0.024142	0.0214027	0.0275785	0.0312263	0.0542742	0.0251446	0.0179361	0.0102847	0.00697371	0.00417748	0.00769176	0.00531375	0.00759321	0.0081631	0.008369	0.0139006	0.00356412	0.0128472	0.0072547	0.00397306	0.00728032	0.00966697	0.00938586	0.00201854	0.00163442	0.000351	0.000281341	0.000329425	0.000863503	0.000815434	0.00125652	0.00151554
fille	0.0126699	0.0153493	0.0284399	0.0245707	0.0227978	0.0255483	0.0272101	0.0300034	0.0197663	0.019988	0.0102628	0.019513	0.0421527	0.0291116	0.0287018	0.0378637	0.0398284	0.0548325	0.0674668	0.0480489	0.0337515	0.048487	0.0410073	0.0512583	0.0391838	0.021463	0.0327521	0.0173182	0.0216509	0.00885179	0.0109069	0.00432264	0.00512005	0.00603851	0.00498665	0.00862989	0.00400135	0.00818984	0.00682005	0.00598914	0.000916503	0.0014483	0.000742164	0.00151197	0.000727458	0.000653137	0.00223691	0.00463281	0.00227588
garde	0.0242482	0.014976	0.0126123	0.00868139	0.00622655	0.00568353	0.00617639	0.00822155	0.00928618	0.012449	0.00909447	0.00992317	0.0202878	0.0259991	0.03532	0.045519	0.0450298	0.0397643	0.0748682	0.0578688	0.040784	0.0363409	0.0315748	0.0561197	0.0419647	0.0311498	0.0289171	0.0367998	0.0174501	0.0154962	0.00561911	0.0147788	0.0110507	0.00997436	0.00869224	0.0118966	0.00673114	0.00895037	0.0071916	0.00540146	0.00416876	0.00498682	0.00597872	0.0096384	0.0100175	0.0129874	0.0239823	0.0114102	0.0177111
rancune	0.0279237	0.0176847	0.0205053	0.0144578	0.00944716	0.00807477	0.00766343	0.00838962	0.0109281	0.0225322	0.0261288	0.0402348	0.0416453	0.0402123	0.0349686	0.0290984	0.0563236	0.0395711	0.0427439	0.0322483	0.0441728	0.0292419	0.0275683	0.0312863	0.0436109	0.0392207	0.0431657	0.0208595	0.0212684	0.0164005	0.016472	0.0142805	0.00808771	0.00863922	0.00666871	0.00805662	0.00657777	0.00804524	0.00521648	0.00672045	0.00293931	0.00436117	0.00498266	0.00303547	0.00600141	0.00861455	0.01227	0.00710996	0.0143441
contre	0.0198971	0.0110405	0.0146106	0.00669136	0.00672241	0.00843389	0.0087103	0.0109585	0.0113682	0.0213417	0.0229112	0.0379699	0.0322383	0.0408388	0.0318618	0.0411439	0.0562979	0.0573229	0.0599105	0.0419203	0.040467	0.0378357	0.0295994	0.037181	0.0401425	0.0356151	0.0424318	0.0165825	0.0209935	0.0124038	0.0101351	0.00703306	0.00715609	0.0102234	0.00680541	0.00828384	0.00480135	0.00717342	0.00917698	0.00747825	0.00439672	0.00581478	0.00813755	0.00497998	0.00797543	0.00674486	0.0132001	0.00603108	0.00901048
toi	0.0268922	0.00951186	0.0122061	0.00335654	0.00665813	0.00701529	0.00688189	0.00654148	0.00474917	0.00655908	0.00820199	0.013208	0.013004	0.0232323	0.0184863	0.031232	0.0437858	0.0446709	0.0535942	0.0394793	0.03673	0.0393086	0.0403695	0.0401251	0.0493099	0.0402315	0.0645516	0.0263732	0.0501462	0.0258351	0.0186691	0.0187204	0.0175145	0.0160187	0.00802798	0.0113672	0.0108529	0.011555	0.0191149	0.0130059	0.00605266	0.00727074	0.0153236	0.0039278	0.00643301	0.00351976	0.00798196	0.00572243	0.0066744
parce	0.0193014	0.0101191	0.00995804	0.00662986	0.00851018	0.00716608	0.00740604	0.00551198	0.00727926	0.00993185	0.012631	0.0198598	0.0260421	0.0293801	0.0324389	0.0323517	0.0419617	0.0619769	0.044385	0.0539461	0.0524328	0.0518868	0.0526229	0.0335848	0.0377405	0.0299279	0.0277486	0.0178727	0.0281499	0.0122923	0.0130349	0.0139167	0.0124567	0.0139423	0.00707386	0.0131707	0.0163799	0.0171843	0.0136538	0.0132112	0.00946064	0.00898015	0.0154404	0.00596944	0.00812853	0.00626517	0.00632936	0.00791729	0.00643858
que	0.0249881	0.01406	0.0123611	0.0103077	0.0107454	0.0112426	0.0110022	0.00902657	0.00797885	0.0103535	0.0109163	0.0126032	0.0183009	0.0196392	0.0208048	0.0240031	0.0282167	0.032198	0.0377445	0.0349526	0.0413677	0.0384117	0.0390605	0.0264655	0.0283635	0.029838	0.0225688	0.018496	0.0240696	0.0133528	0.0133481	0.0124166	0.00955838	0.0128999	0.011571	0.0179188	0.021868	0.0250125	0.0279519	0.0175244	0.0103189	0.0120876	0.0193509	0.0135728	0.017146	0.0223283	0.0277579	0.0386398	0.0252891
tu	0.0170201	0.0155128	0.0132779	0.0146594	0.0130197	0.0154637	0.014393	0.00932709	0.00702672	0.00759925	0.00773362	0.0082575	0.00922997	0.0108439	0.010643	0.0149154	0.0154995	0.0136781	0.0265696	0.0164723	0.0187787	0.0230736	0.0277425	0.0264304	0.0278292	0.0313239	0.0196687	0.0152666	0.0265238	0.0178706	0.0193038	0.0167581	0.0137058	0.026145	0.0225388	0.0398107	0.0378843	0.0319686	0.0582245	0.0246351	0.0124068	0.0174988	0.0192142	0.0153002	0.0134128	0.0188832	0.0295834	0.0423047	0.0447708
