 	a11	a75	a10	a13	a11	a75	a25	a98	a41	a24	a41	a35	a76	a90	a82	a53	a76	a90	a38	a14	a35	a26	a32	a61	a35	a98	a14	a35	a76	a20	a84	a57	a87	a23	a10	a87	a23	a87	a23	a10	a87	a10	a11	</S>
va	0.0260237	0.038496	0.0440301	0.0378526	0.0177848	0.019918	0.0147648	0.0150998	0.0128364	0.0123833	0.00921926	0.00637073	0.00707588	0.00488657	0.00627512	0.00612595	0.00983102	0.0114007	0.0130321	0.0149728	0.0094817	0.0132395	0.0126261	0.0108197	0.00780092	0.00685588	0.0062843	0.00640839	0.0163624	0.00973022	0.0336089	0.0209126	0.0205853	0.0226874	0.0242935	0.0473671	0.0295843	0.0453461	0.0515917	0.0566477	0.052821	0.0596	0.053638	0.0533277
me	0.0074622	0.0100184	0.021072	0.0302923	0.0312515	0.0405467	0.0747724	0.0554682	0.091635	0.0829366	0.0783549	0.0379719	0.0390326	0.0210665	0.0357467	0.0197308	0.0211199	0.0122461	0.0110826	0.00547028	0.00755647	0.00557707	0.00567072	0.00743941	0.0136884	0.0150122	0.0156451	0.0197701	0.0169485	0.0299764	0.021427	0.0162842	0.0109397	0.0124843	0.00760316	0.00448185	0.00651024	0.00607764	0.00544417	0.00894284	0.009979	0.00619319	0.0106235	0.00844744
chercher	0.0413813	0.0134291	0.00906292	0.0107189	0.0102941	0.0117824	0.0149191	0.00862764	0.0257828	0.0198927	0.0143115	0.00522177	0.00394385	0.00472517	0.00544183	0.00273996	0.00201323	0.00149858	0.00195021	0.00103024	0.00152483	0.00190796	0.0014352	0.00232279	0.00314192	0.0059626	0.00985585	0.00968558	0.00868749	0.00790451	0.0241111	0.0390211	0.0347614	0.0243006	0.0302208	0.0457652	0.0437138	0.0654339	0.0835669	0.0852723	0.0768886	0.0635478	0.0472571	0.0749433
une	0.012705	0.0110627	0.0115001	0.0104849	0.0135139	0.0108444	0.0135061	0.0143707	0.0154009	0.0231033	0.0125885	0.00893536	0.0170234	0.0147927	0.00963222	0.0109374	0.0106652	0.0244523	0.0257739	0.0298439	0.0175801	0.0345873	0.0262035	0.0211404	0.0265975	0.0320396	0.0383686	0.0366491	0.0427182	0.031975	0.0503319	0.0634916	0.0448422	0.0347484	0.040735	0.0419771	0.0170748	0.0195094	0.0150281	0.0113585	0.00977507	0.0119828	0.012911	0.0172382
canne	0.033348	0.0299261	0.0275139	0.0284253	0.0236786	0.0221449	0.0210689	0.0188692	0.0199629	0.021869	0.020171	0.0226476	0.0324043	0.0315216	0.0194729	0.0257242	0.0300409	0.0527906	0.0505769	0.0694212	0.030956	0.0381141	0.0275631	0.0235222	0.0221063	0.0227355	0.0209506	0.0187966	0.0182256	0.0143099	0.0185575	0.0165223	0.0133599	0.00671046	0.00889971	0.0113096	0.00997708	0.00851707	0.0099651	0.0102192	0.0106832	0.010869	0.012396	0.0131558
à	0.0728933	0.0330124	0.0125517	0.0153606	0.00657846	0.00960267	0.0117803	0.00956876	0.0109838	0.0105732	0.00658679	0.00527203	0.0093052	0.00954833	0.0130711	0.00853426	0.0137709	0.029837	0.0173185	0.0134248	0.0147323	0.023062	0.00693604	0.00549071	0.0170493	0.0230339	0.0133468	0.0263934	0.0369292	0.0457498	0.065917	0.0573968	0.0504989	0.0279897	0.0357027	0.0392219	0.0291637	0.0242192	0.0310775	0.0263229	0.022947	0.0188325	0.0196696	0.0187429
sucre	0.0291038	0.0246989	0.0147693	0.0130321	0.00847436	0.00896679	0.00325262	0.00820508	0.00597456	0.00731578	0.0072269	0.0084206	0.0196991	0.00993645	0.0215666	0.0184996	0.0246025	0.0335748	0.0316263	0.0261859	0.0447743	0.0449816	0.022966	0.0239067	0.0601696	0.0533337	0.0507136	0.0520374	0.0421876	0.0298515	0.0430119	0.0318262	0.0229304	0.0133727	0.0201052	0.0200886	0.0126934	0.00797489	0.0133184	0.011454	0.0109048	0.00914953	0.0114825	0.0216334
afin	0.048344	0.048527	0.0295832	0.0203408	0.0184148	0.016997	0.00983935	0.00885006	0.0116507	0.0108068	0.0110356	0.00742699	0.014131	0.0101738	0.0155119	0.0120143	0.023511	0.0408784	0.0459012	0.0479339	0.0284274	0.033887	0.0240681	0.0226948	0.0311973	0.0274462	0.0371426	0.030151	0.0331608	0.0140908	0.022711	0.0170036	0.0145916	0.0104016	0.0131688	0.0170569	0.0140704	0.0115264	0.0185031	0.0168578	0.0185934	0.0200398	0.0190371	0.0523008
que	0.0334275	0.0291887	0.018051	0.0133407	0.010777	0.0111128	0.00850051	0.00864601	0.010111	0.0102336	0.00930982	0.00673016	0.0124164	0.0103885	0.0130184	0.00906736	0.0173884	0.0157169	0.0239375	0.0202886	0.014822	0.0179198	0.0151251	0.0223955	0.0303432	0.0332919	0.0542311	0.0505321	0.040627	0.0175665	0.0303381	0.0202088	0.017762	0.0173919	0.0177042	0.0174833	0.0150816	0.0149788	0.0237101	0.0276898	0.0349285	0.0337244	0.0488889	0.0916046
je	0.0382628	0.0345089	0.0225112	0.0250143	0.0171148	0.0170586	0.0135658	0.0108427	0.014979	0.0133223	0.00797428	0.00444232	0.00684645	0.00717711	0.00954109	0.00441127	0.00697072	0.00998378	0.00968431	0.00826686	0.00969995	0.011643	0.0109471	0.016466	0.027596	0.029218	0.0383902	0.0444905	0.0388316	0.0243203	0.0300395	0.0244077	0.0178502	0.0144646	0.0123464	0.0122428	0.00971987	0.0117259	0.0195625	0.0228051	0.0412956	0.0521615	0.0455186	0.151778
