 	a66	a87	a23	a20	a4	a58	a15	a92	a37	a94	a90	a79	a98	a47	a36	a0	a37	a62	a88	a12	a18	a27	a82	a87	a23	a87	</S>
le	0.0595562	0.0752493	0.0633223	0.0448218	0.045156	0.0298851	0.0183284	0.0106658	0.0143033	0.010746	0.0127812	0.00942224	0.009976	0.0054518	0.00569479	0.00732864	0.0224817	0.0490647	0.0425475	0.062256	0.0436549	0.0683502	0.0642058	0.0676898	0.0491244	0.0514152	0.056521
récolteur	0.00324271	0.00842678	0.0103101	0.0221912	0.0488092	0.0954332	0.094106	0.122074	0.0894101	0.0804636	0.0980199	0.0686185	0.0739527	0.0506291	0.0677314	0.0326756	0.0167148	0.00676285	0.00214064	0.00160362	0.00104536	0.000431664	0.000949981	0.000900701	0.00105427	0.00092905	0.00137288
de	0.0111661	0.0676467	0.0553951	0.116444	0.0872049	0.0684187	0.0331228	0.0355309	0.0546281	0.0644079	0.0514818	0.0651722	0.0914796	0.113266	0.0465618	0.0153196	0.00436425	0.00143327	0.00201969	0.00149668	0.00270792	0.00179678	0.00179133	0.00103162	0.00177147	0.0028989	0.00144198
vin	0.0381465	0.0600418	0.0327353	0.0272774	0.0225387	0.0161799	0.0133397	0.0123839	0.0235906	0.0314354	0.0405262	0.0423966	0.0608088	0.107217	0.062429	0.0661295	0.0522322	0.0336881	0.0190844	0.00871928	0.0250403	0.0303232	0.0665699	0.0434278	0.0278803	0.0297157	0.00614298
de	0.0511063	0.0640465	0.0552403	0.0923458	0.080358	0.120147	0.081423	0.0905619	0.0580962	0.0288415	0.0198032	0.0199874	0.0190861	0.0133466	0.0164244	0.00938361	0.0103806	0.00956237	0.0110055	0.0079427	0.00945281	0.0180695	0.0179115	0.0190527	0.0227523	0.0279396	0.0257321
palme	0.101133	0.0364106	0.0161874	0.0150522	0.0263791	0.0490607	0.0271972	0.0189541	0.0225812	0.0258724	0.0149361	0.017568	0.0222559	0.0283445	0.0225543	0.0199664	0.0413819	0.0254908	0.0269784	0.0313291	0.0449567	0.0376823	0.070499	0.030745	0.0585308	0.0530945	0.114858
est	0.0544635	0.03295	0.0198801	0.018596	0.0153133	0.0195078	0.0262392	0.0216564	0.0228787	0.0372187	0.0205754	0.016348	0.0291321	0.0554145	0.0280902	0.030151	0.0303621	0.0232376	0.0357834	0.0602731	0.0689976	0.0619571	0.0732518	0.0295858	0.0409004	0.0378691	0.0893672
en	0.0523715	0.0284407	0.0152675	0.01649	0.0174934	0.0207017	0.0158747	0.0137469	0.0330162	0.0431576	0.0244639	0.0281801	0.0417879	0.0694658	0.0308556	0.0480612	0.0330622	0.0245908	0.0364277	0.0512973	0.0724115	0.0494663	0.0556739	0.0296146	0.0400776	0.0442393	0.063764
train	0.0182222	0.0199899	0.0126019	0.0126925	0.014466	0.00803715	0.00538237	0.00956412	0.0392588	0.0439016	0.0593939	0.0652853	0.107425	0.0877674	0.071128	0.0786084	0.0378775	0.0230793	0.0235703	0.0380114	0.0462747	0.0456494	0.0322187	0.02769	0.0260426	0.0271542	0.0187076
de	0.0343712	0.0270797	0.0143051	0.0107578	0.0227763	0.0231607	0.0139845	0.0151831	0.00786162	0.0195827	0.0105199	0.00994011	0.0123632	0.0120707	0.0236331	0.0299151	0.0366511	0.0382624	0.0436635	0.0604893	0.051024	0.072032	0.0830533	0.0571053	0.0682449	0.0708896	0.13108
tailler	0.0473799	0.0497588	0.0420059	0.0418825	0.0461108	0.0597047	0.0338674	0.0415121	0.0477431	0.0427064	0.0398502	0.0350899	0.0292696	0.0286995	0.0288529	0.0255388	0.0198868	0.0183318	0.0140836	0.017253	0.0163898	0.0353252	0.0352672	0.0216403	0.027544	0.0449582	0.109348
le	0.0741472	0.0421762	0.0275703	0.0240036	0.0358771	0.0574834	0.021724	0.0207272	0.019295	0.017005	0.0226643	0.0164791	0.0164804	0.014454	0.0157884	0.0148341	0.0205232	0.0201504	0.0200682	0.0332106	0.039086	0.0641018	0.0684576	0.0479958	0.0631083	0.091127	0.091462
palmier	0.0628373	0.0516459	0.029587	0.0214096	0.0320031	0.0217122	0.012683	0.0153047	0.0125341	0.0177526	0.0147569	0.0166395	0.019898	0.0135344	0.0219601	0.0216081	0.0211959	0.0255746	0.0219849	0.0293406	0.0257025	0.051279	0.0581937	0.0661412	0.0589727	0.0656916	0.190057
</S>	0.0412697	0.0466827	0.0397481	0.0302319	0.0401061	0.0221974	0.0212562	0.0199244	0.0222912	0.026735	0.0207163	0.0261961	0.03119	0.029063	0.0277424	0.0265703	0.0229828	0.0265574	0.0219212	0.0253666	0.0368229	0.0395628	0.0511762	0.0552284	0.0675313	0.0607917	0.120138
