 	a66	a87	a23	a87	a23	a79	a93	a34	a61	a75	a90	a75	a94	a35	a66	a90	a96	a90	a70	a61	a0	a75	a25	a90	a38	a54	a7	a57	a87	a23	a87	a23	a87	</S>
l'	0.0359202	0.0500669	0.0736775	0.0345199	0.0296479	0.0248595	0.0139982	0.0202246	0.0221308	0.0198889	0.031425	0.0137856	0.0159215	0.00708907	0.00831233	0.00852362	0.00652766	0.00465338	0.00434975	0.00740606	0.00833174	0.00755552	0.0275796	0.0395444	0.0504687	0.0517978	0.0666283	0.0398426	0.0401986	0.0385029	0.0409812	0.0488821	0.0439645	0.0627937
activité	0.00292238	0.0039663	0.0041213	0.0114341	0.0119776	0.0077009	0.0101892	0.0159048	0.0449355	0.0881646	0.0512144	0.118889	0.153632	0.105129	0.0244962	0.0318603	0.0402099	0.0307231	0.0222091	0.0407491	0.0328635	0.0436555	0.0311007	0.0245466	0.0117711	0.00691335	0.00220078	0.00500727	0.00321798	0.00404931	0.00448826	0.00360051	0.00483533	0.00132086
commerciale	0.0404122	0.0637413	0.0588562	0.0665869	0.0684498	0.0318521	0.0236015	0.0133937	0.0224495	0.141739	0.0374981	0.0593896	0.0872168	0.0837617	0.0169154	0.0162193	0.022354	0.0201392	0.0180034	0.0260471	0.0210341	0.0099975	0.0222203	0.00783577	0.00260067	0.00237911	0.00137351	0.00238626	0.00166619	0.00140178	0.00204986	0.00256637	0.00221874	0.00164282
de	0.188533	0.139462	0.0928222	0.0602111	0.0251471	0.015464	0.0144347	0.0194288	0.00806885	0.0075038	0.00418898	0.00491384	0.0020442	0.00949495	0.00933343	0.00483012	0.00535109	0.00519775	0.0056476	0.00546825	0.00577324	0.0077063	0.00742569	0.0112045	0.0146172	0.0176054	0.00895063	0.0367085	0.0292047	0.0408462	0.0336865	0.0652589	0.0546567	0.0388095
cette	0.114409	0.0623771	0.0492844	0.0373774	0.0267401	0.0613507	0.105319	0.0634541	0.0604685	0.0279549	0.03578	0.0385782	0.0248611	0.0246305	0.0238543	0.0193668	0.0117457	0.0175022	0.0227172	0.0266005	0.0183736	0.0225366	0.0222963	0.010783	0.0056668	0.00403668	0.00397252	0.0049992	0.00451819	0.00616416	0.00651835	0.00891068	0.007964	0.0188883
femme	0.0457939	0.0366304	0.0283273	0.030242	0.0277379	0.0316291	0.0589986	0.0657893	0.0340047	0.0368998	0.0171687	0.0249962	0.0197013	0.031284	0.0463148	0.0370836	0.033694	0.0357147	0.0345787	0.0336528	0.0252085	0.0203645	0.0157067	0.0134781	0.0201085	0.0131592	0.0181005	0.0188728	0.0194337	0.0223663	0.0221263	0.0267136	0.0178071	0.0363125
a	0.0341711	0.0233036	0.0230732	0.0241861	0.0297648	0.0343315	0.0518516	0.103239	0.0303	0.0581256	0.0132397	0.0381256	0.023781	0.0252817	0.0325536	0.025011	0.0180391	0.0178429	0.0144837	0.0194565	0.0122532	0.00860828	0.011759	0.0142129	0.018684	0.0150931	0.0332236	0.0297771	0.0304505	0.0362321	0.0469041	0.0292866	0.0263286	0.047025
fait	0.0254932	0.0181454	0.015432	0.0218072	0.0184214	0.0185444	0.0243591	0.049644	0.0394575	0.0749304	0.0247019	0.0460961	0.0484794	0.0344893	0.0326762	0.0314899	0.0413343	0.0612991	0.0464049	0.0400106	0.0324815	0.0150526	0.0113264	0.0151398	0.0171378	0.0127173	0.0196873	0.0181652	0.0194097	0.0214601	0.0230056	0.0242102	0.0225832	0.0344071
faillite	0.0287835	0.0222841	0.023615	0.0181835	0.017059	0.018469	0.0147565	0.0171751	0.0135829	0.0217579	0.0117492	0.0160019	0.0326508	0.0207459	0.0141296	0.0156532	0.013155	0.0114376	0.00841801	0.0153601	0.0155645	0.0111219	0.0184084	0.0190629	0.0381893	0.032113	0.0490921	0.0469236	0.0622615	0.0530094	0.0723516	0.0683368	0.0697543	0.088843
</S>	0.0220604	0.0147243	0.0127952	0.00894356	0.00508818	0.0103572	0.0127121	0.0156017	0.016576	0.0170116	0.0122174	0.0110109	0.0108283	0.00611236	0.00748395	0.00783933	0.00473685	0.00350973	0.0043366	0.00672914	0.00838043	0.011715	0.0196495	0.0275028	0.0514749	0.0536584	0.0686919	0.0614531	0.0734246	0.0723274	0.0792168	0.0684836	0.0761993	0.117148
