 	a23	a83	a9	a10	a90	a94	a62	a47	a75	a5	a61	a47	a62	a61	a21	a85	a6	a7	a2	a53	a90	a98	a85	a21	a47	a62	a50	a0	a75	a25	a90	a98	a92	a96	a62	a88	a18	a26	a30	a87	a23	a87	a23	a87	</S>
le	0.0341444	0.0501862	0.029715	0.0335457	0.0292884	0.0260421	0.0325621	0.0422118	0.0555816	0.0838172	0.0503277	0.0773918	0.0250895	0.0235719	0.0313667	0.0142346	0.0072166	0.00923633	0.00557988	0.0114415	0.0090671	0.00712954	0.00558629	0.00434964	0.00602106	0.00696563	0.00710973	0.020663	0.0204516	0.0369342	0.0189341	0.0210223	0.0209811	0.0139736	0.0126042	0.0108907	0.0110567	0.0100181	0.0102312	0.00918995	0.0103174	0.0115775	0.00964618	0.0121564	0.0205716
manioc	0.00123182	0.00279013	0.0134107	0.0112022	0.0206723	0.0438402	0.033269	0.026836	0.0409353	0.027928	0.0266374	0.0387162	0.0241065	0.0372114	0.0469219	0.048225	0.0527461	0.0506446	0.0528147	0.0618808	0.0329405	0.0542702	0.0474947	0.0357227	0.0449751	0.0371639	0.0169876	0.0127338	0.01836	0.0113489	0.00888552	0.00456455	0.00331296	0.00174884	0.00151494	0.00151822	0.000532875	0.000461325	0.000545119	0.000593243	0.000232452	0.000510154	0.000308073	0.000873716	0.000380499
que	0.0159553	0.0159122	0.0232494	0.0234981	0.0260039	0.038567	0.0389767	0.0427709	0.0359459	0.0693317	0.0934859	0.0588542	0.0488079	0.0591931	0.0498196	0.0294132	0.0280836	0.0351612	0.00808652	0.0182893	0.0130099	0.0479301	0.0242702	0.0241654	0.0469683	0.0213149	0.010502	0.00801366	0.00611654	0.006759	0.00941428	0.00671932	0.00362143	0.002484	0.00163905	0.00112522	0.000597833	0.000276101	0.00116882	0.000702186	0.000560519	0.000834001	0.000700716	0.000558908	0.00114192
nyebhi	0.0463076	0.0440173	0.052169	0.037357	0.0402715	0.0296291	0.0435951	0.0402854	0.0316385	0.0315905	0.0233278	0.025031	0.0267967	0.0351801	0.0381708	0.0601165	0.0254953	0.0396882	0.0164408	0.0226971	0.0278256	0.0200361	0.0162146	0.00669657	0.0120285	0.00634934	0.00977712	0.020093	0.0168619	0.0128453	0.0142875	0.0122046	0.00452731	0.00554313	0.00373732	0.00488047	0.00689881	0.00608169	0.00593314	0.00620308	0.00802577	0.00902648	0.0139389	0.0125681	0.0276104
a	0.037991	0.0236047	0.0139193	0.0106527	0.0097447	0.00448913	0.00409711	0.0036722	0.00710799	0.0135771	0.00667633	0.00683292	0.018296	0.0190046	0.0173905	0.0380798	0.0369546	0.0468342	0.0239113	0.015542	0.0326558	0.031134	0.0517053	0.0413355	0.0369246	0.0316862	0.0359174	0.0186137	0.0155425	0.0121154	0.0426411	0.051342	0.0229797	0.0307393	0.0178635	0.00876656	0.0186189	0.00993804	0.0129455	0.0166816	0.0174385	0.0174396	0.0243852	0.0148446	0.0273674
préparé	0.0182002	0.00553833	0.00525567	0.00714954	0.0113122	0.00735891	0.00540187	0.00728312	0.0105981	0.0238122	0.0217178	0.022468	0.0483453	0.0284971	0.0533499	0.0282422	0.0349119	0.0339541	0.0226497	0.0120256	0.0189545	0.0210235	0.0310091	0.0392819	0.0249734	0.0284749	0.0450083	0.0361613	0.0284222	0.0123624	0.0247989	0.027621	0.0192934	0.0222209	0.0155272	0.00995936	0.0156161	0.013777	0.0191945	0.0177825	0.022444	0.024297	0.0279598	0.0151067	0.0306584
hier	0.0260975	0.00787081	0.00654011	0.00894735	0.0155871	0.0100862	0.00791154	0.0138102	0.0176297	0.0138805	0.0172177	0.0133769	0.01677	0.0144916	0.0164814	0.0155353	0.0238894	0.0167475	0.0187339	0.0146025	0.0171849	0.0193427	0.0210103	0.0288929	0.0177542	0.0318894	0.043717	0.0464157	0.0402824	0.017221	0.0232017	0.0308641	0.0206211	0.0199532	0.0186256	0.0134238	0.0208738	0.0165977	0.0246086	0.020765	0.0349717	0.0362328	0.0420839	0.0313172	0.065942
s'	0.0150551	0.00843085	0.00584388	0.00747451	0.0163594	0.0105354	0.00815702	0.0128888	0.0184016	0.0186704	0.0229487	0.0118102	0.0188119	0.014061	0.0144055	0.0149512	0.0199532	0.0181099	0.0170113	0.014267	0.0161756	0.016546	0.0133898	0.0165514	0.0116738	0.0191216	0.0287283	0.0354058	0.0341598	0.0285222	0.0279982	0.0361934	0.0239099	0.0132616	0.0216111	0.00929233	0.0166225	0.0122309	0.0409868	0.0228653	0.0506975	0.0576088	0.0621318	0.0438826	0.0522858
est	0.0195631	0.00906071	0.00551551	0.00654232	0.00941533	0.00607006	0.00532563	0.00708557	0.0112527	0.0153264	0.0132039	0.00836289	0.014004	0.0104	0.0172809	0.0128688	0.00889189	0.0130558	0.021019	0.0140444	0.0218294	0.0158015	0.0217627	0.0198233	0.0192973	0.0187049	0.024677	0.0326627	0.0193354	0.0153533	0.0199282	0.0171747	0.0171659	0.0188329	0.0161901	0.0127742	0.0271431	0.0285519	0.0396226	0.0425658	0.0596042	0.0779946	0.0659346	0.0584467	0.060534
déjà	0.0236169	0.01193	0.0109919	0.00958149	0.0129875	0.0089315	0.0070462	0.00924318	0.0153032	0.0196127	0.0177188	0.0141181	0.0195784	0.0192353	0.0200081	0.0234989	0.0111916	0.02049	0.0227087	0.0256556	0.0267191	0.0167894	0.0203196	0.0181378	0.0136535	0.0200656	0.0277297	0.0471602	0.0302812	0.0330319	0.0259599	0.0216386	0.0232363	0.0185484	0.0183912	0.0104175	0.0208954	0.0172676	0.0259497	0.0199993	0.0434526	0.046293	0.0306661	0.0414427	0.0585058
