 	a66	a87	a97	a87	a97	a87	a97	a10	a97	a87	a97	a99	a50	a62	a96	a70	a93	a70	a54	a37	a70	a54	a36	a26	a38	a82	a57	a97	a99	a50	a62	a12	a41	a56	a96	a93	a70	a44	a70	a99	a13	a38	a9	a3	a97	a9	a97	a87	a97	</S>
celui-ci	0.0166479	0.0216017	0.0168888	0.00998839	0.011535	0.0120021	0.0154749	0.0214467	0.0122157	0.01888	0.0400464	0.0621853	0.0554726	0.0576085	0.038346	0.0527736	0.0315737	0.0185542	0.017908	0.0166399	0.0155644	0.0140788	0.0239667	0.0207628	0.0144383	0.0152651	0.0272484	0.0223255	0.023824	0.0181899	0.010569	0.0105572	0.0114221	0.0139357	0.0121363	0.0108566	0.00878614	0.0156998	0.0169192	0.0148414	0.0102597	0.0142476	0.0139169	0.0131446	0.0133629	0.00730642	0.0107179	0.0191375	0.00878106	0.0199484
est	0.0399844	0.0249458	0.0258393	0.0111238	0.0140434	0.0127473	0.01552	0.016067	0.0150459	0.0146386	0.0175935	0.0180186	0.015152	0.00963386	0.00964759	0.0135801	0.0229453	0.0201876	0.021784	0.0226313	0.0217027	0.0131778	0.013144	0.0159653	0.0145277	0.0209821	0.0187415	0.0126933	0.0149032	0.0103445	0.0135447	0.0150396	0.0109435	0.0143602	0.0147078	0.0202235	0.0200729	0.0235033	0.0228281	0.0212488	0.0285149	0.0209319	0.022057	0.0192079	0.0251199	0.0262133	0.0385503	0.0282361	0.0572195	0.0401657
mon	0.0550723	0.0424053	0.0368167	0.0314985	0.0473056	0.0298978	0.0238754	0.0268803	0.0291799	0.024823	0.0243291	0.0315092	0.0254149	0.0147999	0.0223573	0.022112	0.0232649	0.0230559	0.0245863	0.0271253	0.034942	0.0281947	0.0185906	0.0196095	0.0223502	0.0204255	0.0136491	0.00980974	0.00879587	0.00684067	0.00681182	0.00743486	0.00813033	0.0151833	0.0130456	0.0117409	0.0177181	0.0124459	0.0119009	0.0109748	0.0131948	0.0160501	0.0074941	0.00984766	0.00788173	0.00676857	0.0184068	0.00768386	0.0188277	0.0089408
champ	0.0645575	0.0413855	0.0252023	0.040075	0.0297025	0.0276157	0.0220347	0.0203332	0.028599	0.0280959	0.0252994	0.0223656	0.0378386	0.0300713	0.0154993	0.0151982	0.0173138	0.00884348	0.0083986	0.0114135	0.0185436	0.0252827	0.0186002	0.0320064	0.0415954	0.0411732	0.0282617	0.0219744	0.0160745	0.0206343	0.0117958	0.0107579	0.0185504	0.0125193	0.0124286	0.0128348	0.0124199	0.0109035	0.00612153	0.00751959	0.00959034	0.00803236	0.00586773	0.0065832	0.00614886	0.00877605	0.0227487	0.0104338	0.0106934	0.0112844
celui-là	0.0751302	0.0452106	0.0286974	0.023603	0.0148273	0.00858641	0.00683155	0.007894	0.00847869	0.00867931	0.0170581	0.0189501	0.0328032	0.0121146	0.00429975	0.00680509	0.01076	0.00817497	0.00545338	0.00747568	0.0170395	0.00733341	0.0125018	0.0245418	0.0191766	0.0174724	0.010037	0.00788255	0.0109498	0.020221	0.0159601	0.0180514	0.0187735	0.0125039	0.0209494	0.0125802	0.0152425	0.0165585	0.0133618	0.0189828	0.0295626	0.0212193	0.0263235	0.0232381	0.0311271	0.0268146	0.056527	0.0338947	0.0605486	0.0287913
est	0.0377073	0.0208391	0.0161171	0.0060871	0.00646898	0.00373346	0.00496755	0.00427471	0.00521802	0.00342494	0.00639864	0.00868026	0.0112088	0.004005	0.00253126	0.00512567	0.00973291	0.00650165	0.00382979	0.00792258	0.0212285	0.0137046	0.0203225	0.0358946	0.0446838	0.0360806	0.0180955	0.0135885	0.0174546	0.0294171	0.0307145	0.030219	0.0384774	0.0340481	0.0368219	0.0245789	0.0346348	0.0300977	0.0185844	0.0213404	0.0234696	0.0281363	0.0163558	0.019935	0.0218044	0.0247247	0.0286617	0.0254551	0.037759	0.0489362
à	0.0247755	0.0169061	0.0154399	0.0112538	0.0143801	0.00919615	0.00720206	0.00444009	0.0067472	0.00686798	0.00596166	0.0115867	0.0111014	0.00607462	0.00873027	0.0081062	0.0113102	0.0156716	0.0125621	0.0120827	0.0259226	0.0111081	0.015187	0.0201163	0.0252964	0.0279193	0.0152344	0.0158637	0.0158789	0.0206439	0.0223558	0.025539	0.0211761	0.0193375	0.0280381	0.0249787	0.0205919	0.0252596	0.0230216	0.0245355	0.0295769	0.0254266	0.0326441	0.0304872	0.0235508	0.0337955	0.0352256	0.0335286	0.0391893	0.0681749
mon	0.0301335	0.0179716	0.0165402	0.00572663	0.00761063	0.00621727	0.00662542	0.00711353	0.00678123	0.00821122	0.00874439	0.0131454	0.0170373	0.00685969	0.00902684	0.0198023	0.0237374	0.014534	0.0110549	0.0121231	0.0253728	0.0119155	0.0185617	0.018073	0.0205163	0.0192586	0.0140712	0.0107612	0.00999446	0.010937	0.0114767	0.0109345	0.00885649	0.0098602	0.0102547	0.0104281	0.0110089	0.0150557	0.0190664	0.0196127	0.0302199	0.0247274	0.0453426	0.0420479	0.0425853	0.0376485	0.0329681	0.0517694	0.0591648	0.0985135
oncle	0.0251725	0.0181204	0.0186719	0.01899	0.0177544	0.0129372	0.0128553	0.0114807	0.0169828	0.0153217	0.0187172	0.0246838	0.025957	0.0148192	0.0112788	0.0162923	0.0227219	0.0178964	0.010362	0.0117718	0.0259264	0.0159913	0.0231641	0.0191526	0.0213593	0.0204509	0.0141769	0.0126024	0.0132741	0.0142904	0.0140313	0.014357	0.0122219	0.0128194	0.0145703	0.0133347	0.0150227	0.0148306	0.0153286	0.0177153	0.0230078	0.019096	0.0318418	0.0282753	0.0274947	0.0302644	0.0313765	0.0329388	0.0478783	0.0604189
</S>	0.0385273	0.0179732	0.0105308	0.00311239	0.00376931	0.00259724	0.00232913	0.00269785	0.00243512	0.00258199	0.00256464	0.0033343	0.00488066	0.00252886	0.00196779	0.00514083	0.00684606	0.00315212	0.00275883	0.00235005	0.00423816	0.00318375	0.00582727	0.00810859	0.00946131	0.0109627	0.0109896	0.0107959	0.011416	0.0171617	0.0158271	0.0175144	0.0160179	0.0137188	0.0202986	0.0193227	0.0224336	0.0258208	0.0251925	0.0278773	0.0349758	0.0265518	0.06878	0.0572191	0.0616657	0.0541045	0.0647341	0.0677808	0.0677666	0.0781743
