 	a66	a87	a23	a99	a38	a88	a71	a62	a12	a62	a88	a0	a47	a12	a47	a62	a12	a47	a88	a75	a92	a79	a7	a84	a87	a23	a87	</S>
j'	0.0383198	0.0432022	0.0300684	0.0183174	0.0219067	0.0156322	0.0181892	0.0101416	0.00817213	0.00531783	0.00531898	0.00470527	0.00384296	0.00347837	0.00558854	0.00987869	0.0261212	0.0400337	0.0663215	0.0611442	0.104637	0.0794209	0.0710993	0.0517269	0.0730234	0.0502398	0.0524494	0.0817029
ai	0.0809293	0.0624047	0.0638782	0.0650268	0.0549714	0.0548788	0.0541256	0.0236609	0.0189465	0.037606	0.0354549	0.028344	0.0308999	0.0296947	0.0381572	0.0308513	0.023935	0.024029	0.0148801	0.0201733	0.0153199	0.0273532	0.0267549	0.0284766	0.0230768	0.0232326	0.0336386	0.0292998
fais	0.0223821	0.0262137	0.0268352	0.0292774	0.0398527	0.0393266	0.0320388	0.0306363	0.0395997	0.0368468	0.0554321	0.0524341	0.043003	0.0662539	0.0424103	0.0278372	0.018911	0.0190671	0.0248089	0.0324456	0.0332921	0.0330732	0.0439363	0.0330645	0.035492	0.0323328	0.0468787	0.0363178
un	0.0447327	0.028374	0.0186746	0.0352973	0.042931	0.0308662	0.0263935	0.0256492	0.0394878	0.0593525	0.0597768	0.0443041	0.0812436	0.0348143	0.0498401	0.0336956	0.0351607	0.0308344	0.0293827	0.0261888	0.0300807	0.0226791	0.0273744	0.0258534	0.0210198	0.0274675	0.0308982	0.0376271
saut	0.0283721	0.0261852	0.0239343	0.0268671	0.0251035	0.0229807	0.0205693	0.0201289	0.0258692	0.045688	0.0485849	0.0459298	0.052649	0.0526983	0.0391838	0.0429674	0.0379135	0.0407417	0.0611668	0.0520999	0.0742719	0.0556545	0.0366134	0.0233827	0.0198167	0.0222423	0.0147649	0.0136201
pour	0.0797753	0.0704187	0.0473278	0.064167	0.0881993	0.0683689	0.0683947	0.0615995	0.049606	0.0382157	0.0332141	0.019178	0.0287391	0.0165785	0.0137599	0.0131026	0.0128508	0.0156973	0.0202913	0.0206096	0.0249728	0.0234753	0.0174413	0.0197631	0.0197305	0.0200831	0.0185494	0.0258901
dépasser	0.0571703	0.0489963	0.0533441	0.0510401	0.0532088	0.0607097	0.0493138	0.037278	0.0278238	0.0168057	0.0156345	0.0181138	0.0174804	0.0305668	0.0287821	0.0307028	0.0429838	0.0457137	0.0529591	0.0328973	0.0398324	0.0276827	0.0272513	0.0297363	0.0275495	0.0262561	0.0215907	0.0285761
la	0.101801	0.0453247	0.0504362	0.0290722	0.0248714	0.034987	0.0365852	0.040599	0.0345167	0.0192071	0.0215309	0.0288286	0.026181	0.036586	0.0308117	0.0344961	0.04257	0.031057	0.0355703	0.0349941	0.0221198	0.0207104	0.0246059	0.0365532	0.0339222	0.0456381	0.0436373	0.0327865
flaque	0.0309089	0.0209503	0.0202693	0.0139407	0.0104501	0.012939	0.0136338	0.0128086	0.0184308	0.0107654	0.0104558	0.0131466	0.00992255	0.0162892	0.0167488	0.0152702	0.03087	0.0419068	0.0691462	0.0760485	0.0546857	0.05076	0.0568632	0.0756179	0.052548	0.0891634	0.0911465	0.0643138
d'	0.0328207	0.010127	0.00634501	0.00400014	0.00360696	0.00431324	0.00616271	0.00752757	0.0072509	0.00236748	0.0032202	0.00266006	0.00471492	0.00563202	0.0130917	0.0135173	0.0200668	0.0216042	0.0330921	0.0574632	0.0455769	0.0573925	0.0721973	0.114181	0.0998797	0.121432	0.0800979	0.149659
eau	0.0256413	0.019461	0.0168838	0.00853458	0.00834074	0.00850101	0.00657378	0.00414827	0.00537992	0.00262215	0.00438993	0.00461326	0.00901771	0.0106181	0.0405866	0.0153695	0.0401092	0.0686966	0.0214423	0.0726967	0.0834066	0.0918195	0.0733238	0.0571548	0.107502	0.0884359	0.0730212	0.0317103
</S>	0.020076	0.00776099	0.00690947	0.00377717	0.00342457	0.00366581	0.00443525	0.00780753	0.0114118	0.00595533	0.0101867	0.00629406	0.00898369	0.00852225	0.0182727	0.0222344	0.0427955	0.0439359	0.0244163	0.0888359	0.0448323	0.0623714	0.0463675	0.0583015	0.149814	0.127343	0.124535	0.0367349
