 	a10	a87	a23	a79	a90	a56	a62	a21	a37	a85	a37	a61	a93	a90	a25	a96	a61	a24	a9	a38	a56	a75	a92	a85	a92	a56	a75	a43	a11	a24	a9	a10	a87	a23	a10	</S>
son	0.107838	0.110078	0.140304	0.124379	0.0886279	0.069609	0.0352889	0.0193945	0.0217591	0.02053	0.0121035	0.0136773	0.0132455	0.0129211	0.0101205	0.0106961	0.00908376	0.00949733	0.0099868	0.0115405	0.00823381	0.00718328	0.00691156	0.00554091	0.00376897	0.00336316	0.00230948	0.00274481	0.00495096	0.0109162	0.0133314	0.0125829	0.0130643	0.00957546	0.0104677	0.0343739
grand	0.00665762	0.0261491	0.116508	0.221374	0.192708	0.128611	0.0452008	0.0501106	0.01849	0.0324512	0.0220927	0.0203625	0.0173009	0.00975207	0.0114235	0.00576281	0.0100203	0.00351038	0.00523752	0.00728404	0.00610487	0.00530567	0.00673427	0.00526416	0.00437029	0.00471855	0.00474206	0.00192548	0.000851993	0.000723501	0.000607381	0.000966112	0.00078128	0.00139813	0.00164352	0.00285602
frère	0.0137673	0.0191235	0.0518253	0.102715	0.122093	0.118731	0.111928	0.142927	0.0344829	0.063143	0.0420729	0.031607	0.0350366	0.0304956	0.0149865	0.0116842	0.0160884	0.00375638	0.00183328	0.0027787	0.0011373	0.000699277	0.00159403	0.00105251	0.000654784	0.000615511	0.000597995	0.000407457	0.00033175	0.000723435	0.000946801	0.0020405	0.00278787	0.00391521	0.00566248	0.00575713
l'	0.0544118	0.0198231	0.0133851	0.00682202	0.0104192	0.0174795	0.0319121	0.0479139	0.0269943	0.0292034	0.0565835	0.0299116	0.0650567	0.0737588	0.0527922	0.0394004	0.0361146	0.0819806	0.0476592	0.0261552	0.0197559	0.0140977	0.0257635	0.0161524	0.00386519	0.0042328	0.00106893	0.00114433	0.00135148	0.00316539	0.00565611	0.0172002	0.0186885	0.0259655	0.0353455	0.0387693
a	0.0298144	0.0317957	0.0230426	0.0219596	0.0300025	0.0285354	0.0290506	0.0529454	0.0367603	0.0273609	0.0310807	0.0215264	0.0207861	0.0526665	0.05038	0.0457861	0.106635	0.0914358	0.0302469	0.0205554	0.0164147	0.0195101	0.0153706	0.0131988	0.00794422	0.00571195	0.00326141	0.0029932	0.00378014	0.00831815	0.0109288	0.0179106	0.0168142	0.0285909	0.0267745	0.0201119
obligé	0.0316014	0.0276741	0.028314	0.024812	0.0564077	0.0533243	0.0948658	0.176418	0.045648	0.0445187	0.0287416	0.0182039	0.0417806	0.0303454	0.0246203	0.0315819	0.030362	0.0479538	0.00878472	0.00675489	0.00961982	0.0102088	0.0139344	0.00811554	0.00332822	0.00308021	0.00255948	0.0017858	0.00200448	0.00362708	0.00345576	0.0100266	0.0167307	0.0183113	0.0189717	0.0215272
de	0.0386468	0.0252523	0.0238355	0.0144839	0.0235162	0.0246648	0.0245921	0.0191533	0.00824887	0.0115582	0.0138398	0.00632985	0.0180221	0.0148013	0.0172516	0.0148427	0.0138464	0.0219884	0.00676435	0.0082903	0.00667086	0.00505564	0.00268103	0.00657757	0.00804464	0.00751936	0.00807354	0.0110918	0.0156679	0.0356319	0.05662	0.081205	0.0913696	0.0886701	0.102341	0.122852
répudier	0.0311592	0.0286056	0.0299496	0.0253351	0.0360159	0.0334565	0.0321723	0.0301273	0.0229901	0.0267886	0.0340562	0.0265322	0.0327328	0.0351005	0.0289583	0.0295925	0.041501	0.0408366	0.0178859	0.0120859	0.00733298	0.00497821	0.00503258	0.00766327	0.00464078	0.00463175	0.00345981	0.0032725	0.00399433	0.00992524	0.0156624	0.0434786	0.043023	0.0733565	0.0786764	0.0949895
sa	0.0296214	0.0166821	0.0159228	0.0107541	0.0203067	0.0245239	0.0210282	0.0224547	0.0116568	0.0107826	0.0194862	0.0110791	0.0114859	0.0155806	0.0123032	0.00873786	0.0109166	0.0189344	0.0159014	0.017829	0.0101055	0.00593274	0.00338855	0.00502982	0.00447476	0.00698705	0.00874417	0.00792564	0.00985199	0.027196	0.0310642	0.0731759	0.0999875	0.103231	0.13658	0.140338
femme	0.035321	0.0191117	0.0180091	0.0111576	0.015265	0.0179788	0.0150276	0.0194954	0.0124305	0.0111197	0.0178816	0.0113844	0.0112826	0.0164438	0.0127343	0.0100984	0.0146513	0.0274298	0.0157322	0.0139362	0.0125986	0.00685597	0.00510154	0.00398872	0.00364791	0.00511299	0.008294	0.0106177	0.0173628	0.0463852	0.0554372	0.0824407	0.0853426	0.0835689	0.0751348	0.171619
</S>	0.0401899	0.0231562	0.017654	0.00834805	0.01283	0.0212657	0.0304575	0.0277966	0.015767	0.00942581	0.0216988	0.00864234	0.0119833	0.0163446	0.0127727	0.00887149	0.0067013	0.0213099	0.0103026	0.0080665	0.0090739	0.00458518	0.00428901	0.00565952	0.00792181	0.00915944	0.0125469	0.014837	0.0223062	0.0456341	0.0627646	0.0817176	0.0715984	0.0835639	0.0878488	0.142909
