 	a66	a87	a79	a90	a15	a25	a41	a21	a47	a61	a75	a5	a18	a75	a47	a36	a2	a57	a87	a23	a99	a37	</S>
il	0.192143	0.142494	0.0927678	0.0778859	0.0442352	0.0169688	0.0101199	0.00647587	0.00590835	0.00491367	0.0118306	0.0112768	0.00793347	0.0129806	0.0307761	0.0340392	0.0277357	0.0430752	0.0369671	0.03449	0.0545613	0.0470073	0.0534147
n'	0.00930262	0.0163653	0.0242419	0.0261849	0.0300766	0.0479897	0.0343025	0.022066	0.0239565	0.027231	0.0311001	0.0502251	0.0505895	0.0530656	0.0601679	0.0462926	0.0545174	0.066964	0.0665719	0.0899284	0.06594	0.0756298	0.0272905
y	0.0402018	0.0376771	0.0314079	0.0246705	0.0733201	0.026311	0.0258216	0.0159928	0.0137675	0.0211389	0.0195785	0.0208887	0.0268382	0.0206276	0.0296606	0.0339514	0.0350148	0.043122	0.0659481	0.0857711	0.061783	0.111323	0.135184
a	0.119448	0.0512755	0.0331823	0.0372859	0.0320796	0.0272576	0.0254508	0.0555367	0.0440337	0.0522168	0.0600179	0.0443263	0.0390223	0.05549	0.0556785	0.0556889	0.055815	0.0288834	0.0263257	0.0251291	0.022231	0.0208192	0.0328057
plus	0.0660423	0.0407235	0.0365311	0.0297666	0.0285552	0.0264123	0.0178899	0.0169435	0.0135891	0.0178772	0.0273522	0.0314421	0.0297174	0.0497776	0.044148	0.0452878	0.0556313	0.0512671	0.0750208	0.0752315	0.0536648	0.0802341	0.0868946
de	0.0289577	0.018377	0.0208581	0.0227531	0.0248676	0.0260425	0.0283588	0.0145153	0.019182	0.0186875	0.0247558	0.0537242	0.0656787	0.0776661	0.0928007	0.0613693	0.0799573	0.0823655	0.0757848	0.0559172	0.0301537	0.0359889	0.0412381
juge	0.0448682	0.0331992	0.0237847	0.0151206	0.0218491	0.0158246	0.012555	0.010538	0.011745	0.0126353	0.0238629	0.0405391	0.0479354	0.063775	0.0499643	0.0562132	0.0883873	0.0589543	0.0748235	0.0809257	0.0623535	0.083005	0.0671412
dans	0.0402847	0.0156342	0.00876623	0.00422752	0.00701151	0.0092293	0.00933457	0.0128278	0.011873	0.0145478	0.0309499	0.0353557	0.0465462	0.042134	0.0280761	0.0366514	0.0686348	0.0416383	0.0868189	0.0568951	0.0872135	0.148207	0.157143
notre	0.0796736	0.0292688	0.00681927	0.00211539	0.0044105	0.0069477	0.0129797	0.0278051	0.0439159	0.0279137	0.0365084	0.0263724	0.0224273	0.0207743	0.0333525	0.0392137	0.0417241	0.0473796	0.0732081	0.0476558	0.0979019	0.126457	0.145176
vil-	0.0331912	0.0172569	0.00608598	0.00339053	0.00310174	0.00459599	0.0146076	0.0287854	0.0386389	0.0314303	0.0382785	0.0269303	0.0259155	0.0231781	0.0331981	0.0419233	0.0363679	0.0430908	0.0613415	0.0712296	0.093987	0.122429	0.201046
lage	0.0460588	0.0163175	0.00631214	0.00249622	0.00502608	0.0169207	0.014772	0.0164241	0.0122558	0.0240014	0.0301153	0.0216153	0.0201373	0.0130215	0.0150357	0.0245414	0.0289916	0.0396771	0.112173	0.0949871	0.116447	0.139442	0.183231
</S>	0.00732027	0.00270968	0.00148734	0.000702143	0.00124904	0.00252781	0.00432575	0.00426395	0.00530324	0.00949795	0.0276656	0.0342745	0.0293921	0.0304648	0.0318177	0.0451775	0.0555429	0.0663329	0.140983	0.135681	0.117552	0.130011	0.115718
