 	a66	a87	a23	a97	a83	a13	a54	a5	a12	a47	a18	a61	a75	a6	a7	a26	a53	a94	a11	a56	a44	a4	a57	a4	a57	a83	a50	a83	a71	a9	a38	a18	a38	a24	a88	a9	a87	a23	a87	</S>
l'	0.0183747	0.0262592	0.019943	0.0157077	0.0185911	0.0130149	0.0365621	0.0262474	0.0530249	0.0329691	0.0223159	0.00932682	0.00631159	0.00730228	0.0137746	0.013271	0.0234438	0.0130491	0.0181025	0.0246369	0.0332311	0.0511312	0.0407621	0.041409	0.0483509	0.0160341	0.012661	0.0137012	0.0307798	0.0412343	0.0415118	0.0332208	0.0252476	0.0218491	0.0183373	0.0197052	0.0180669	0.0243676	0.0169733	0.039197
embonpoint	0.00346347	0.00471349	0.00468475	0.00907246	0.00843087	0.0186163	0.0132925	0.0201779	0.0200195	0.0137837	0.024046	0.0171483	0.021142	0.016372	0.0299924	0.0376121	0.135383	0.0488549	0.0718522	0.0823957	0.054901	0.0464798	0.0343444	0.0376714	0.0222658	0.0452032	0.0229749	0.0151596	0.0201636	0.0183236	0.00903182	0.00912981	0.011247	0.00438922	0.00378235	0.00520622	0.00881618	0.0101332	0.012511	0.00721278
qu'	0.0300245	0.0206444	0.0141197	0.024609	0.0198776	0.0334734	0.0371072	0.0742874	0.0781954	0.0875772	0.078427	0.0578085	0.0392769	0.0639104	0.0440791	0.0766262	0.0205704	0.0248343	0.0153567	0.0225975	0.0208338	0.00939155	0.0125959	0.00697265	0.00410361	0.00422494	0.00734038	0.00355471	0.00191029	0.0028891	0.00212517	0.0027859	0.00177448	0.00201035	0.00191913	0.00363052	0.00585946	0.0081075	0.0170812	0.0174867
a	0.0678375	0.0579335	0.0258726	0.019579	0.0154628	0.0157068	0.011345	0.0227484	0.0151532	0.0188041	0.0215668	0.0184534	0.0305511	0.0250487	0.0196219	0.0392081	0.0200342	0.0205377	0.0215398	0.0233842	0.0366185	0.0350199	0.0360106	0.0290489	0.0313484	0.0231948	0.0261763	0.00774048	0.00691612	0.00948232	0.0065158	0.00532418	0.0121859	0.011314	0.017666	0.0156844	0.037523	0.0374126	0.0547406	0.0496885
la	0.0456416	0.044094	0.0379096	0.0342148	0.0283952	0.0263545	0.0185614	0.0225683	0.0192523	0.0280228	0.0219354	0.0190026	0.0185122	0.0309339	0.0241256	0.0402571	0.0282353	0.0665965	0.0721204	0.0754873	0.0680411	0.0371755	0.0235315	0.0212599	0.0193162	0.0148219	0.0122352	0.00809927	0.00711378	0.00496497	0.00411732	0.00579071	0.00441721	0.00421671	0.004837	0.00486895	0.00701828	0.0126025	0.0139918	0.0193597
chèvre	0.0498777	0.0400346	0.0358131	0.0308844	0.0279987	0.0234502	0.0230465	0.0293952	0.0202786	0.0266211	0.0282856	0.0280732	0.0350903	0.0377149	0.0289941	0.0278493	0.0154146	0.0383832	0.0394125	0.0419375	0.043998	0.0406188	0.0310332	0.0200311	0.013073	0.00703383	0.0115586	0.00851915	0.0032392	0.0035531	0.00173979	0.00488911	0.0051099	0.00597009	0.00781862	0.010864	0.0138437	0.0227056	0.0384733	0.0773726
de	0.0538467	0.0513788	0.0406639	0.0326015	0.0356146	0.0306396	0.0349314	0.0288377	0.0219857	0.0370773	0.0305239	0.0275596	0.038632	0.0341355	0.0310247	0.0240423	0.0124013	0.011989	0.017069	0.0135943	0.0147487	0.0146692	0.0224321	0.0153648	0.00934717	0.00459167	0.00808305	0.0100216	0.00601154	0.00488169	0.00342573	0.0092565	0.00874688	0.0132066	0.0182231	0.0289433	0.0286576	0.0347475	0.0418562	0.0942363
monsieur	0.0353945	0.0299249	0.0211177	0.0157	0.013423	0.0138274	0.0104439	0.0123108	0.00980003	0.0163754	0.0208795	0.0162259	0.0193152	0.0209264	0.0209134	0.0140339	0.0167175	0.0080221	0.0190304	0.0157576	0.0138158	0.0144229	0.020266	0.0158775	0.00964148	0.00989119	0.0102718	0.0142112	0.0116277	0.0156146	0.0144565	0.0300046	0.0183203	0.0333977	0.0439916	0.0839962	0.0702296	0.072561	0.0802995	0.0669634
oko	0.01429	0.0159337	0.0144089	0.0143934	0.013051	0.0121321	0.0171623	0.0150217	0.0108351	0.0103837	0.011074	0.00939197	0.00955921	0.0117308	0.013243	0.0120253	0.0211649	0.010898	0.022653	0.0199063	0.0141078	0.0120246	0.0149602	0.0126613	0.00740968	0.00880402	0.00832624	0.0142479	0.00991431	0.0216112	0.0246242	0.0393792	0.0449602	0.0488482	0.0683206	0.0864644	0.0592234	0.0774225	0.0682745	0.0791572
cache	0.0301426	0.0388253	0.0337714	0.0371537	0.0354303	0.0276741	0.0702529	0.03909	0.0484552	0.0377865	0.0386068	0.0231288	0.0196783	0.0174728	0.0252651	0.0195729	0.034631	0.0121692	0.0142894	0.0123677	0.0106055	0.00801546	0.0054944	0.00750281	0.00722873	0.00676711	0.00377745	0.00526258	0.00690548	0.0125988	0.0160207	0.0153387	0.0193039	0.0176777	0.0216243	0.0261568	0.0260917	0.0475677	0.0398473	0.0804492
sa	0.0234546	0.0272733	0.0211277	0.0214784	0.0185742	0.0173932	0.0174941	0.0139099	0.0127428	0.0158366	0.0173273	0.0161112	0.0160344	0.0135413	0.0149242	0.0138969	0.0167186	0.0134924	0.0193576	0.0209938	0.021271	0.0243058	0.0187083	0.0185224	0.0190499	0.0216925	0.0106342	0.00976768	0.00812628	0.0116611	0.00959873	0.019915	0.0229201	0.0267757	0.0296006	0.0512958	0.0415422	0.0857084	0.071836	0.125386
grossesse	0.0244483	0.0310447	0.0234624	0.0239553	0.023453	0.0217345	0.0294023	0.0130445	0.0148577	0.0130034	0.0140165	0.0106335	0.011231	0.0101959	0.012404	0.0137171	0.0170715	0.0218936	0.0285749	0.038757	0.0562511	0.0617131	0.0353111	0.0452431	0.0454177	0.0518517	0.0212238	0.0136756	0.01301	0.0107914	0.00728423	0.0141736	0.018911	0.018166	0.0198543	0.0281945	0.0285666	0.0336222	0.0299994	0.0498385
</S>	0.042569	0.0422241	0.0369156	0.030509	0.0290008	0.0202452	0.0286103	0.0234758	0.0209989	0.0136313	0.0122484	0.0102736	0.0106924	0.00942144	0.0124316	0.01358	0.011314	0.0167467	0.0224372	0.0181576	0.0276392	0.0344153	0.0456577	0.0458728	0.033384	0.018801	0.0250941	0.0240064	0.0170995	0.020646	0.0161874	0.0304343	0.0276606	0.0262145	0.0302558	0.0311253	0.0276242	0.0268277	0.0241757	0.0413955
