 	a66	a10	a87	a79	a5	a36	a27	a58	a98	a79	a12	a21	a92	a37	a98	a92	a85	a92	a44	a96	a62	a0	a24	a62	a21	a12	a96	a62	a88	a71	a9	a87	a23	a87	</S>
cette	0.0290924	0.0266378	0.0310873	0.0282542	0.0213415	0.0465993	0.10021	0.0711638	0.0766738	0.0515245	0.0347446	0.0141736	0.0205637	0.0141766	0.0143798	0.0190643	0.0282869	0.0193247	0.0156804	0.0210835	0.0230381	0.0244956	0.026301	0.0219484	0.0180414	0.0152178	0.0152698	0.0153642	0.0243222	0.0185798	0.0136046	0.015906	0.0193835	0.0186767	0.0457887
manière	0.00499488	0.00570219	0.00432977	0.0129162	0.0289422	0.0378162	0.0802305	0.0807644	0.112794	0.144435	0.07672	0.0996556	0.0583676	0.0555569	0.0551961	0.0396262	0.0292014	0.0131726	0.0154349	0.0110307	0.00651906	0.00253641	0.00360703	0.00129818	0.00204258	0.00239879	0.000965724	0.00190023	0.00215445	0.00098319	0.000541772	0.00138187	0.00129891	0.0025304	0.00295379
de	0.0840004	0.043709	0.0266608	0.0234222	0.0226687	0.0107965	0.0156756	0.0105605	0.00980246	0.0104732	0.0149193	0.0299488	0.0350126	0.0282382	0.0224497	0.0141253	0.00770057	0.00693112	0.00690846	0.0152173	0.0133075	0.0239065	0.0226289	0.0239613	0.0277053	0.0271458	0.0300863	0.0323722	0.0440146	0.0294535	0.0411427	0.0845052	0.0420637	0.0963997	0.0220858
battre	0.0253268	0.0188076	0.0139242	0.00647395	0.00653036	0.00564602	0.01451	0.0158677	0.00753337	0.00449899	0.00804012	0.0110119	0.0143819	0.0149186	0.0194313	0.034814	0.0672458	0.0747419	0.0651774	0.132014	0.106696	0.0895006	0.0289724	0.0361086	0.0244488	0.0192747	0.0205132	0.018511	0.0162473	0.0113791	0.00853921	0.0193595	0.0126391	0.0205459	0.00636934
les	0.0598068	0.0512573	0.0379535	0.0109929	0.0161886	0.0198493	0.0326704	0.0329511	0.023119	0.017648	0.0257833	0.0397582	0.0480188	0.024593	0.0188412	0.0287171	0.0501078	0.0559282	0.0510318	0.0526495	0.0444846	0.0447306	0.0249243	0.0249187	0.0119949	0.014171	0.00780059	0.0125906	0.0114859	0.00777934	0.00912812	0.0156105	0.0150603	0.0280304	0.0294243
paupières	0.0799051	0.0581415	0.0445293	0.0218383	0.0182785	0.0174359	0.0222388	0.0182415	0.0180353	0.0176532	0.0145373	0.00844932	0.0146171	0.0172544	0.0172182	0.0207659	0.0268746	0.0368487	0.0286547	0.0525045	0.049434	0.0490454	0.0231554	0.014873	0.022584	0.00987909	0.00852689	0.0133587	0.0109617	0.0152018	0.0205082	0.0394418	0.039337	0.0547874	0.0748833
est	0.07064	0.0677993	0.0653292	0.0372941	0.0293835	0.0187321	0.0242111	0.0144107	0.0214033	0.0229615	0.0214445	0.0160018	0.0281726	0.0218961	0.0217472	0.0240932	0.025212	0.0290433	0.0388126	0.0557644	0.0412219	0.0377769	0.0202448	0.0132934	0.0170116	0.00874498	0.00970881	0.00970102	0.00841145	0.00803384	0.0119746	0.0258131	0.0271364	0.0400289	0.0665457
celle	0.0202073	0.0222884	0.0179484	0.0152193	0.0178001	0.0108504	0.0145129	0.0131032	0.0109598	0.0100318	0.0117644	0.0100286	0.012113	0.0107681	0.00996243	0.015836	0.0164273	0.0202519	0.0217659	0.0242975	0.0240675	0.0280694	0.0286727	0.027165	0.0526116	0.0203131	0.0430436	0.0521367	0.0291683	0.0540856	0.0796878	0.0732244	0.0606563	0.0671069	0.0538543
des	0.0251962	0.0261441	0.0203488	0.0117151	0.0121574	0.0150185	0.0220503	0.0196737	0.0249235	0.0238225	0.0278345	0.0209592	0.0206588	0.0152973	0.0141124	0.0128259	0.0102368	0.00907584	0.00856157	0.0109516	0.00800085	0.00784037	0.0089059	0.0112996	0.0283248	0.0181831	0.0494698	0.045256	0.0294371	0.0584816	0.0676246	0.0962926	0.0744792	0.087574	0.0572663
escrocs	0.0209944	0.0224876	0.0180192	0.0128652	0.0144333	0.0191694	0.0286257	0.0238574	0.0350253	0.0320138	0.03766	0.0256333	0.0209204	0.0161355	0.0132895	0.0132133	0.011887	0.0102347	0.00929133	0.0125873	0.00957321	0.0120674	0.0116623	0.0126483	0.0213873	0.0124334	0.0312156	0.0281228	0.0243169	0.0488677	0.0615934	0.0946128	0.0798246	0.0836027	0.0697276
</S>	0.0256587	0.025637	0.0197427	0.0132497	0.0129	0.0137591	0.0169965	0.0121658	0.0199174	0.0206292	0.0182563	0.0116509	0.0156472	0.0098398	0.00635965	0.00745299	0.00839991	0.00901354	0.0095989	0.0152292	0.0130581	0.0185567	0.0252951	0.0262513	0.0502023	0.029819	0.0574353	0.0522245	0.046823	0.0644324	0.073462	0.0585449	0.0598085	0.0555669	0.0764155
