 	a66	a87	a10	a87	a23	a40	a36	a27	a11	a50	a70	a75	a47	a37	a43	a61	a75	a79	a7	a20	a90	a94	a93	a4	a53	a90	a56	a96	a79	a7	a69	a58	a82	a87	a23	a87	</S>
de	0.0425944	0.0701576	0.0701231	0.0523778	0.0522027	0.0610571	0.056619	0.0474477	0.0343228	0.0245379	0.0245714	0.0190631	0.0139556	0.0105762	0.00719979	0.00752825	0.00866887	0.0109991	0.0179298	0.0254237	0.0152812	0.0291862	0.0273477	0.0236976	0.0163376	0.0112759	0.0129658	0.0162683	0.0317301	0.0186027	0.0197922	0.030905	0.0177531	0.0146854	0.014778	0.0172962	0.0247409
hautes	0.0217735	0.0281422	0.0608895	0.0397027	0.0340611	0.0311049	0.068017	0.0785713	0.0295341	0.0270791	0.0221119	0.0175226	0.0134966	0.01246	0.00844194	0.0130139	0.0186317	0.00947517	0.0119747	0.0128167	0.0144334	0.0128744	0.013558	0.0143946	0.0131177	0.018131	0.0272993	0.0332951	0.0368493	0.0340993	0.0337217	0.0199527	0.0361649	0.0238041	0.0429412	0.0297069	0.0368356
herbes	0.0385098	0.0200383	0.0283294	0.0342263	0.0225722	0.0389497	0.0624323	0.0762316	0.0357907	0.0341328	0.0334131	0.0225049	0.0146456	0.0107777	0.00772334	0.00685163	0.0160539	0.00887394	0.0190907	0.0224324	0.0303456	0.0269369	0.0334893	0.0351229	0.0270782	0.0340608	0.0229616	0.0346335	0.0260316	0.0219025	0.024356	0.0210044	0.0258258	0.0152528	0.0346096	0.0191601	0.0136482
ont	0.0472487	0.0159292	0.00705916	0.00553819	0.00339361	0.00313238	0.0033246	0.00624698	0.0142095	0.0270913	0.0338586	0.0213791	0.026724	0.0302865	0.0349917	0.0301507	0.0332287	0.0292141	0.0560011	0.0489702	0.0910176	0.0296745	0.0280345	0.0441867	0.0498603	0.0283469	0.0162521	0.018148	0.020962	0.0189056	0.0226703	0.0155992	0.0212393	0.0191031	0.0305176	0.0229552	0.0445489
bloqué	0.0284082	0.0173795	0.0133571	0.019119	0.0130868	0.0154466	0.0164937	0.0177975	0.0341942	0.0469398	0.0395845	0.0491984	0.0923369	0.0657959	0.0547375	0.0350247	0.0242985	0.0254946	0.0245195	0.031044	0.0239416	0.0260914	0.0253495	0.0152806	0.0131423	0.0107335	0.0112858	0.0082289	0.0135649	0.0150651	0.0266484	0.0234278	0.0209035	0.0216723	0.0257557	0.0285773	0.0260744
la	0.0978336	0.0670745	0.0539536	0.0394525	0.029597	0.0119089	0.0134859	0.0100613	0.0149295	0.0113072	0.0231211	0.01421	0.0144438	0.0160733	0.0113372	0.0109297	0.00682916	0.00760187	0.0130713	0.0194773	0.0162953	0.0238243	0.0382187	0.0450869	0.0488938	0.0446977	0.0248152	0.0160113	0.0189957	0.020717	0.0250789	0.0437091	0.0193786	0.0243267	0.0233604	0.0251425	0.0547492
piste	0.0474696	0.0234587	0.015253	0.0106264	0.00771552	0.00934332	0.00941318	0.00586034	0.0077963	0.00841033	0.0149103	0.0121719	0.0169037	0.0163437	0.0138879	0.0110044	0.00841856	0.00663883	0.0127108	0.0182525	0.0400362	0.0551669	0.0613488	0.0448667	0.047456	0.048508	0.0403316	0.0333227	0.0461178	0.0410249	0.0435767	0.0632045	0.0490069	0.038926	0.0302694	0.0243982	0.0158494
à	0.104965	0.0509132	0.040603	0.0235476	0.0196542	0.00835445	0.0131672	0.00742074	0.00759401	0.00672313	0.0188178	0.0101574	0.00734624	0.00679051	0.00529152	0.00641181	0.00958407	0.00810387	0.0204798	0.014375	0.022726	0.022274	0.0331499	0.0304614	0.0460441	0.0372495	0.0285482	0.0214934	0.0245151	0.0377193	0.0373646	0.0409697	0.0433292	0.0384078	0.0364982	0.0453121	0.063637
l'	0.0608527	0.0338721	0.0368708	0.0199057	0.0164828	0.00653062	0.0111232	0.00828604	0.00653602	0.00708918	0.0195328	0.0109265	0.00684865	0.00550343	0.00455242	0.00537655	0.00840024	0.00801783	0.0221898	0.0195586	0.0219395	0.0218853	0.0171629	0.0203489	0.0196478	0.0173357	0.0201158	0.025056	0.0277784	0.0509011	0.0528994	0.0546842	0.0767335	0.0621484	0.0547772	0.0782197	0.0599102
entrée	0.0367378	0.0329692	0.0391051	0.0255539	0.0245906	0.0152212	0.0183877	0.0154611	0.0117366	0.0137209	0.0138589	0.0128833	0.00746706	0.00681023	0.00657277	0.00643222	0.00786071	0.0087991	0.0141782	0.0129585	0.0210949	0.0297651	0.0201331	0.0196709	0.0254534	0.0275946	0.025599	0.0348633	0.0249506	0.0357924	0.0366232	0.0667861	0.0624906	0.0405927	0.0335005	0.0661018	0.097683
