 	a66	a87	a23	a99	a88	a31	a21	a12	a75	a6	a36	a41	a21	a47	a61	a75	a92	a85	a6	a36	a79	a7	a84	a82	a87	a23	a83	a94	a76	a25	a85	a5	a61	a12	a47	a21	a85	a47	a36	a54	a85	a5	a21	a85	a6	a98	a47	a0	a75	a47	a36	a0	a11	a75	a47	a36	a7	a36	a2	a57	a87	a23	a87	a23	a87	</S>
je	0.0479627	0.0656154	0.0564051	0.0319842	0.0333428	0.0289438	0.0187933	0.0185135	0.030475	0.0137143	0.00826128	0.00874609	0.00304074	0.00539047	0.00445642	0.00297367	0.00359972	0.00338121	0.00818263	0.0058278	0.0106578	0.00538554	0.00626414	0.0132184	0.00720822	0.0163142	0.021538	0.0159373	0.0118636	0.0160266	0.0173378	0.0107404	0.0166746	0.0138734	0.0159612	0.0142592	0.0140025	0.00713855	0.0159661	0.00931305	0.0111295	0.0158464	0.00982504	0.0151526	0.0112208	0.0152638	0.0085647	0.0110766	0.00375091	0.0042081	0.0160765	0.0186007	0.0089304	0.00721763	0.0172538	0.0156342	0.00962854	0.0117452	0.0105947	0.0105781	0.00934516	0.0149795	0.0136466	0.0265981	0.0188374	0.0250043
suis	0.0139258	0.0143236	0.0187738	0.0173453	0.0166141	0.0149255	0.0127813	0.0164129	0.0159542	0.0151813	0.0135479	0.017175	0.0246846	0.0224806	0.0267674	0.0394528	0.036682	0.0345266	0.0270149	0.0237323	0.0404781	0.0239012	0.0275021	0.0118737	0.0131832	0.0105213	0.010692	0.0120339	0.0155232	0.0114439	0.0135572	0.0106539	0.00973813	0.00808308	0.00783906	0.013559	0.0169537	0.00960481	0.00508121	0.0196268	0.0252527	0.028836	0.0250377	0.0166962	0.01553	0.00792272	0.00327595	0.00582114	0.00335464	0.00448075	0.00240063	0.0027476	0.00299579	0.00313451	0.00582117	0.00828929	0.0036065	0.00761643	0.00588149	0.00703093	0.0147021	0.0136273	0.0174505	0.0122933	0.0165019	0.0255413
venu	0.0164787	0.00785804	0.00749198	0.00599167	0.00388988	0.00446598	0.00312513	0.00391562	0.00206631	0.00265263	0.00428124	0.00213577	0.00357367	0.00485542	0.00615687	0.00844784	0.0126026	0.013874	0.016305	0.00851925	0.0191135	0.0102915	0.0130725	0.0145776	0.00634032	0.00662304	0.00438026	0.00509394	0.00733343	0.00787653	0.00427214	0.00772168	0.00502629	0.00525857	0.00482974	0.00718789	0.00697001	0.00728378	0.00429644	0.0156728	0.0150155	0.0107805	0.012284	0.0166239	0.0152142	0.0143952	0.00519569	0.00557999	0.00872654	0.00864432	0.00883265	0.0154851	0.0125436	0.00872428	0.0137864	0.0193144	0.0224928	0.0315022	0.0248032	0.0338023	0.0725813	0.0848325	0.0697657	0.0571039	0.0615306	0.0485296
ici	0.0228069	0.0076135	0.00715831	0.00240134	0.0017205	0.00256169	0.00343795	0.00319162	0.00253061	0.00185668	0.00200143	0.00186793	0.00092758	0.00189468	0.00269661	0.00144313	0.00161258	0.00223627	0.00319251	0.00340824	0.00403852	0.00720301	0.00526993	0.0087056	0.00588606	0.00955737	0.00963099	0.00833539	0.00803216	0.0101134	0.00996392	0.0103333	0.0114799	0.0213764	0.0163169	0.0199507	0.00793559	0.0112971	0.0181323	0.0108699	0.00872722	0.00923188	0.00627947	0.0143926	0.012481	0.0120991	0.011468	0.0108686	0.0118888	0.014246	0.0135342	0.0427758	0.0517929	0.0779813	0.0518467	0.0446167	0.0390978	0.0493754	0.0234644	0.0167874	0.0274809	0.0290952	0.0376093	0.0327433	0.0332331	0.0258947
pour	0.0190716	0.00582755	0.00719354	0.00220041	0.0015513	0.00207342	0.00314242	0.00200679	0.00171506	0.00109085	0.000783057	0.000851096	0.000891244	0.00132631	0.00491215	0.00366968	0.00509739	0.00492784	0.00265487	0.00453303	0.00381171	0.011562	0.0141935	0.0194945	0.0145075	0.017593	0.0198598	0.0588147	0.0211503	0.0299457	0.0180199	0.0180418	0.0266469	0.0600936	0.0254323	0.0311477	0.0207656	0.0238262	0.0279887	0.0269019	0.0175322	0.0204794	0.0159225	0.0111214	0.0103461	0.0137698	0.00983996	0.00636506	0.00655475	0.00592531	0.0061065	0.0137213	0.0104137	0.0303154	0.0155767	0.013936	0.0156063	0.0193282	0.0111671	0.0135074	0.0287961	0.0268692	0.0354337	0.0266576	0.0293203	0.0200711
m'	0.0118749	0.00545883	0.0074652	0.00272864	0.00243005	0.00341965	0.00226653	0.00261588	0.00194258	0.00147463	0.00175011	0.0013386	0.00211762	0.00318677	0.00713649	0.00582496	0.00755941	0.00707711	0.00592459	0.00921697	0.0193259	0.0218603	0.0369813	0.0416629	0.030544	0.0348793	0.0389115	0.0644951	0.0416226	0.0555391	0.0429975	0.0394608	0.053896	0.0303259	0.029691	0.0302293	0.03522	0.0280436	0.0161654	0.036016	0.0283447	0.0293347	0.0191612	0.0104293	0.00475316	0.00602278	0.001936	0.0022405	0.0031011	0.00229617	0.00237239	0.00221691	0.00283069	0.00444601	0.00559611	0.00723507	0.00646078	0.00698752	0.00399847	0.00652559	0.0061507	0.00445723	0.00347435	0.00307437	0.00310762	0.0027697
entretenir	0.0133044	0.00558819	0.00774662	0.00183705	0.00103127	0.00136282	0.0016538	0.00183319	0.00172411	0.00151822	0.0021853	0.00276694	0.00534258	0.00712914	0.0122341	0.0113942	0.011713	0.00944733	0.00477549	0.00536979	0.0118772	0.00798279	0.0209913	0.0331845	0.0191866	0.0285936	0.0211046	0.0618261	0.0384288	0.0676985	0.039979	0.039656	0.0447731	0.0407366	0.0205794	0.0229698	0.030428	0.0221377	0.0233264	0.0299691	0.0244464	0.0287789	0.0207388	0.0189333	0.0152838	0.0192351	0.00749302	0.0055127	0.00488826	0.00562171	0.0048181	0.00598313	0.00172874	0.00636012	0.00239644	0.00787631	0.0050181	0.0049825	0.00322304	0.00887956	0.0139282	0.00870734	0.0127892	0.00950189	0.0112842	0.00620443
avec	0.0470699	0.0262106	0.0171232	0.00995805	0.00802478	0.00760941	0.00503427	0.00283862	0.00265996	0.00182514	0.00223441	0.00117231	0.00162021	0.0031832	0.00443504	0.00471344	0.0061857	0.00305787	0.00453184	0.00540657	0.00960124	0.00575947	0.0140017	0.0410697	0.0165425	0.0409764	0.0396707	0.0484676	0.0277019	0.0481193	0.0355626	0.0248436	0.0464774	0.0294357	0.0270078	0.016745	0.030408	0.0116845	0.0240415	0.0174432	0.024921	0.0283167	0.0176631	0.0153586	0.00488808	0.0048112	0.00278927	0.00257089	0.00273396	0.00353686	0.00208556	0.00239178	0.00714372	0.00324866	0.00793586	0.00717381	0.00739587	0.00728182	0.00696138	0.00702747	0.00880225	0.0178402	0.0148932	0.023488	0.0259374	0.0223489
toi	0.0314163	0.0244914	0.0250846	0.0156825	0.0138354	0.0162779	0.00778049	0.0058924	0.00545584	0.00349123	0.00404207	0.00250797	0.00352743	0.00653133	0.00860915	0.00830983	0.00966524	0.00667523	0.00642416	0.00950775	0.00907561	0.00963708	0.0154637	0.0403833	0.0149453	0.027423	0.0350986	0.0431495	0.0298078	0.0390287	0.0212188	0.0197745	0.0297562	0.0223055	0.0169069	0.0126781	0.0261524	0.0147	0.0242011	0.0130656	0.0175487	0.0173563	0.0183351	0.0135675	0.00485537	0.00475657	0.00198192	0.00333634	0.0046818	0.00800438	0.00528269	0.00470942	0.0128654	0.00392183	0.00950732	0.00667015	0.00667882	0.00781785	0.0059768	0.00617453	0.0100549	0.0178795	0.0181827	0.0286018	0.0304281	0.0508439
concernant	0.0254882	0.0177221	0.0195727	0.0135821	0.0130197	0.0145501	0.00726384	0.00445031	0.00360807	0.00345425	0.00517657	0.00273902	0.00336365	0.00569502	0.0108101	0.00782196	0.00979965	0.00974772	0.0106535	0.0173994	0.0105256	0.0116992	0.0141117	0.0381192	0.0201373	0.0211871	0.0362419	0.0234351	0.0284861	0.0294647	0.0150907	0.0135112	0.0142792	0.0184807	0.0133522	0.0113116	0.0194743	0.0171422	0.0218543	0.0138453	0.0196257	0.0191293	0.01103	0.0142734	0.00546626	0.0050039	0.00201856	0.00367606	0.00479837	0.010542	0.00798513	0.00555465	0.0208581	0.00800951	0.0174608	0.0140959	0.0110572	0.0124028	0.0113735	0.0121996	0.0184493	0.0265093	0.0254733	0.0260632	0.0299781	0.0592991
