 	a10	a87	a23	a11	a34	a41	a24	a41	a35	a26	a54	a73	a90	a25	a76	a90	a35	a38	a75	a14	a73	a57	a38	a14	a41	a35	a26	a61	a35	a44	a94	a76	a20	a84	a87	a23	a87	a23	a62	a43	a75	a14	a35	a24	a98	a13	a76	a35	a76	a69	a58	a87	</S>
depuis	0.0300018	0.0421254	0.0528163	0.055832	0.0317845	0.0470599	0.0290481	0.0130695	0.0301233	0.028054	0.0553768	0.0325661	0.0298374	0.0389587	0.0323196	0.0315738	0.0186352	0.0239012	0.00935661	0.00929487	0.0112679	0.0108307	0.00592252	0.00460681	0.00453491	0.00328759	0.004631	0.00309189	0.00302999	0.00506799	0.00516638	0.00826087	0.0108307	0.00943481	0.0084626	0.00824076	0.00975629	0.00485763	0.005077	0.00551144	0.003184	0.00523804	0.00652307	0.00676777	0.0122189	0.0136267	0.0174772	0.0264134	0.0214831	0.0329938	0.027592	0.01915	0.0337273
l'	0.00557086	0.00670584	0.00540136	0.0111509	0.00851663	0.0259018	0.021674	0.02618	0.0309994	0.0342105	0.0252936	0.017968	0.0291469	0.0238673	0.0375794	0.0304085	0.0365359	0.0266603	0.0296244	0.0164425	0.0227294	0.0126278	0.0165592	0.0187994	0.0120021	0.00923446	0.0105277	0.0196323	0.0443558	0.0395413	0.0285163	0.0263142	0.00896768	0.0114457	0.00753212	0.00846984	0.00419428	0.00427493	0.00624054	0.0056428	0.00832867	0.00640338	0.00967545	0.00847126	0.0161211	0.0261823	0.0284852	0.0180941	0.0181292	0.0255539	0.0195535	0.0268682	0.0206874
arrivée	0.051702	0.0240185	0.0321846	0.0321768	0.0289338	0.021847	0.031833	0.0396407	0.0331894	0.0365351	0.0168324	0.0262419	0.0246901	0.0337582	0.0270767	0.0314721	0.0331849	0.0454038	0.0162503	0.00902428	0.00956845	0.00646081	0.00497405	0.0069986	0.0116429	0.016265	0.0263921	0.0145722	0.0262891	0.0288529	0.0365116	0.0136933	0.0147133	0.0150381	0.00541438	0.00800618	0.00443532	0.00597171	0.00433778	0.00257378	0.00321748	0.00448614	0.00381804	0.00343108	0.00468855	0.0054379	0.00605896	0.00547771	0.00864184	0.0229246	0.0153584	0.0265537	0.0311985
du	0.0587057	0.0341957	0.02563	0.0182927	0.00932091	0.0108574	0.0136757	0.0171669	0.0219531	0.0187047	0.0226863	0.0189056	0.0236347	0.013524	0.0191735	0.0132811	0.012197	0.0170258	0.0130114	0.0222714	0.0128393	0.0111853	0.011159	0.0159623	0.00604992	0.00579275	0.00595008	0.0106432	0.0103936	0.0118923	0.00944552	0.0193565	0.0157074	0.0186393	0.0191425	0.0237045	0.011237	0.0144314	0.0180894	0.0166603	0.0214706	0.0421742	0.0197539	0.0387941	0.0135856	0.0114619	0.0166139	0.0132387	0.0241114	0.0294735	0.0260995	0.0247956	0.0459323
nouveau	0.0337543	0.0197982	0.0219462	0.0214836	0.0250183	0.0191854	0.0391522	0.0149925	0.0172325	0.0279065	0.0139601	0.0149839	0.026376	0.0216027	0.0228689	0.0367934	0.0284215	0.0455245	0.0499782	0.0566256	0.0531774	0.0299389	0.0294123	0.015865	0.0289471	0.0313929	0.0325295	0.017741	0.0107123	0.00975251	0.00704262	0.00584851	0.00356998	0.00474706	0.00260749	0.00286891	0.00268284	0.0040584	0.00290858	0.0030996	0.00437428	0.00812203	0.00407233	0.00494807	0.00365661	0.00458687	0.00520536	0.00737473	0.0114397	0.0130743	0.0154796	0.0170292	0.0441297
chef	0.0653643	0.0340292	0.0242788	0.0233956	0.0134233	0.00784216	0.00726821	0.00866719	0.010271	0.00625487	0.0118436	0.00748473	0.00950132	0.00794852	0.0104141	0.0105238	0.00946023	0.0122009	0.0106548	0.00692947	0.0119333	0.0161138	0.0124411	0.00781287	0.0183273	0.0181409	0.0159904	0.00963386	0.0103988	0.00787005	0.00762768	0.0109212	0.00437733	0.0123589	0.0103565	0.00878418	0.00929765	0.00779908	0.00828389	0.00697166	0.00497056	0.00833701	0.00702565	0.00658832	0.0107812	0.0131322	0.0159181	0.0196896	0.0328994	0.0897807	0.0852059	0.102581	0.0898943
le	0.0422188	0.0184982	0.018448	0.0112934	0.00342162	0.00244552	0.00338735	0.00710496	0.00634691	0.00277378	0.0034101	0.00387075	0.00732946	0.00655335	0.0118918	0.0118741	0.0135379	0.0144977	0.0144317	0.0138636	0.0248168	0.0142366	0.0184873	0.0265046	0.0248165	0.0245972	0.0257174	0.0533869	0.0439363	0.0460776	0.0350322	0.0440595	0.02112	0.0281965	0.0141226	0.0126455	0.0255818	0.0158764	0.0150609	0.0230485	0.0203048	0.0496904	0.0223689	0.013953	0.00836097	0.0118222	0.00997137	0.0107169	0.0128937	0.0143316	0.0167175	0.022944	0.0314044
travail	0.0287627	0.029349	0.0268944	0.0193323	0.00960659	0.00447903	0.00283	0.00886075	0.0116554	0.0063441	0.0108542	0.00830547	0.0124504	0.0109598	0.0114471	0.0122135	0.00995763	0.0120392	0.0166775	0.0135387	0.0156423	0.0103187	0.0160474	0.0154671	0.0150962	0.0163725	0.019851	0.0367962	0.0457519	0.0359092	0.0222914	0.0252973	0.0164928	0.0187332	0.020202	0.0172919	0.0233394	0.0166645	0.0124223	0.016129	0.0099943	0.0156637	0.0126867	0.00985539	0.0116276	0.0190367	0.0200216	0.0323789	0.0257309	0.032486	0.0328801	0.02956	0.0654038
s'	0.0276366	0.0253479	0.0309071	0.0222789	0.0118568	0.00866979	0.00714363	0.0135614	0.0151963	0.00962161	0.0188544	0.00905979	0.0183171	0.0150331	0.017798	0.0211362	0.0177342	0.0211751	0.0276205	0.0180455	0.025484	0.0268106	0.0338772	0.0204225	0.023151	0.0238403	0.0225324	0.0295214	0.0285839	0.0300578	0.0211537	0.0271059	0.0167957	0.0163493	0.0118762	0.00991356	0.00837948	0.00737944	0.00759279	0.00696389	0.00978297	0.0104101	0.0119263	0.011325	0.0101265	0.0131197	0.0144122	0.0163184	0.0184813	0.024296	0.02149	0.0259334	0.0575931
est	0.0255045	0.0222674	0.0260874	0.0188551	0.0108105	0.00932367	0.00645436	0.00873224	0.0129937	0.00904855	0.0201805	0.0100987	0.0135814	0.013559	0.0151305	0.0157417	0.0137373	0.0189446	0.0206975	0.0147543	0.0241619	0.03066	0.0408574	0.0247609	0.0295741	0.0332798	0.0305408	0.0296523	0.0230818	0.0257675	0.0222363	0.0262145	0.0205516	0.0171842	0.0111784	0.00939056	0.00832052	0.00613564	0.00790676	0.00820133	0.010423	0.011173	0.0163597	0.0118906	0.0130082	0.0181546	0.018777	0.0213798	0.0205749	0.0263625	0.0239219	0.0234415	0.0483741
