 	a87	a23	a99	a97	a87	a23	a83	a30	a53	a15	a79	a56	a44	a98	a85	a5	a23	a21	a75	a92	a37	a79	a37	a92	a56	a93	a70	a62	a70	a13	a99	a97	a99	a97	a87	a23	a50	a62	a88	a62	a88	a43	a11	a93	a90	a79	a56	a93	a4	a13	a53	a93	a54	a36	a26	a57	a97	a99	a87	a23	a57	a3	a97	a87	</S>
la	0.0168625	0.0256679	0.0218296	0.0182369	0.0166842	0.0149786	0.016711	0.0170555	0.0215281	0.0302343	0.0440643	0.0373158	0.0367686	0.0288698	0.0253243	0.0236149	0.0275945	0.0254663	0.00605004	0.0129168	0.00907491	0.00825033	0.00999541	0.00821903	0.00955343	0.00908265	0.0187539	0.0234849	0.0353692	0.0146469	0.0119	0.0124571	0.0179212	0.0145037	0.00979705	0.0075577	0.0104037	0.00760348	0.00757442	0.0106576	0.0156788	0.0090419	0.00904622	0.0106533	0.00996342	0.00598145	0.00551447	0.0108667	0.0196859	0.0117065	0.00604793	0.0063013	0.00696893	0.00973754	0.0151165	0.015663	0.0114167	0.0114952	0.0123924	0.0124236	0.0101506	0.0126748	0.0101982	0.0110439	0.0156504
mère	0.00575819	0.0147358	0.0164213	0.0165921	0.017195	0.0134845	0.0176941	0.0151775	0.0231164	0.050746	0.0796404	0.11392	0.0427048	0.0289308	0.019619	0.0261223	0.0174662	0.010044	0.00484609	0.00684806	0.0101064	0.0151238	0.0194122	0.00770814	0.0200121	0.0239114	0.0315	0.0119402	0.0193553	0.0300507	0.0112881	0.018734	0.00904046	0.0100665	0.0148087	0.016025	0.0231419	0.0147572	0.015444	0.0157953	0.0180254	0.0136703	0.0121427	0.00705864	0.0058733	0.00685952	0.00516564	0.00385407	0.00342577	0.00262928	0.00286006	0.00302601	0.00290245	0.00299978	0.00317432	0.00366058	0.00251549	0.00183115	0.00190207	0.00215522	0.00193001	0.00278782	0.00267512	0.00292001	0.00467126
est	0.00617103	0.00638513	0.0083783	0.00854392	0.0070293	0.00624939	0.00653635	0.00864757	0.0159554	0.0240865	0.029502	0.055394	0.0358001	0.0462094	0.0364976	0.045935	0.0256299	0.0347721	0.0263942	0.0409698	0.0311581	0.0205262	0.026642	0.0188342	0.0277418	0.0261414	0.0237764	0.0101125	0.0218798	0.0146963	0.0216606	0.0190925	0.0191208	0.0134609	0.0148823	0.0151513	0.0126655	0.00874232	0.0111896	0.0104786	0.0130184	0.0147594	0.0105322	0.0116461	0.00916931	0.00693001	0.00899152	0.00824262	0.00425935	0.00533464	0.00195023	0.00156222	0.00133614	0.00131537	0.00250754	0.00275683	0.00270097	0.00342038	0.00503095	0.00711911	0.00787914	0.00793535	0.0079853	0.00662042	0.00395654
en	0.00537803	0.00223199	0.00291243	0.00342194	0.00274134	0.00348166	0.01048	0.00993348	0.00807868	0.00555019	0.013787	0.0178678	0.0214637	0.0229487	0.0196169	0.0110389	0.0155816	0.0149274	0.0330982	0.0350271	0.0683455	0.0589171	0.0469573	0.0326737	0.0409444	0.0290021	0.0206683	0.0226438	0.0195439	0.024049	0.0142941	0.0177144	0.0138142	0.0165427	0.0183927	0.0100338	0.00931584	0.0123693	0.0117958	0.0087075	0.00851861	0.0116113	0.00895625	0.00655873	0.00888868	0.00682072	0.00858616	0.00423512	0.00466739	0.0125613	0.01426	0.0075455	0.00956686	0.016802	0.0126528	0.00866824	0.00689359	0.0094806	0.0116044	0.0122015	0.0139378	0.0105037	0.00849896	0.00768894	0.0119984
colère	0.00432948	0.00642578	0.00909716	0.0154373	0.0292017	0.0379688	0.05172	0.0672583	0.0604318	0.0448213	0.0358907	0.0236675	0.0127512	0.00650535	0.0056303	0.00416816	0.00713705	0.00509534	0.00706707	0.00848662	0.0143665	0.0158441	0.0331579	0.032294	0.0414436	0.0354112	0.0240827	0.0344796	0.0253152	0.0271913	0.0324335	0.0236356	0.0255122	0.0227689	0.0135244	0.0130611	0.00725953	0.0094017	0.00641515	0.00558605	0.00526658	0.00796816	0.00926046	0.00807763	0.0061842	0.00707716	0.007556	0.00370983	0.00441827	0.00461175	0.00613447	0.00593915	0.00558223	0.00264435	0.00190699	0.00231818	0.00258105	0.0025112	0.00339172	0.00239765	0.00295188	0.00347006	0.00272304	0.00282658	0.00221636
contre	0.00939124	0.00591278	0.00420485	0.00268295	0.00192243	0.00250914	0.00224835	0.00244688	0.00654982	0.00649606	0.0173665	0.0151842	0.0278784	0.0237385	0.0308898	0.037052	0.0380962	0.0446351	0.0372413	0.0411755	0.0398562	0.0387103	0.0353429	0.0361585	0.0257016	0.0304532	0.0211849	0.0300562	0.0268498	0.039025	0.0190548	0.0193655	0.0199464	0.0159058	0.0157316	0.0131839	0.0138779	0.0102258	0.00880129	0.0118266	0.00879334	0.008019	0.00536476	0.00604054	0.0064795	0.00304744	0.00281684	0.00335335	0.00143679	0.00179346	0.00114509	0.00149025	0.00192731	0.00176522	0.00271514	0.00336898	0.00292866	0.00354033	0.00546584	0.0148037	0.0107721	0.0112977	0.0202221	0.0136859	0.0288465
sa	0.00430208	0.00171612	0.000885387	0.000593961	0.000343688	0.000476919	0.000697827	0.000503769	0.000699686	0.000478556	0.00101958	0.0013217	0.00195925	0.0047686	0.00657553	0.0158566	0.017473	0.0270954	0.0374899	0.0333016	0.0531711	0.051728	0.0313647	0.0640667	0.0354517	0.0488221	0.0217467	0.029434	0.0280031	0.0564285	0.0383431	0.0460395	0.0320216	0.0181221	0.0244299	0.0157532	0.0146521	0.0187434	0.0191017	0.0130237	0.0122481	0.0153398	0.0200608	0.0127422	0.00717861	0.00631948	0.00609252	0.00688453	0.00228554	0.00291164	0.00200393	0.00343071	0.00262627	0.00203827	0.00256172	0.00581467	0.00419598	0.00477926	0.00604902	0.00928527	0.00867835	0.00709905	0.0125676	0.00670637	0.0120943
fille	0.00464304	0.00156563	0.000860013	0.000622777	0.000574032	0.000927912	0.00182483	0.00137937	0.00109562	0.000710906	0.00121428	0.00122235	0.00170146	0.00483591	0.00402373	0.0137851	0.0092834	0.0162963	0.0200235	0.0221375	0.0354203	0.0227712	0.0377051	0.0568957	0.0662747	0.0494159	0.0284734	0.0318274	0.0310467	0.0413684	0.0888798	0.0669758	0.0583533	0.0327736	0.0382796	0.0342212	0.0156527	0.0150473	0.0147377	0.0118724	0.013465	0.0184371	0.0122163	0.0115815	0.00587029	0.00409781	0.00540117	0.00463949	0.00251431	0.00283362	0.00156809	0.00196188	0.000729588	0.000416486	0.000545333	0.00218619	0.000831147	0.00128681	0.00235824	0.00412952	0.00298474	0.0035928	0.00447449	0.00286567	0.00229234
qui	0.00731789	0.00561471	0.00371973	0.00273504	0.00221107	0.00265079	0.00381181	0.0029284	0.00195761	0.00165689	0.00290724	0.00205148	0.00414768	0.00935428	0.0110164	0.0137635	0.017569	0.0235885	0.0260555	0.0198273	0.0391334	0.0380717	0.0236349	0.0625576	0.0360367	0.0448664	0.023916	0.0400798	0.0344788	0.049635	0.0424301	0.0413095	0.0312585	0.019685	0.0269524	0.0222096	0.0168119	0.0116902	0.0140618	0.0108731	0.0116372	0.0133672	0.0131181	0.0085676	0.00679412	0.00513807	0.00393535	0.00460691	0.00271362	0.00186544	0.00212179	0.00260213	0.00178366	0.0019703	0.00245	0.00651598	0.00393034	0.00625889	0.00891285	0.0162256	0.016622	0.0149757	0.0186675	0.0151896	0.0154529
s'	0.0214706	0.0161205	0.0158661	0.0150503	0.0133822	0.0136546	0.0113277	0.0102352	0.00522606	0.00702405	0.010269	0.00482412	0.0144013	0.0185887	0.0141539	0.0185981	0.0245861	0.0234212	0.027972	0.019811	0.0264645	0.0275674	0.0251388	0.0329902	0.0260247	0.0280091	0.0201079	0.0259464	0.0248701	0.0253402	0.0203985	0.0219879	0.0200272	0.0140676	0.0160019	0.0114577	0.00986692	0.00697246	0.00852995	0.00793262	0.010077	0.00975814	0.0119851	0.00986814	0.00692728	0.00977495	0.0071882	0.011734	0.00491567	0.00407105	0.00469003	0.00361526	0.00485481	0.00411071	0.00258481	0.00652468	0.006536	0.00716673	0.00907662	0.0204407	0.0168518	0.028437	0.0237302	0.0197374	0.0496591
