 	a10	a9	a38	a73	a15	a47	a85	a6	a85	a36	a61	a37	a76	a44	a53	a90	a44	a96	a12	a96	a70	a71	a9	a3	a97	a3	a9	a3	a82	</S>
aujourd'	0.0602441	0.0280527	0.0233223	0.0475494	0.0855371	0.0979646	0.122794	0.114303	0.0487139	0.0333764	0.0234969	0.0184514	0.0218686	0.011838	0.00800459	0.01446	0.00798765	0.00931968	0.0131544	0.0142148	0.0150494	0.0153029	0.016196	0.0160053	0.0156065	0.0192458	0.0208276	0.019827	0.0158484	0.0414381
hui	0.00223321	0.00558772	0.011715	0.0218832	0.0518207	0.0819011	0.110917	0.115278	0.127491	0.143489	0.0987649	0.0521208	0.043008	0.0293157	0.0138879	0.0140185	0.00830445	0.011237	0.00715636	0.0151073	0.00580776	0.00431974	0.00241503	0.00231743	0.00339494	0.00153558	0.00227977	0.00247257	0.00565957	0.00455975
le	0.062864	0.059161	0.0714254	0.0468808	0.0610078	0.0523388	0.0684319	0.0712582	0.0707201	0.0270936	0.00792386	0.026101	0.020785	0.0129822	0.00871753	0.0127372	0.012029	0.00798912	0.00708985	0.00711577	0.0109795	0.00897551	0.007787	0.0256113	0.029456	0.0346663	0.0263822	0.0376372	0.044278	0.0595747
féticheur	0.0742483	0.0505836	0.027372	0.0165228	0.024423	0.0205146	0.0225749	0.0303156	0.0364207	0.0590045	0.055354	0.0360261	0.0518422	0.145	0.051213	0.0281648	0.0200014	0.00672924	0.00535946	0.00328569	0.00445535	0.00512153	0.00737662	0.0161005	0.0159125	0.0225192	0.0247508	0.0528566	0.0345996	0.0513515
va	0.0351201	0.0341896	0.0270507	0.0364171	0.0360939	0.0105733	0.00664225	0.00994878	0.00609892	0.0126159	0.0152499	0.0142468	0.026494	0.0453053	0.0975029	0.0742724	0.0561971	0.0433957	0.0504076	0.0182309	0.0136139	0.0164279	0.0212735	0.0227795	0.0164443	0.0302563	0.0313557	0.0529588	0.0359346	0.102902
prélever	0.0650089	0.0481262	0.0464497	0.0405817	0.0420193	0.032881	0.0302985	0.0232666	0.0275673	0.0384998	0.0389605	0.0430618	0.0334574	0.0419191	0.0494899	0.0466398	0.0407657	0.0281079	0.0359065	0.0229146	0.0223577	0.0178708	0.0185947	0.0173587	0.0226524	0.0219275	0.0215133	0.0237151	0.0255161	0.0325714
du	0.062936	0.0427025	0.0432751	0.0533781	0.0570193	0.0538591	0.0427287	0.0331599	0.0290058	0.035191	0.0465636	0.0501844	0.0464907	0.0441754	0.0348688	0.0378764	0.0214648	0.0135056	0.0116904	0.00819527	0.00530399	0.00641826	0.00561771	0.0150255	0.0204114	0.0205235	0.0266914	0.0295749	0.0398473	0.0623151
sang	0.0352349	0.0271289	0.0277524	0.0315046	0.0489379	0.062184	0.0786599	0.0458394	0.0245276	0.0208359	0.0299443	0.0587283	0.0877277	0.0730234	0.0843633	0.0514373	0.0293872	0.0134173	0.00988194	0.00906581	0.0102222	0.00950516	0.00673025	0.0100379	0.010306	0.0122298	0.0135867	0.0177387	0.0229449	0.0371162
sur	0.0725811	0.0501202	0.0482006	0.0588826	0.033235	0.0290037	0.0325588	0.027916	0.0121317	0.0099012	0.0104638	0.0158237	0.0141059	0.0174214	0.0155015	0.00961962	0.00889043	0.00653624	0.00805233	0.0101128	0.0206619	0.0340046	0.0445703	0.0526456	0.0465352	0.045693	0.0515583	0.0627483	0.0900411	0.0604831
ce	0.078766	0.0545688	0.0665196	0.0653192	0.0778321	0.0785717	0.0460369	0.0264874	0.0143898	0.00762505	0.0104456	0.0101884	0.0142165	0.0184691	0.0146939	0.00901736	0.00746483	0.00538081	0.0135074	0.0142027	0.0228792	0.0269263	0.033046	0.0279881	0.0289854	0.0358329	0.0464123	0.0534183	0.0524406	0.0383676
malade	0.0736985	0.0471418	0.0408081	0.039023	0.0434741	0.024528	0.0172232	0.0186543	0.0142899	0.0198771	0.0171587	0.0179173	0.0211642	0.0202435	0.0159613	0.0106658	0.0127171	0.010019	0.0162593	0.0157599	0.0302251	0.034061	0.0560238	0.0405548	0.0327468	0.0387728	0.042937	0.0613076	0.0746643	0.0921224
</S>	0.0482958	0.0270345	0.0293382	0.0214557	0.0291592	0.0197843	0.0140101	0.0123648	0.00535201	0.00743398	0.0115879	0.00633573	0.0118153	0.0160393	0.0245789	0.0285324	0.0219564	0.0178347	0.028245	0.01961	0.0281036	0.0313302	0.0445156	0.0366975	0.0467757	0.0539629	0.0645444	0.0806667	0.071103	0.141537
