 	a87	a97	a3	a10	a3	a53	a90	a25	a56	a32	a75	a96	a61	a75	a96	a25	a90	a82	a75	a85	a37	a85	a18	a75	a85	a15	a56	a96	a21	a92	a98	a44	a84	a57	a53	a13	a9	a87	a23	a97	a87	</S>
il	0.0269055	0.0412899	0.039853	0.0396705	0.0410477	0.0913888	0.0545608	0.0339136	0.0313684	0.0239089	0.0253301	0.0290768	0.0298921	0.0233052	0.0253051	0.0194756	0.0155991	0.0152525	0.0139972	0.00994106	0.00985138	0.00887054	0.00696564	0.00908972	0.00954928	0.0111811	0.010888	0.00875124	0.00779503	0.00577919	0.0167765	0.0193819	0.0186736	0.0190604	0.0268278	0.030077	0.023955	0.0277844	0.0239058	0.0233675	0.0140547	0.0363323
m'	0.0110288	0.00803432	0.00767256	0.00986237	0.0155835	0.0238007	0.0275624	0.0167419	0.0148915	0.00748874	0.00822684	0.0119641	0.0120716	0.00905021	0.00980159	0.0143868	0.0260807	0.0162995	0.013236	0.0252737	0.0374128	0.0111658	0.0232065	0.0130136	0.0117552	0.0122699	0.0139987	0.0167405	0.0186019	0.0197665	0.0245977	0.0292057	0.0310772	0.0391621	0.0582043	0.0549574	0.0581161	0.049111	0.0467082	0.0635481	0.0479451	0.0303779
a	0.0278793	0.0161861	0.0104453	0.0088334	0.0129762	0.00577851	0.00658963	0.0155891	0.0247493	0.0173591	0.0208894	0.0325793	0.0237933	0.0282971	0.0574415	0.0394814	0.12353	0.0618095	0.0387451	0.0538955	0.0343235	0.00750517	0.0151648	0.0052964	0.00605336	0.00387157	0.00327728	0.00698499	0.00720804	0.010517	0.00897826	0.00828606	0.0075705	0.0101349	0.0163151	0.0177074	0.0228598	0.0294476	0.0334351	0.0336403	0.0422827	0.042292
acheté	0.0334255	0.0260667	0.0199947	0.0269883	0.027516	0.0166353	0.0235628	0.0472114	0.0521045	0.0691342	0.0247776	0.0242527	0.0124969	0.0121129	0.0168566	0.00863995	0.0073149	0.00831879	0.00826502	0.00988814	0.0120193	0.0311357	0.0322432	0.106501	0.0501317	0.0423233	0.0484235	0.0360783	0.0311014	0.0265564	0.0172316	0.0163671	0.0115473	0.00969807	0.00724436	0.00772529	0.00731395	0.00610175	0.00544311	0.00616205	0.00384734	0.0092412
la	0.0479411	0.0337427	0.0168035	0.0137678	0.0141373	0.00831891	0.0128109	0.0186894	0.0325156	0.0412143	0.04168	0.0424671	0.0332475	0.0311565	0.0360912	0.0296415	0.0189821	0.0191547	0.0202182	0.0161456	0.019402	0.0181485	0.0155835	0.012213	0.0114607	0.00974782	0.00894762	0.00879749	0.00812258	0.0112664	0.00880917	0.00712162	0.0104654	0.0133771	0.0183609	0.0257292	0.0377549	0.0346863	0.0427476	0.0446184	0.0455624	0.0583512
robe	0.0212151	0.00483442	0.00161428	0.00313061	0.00317743	0.0023462	0.00731632	0.0101446	0.0160705	0.0458864	0.0833268	0.0540801	0.067963	0.072601	0.0748342	0.0496976	0.0429373	0.0355777	0.0340577	0.0188603	0.0163798	0.016419	0.0183158	0.0156833	0.0156218	0.0197369	0.0236938	0.0258026	0.0263123	0.0218751	0.0200052	0.0272611	0.0167529	0.0198153	0.0101988	0.0118419	0.0127248	0.00873006	0.00792841	0.00590318	0.00339965	0.00592693
et	0.0387451	0.0183375	0.00505781	0.0038636	0.00310824	0.00241245	0.00377835	0.0058367	0.0184284	0.021654	0.0333943	0.0286163	0.0285518	0.0318585	0.0295811	0.019777	0.0219061	0.019257	0.0336039	0.0353319	0.0386872	0.0206585	0.0317201	0.0191585	0.0205028	0.0267061	0.0281767	0.0371611	0.040145	0.0443216	0.0367976	0.0447705	0.0458784	0.0331491	0.0247418	0.0171641	0.0212084	0.0124119	0.0122298	0.0156585	0.0104226	0.0152295
les	0.049862	0.018592	0.0116729	0.00942772	0.00828539	0.00418124	0.00960331	0.0171781	0.0254122	0.010081	0.0133653	0.0182729	0.0247371	0.0182603	0.0156645	0.016571	0.0140131	0.0125395	0.0146794	0.0121024	0.0115848	0.00990349	0.0100357	0.00618801	0.00513987	0.00968861	0.0148828	0.0246713	0.0241379	0.0263544	0.0265734	0.0439805	0.0433256	0.0486862	0.0582692	0.0419279	0.0481803	0.0485167	0.0424349	0.0514742	0.0408066	0.0387363
chaussures	0.0240553	0.0164497	0.0172364	0.016756	0.0171742	0.0107562	0.0214056	0.0281131	0.0232646	0.0123994	0.0158741	0.0162553	0.0157601	0.0154759	0.0176919	0.0108066	0.0090634	0.00653953	0.0109794	0.0117524	0.011341	0.00852742	0.00903328	0.00697586	0.00713586	0.0109064	0.0133093	0.012654	0.0106969	0.0127038	0.0211344	0.0330566	0.0517046	0.0659774	0.0738243	0.0673021	0.0496729	0.0557265	0.0313733	0.0535163	0.0296708	0.0459477
</S>	0.0229772	0.0111405	0.0113134	0.0127501	0.0130226	0.0132737	0.0151902	0.017954	0.0157439	0.0114296	0.0116807	0.0147599	0.0134328	0.0100209	0.0112145	0.00641276	0.00412976	0.00280976	0.00511152	0.00688247	0.00886789	0.00702014	0.00837893	0.00547764	0.00470216	0.00803501	0.0124067	0.0153049	0.0167707	0.0184315	0.0240446	0.0479291	0.0447216	0.0578877	0.0736749	0.0673536	0.0632367	0.0625749	0.0427086	0.0642134	0.0464157	0.068593
