 	a66	a87	a23	a30	a93	a96	a34	a93	a4	a13	a93	a56	a92	a5	a24	a12	a96	a93	a75	a41	a56	a4	a13	a83	a62	a21	a12	a96	a62	a96	a88	a18	a36	a27	a57	a87	a23	a99	a26	</S>
une	0.0302085	0.0601389	0.0740489	0.0342783	0.0448478	0.0311442	0.0413053	0.0280498	0.0257966	0.0178603	0.0309475	0.0334965	0.0336911	0.0313162	0.0221293	0.0268926	0.0239067	0.0154017	0.0176867	0.0214672	0.00989719	0.0102607	0.0174912	0.0120245	0.00585949	0.00891937	0.0109443	0.0125789	0.00932864	0.0150473	0.0234229	0.0269023	0.0211336	0.027292	0.0309081	0.0152364	0.0192911	0.0210696	0.017632	0.0401461
veuve	0.00180455	0.00505097	0.00540493	0.011732	0.00976265	0.0185317	0.0233541	0.0265873	0.0238877	0.0190838	0.0292689	0.0942013	0.0406807	0.136416	0.0639162	0.0826399	0.0495964	0.0391297	0.0642947	0.0322945	0.0474907	0.0151986	0.0324932	0.0115863	0.00807188	0.00558648	0.00575018	0.00856727	0.00937785	0.006006	0.00789794	0.00849453	0.00821771	0.00480825	0.00496047	0.00497231	0.00497336	0.00599428	0.011598	0.0103166
a	0.0268493	0.0236407	0.0202892	0.07203	0.0503329	0.0633672	0.0331374	0.017432	0.0155233	0.0214728	0.0164107	0.0133097	0.0736501	0.0127828	0.0198799	0.0275165	0.0280992	0.0639831	0.0636915	0.0422827	0.0226769	0.0169084	0.0153146	0.0157725	0.00792758	0.0106448	0.00706508	0.00771033	0.0064764	0.00522495	0.00578742	0.0040426	0.00997188	0.0103222	0.0128686	0.0212963	0.0165253	0.0275931	0.0539752	0.0162152
des	0.0242818	0.0261942	0.0349283	0.060391	0.0220801	0.013841	0.00486546	0.00459286	0.0098765	0.0132024	0.0171591	0.034204	0.0147508	0.0319793	0.0312381	0.0342251	0.033977	0.0459675	0.0580602	0.0457362	0.0554013	0.0292472	0.0333813	0.027125	0.0172647	0.0261609	0.0137644	0.0259462	0.0106035	0.014999	0.015491	0.0184061	0.0284149	0.01779	0.016909	0.0188964	0.0147972	0.0163069	0.0186889	0.018855
cheveux	0.0188672	0.037984	0.0620402	0.0695864	0.037101	0.018061	0.00869389	0.00958928	0.00848154	0.0100018	0.0215427	0.0276136	0.0186828	0.0156297	0.0174133	0.0154529	0.0181515	0.0225715	0.0294871	0.023869	0.0482752	0.076173	0.0625168	0.0522328	0.0822472	0.0636694	0.0326488	0.0281562	0.00816823	0.01522	0.00503478	0.00445798	0.00465603	0.00235446	0.00397975	0.00305642	0.00241141	0.00537882	0.00294039	0.00560202
touffus	0.013761	0.0181516	0.035525	0.051847	0.0323751	0.026533	0.0244099	0.0355731	0.0273619	0.0213685	0.0477421	0.0749766	0.0380428	0.0486171	0.0388219	0.0302142	0.0275339	0.0194562	0.0188526	0.0199667	0.0179891	0.0192027	0.0224944	0.0200995	0.0229223	0.0223522	0.0212442	0.0142223	0.0115915	0.017351	0.014232	0.0181632	0.0177247	0.017536	0.0143981	0.0148662	0.0135192	0.0191873	0.0110793	0.0186944
à	0.0468457	0.0210562	0.0261918	0.0193884	0.0451833	0.0283402	0.0173426	0.0189878	0.0165723	0.0190918	0.0492237	0.0769973	0.0681531	0.0478898	0.0351356	0.0306168	0.0240573	0.0202479	0.0128948	0.0119986	0.0131687	0.00913452	0.00840733	0.00996173	0.00687725	0.00682819	0.00800769	0.00647891	0.00856986	0.00745489	0.00919762	0.0171599	0.0191271	0.0324406	0.032489	0.032033	0.0347652	0.0301224	0.0250585	0.0465027
cause	0.0401733	0.0232371	0.0274787	0.0285735	0.0466107	0.0462111	0.0334367	0.0233648	0.0267372	0.0254902	0.0261863	0.0466333	0.0317977	0.0365929	0.0190503	0.0167313	0.0116753	0.0201048	0.0154475	0.0151362	0.0177401	0.0106971	0.00746515	0.010589	0.0112671	0.0102708	0.0147248	0.0142175	0.0136445	0.0145479	0.0160784	0.0154087	0.0211243	0.0304466	0.0231516	0.0332871	0.0333856	0.0361558	0.0409513	0.0641775
de	0.0259876	0.0233673	0.0288588	0.0373264	0.0489149	0.0385035	0.0480484	0.0424275	0.0423239	0.0314249	0.0467462	0.0583803	0.0499618	0.0457281	0.0322847	0.0250964	0.0174165	0.013544	0.00988949	0.00755062	0.00415924	0.00440997	0.00245644	0.0038516	0.00384968	0.00365596	0.00756056	0.0068029	0.0054035	0.00686893	0.0118479	0.0151409	0.0167052	0.0377379	0.0295912	0.0389603	0.0326289	0.0307897	0.0250185	0.0387794
sa	0.023533	0.0285874	0.0290137	0.0285709	0.0359259	0.0290843	0.0247796	0.0182204	0.0174728	0.0134255	0.0221717	0.0332309	0.0208414	0.0376826	0.0150669	0.01541	0.0104403	0.0107516	0.0110805	0.00839398	0.005953	0.00614644	0.00478305	0.00712555	0.00680261	0.00923251	0.0174614	0.0171815	0.0148649	0.0187485	0.0276232	0.0278457	0.0428027	0.0437207	0.0415757	0.0438773	0.0486544	0.0447115	0.052299	0.0849069
tristesse	0.00783596	0.0169046	0.0190876	0.0274341	0.0219595	0.0174661	0.0166672	0.0212852	0.0191931	0.0155449	0.0314888	0.037104	0.0339498	0.0366847	0.0296672	0.023063	0.0218174	0.0199224	0.0152844	0.0162293	0.0129038	0.0130717	0.0113749	0.012819	0.0111897	0.011537	0.0149091	0.017633	0.0121862	0.0149741	0.0183635	0.0199458	0.0310941	0.0456328	0.0376461	0.0482065	0.0463848	0.0476548	0.050193	0.0736909
</S>	0.0262942	0.0235878	0.0237537	0.0148901	0.0201631	0.0100986	0.0121892	0.0178604	0.0142185	0.0150089	0.0294996	0.0335518	0.0335863	0.0261965	0.0263106	0.0253558	0.0228104	0.023075	0.0174733	0.018935	0.0130001	0.0152614	0.0121209	0.0165363	0.0127	0.0172478	0.023078	0.0264346	0.0197769	0.0206865	0.0245386	0.018913	0.0294873	0.0398571	0.039696	0.0461997	0.0339234	0.0436806	0.0371783	0.0748248
