 	a66	a87	a23	a83	a0	a62	a21	a12	a21	a12	a62	a88	a75	a25	a98	a79	a56	a75	a98	a15	a7	a90	a76	a20	a7	a58	a84	a87	a23	a83	a54	a47	a0	a25	a90	a69	a94	a4	a57	a82	a87	a23	a99	a97	a26	</S>
le	0.0250148	0.0352671	0.0361147	0.0250193	0.0206001	0.035654	0.0412948	0.0232733	0.030562	0.0105741	0.0100013	0.00681174	0.00564228	0.00405283	0.00610408	0.00771707	0.00849146	0.00930789	0.0111298	0.0264474	0.0286081	0.0487516	0.0443676	0.0324561	0.046417	0.0595934	0.0357052	0.0887541	0.0186607	0.0119163	0.00760358	0.00661099	0.0076384	0.00753504	0.0053575	0.0116001	0.0166285	0.0271077	0.016599	0.0183047	0.0127997	0.011356	0.0126458	0.019848	0.01243	0.0116246
champignon	0.00129509	0.00263517	0.00280642	0.0024556	0.00239123	0.00258726	0.00715726	0.00496109	0.0148405	0.00834959	0.0209772	0.0330009	0.0330086	0.0583819	0.0680101	0.0582575	0.067053	0.0592011	0.0799401	0.112928	0.0925414	0.0443329	0.0533927	0.0207978	0.0187481	0.0196643	0.0190827	0.0106847	0.0104608	0.00422766	0.00381086	0.00349872	0.00536399	0.0035154	0.0037926	0.00177579	0.00226489	0.00193219	0.00144201	0.00108405	0.00211433	0.00235165	0.00681286	0.012197	0.00784284	0.00603019
blanc	0.00889555	0.00912711	0.00848529	0.0121204	0.0129591	0.0125236	0.0145214	0.0383297	0.0247362	0.0279826	0.039864	0.0468252	0.0469528	0.0412237	0.0465053	0.0604511	0.0361375	0.0213588	0.0193608	0.0181242	0.0257198	0.0487515	0.0236669	0.0560642	0.0481534	0.0262809	0.0312116	0.0182089	0.0645552	0.0174901	0.00998078	0.00610959	0.0136637	0.00534835	0.00200517	0.0020565	0.00160935	0.000808793	0.000546141	0.000304719	0.0013533	0.0058961	0.00580861	0.0139066	0.0142978	0.00971767
isyeeghe	0.01863	0.0162704	0.0201993	0.017877	0.0106029	0.00900446	0.00606969	0.0172227	0.0120305	0.0131106	0.0241953	0.0308072	0.0389397	0.0324716	0.0326534	0.054849	0.0304036	0.0481559	0.0198997	0.00724111	0.0100769	0.0420748	0.0177404	0.0732176	0.058447	0.0218303	0.0445919	0.0240966	0.110511	0.0403972	0.0285502	0.0215097	0.00995733	0.00451302	0.00280172	0.00149913	0.000894001	0.000633458	0.000355647	0.000712018	0.00143014	0.00287098	0.00417838	0.00425452	0.00463965	0.00758208
pousse	0.0502741	0.0294484	0.0215405	0.0296435	0.0174499	0.0140571	0.0167486	0.0340054	0.0287796	0.0727586	0.052637	0.0517999	0.0522971	0.039852	0.0598927	0.0612632	0.0371922	0.0331952	0.0209042	0.00857865	0.0032621	0.0237126	0.00719701	0.0281277	0.0159143	0.0119567	0.0262728	0.00578956	0.0110147	0.0053578	0.00611423	0.00642538	0.00768294	0.00340027	0.00186288	0.00219936	0.0024327	0.00174364	0.0014014	0.00245409	0.00661847	0.00995703	0.0149777	0.0189541	0.0164559	0.0263967
aussi	0.048137	0.0345096	0.028311	0.0192457	0.0127054	0.0144592	0.0139548	0.0153366	0.0148632	0.0229113	0.0194461	0.0252862	0.0330143	0.0315651	0.0438116	0.0451403	0.0585834	0.0611887	0.0261559	0.0135089	0.00874137	0.0242785	0.0134918	0.0179106	0.0197	0.0234633	0.0328856	0.0186921	0.00990372	0.00800076	0.013689	0.0139067	0.0200259	0.0130685	0.0147772	0.0119394	0.0103569	0.00920171	0.0130424	0.0136564	0.0148333	0.0167076	0.0186035	0.0155966	0.0142174	0.027175
bien	0.0221334	0.0188006	0.0248082	0.0168109	0.0197042	0.018276	0.0125724	0.0245769	0.0139195	0.0236688	0.0256627	0.0337838	0.0388952	0.0399981	0.0503664	0.0577549	0.0590945	0.0758035	0.0370557	0.0183008	0.0155682	0.0392425	0.0158504	0.0303271	0.0266126	0.0174854	0.0252962	0.0137809	0.0189065	0.0103224	0.0146149	0.0173122	0.0176939	0.00789663	0.0105846	0.00706139	0.00295552	0.00194608	0.00118316	0.0022276	0.00494411	0.00974511	0.013201	0.0134237	0.0142796	0.0155517
dans	0.0505667	0.030093	0.0347135	0.019879	0.0173446	0.017388	0.0103346	0.023088	0.0129251	0.0228995	0.0248346	0.0355753	0.0397938	0.0441427	0.0544861	0.0797868	0.0581222	0.0944246	0.0408842	0.0180073	0.0126876	0.0280151	0.00804343	0.0172473	0.0121052	0.00933388	0.0114518	0.00483664	0.00818733	0.0100509	0.0105612	0.0106074	0.0173981	0.00769299	0.0129457	0.00746709	0.00418721	0.00351735	0.00253177	0.0055615	0.00849583	0.0107956	0.00943636	0.0129305	0.0091699	0.0154527
la	0.0568521	0.0408784	0.0255392	0.0207149	0.018811	0.02164	0.021247	0.0197489	0.0181086	0.016026	0.0114535	0.0162702	0.0177188	0.0226919	0.0308964	0.0298748	0.0344939	0.0292813	0.0199224	0.0112228	0.0104432	0.00752529	0.00759338	0.00548105	0.00544076	0.00923906	0.00629901	0.00596785	0.00593527	0.00660005	0.00936434	0.0105499	0.012323	0.0110236	0.0100322	0.0161953	0.0234859	0.0345111	0.033236	0.058515	0.0637515	0.0445652	0.0260872	0.0269924	0.0250098	0.0404408
forêt	0.0261768	0.026334	0.01672	0.0129194	0.00972184	0.0127421	0.0116758	0.0100626	0.0133705	0.0105775	0.00978333	0.0138025	0.0158895	0.0206765	0.028584	0.0337507	0.0350691	0.0417328	0.0313264	0.02979	0.0223153	0.0171255	0.0238332	0.0131779	0.014455	0.0193692	0.0160678	0.0153304	0.0192724	0.0165483	0.0171855	0.0151255	0.0222279	0.0134561	0.0107303	0.0131075	0.0172287	0.0194669	0.0206331	0.0331336	0.0623886	0.0459073	0.0353134	0.0274898	0.0303288	0.0280766
